"version","title","beginnerNotes","normalNotes","hyperNotes","anotherNotes","leggendariaNotes","normalNotesDP","hyperNotesDP","anotherNotesDP","leggendariaNotesDP","beginnerLevel","normalLevel","hyperLevel","anotherLevel","leggendariaLevel","normalLevelDP","hyperLevelDP","anotherLevelDP","leggendariaLevelDP"
"25","255","-","469","823","1676","-","564","953","1590","-","-","6","9","12","-","6","9","12","-"
"32","1116","-","570","1041","1581","-","595","1095","1515","-","-","6","10","12","-","6","10","12","-"
"32","ADAMANT","-","580","995","1539","-","580","995","1525","-","-","6","9","11","-","6","9","11","-"
"32","Bling-Bang-Bang-Born","174","332","589","994","-","385","583","1003","-","2","4","7","10","-","4","7","10","-"
"32","Bring The Fire","-","598","991","1734","-","615","1057","1639","-","-","6","9","12","-","6","9","12","-"
"32","CHAOTIC SUNBIRD","-","623","885","1662","-","627","882","1512","-","-","6","9","11","-","6","9","11","-"
"32","Chasing After YOU ～夢の欠片～ ft. 小林マナ","-","496","725","1032","-","507","748","1051","-","-","5","7","10","-","5","7","10","-"
"32","destination","-","523","1140","1698","-","523","1155","1770","-","-","5","10","12","-","5","10","12","-"
"32","Digital Radiance","-","578","723","1018","-","584","779","1021","-","-","5","7","9","-","5","7","9","-"
"32","Dreamship","-","469","685","978","-","463","678","1030","-","-","4","7","9","-","4","7","9","-"
"32","Drop Syndicate","-","600","1001","1861","-","607","959","1851","-","-","6","9","12","-","6","9","12","-"
"32","Eleanor","-","404","707","1219","-","407","698","1209","-","-","4","7","10","-","4","7","10","-"
"32","ELYSIUM","-","466","790","1377","-","509","821","1384","-","-","5","8","11","-","5","8","11","-"
"32","FERMI♡PARADOX","-","584","839","1274","-","596","835","1326","-","-","5","8","10","-","5","8","10","-"
"32","Fiery Stallion","-","449","849","1220","-","470","870","1176","-","-","4","9","11","-","4","9","11","-"
"32","get set mind","-","516","797","1230","-","501","806","1236","-","-","5","8","10","-","5","8","10","-"
"32","Here We Go Now","-","581","1127","1690","-","578","1031","1498","-","-","6","10","12","-","6","10","12","-"
"32","KOTONOHA ft. Kotoha","-","421","665","994","-","457","684","1007","-","-","5","8","10","-","5","8","10","-"
"32","lowercase lifetime","-","544","1066","1407","-","550","1012","1430","-","-","5","9","11","-","5","9","11","-"
"32","MVP","-","465","772","1318","-","466","733","1264","-","-","5","8","11","-","5","8","11","-"
"32","NOIXIA","-","714","1173","2027","-","716","1212","2009","-","-","7","10","12","-","7","10","12","-"
"32","PERFECT HUMAN","267","448","734","1118","-","465","761","1071","-","3","5","7","10","-","5","7","10","-"
"32","PIT A PAT","-","518","922","1299","-","482","912","1333","-","-","5","8","10","-","5","8","10","-"
"32","PopなEDEN","-","490","827","1235","-","490","823","1217","-","-","5","9","11","-","5","9","11","-"
"32","Raspberry Potion(feat.あれたん♡ & ぎゃるのしん☆)","-","456","910","1267","-","472","890","1242","-","-","5","9","11","-","5","9","11","-"
"32","RAVE SYNDROME","-","515","876","1402","-","516","857","1377","-","-","6","9","11","-","6","8","11","-"
"32","Satellite Burst","-","627","1119","2000","-","609","1217","1900","-","-","6","10","12","-","6","10","12","-"
"32","Secret Rouge","-","428","835","1165","-","443","828","1189","-","-","5","8","10","-","5","8","10","-"
"32","Space In Time","-","434","805","1047","-","443","813","1035","-","-","6","9","11","-","6","9","11","-"
"32","u gotta beat","-","686","1189","1806","-","709","1182","1777","-","-","6","10","12","-","6","10","12","-"
"32","Vibing! Shake it!","-","490","845","1263","-","518","827","1211","-","-","5","8","10","-","5","8","10","-"
"32","飴玉","-","300","460","699","-","302","489","654","-","-","4","7","9","-","4","7","9","-"
"32","イガク","160","444","766","1025","-","445","757","1017","-","1","4","7","9","-","4","7","9","-"
"32","えだまめカレークッキング","219","413","660","1119","-","435","678","1150","-","2","5","8","11","-","5","8","11","-"
