バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,660,796,三重県,1025,HAGGER,三重県,1136,HAGGER,三重県
1st&substream,RUGGED ASH,367,HAGGER,三重県,400,7KADA4,三重県,1065,MA3YAN,三重県
1st&substream,R3,610,P-,三重県,727,7KADA4,三重県,883,HAGGER,三重県
1st&substream,PARANOIA MAX～DIRTY MIX～,512,796,三重県,736,7KADA4,三重県,1101,HAGGER,三重県
1st&substream,Macho Gang,353,HA9BA3,三重県,1065,7KADA4,三重県,1626,4,三重県
1st&substream,KEEP ON MOVIN',190,MASSH.,三重県,244,MAKOTO,三重県,0,,未設定
1st&substream,GRADIUSIC CYBER,827,SHIELD,三重県,979,KEN.,三重県,1170,HAGGER,三重県
1st&substream,GENOM SCREAMS,390,SHANA,三重県,815,7KADA4,三重県,1051,HAGGER,三重県
1st&substream,GAMBOL,274,CIRNO9,三重県,274,CIRNO9,三重県,0,,未設定
1st&substream,Dr.LOVE,379,MAKI*,三重県,516,7KADA4,三重県,572,HAGGER,三重県
1st&substream,deep in you,464,SHANA,三重県,505,7KADA4,三重県,640,HAGGER,三重県
1st&substream,BRILLIANT 2U,509,MAKI*,三重県,652,7KADA4,三重県,717,HAGGER,三重県
1st&substream,5.1.1.,194,QUERY,三重県,1017,7KADA4,三重県,1558,0.32,三重県
1st&substream,22DUNK,499,QUERY,三重県,625,7KADA4,三重県,647,7KADA4,三重県
2nd style,SP-TRIP MACHINE(for beatmania II),493,SHANA,三重県,605,7KADA4,三重県,643,7KADA4,三重県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),573,HAGGER,三重県,848,HAGGER,三重県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),797,EIDOS,三重県,1072,7KADA4,三重県,1206,4,三重県
2nd style,I Was The One,506,TATE,三重県,644,HAGGER,三重県,684,HAGGER,三重県
2nd style,Electro Tuned(the SubS mix),692,-ALMA-,三重県,947,7KADA4,三重県,1045,HAGGER,三重県
2nd style,Digital MinD(A/T Libra mix),682,SHANA,三重県,940,T-TMY,三重県,1106,HAGGER,三重県
2nd style,Dancin' Into The Night,423,KEN.,三重県,464,NKMR-R,三重県,0,,未設定
2nd style,.59,691,5NE5-S,三重県,992,7KADA4,三重県,1132,HAGGER,三重県
3rd style,THE SAFARI,1226,7KADA4,三重県,1762,4,三重県,0,,未設定
3rd style,Tangerine Stream,272,QUERY,三重県,393,HAGGER,三重県,0,,未設定
3rd style,Skyscraper,739,HAGGER,三重県,1192,7KADA4,三重県,1226,NKMR-R,三重県
3rd style,Schlagwerk,725,796,三重県,1267,MAKOTO,三重県,1680,4,三重県
3rd style,REINCARNATION,688,IIDX21,三重県,1003,MAKOTO,三重県,1256,NKMR-R,三重県
3rd style,R5,708,SUGOC,三重県,1160,7KADA4,三重県,1767,4,三重県
3rd style,Presto,524,KEN.,三重県,944,MAKOTO,三重県,992,MAKOTO,三重県
3rd style,LEADING CYBER,736,796,三重県,1180,MAKOTO,三重県,1256,HAGGER,三重県
3rd style,Holic,712,VABO,三重県,1192,MAKOTO,三重県,1692,*URIN*,三重県
3rd style,era (nostalmix),774,796,三重県,1073,NKMR,三重県,1504,4,三重県
3rd style,Don't Stop!,712,448,三重県,841,MAKOTO,三重県,898,7KADA4,三重県
3rd style,CAN'T STOP FALLIN'IN LOVE,587,SHANA,三重県,1232,7KADA4,三重県,0,,未設定
4th style,Voltage (feat. Hidemaru),826,796,三重県,1180,MAKOTO,三重県,1305,4,三重県
4th style,Under Construction,724,796,三重県,988,MAKOTO,三重県,1119,KEN.,三重県
4th style,ULTRA HIGH-HEELS,691,SUGOC,三重県,887,MAKOTO,三重県,985,HAGGER,三重県
4th style,starmine,790,796,三重県,1391,MAKOTO,三重県,1560,HAGGER,三重県
4th style,Nasty!,541,SHANA,三重県,917,MAKOTO,三重県,1538,THIRTY,三重県
4th style,Mr.T.(take me higher),840,CIRNO9,三重県,977,MAKOTO,三重県,1718,NKMR-R,三重県
4th style,minimalian,495,SHANA,三重県,1089,7KADA4,三重県,1376,HAGGER,三重県
4th style,LOVE WILL・・・,538,KEN.,三重県,755,HAGGER,三重県,1452,7KADA4,三重県
4th style,KAMIKAZE,902,HARU02,三重県,1459,MAKOTO,三重県,2252,4,三重県
4th style,Jam&Marmalade,693,T-TMY,三重県,868,MAKOTO,三重県,1000,*HAL*,三重県
4th style,Hitch Hiker2,721,SUGOC,三重県,1191,MAKOTO,三重県,1280,HAGGER,三重県
4th style,HIGHER,515,*BC*,三重県,905,MAKOTO,三重県,1265,NKMR-R,三重県
4th style,FLOWERS for ALBION,235,QUERY,三重県,429,HAGGER,三重県,0,,未設定
4th style,era (step mix),896,MICHI,三重県,1208,TAKUTO,三重県,1656,*HAL*,三重県
4th style,empathy,777,RHCP,三重県,1350,7KADA4,三重県,1421,HAGGER,三重県
4th style,DXY!,1159,TANATY,三重県,1834,DENMA!,三重県,2206,4,三重県
4th style,Clione,523,HAGGER,三重県,939,7KADA4,三重県,1605,*HAL*,三重県
4th style,CHECKING YOU OUT,574,N&MARO,三重県,879,4,三重県,1290,4,三重県
4th style,Burnin' The Floor,563,SHANA,三重県,937,MAKOTO,三重県,1433,7KADA4,三重県
4th style,Broken My Heart,676,3939,三重県,1439,MAKOTO,三重県,1774,HAGGER,三重県
4th style,B4U,906,SUGOC,三重県,1541,7KADA4,三重県,1986,*URIN*,三重県
4th style,ABSOLUTE,1172,SUGOC,三重県,1794,MAKOTO,三重県,2367,*URIN*,三重県
4th style,250bpm,600,SUGOC,三重県,1002,7KADA4,三重県,1374,4,三重県
5th style,V,1170,RHCP,三重県,2514,4,三重県,2961,4,三重県
5th style,THE SHINING POLARIS,859,VABO,三重県,1269,7KADA4,三重県,1566,7KADA4,三重県
5th style,THE CUBE,655,796,三重県,1250,7KADA4,三重県,1347,0.32,三重県
5th style,sync,1037,MASSH.,三重県,1865,7KADA4,三重県,2320,*HAL*,三重県
5th style,still my words,838,LUST,三重県,1217,HAGGER,三重県,0,,未設定
5th style,STILL IN MY HEART,885,796,三重県,1336,7KADA4,三重県,1883,0.32,三重県
5th style,Spin the disc,694,796,三重県,1241,7KADA4,三重県,1319,MAKOTO,三重県
5th style,RISLIM,814,BB,三重県,1185,HAGGER,三重県,0,,未設定
5th style,RIDE ON THE LIGHT (HI GREAT MIX),825,ST-DST,三重県,1021,7KADA4,三重県,1695,HAGGER,三重県
5th style,Regulus,907,RHCP,三重県,1484,7KADA4,三重県,1654,HAGGER,三重県
5th style,Real,968,RHCP,三重県,1539,7KADA4,三重県,1796,*HAL*,三重県
5th style,Radical Faith,1076,RHCP,三重県,1467,HAGGER,三重県,1259,KEN.,三重県
5th style,QQQ,1093,AAAAAA,三重県,1869,89.016,三重県,2119,*URIN*,三重県
5th style,outer wall,804,796,三重県,1302,7KADA4,三重県,1762,4,三重県
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,721,P-,三重県,974,7KADA4,三重県,1120,HAGGER,三重県
5th style,Kiss me all night long,891,KEN.,三重県,1226,7KADA4,三重県,1466,7KADA4,三重県
5th style,in my eyes,951,HAGGER,三重県,1390,7KADA4,三重県,1535,HAGGER,三重県
5th style,Abyss,1146,NOZOMI,三重県,1610,7KADA4,三重県,1870,*URIN*,三重県
