バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,724,ZERO,秋田県,1024,IDEON,秋田県,1116,IDEON,秋田県
1st&substream,RUGGED ASH,358,TN9108,秋田県,395,SYU311,秋田県,1054,IDEON,秋田県
1st&substream,R3,583,EST,秋田県,658,A*RISK,秋田県,886,IDEON,秋田県
1st&substream,PARANOIA MAX～DIRTY MIX～,531,KANI,秋田県,710,DEF,秋田県,1073,IDEON,秋田県
1st&substream,Macho Gang,346,MAFUTU,秋田県,991,SYU311,秋田県,1552,EOTOKO,秋田県
1st&substream,KEEP ON MOVIN',195,IDEON,秋田県,243,IDEON,秋田県,0,,未設定
1st&substream,GRADIUSIC CYBER,856,UNAGI,秋田県,980,EOTOKO,秋田県,1174,RALLY.,秋田県
1st&substream,GENOM SCREAMS,360,NAMAZU,秋田県,803,-GEAR-,秋田県,1035,IDEON,秋田県
1st&substream,GAMBOL,267,MAGUR0,秋田県,270,2JI...,秋田県,0,,未設定
1st&substream,Dr.LOVE,397,BASHI,秋田県,482,A*RISK,秋田県,567,IDEON,秋田県
1st&substream,deep in you,474,NAGIX2,秋田県,479,SYU311,秋田県,646,IDEON,秋田県
1st&substream,BRILLIANT 2U,523,CURRY.,秋田県,615,SYU311,秋田県,705,IDEON,秋田県
1st&substream,5.1.1.,196,-GEAR-,秋田県,985,MAGUR0,秋田県,1524,AOTA,秋田県
1st&substream,22DUNK,502,IDEON,秋田県,626,IDEON,秋田県,647,IDEON,秋田県
2nd style,SP-TRIP MACHINE(for beatmania II),500,IDEON,秋田県,610,KOB.PD,秋田県,639,IDEON,秋田県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),558,-GEAR-,秋田県,852,IDEON,秋田県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),849,EOTOKO,秋田県,1022,RASIS.,秋田県,1188,EOTOKO,秋田県
2nd style,I Was The One,523,UNAGI,秋田県,584,GAN,秋田県,686,RALLY.,秋田県
2nd style,Electro Tuned(the SubS mix),743,KANI,秋田県,889,UNAGI,秋田県,1054,IDEON,秋田県
2nd style,Digital MinD(A/T Libra mix),707,-GEAR-,秋田県,996,SYU311,秋田県,1106,IDEON,秋田県
2nd style,Dancin' Into The Night,405,TORU.K,秋田県,464,IDEON,秋田県,0,,未設定
2nd style,.59,692,UNAGI,秋田県,959,EOTOKO,秋田県,1121,IDEON,秋田県
3rd style,THE SAFARI,1179,EOTOKO,秋田県,1683,EOTOKO,秋田県,0,,未設定
3rd style,Tangerine Stream,267,KM-4DX,秋田県,392,IDEON,秋田県,0,,未設定
3rd style,Skyscraper,710,CURRY.,秋田県,1077,KANI,秋田県,1219,IDEON,秋田県
3rd style,Schlagwerk,773,F-YUKI,秋田県,1174,ZAPPER,秋田県,1639,EOTOKO,秋田県
3rd style,REINCARNATION,813,UNAGI,秋田県,999,MAKI.N,秋田県,1224,EOTOKO,秋田県
3rd style,R5,753,MAGUR0,秋田県,1131,CURRY.,秋田県,1719,-GEAR-,秋田県
3rd style,Presto,469,4CCHAN,秋田県,888,DEF,秋田県,989,RALLY.,秋田県
3rd style,LEADING CYBER,797,MAN-IF,秋田県,1098,RIXIA,秋田県,1250,EOTOKO,秋田県
3rd style,Holic,723,KANI,秋田県,1134,D.S,秋田県,1627,RALLY.,秋田県
3rd style,era (nostalmix),819,SYU311,秋田県,1041,KOB.PD,秋田県,1460,SYU311,秋田県
3rd style,Don't Stop!,747,SHUN-X,秋田県,807,SYU311,秋田県,893,IDEON,秋田県
3rd style,CAN'T STOP FALLIN'IN LOVE,605,-GEAR-,秋田県,1210,IDEON,秋田県,0,,未設定
4th style,Voltage (feat. Hidemaru),924,IDEON,秋田県,931,KM-4DX,秋田県,1290,IDEON,秋田県
4th style,Under Construction,805,SYU311,秋田県,852,SHUN,秋田県,1120,IDEON,秋田県
4th style,ULTRA HIGH-HEELS,730,-GEAR-,秋田県,750,A2S204,秋田県,966,IDEON,秋田県
4th style,starmine,868,SYU311,秋田県,1309,SYU311,秋田県,1526,IDEON,秋田県
4th style,Nasty!,534,DOIKKI,秋田県,882,SYU311,秋田県,1516,SUKE36,秋田県
4th style,Mr.T.(take me higher),817,SYU311,秋田県,838,ZOO,秋田県,1694,IDEON,秋田県
4th style,minimalian,509,SYU311,秋田県,977,DEF,秋田県,1357,IDEON,秋田県
4th style,LOVE WILL・・・,489,WHITE,秋田県,749,IDEON,秋田県,1451,IDEON,秋田県
4th style,KAMIKAZE,954,SYU311,秋田県,1361,MAN-IF,秋田県,2192,IDEON,秋田県
4th style,Jam&Marmalade,736,CURRY.,秋田県,837,DEF,秋田県,992,IDEON,秋田県
4th style,Hitch Hiker2,774,SYU311,秋田県,1070,NAMAZU,秋田県,1302,IDEON,秋田県
4th style,HIGHER,490,WHITE,秋田県,849,JEFFRY,秋田県,1249,IDEON,秋田県
4th style,FLOWERS for ALBION,228,JEFFRY,秋田県,423,EOTOKO,秋田県,0,,未設定
4th style,era (step mix),650,LISH,秋田県,1206,NAGIX2,秋田県,1597,EOTOKO,秋田県
4th style,empathy,729,SESAME,秋田県,1278,NAGIX2,秋田県,1401,EOTOKO,秋田県
4th style,DXY!,1234,SYU311,秋田県,1733,IDEON,秋田県,2121,EOTOKO,秋田県
4th style,Clione,512,UNAGI,秋田県,920,KOB.PD,秋田県,1576,IDEON,秋田県
4th style,CHECKING YOU OUT,584,NAGIX2,秋田県,796,NAGIX2,秋田県,1239,IDEON,秋田県
4th style,Burnin' The Floor,567,SUBARU,秋田県,916,-GEAR-,秋田県,1423,IDEON,秋田県
4th style,Broken My Heart,920,-GEAR-,秋田県,1422,EOTOKO,秋田県,1720,EOTOKO,秋田県
4th style,B4U,1007,SYU311,秋田県,1441,SYU311,秋田県,1944,IDEON,秋田県
4th style,ABSOLUTE,1290,-GEAR-,秋田県,1736,KOB.PD,秋田県,2283,AOTA,秋田県
4th style,250bpm,637,SYU311,秋田県,883,GAME,秋田県,1353,IDEON,秋田県
5th style,V,1255,-GEAR-,秋田県,2429,LEVEL9,秋田県,2808,RALLY.,秋田県
5th style,THE SHINING POLARIS,913,SYU311,秋田県,1234,DEF,秋田県,1567,IDEON,秋田県
5th style,THE CUBE,702,SYU311,秋田県,1220,DEF,秋田県,1331,SGITCH,秋田県
5th style,sync,1065,UNAGI,秋田県,1794,B,秋田県,2307,RALLY.,秋田県
5th style,still my words,923,IDEON,秋田県,1193,IDEON,秋田県,0,,未設定
5th style,STILL IN MY HEART,953,F-YUKI,秋田県,1277,140924,秋田県,1847,EOTOKO,秋田県
5th style,Spin the disc,738,SYU311,秋田県,1074,JEFFRY,秋田県,1304,IDEON,秋田県
