バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,749,*LAYLA,富山県,961,MS,富山県,1141,QMAMON,富山県
1st&substream,RUGGED ASH,362,FIFTY,富山県,389,C00L1N,富山県,1083,QMAMON,富山県
1st&substream,R3,628,KASON,富山県,686,WAKANA,富山県,905,QMAMON,富山県
1st&substream,PARANOIA MAX～DIRTY MIX～,522,FUCHI,富山県,711,C00L1N,富山県,1113,QMAMON,富山県
1st&substream,Macho Gang,355,C11,富山県,1044,CRZ-K.,富山県,1618,QMAMON,富山県
1st&substream,KEEP ON MOVIN',194,EIKRA7,富山県,242,QMAMON,富山県,0,,未設定
1st&substream,GRADIUSIC CYBER,841,CHECKM,富山県,977,CRZ-K.,富山県,1199,QMAMON,富山県
1st&substream,GENOM SCREAMS,408,*LAYLA,富山県,755,171,富山県,1066,QMAMON,富山県
1st&substream,GAMBOL,268,C00L1N,富山県,274,QMAMON,富山県,0,,未設定
1st&substream,Dr.LOVE,397,CHECKM,富山県,497,C00L1N,富山県,577,QMAMON,富山県
1st&substream,deep in you,472,Y*,富山県,492,Y*,富山県,655,QMAMON,富山県
1st&substream,BRILLIANT 2U,513,Y*,富山県,641,EIKRA7,富山県,720,QMAMON,富山県
1st&substream,5.1.1.,196,EIKRA7,富山県,1003,CRZ-K.,富山県,1561,QMAMON,富山県
1st&substream,22DUNK,481,CRZ-$.,富山県,623,C00L1N,富山県,652,QMAMON,富山県
2nd style,SP-TRIP MACHINE(for beatmania II),502,EIKRA7,富山県,604,C00L1N,富山県,634,CRZ-K.,富山県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),566,*LAYLA,富山県,845,KESSO6,富山県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),843,Y*,富山県,1067,171,富山県,1215,QMAMON,富山県
2nd style,I Was The One,535,CHECKM,富山県,625,C00L1N,富山県,689,QMAMON,富山県
2nd style,Electro Tuned(the SubS mix),753,VIB&GO,富山県,929,MEAN,富山県,1063,QMAMON,富山県
2nd style,Digital MinD(A/T Libra mix),698,Y*,富山県,999,TAMA,富山県,1094,MEAN,富山県
2nd style,Dancin' Into The Night,423,EIKRA7,富山県,464,CRZ-K.,富山県,0,,未設定
2nd style,.59,698,CRZ-K.,富山県,971,C00L1N,富山県,1159,QMAMON,富山県
3rd style,THE SAFARI,1202,MAMOMI,富山県,1778,QMAMON,富山県,0,,未設定
3rd style,Tangerine Stream,274,UNKO!!,富山県,391,UNKO!!,富山県,0,,未設定
3rd style,Skyscraper,715,Y*,富山県,1156,KASON,富山県,1220,MA2NO3,富山県
3rd style,Schlagwerk,798,*LAYLA,富山県,1244,MAMOMI,富山県,1680,QMAMON,富山県
3rd style,REINCARNATION,836,CRZ-K.,富山県,1020,CRZ-K.,富山県,1239,CRZ-K.,富山県
3rd style,R5,765,*LAYLA,富山県,1155,CRZ-K.,富山県,1776,QMAMON,富山県
3rd style,Presto,529,SPARSE,富山県,958,KASON,富山県,1006,QMAMON,富山県
3rd style,LEADING CYBER,805,*LAYLA,富山県,1148,C00L1N,富山県,1236,CRZ-K.,富山県
3rd style,Holic,756,*LAYLA,富山県,1152,171,富山県,1714,QMAMON,富山県
3rd style,era (nostalmix),840,CRZ-K.,富山県,1097,QMAMON,富山県,1494,QMAMON,富山県
3rd style,Don't Stop!,762,Y*,富山県,830,MAMOMI,富山県,902,QMAMON,富山県
3rd style,CAN'T STOP FALLIN'IN LOVE,611,EIKRA7,富山県,1229,TSP164,富山県,0,,未設定
4th style,Voltage (feat. Hidemaru),886,171,富山県,1059,RON,富山県,1302,QMAMON,富山県
4th style,Under Construction,804,SPARSE,富山県,976,C00L1N,富山県,1113,SENJU,富山県
4th style,ULTRA HIGH-HEELS,730,Y*,富山県,851,AN-BM-,富山県,973,CRZ-K.,富山県
4th style,starmine,825,PREST,富山県,1379,C00L1N,富山県,1585,QMAMON,富山県
4th style,Nasty!,543,C11,富山県,889,Y*,富山県,1490,SENJU,富山県
4th style,Mr.T.(take me higher),828,Y*,富山県,964,Y*,富山県,1753,QMAMON,富山県
4th style,minimalian,522,Y*,富山県,1009,C00L1N,富山県,1401,QMAMON,富山県
4th style,LOVE WILL・・・,534,Y*,富山県,751,EIKRA7,富山県,1461,QMAMON,富山県
4th style,KAMIKAZE,983,Y*,富山県,1399,T.M.,富山県,2295,QMAMON,富山県
4th style,Jam&Marmalade,735,VIB&GO,富山県,829,Y*,富山県,985,CRZ-K.,富山県
4th style,Hitch Hiker2,785,Y*,富山県,1112,SPARSE,富山県,1311,QMAMON,富山県
4th style,HIGHER,528,Y*,富山県,907,C00L1N,富山県,1273,QMAMON,富山県
4th style,FLOWERS for ALBION,233,C00L1N,富山県,417,CRZ-K.,富山県,0,,未設定
4th style,era (step mix),1085,CRZ-K.,富山県,1262,NAGATA,富山県,1709,QMAMON,富山県
4th style,empathy,802,Y*,富山県,1276,C00L1N,富山県,1398,CRZ-K.,富山県
4th style,DXY!,1228,CRZ-K.,富山県,1734,CRZ-K.,富山県,2251,QMAMON,富山県
4th style,Clione,509,FIFTY,富山県,928,EIKRA7,富山県,1606,QMAMON,富山県
4th style,CHECKING YOU OUT,620,EIKRA7,富山県,804,CRZ-K.,富山県,1309,QMAMON,富山県
4th style,Burnin' The Floor,574,EIKRA7,富山県,920,C00L1N,富山県,1434,QMAMON,富山県
4th style,Broken My Heart,897,*LAYLA,富山県,1409,SPARSE,富山県,1818,QMAMON,富山県
4th style,B4U,1025,C00L1N,富山県,1471,CRZ-M.,富山県,2005,QMAMON,富山県
4th style,ABSOLUTE,1326,CRZ-K.,富山県,1708,YU-TIN,富山県,2376,QMAMON,富山県
4th style,250bpm,661,OZ,富山県,952,YAKI29,富山県,1413,QMAMON,富山県
5th style,V,1272,CRZ-K.,富山県,2514,QMAMON,富山県,3007,QMAMON,富山県
5th style,THE SHINING POLARIS,940,EIKRA7,富山県,1243,C00L1N,富山県,1555,CRZ-K.,富山県
5th style,THE CUBE,716,KASON,富山県,1204,SKY,富山県,1352,QMAMON,富山県
5th style,sync,1047,AKQJ10,富山県,1849,MS,富山県,2358,QMAMON,富山県
5th style,still my words,906,EIKRA7,富山県,1198,MA2NO3,富山県,0,,未設定
5th style,STILL IN MY HEART,992,MS,富山県,1278,G-ZONE,富山県,1922,QMAMON,富山県
5th style,Spin the disc,792,EIKRA7,富山県,1188,C00L1N,富山県,1330,QMAMON,富山県
5th style,RISLIM,895,Y*,富山県,1190,CRZ-K.,富山県,0,,未設定
5th style,RIDE ON THE LIGHT (HI GREAT MIX),885,EIKRA7,富山県,1019,TAMA,富山県,1719,QMAMON,富山県
5th style,Regulus,941,FUCHI,富山県,1372,171,富山県,1723,QMAMON,富山県
5th style,Real,1056,TAMA,富山県,1592,OHAGI.,富山県,1822,QMAMON,富山県
5th style,Radical Faith,1114,Y*,富山県,1449,SKY,富山県,1256,CRZ-K.,富山県
5th style,QQQ,1188,C00L1N,富山県,1799,EIKRA7,富山県,2147,QMAMON,富山県
5th style,outer wall,906,SPARSE,富山県,1280,SKY,富山県,1757,QMAMON,富山県
