バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,732,JUDY,三重県,990,FIA,三重県,1138,HAGGER,三重県
1st&substream,RUGGED ASH,362,JUDY,三重県,397,RIS.AR,三重県,1060,HAGGER,三重県
1st&substream,R3,640,KEN.,三重県,712,FIA,三重県,894,.32,三重県
1st&substream,PARANOIA MAX～DIRTY MIX～,544,JUDY,三重県,713,ICE-C,三重県,1062,NKMR-R,三重県
1st&substream,Macho Gang,370,RIS.CT,三重県,996,TAKUTO,三重県,1645,4,三重県
1st&substream,KEEP ON MOVIN',195,HAGGER,三重県,240,HAGGER,三重県,0,,未設定
1st&substream,GRADIUSIC CYBER,854,JUDY,三重県,958,ATOZ,三重県,1182,HAGGER,三重県
1st&substream,GENOM SCREAMS,410,RIS.CT,三重県,788,FIA,三重県,1052,HAGGER,三重県
1st&substream,GAMBOL,274,CIRNO9,三重県,274,CIRNO9,三重県,0,,未設定
1st&substream,Dr.LOVE,401,RIS.CT,三重県,514,HAGGER,三重県,568,HAGGER,三重県
1st&substream,deep in you,488,JUDY,三重県,470,RIS.CT,三重県,649,DOSEI3,三重県
1st&substream,BRILLIANT 2U,527,RIS.CT,三重県,625,FIA,三重県,713,NKMR-R,三重県
1st&substream,5.1.1.,197,RIS.CT,三重県,1014,MIE*19,三重県,1557,.32,三重県
1st&substream,22DUNK,495,JUDY,三重県,612,JUDY,三重県,650,HAGGER,三重県
2nd style,SP-TRIP MACHINE(for beatmania II),502,JUDY,三重県,604,FIA,三重県,642,HAGGER,三重県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),554,KEN.,三重県,846,DOSEI3,三重県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),851,JUDY,三重県,1070,KEN.,三重県,1197,.32,三重県
2nd style,I Was The One,524,RIS.CT,三重県,616,.AKARI,三重県,683,HAGGER,三重県
2nd style,Electro Tuned(the SubS mix),747,JUDY,三重県,911,U.T,三重県,1057,HAGGER,三重県
2nd style,Digital MinD(A/T Libra mix),718,JUDY,三重県,1000,TAKUTO,三重県,1099,HAGGER,三重県
2nd style,Dancin' Into The Night,426,HAGGER,三重県,467,HAGGER,三重県,0,,未設定
2nd style,.59,684,SHANA,三重県,977,FIA,三重県,1128,RIS.CT,三重県
3rd style,THE SAFARI,1194,HAGGER,三重県,1745,4,三重県,0,,未設定
3rd style,Tangerine Stream,276,RIS.CT,三重県,394,RIS.CT,三重県,0,,未設定
3rd style,Skyscraper,701,JUDY,三重県,1106,FIA,三重県,1238,HAGGER,三重県
3rd style,Schlagwerk,787,JUDY,三重県,1213,FIA,三重県,1673,4,三重県
3rd style,REINCARNATION,824,JUDY,三重県,1006,SHANA,三重県,1261,HAGGER,三重県
3rd style,R5,761,JUDY,三重県,1130,-BLUEX,三重県,1768,4,三重県
3rd style,Presto,517,JUDY,三重県,952,ATOZ,三重県,992,.32,三重県
3rd style,LEADING CYBER,827,JUDY,三重県,1129,FIA,三重県,1202,EBMAYO,三重県
3rd style,Holic,767,HAGGER,三重県,1163,FIA,三重県,1693,*ALICE,三重県
3rd style,era (nostalmix),809,YU-YAN,三重県,1029,TAKUTO,三重県,1503,4,三重県
3rd style,Don't Stop!,749,JUDY,三重県,794,712545,三重県,897,NKMR-R,三重県
3rd style,CAN'T STOP FALLIN'IN LOVE,609,RIS.CT,三重県,1214,HAGGER,三重県,0,,未設定
4th style,Voltage (feat. Hidemaru),874,SHANA,三重県,1050,KM4TH?,三重県,1290,DOSEI3,三重県
4th style,Under Construction,805,JUDY,三重県,911,T-TMY,三重県,1122,HAGGER,三重県
4th style,ULTRA HIGH-HEELS,738,JUDY,三重県,872,SHANA,三重県,977,HAGGER,三重県
4th style,starmine,860,JUDY,三重県,1384,KEN.,三重県,1553,HAGGER,三重県
4th style,Nasty!,560,JUDY,三重県,861,SHANA,三重県,1509,HAGGER,三重県
4th style,Mr.T.(take me higher),820,JUDY,三重県,967,SHANA,三重県,1737,.32,三重県
4th style,minimalian,509,JUDY,三重県,1013,8KI29,三重県,1377,31337,三重県
4th style,LOVE WILL・・・,547,HAGGER,三重県,725,712545,三重県,1457,.32,三重県
4th style,KAMIKAZE,1006,SHANA,三重県,1358,FIA,三重県,2278,4,三重県
4th style,Jam&Marmalade,743,JUDY,三重県,852,ICE-C,三重県,991,NKMR-R,三重県
4th style,Hitch Hiker2,810,JUDY,三重県,1100,FIA,三重県,1296,.32,三重県
4th style,HIGHER,524,RIS.CT,三重県,886,JUDY,三重県,1266,NKMR-R,三重県
4th style,FLOWERS for ALBION,222,RIS.CT,三重県,425,HAGGER,三重県,0,,未設定
4th style,era (step mix),1050,SHANA,三重県,1302,TAKUTO,三重県,1590,DOSEI3,三重県
4th style,empathy,794,JUDY,三重県,1233,MASSH.,三重県,1400,TAKUTO,三重県
4th style,DXY!,1237,ATOZ,三重県,1766,ATOZ,三重県,2204,4,三重県
4th style,Clione,515,JUDY,三重県,897,FIA,三重県,1587,DOSEI3,三重県
4th style,CHECKING YOU OUT,563,*BC*,三重県,909,4,三重県,1287,4,三重県
4th style,Burnin' The Floor,573,RIS.CT,三重県,901,712545,三重県,1425,MIE*19,三重県
4th style,Broken My Heart,918,JUDY,三重県,1397,LUTWIG,三重県,1778,46KO,三重県
4th style,B4U,1007,JUDY,三重県,1555,MAJIN!,三重県,1983,*ALICE,三重県
4th style,ABSOLUTE,1280,JUDY,三重県,1760,MAJIN!,三重県,2361,MAJIN!,三重県
