バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,741,­,滋賀県,1025,810AP,滋賀県,1127,LUMPEN,滋賀県
1st&substream,RUGGED ASH,365,ERI-C,滋賀県,394,NAWONO,滋賀県,1081,99AP,滋賀県
1st&substream,R3,644,NICOL,滋賀県,729,R58JCW,滋賀県,893,AAAAAA,滋賀県
1st&substream,PARANOIA MAX～DIRTY MIX～,530,MASAKI,滋賀県,719,I*RIS.,滋賀県,1085,LIBRE,滋賀県
1st&substream,Macho Gang,365,Z.O.O,滋賀県,1033,R58JCW,滋賀県,1611,AAAAAA,滋賀県
1st&substream,KEEP ON MOVIN',195,CHII-8,滋賀県,243,LUMPEN,滋賀県,0,,未設定
1st&substream,GRADIUSIC CYBER,850,CHII-8,滋賀県,978,HIKO,滋賀県,1186,HIKO,滋賀県
1st&substream,GENOM SCREAMS,389,­,滋賀県,798,CHII-8,滋賀県,1064,AAAAAA,滋賀県
1st&substream,GAMBOL,273,CHII-8,滋賀県,274,CHII-8,滋賀県,0,,未設定
1st&substream,Dr.LOVE,402,2GG,滋賀県,481,­,滋賀県,566,CHII-8,滋賀県
1st&substream,deep in you,473,SIN.U,滋賀県,495,R58JCW,滋賀県,644,810AP,滋賀県
1st&substream,BRILLIANT 2U,506,NICOL,滋賀県,605,­,滋賀県,709,810AP,滋賀県
1st&substream,5.1.1.,195,CHII-8,滋賀県,995,NICOL,滋賀県,1557,AAAAAA,滋賀県
1st&substream,22DUNK,478,­,滋賀県,624,810AP,滋賀県,645,CHII-8,滋賀県
2nd style,SP-TRIP MACHINE(for beatmania II),502,SP.K,滋賀県,611,CHII-8,滋賀県,642,CHII-8,滋賀県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),559,YZ*KU-,滋賀県,846,810AP,滋賀県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),853,YUKI.,滋賀県,1087,N.KJ,滋賀県,1196,LUMPEN,滋賀県
2nd style,I Was The One,527,CHII-8,滋賀県,623,SP.K,滋賀県,672,HARU-7,滋賀県
2nd style,Electro Tuned(the SubS mix),730,QUBIT,滋賀県,914,0108,滋賀県,1041,HIKO,滋賀県
2nd style,Digital MinD(A/T Libra mix),698,Z.O.O,滋賀県,1011,CHII-8,滋賀県,1115,HIKO,滋賀県
2nd style,Dancin' Into The Night,415,ERI-C,滋賀県,467,CHII-8,滋賀県,0,,未設定
2nd style,.59,698,HIKO,滋賀県,978,HIKO,滋賀県,1146,AAAAAA,滋賀県
3rd style,THE SAFARI,1215,B-RABI,滋賀県,1741,AAAAAA,滋賀県,0,,未設定
3rd style,Tangerine Stream,270,ERI-C,滋賀県,394,CHII-8,滋賀県,0,,未設定
3rd style,Skyscraper,714,810AP,滋賀県,1191,810AP,滋賀県,1229,HIKO,滋賀県
3rd style,Schlagwerk,764,­,滋賀県,1267,CHII-8,滋賀県,1655,AAAAAA,滋賀県
3rd style,REINCARNATION,816,CHII-8,滋賀県,1013,CHII-8,滋賀県,1253,99AP,滋賀県
3rd style,R5,771,CHII-8,滋賀県,1149,CHII-8,滋賀県,1745,99AP,滋賀県
3rd style,Presto,543,810AP,滋賀県,968,810AP,滋賀県,1002,AAAAAA,滋賀県
3rd style,LEADING CYBER,751,­,滋賀県,1187,810AP,滋賀県,1226,HARU-7,滋賀県
3rd style,Holic,735,4690,滋賀県,1195,810AP,滋賀県,1716,AAAAAA,滋賀県
3rd style,era (nostalmix),828,YZ*KU-,滋賀県,1026,810AP,滋賀県,1495,AAAAAA,滋賀県
3rd style,Don't Stop!,757,NICOL,滋賀県,843,CHII-8,滋賀県,895,CHII-8,滋賀県
3rd style,CAN'T STOP FALLIN'IN LOVE,581,­,滋賀県,1236,99AP,滋賀県,0,,未設定
4th style,Voltage (feat. Hidemaru),892,YZ*KU-,滋賀県,1196,810AP,滋賀県,1246,CHII-8,滋賀県
4th style,Under Construction,775,­,滋賀県,978,NZHN01,滋賀県,1128,LIBRE,滋賀県
4th style,ULTRA HIGH-HEELS,736,.3K,滋賀県,901,B-RABI,滋賀県,989,99AP,滋賀県
