バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,737,T#TOMY,香川県,860,T#TOMY,香川県,1105,C.PINE,香川県
1st&substream,RUGGED ASH,355,5GEL1L,香川県,398,FEMTO.,香川県,1068,FLUSH.,香川県
1st&substream,R3,598,T#TOMY,香川県,685,NAGISA,香川県,869,TT,香川県
1st&substream,PARANOIA MAX～DIRTY MIX～,503,OPPEKE,香川県,690,HAIJIN,香川県,1068,LOTTO,香川県
1st&substream,Macho Gang,340,VODKA,香川県,979,MU34,香川県,1551,.,香川県
1st&substream,KEEP ON MOVIN',194,C.PINE,香川県,242,L#HAPY,香川県,0,,未設定
1st&substream,GRADIUSIC CYBER,838,MATOI,香川県,953,KA2DON,香川県,1162,ENBRY,香川県
1st&substream,GENOM SCREAMS,400,KA2DON,香川県,787,FEMTO.,香川県,1061,TT,香川県
1st&substream,GAMBOL,268,C.PINE,香川県,268,FEMTO.,香川県,0,,未設定
1st&substream,Dr.LOVE,394,RUQUIA,香川県,476,CORONA,香川県,567,HORIE,香川県
1st&substream,deep in you,386,KURURU,香川県,480,MU34,香川県,648,FLUSH.,香川県
1st&substream,BRILLIANT 2U,522,.,香川県,646,HORIE,香川県,704,C.PINE,香川県
1st&substream,5.1.1.,196,JUNKO!,香川県,916,CORONA,香川県,1553,.,香川県
1st&substream,22DUNK,478,NAGISA,香川県,615,FEMTO.,香川県,628,ENBRY,香川県
2nd style,SP-TRIP MACHINE(for beatmania II),494,HORIE,香川県,579,JADE,香川県,627,FEMTO.,香川県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),534,HPKN-2,香川県,845,C.PINE,香川県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),859,EMIKO,香川県,1102,EMIKO,香川県,1163,TT,香川県
2nd style,I Was The One,529,EMIKO,香川県,618,FEMTO.,香川県,664,HORIE,香川県
2nd style,Electro Tuned(the SubS mix),709,KABUT,香川県,919,EMIKO,香川県,1043,.,香川県
2nd style,Digital MinD(A/T Libra mix),721,FEMTO.,香川県,948,KABUT,香川県,1085,EMIKO,香川県
2nd style,Dancin' Into The Night,423,H1RO,香川県,450,C.PINE,香川県,0,,未設定
2nd style,.59,661,17*ICE,香川県,956,T#TOMY,香川県,1104,C.PINE,香川県
3rd style,THE SAFARI,1211,.,香川県,1743,TT,香川県,0,,未設定
3rd style,Tangerine Stream,275,FEMTO.,香川県,392,C.PINE,香川県,0,,未設定
3rd style,Skyscraper,728,.,香川県,1109,MU34,香川県,1239,FLUSH.,香川県
3rd style,Schlagwerk,812,.,香川県,1231,VODKA,香川県,1648,ENBRY,香川県
3rd style,REINCARNATION,837,.,香川県,1001,C.PINE,香川県,1256,TT,香川県
3rd style,R5,741,FEMTO.,香川県,1136,WAFL1L,香川県,1718,L#1K,香川県
3rd style,Presto,492,LATTE,香川県,953,HORIE,香川県,978,LOTTO,香川県
3rd style,LEADING CYBER,848,.,香川県,1119,MU34,香川県,1213,ENBRY,香川県
3rd style,Holic,767,.,香川県,1191,FEMTO.,香川県,1673,TT,香川県
3rd style,era (nostalmix),834,H1RO,香川県,1060,ENBRY,香川県,1521,FLUSH.,香川県
3rd style,Don't Stop!,761,RUQUIA,香川県,830,MU34,香川県,886,C.PINE,香川県
3rd style,CAN'T STOP FALLIN'IN LOVE,565,LATTE,香川県,1227,ENBRY,香川県,0,,未設定
4th style,Voltage (feat. Hidemaru),921,.,香川県,1122,KYSKTM,香川県,1276,LOTTO,香川県
4th style,Under Construction,824,.,香川県,931,NISTEL,香川県,1104,C.PINE,香川県
4th style,ULTRA HIGH-HEELS,746,.,香川県,807,MRMAIN,香川県,967,C.PINE,香川県
4th style,starmine,892,.,香川県,1308,HAL.,香川県,1558,.,香川県
4th style,Nasty!,575,.,香川県,885,YURI*T,香川県,1479,C.PINE,香川県
4th style,Mr.T.(take me higher),847,.,香川県,909,KEITA,香川県,1750,FLUSH.,香川県
4th style,minimalian,527,.,香川県,1001,KYSKTM,香川県,1357,ENBRY,香川県
4th style,LOVE WILL・・・,554,.,香川県,716,YURI*T,香川県,1431,HORIE,香川県
4th style,KAMIKAZE,1015,.,香川県,1436,MU34,香川県,2250,L#1K,香川県
4th style,Jam&Marmalade,772,.,香川県,861,JADE,香川県,944,ENBRY,香川県
4th style,Hitch Hiker2,818,C.PINE,香川県,1116,KA2DON,香川県,1303,FLUSH.,香川県
4th style,HIGHER,527,.,香川県,845,FEMTO.,香川県,1250,HORIE,香川県
4th style,FLOWERS for ALBION,233,HORIE,香川県,429,C.PINE,香川県,0,,未設定
4th style,era (step mix),1065,.,香川県,1321,HAL.,香川県,1612,FLUSH.,香川県
4th style,empathy,822,.,香川県,1249,KYSKTM,香川県,1443,FLUSH.,香川県
4th style,DXY!,1247,.,香川県,1689,C-CUP,香川県,2157,.,香川県
4th style,Clione,521,.,香川県,903,NAGISA,香川県,1604,L#HAPY,香川県
4th style,CHECKING YOU OUT,620,.,香川県,816,FEMTO.,香川県,1208,ENBRY,香川県
4th style,Burnin' The Floor,579,.,香川県,860,KEITA,香川県,1399,C.PINE,香川県
4th style,Broken My Heart,850,KEAR,香川県,1414,MU34,香川県,1758,L#8322,香川県
4th style,B4U,1062,.,香川県,1462,49,香川県,1941,ENBRY,香川県
4th style,ABSOLUTE,1341,.,香川県,1698,MU34,香川県,2332,L#1K,香川県
4th style,250bpm,692,.,香川県,910,MU34,香川県,1355,L#1K,香川県
5th style,V,1274,.,香川県,2392,C.PINE,香川県,2963,FLUSH.,香川県
5th style,THE SHINING POLARIS,950,.,香川県,1187,ANTI-B,香川県,1559,FLUSH.,香川県
5th style,THE CUBE,714,FEMTO.,香川県,1231,FLUSH.,香川県,1317,ENBRY,香川県
5th style,sync,1084,.,香川県,1781,NAGISA,香川県,2343,LOTTO,香川県
5th style,still my words,916,.,香川県,1185,ENBRY,香川県,0,,未設定
