バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,778,PET4KI,熊本県,1027,PET4KI,熊本県,1128,Z.N.D.,熊本県
1st&substream,RUGGED ASH,364,FLAME5,熊本県,354,K-DOG,熊本県,1070,Z.N.D.,熊本県
1st&substream,R3,642,ZAK0,熊本県,721,PET4KI,熊本県,889,Z.N.D.,熊本県
1st&substream,PARANOIA MAX～DIRTY MIX～,554,PET4KI,熊本県,730,IRH-KS,熊本県,1081,Z.N.D.,熊本県
1st&substream,Macho Gang,349,DECIDE,熊本県,1020,RABIT,熊本県,1609,Z.N.D.,熊本県
1st&substream,KEEP ON MOVIN',192,YURS-K,熊本県,242,PKR,熊本県,0,,未設定
1st&substream,GRADIUSIC CYBER,867,PET4KI,熊本県,979,PET4KI,熊本県,1177,NINJIN,熊本県
1st&substream,GENOM SCREAMS,389,MOTI,熊本県,807,PET4KI,熊本県,1051,PKR,熊本県
1st&substream,GAMBOL,273,PET4KI,熊本県,272,PKR,熊本県,0,,未設定
1st&substream,Dr.LOVE,368,MUG1,熊本県,514,ZND-L,熊本県,573,GREEDY,熊本県
1st&substream,deep in you,426,HIRO.,熊本県,485,IRH-KS,熊本県,654,PKR,熊本県
1st&substream,BRILLIANT 2U,499,96103?,熊本県,652,PET4KI,熊本県,719,Z.N.D.,熊本県
1st&substream,5.1.1.,188,MAROMI,熊本県,1002,PET4KI,熊本県,1550,*029*,熊本県
1st&substream,22DUNK,506,.EXE,熊本県,622,IRH-KS,熊本県,650,Z.N.D.,熊本県
2nd style,SP-TRIP MACHINE(for beatmania II),499,YM,熊本県,613,PET4KI,熊本県,641,A.M.S.,熊本県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),564,GOKURI,熊本県,849,Z.N.D.,熊本県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),855,YM,熊本県,1066,RABIT,熊本県,1195,Z.N.D.,熊本県
2nd style,I Was The One,497,MOTI,熊本県,631,GOKURI,熊本県,687,Z.N.D.,熊本県
2nd style,Electro Tuned(the SubS mix),752,ZAK0,熊本県,930,FLAME5,熊本県,1045,Z.N.D.,熊本県
2nd style,Digital MinD(A/T Libra mix),689,MOTI,熊本県,1010,PET4KI,熊本県,1118,Z.N.D.,熊本県
2nd style,Dancin' Into The Night,401,MOTI,熊本県,464,PKR,熊本県,0,,未設定
2nd style,.59,697,GOKURI,熊本県,993,YM,熊本県,1135,Z.N.D.,熊本県
3rd style,THE SAFARI,1176,ZEXT.,熊本県,1731,PKR,熊本県,0,,未設定
3rd style,Tangerine Stream,274,AMETO,熊本県,396,PKR,熊本県,0,,未設定
3rd style,Skyscraper,724,PET4KI,熊本県,1168,PET4KI,熊本県,1232,GREEDY,熊本県
3rd style,Schlagwerk,802,PET4KI,熊本県,1243,PET4KI,熊本県,1671,Z.N.D.,熊本県
3rd style,REINCARNATION,828,NINJIN,熊本県,922,POLORI,熊本県,1266,PKR,熊本県
3rd style,R5,737,UKYOU3,熊本県,1133,UKYOU3,熊本県,1752,Z.N.D.,熊本県
3rd style,Presto,525,RKK.TV,熊本県,905,DAN-32,熊本県,1001,Z.N.D.,熊本県
3rd style,LEADING CYBER,840,PET4KI,熊本県,1181,PET4KI,熊本県,1246,Z.N.D.,熊本県
3rd style,Holic,765,PET4KI,熊本県,1196,PET4KI,熊本県,1686,GREEDY,熊本県
3rd style,era (nostalmix),825,PET4KI,熊本県,1017,IGU,熊本県,1460,GREEDY,熊本県
3rd style,Don't Stop!,762,PET4KI,熊本県,850,PET4KI,熊本県,903,PKR,熊本県
3rd style,CAN'T STOP FALLIN'IN LOVE,568,MUG1,熊本県,1240,Z.N.D.,熊本県,0,,未設定
4th style,Voltage (feat. Hidemaru),892,PET4KI,熊本県,1145,PET4KI,熊本県,1310,A.M.S.,熊本県
4th style,Under Construction,798,PET4KI,熊本県,985,PET4KI,熊本県,1152,GREEDY,熊本県
4th style,ULTRA HIGH-HEELS,746,PET4KI,熊本県,892,PET4KI,熊本県,992,GREEDY,熊本県
4th style,starmine,881,PET4KI,熊本県,1318,CLALA,熊本県,1573,GREEDY,熊本県
4th style,Nasty!,506,MOTI,熊本県,909,PET4KI,熊本県,1547,PKR,熊本県
