バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,685,DEJIKO,香港,989,OAO,香港,1139,GABAGE,香港
1st&substream,RUGGED ASH,357,OAO,香港,386,REASON,香港,1072,GABAGE,香港
1st&substream,R3,628,DRIVER,香港,702,HOSTC*,香港,878,PASTEL,香港
1st&substream,PARANOIA MAX～DIRTY MIX～,509,GTC?,香港,684,LYCOS,香港,1076,PASTEL,香港
1st&substream,Macho Gang,351,LYCOS,香港,1029,REFLUX,香港,1599,GABAGE,香港
1st&substream,KEEP ON MOVIN',191,HOSTC*,香港,240,GABAGE,香港,0,,未設定
1st&substream,GRADIUSIC CYBER,831,NOB,香港,934,DRIVER,香港,1160,FOOL!,香港
1st&substream,GENOM SCREAMS,399,DRIVER,香港,776,FOOL!,香港,1029,REFLUX,香港
1st&substream,GAMBOL,269,AYA*,香港,273,AYA*,香港,0,,未設定
1st&substream,Dr.LOVE,388,LYCOS,香港,490,TAK,香港,572,HOSTC*,香港
1st&substream,deep in you,455,REASON,香港,483,LYCOS,香港,654,GABAGE,香港
1st&substream,BRILLIANT 2U,462,R35,香港,611,TAK,香港,710,TMHGKG,香港
1st&substream,5.1.1.,198,LYCOS,香港,940,KIDNEY,香港,1531,PASTEL,香港
1st&substream,22DUNK,502,KIDNEY,香港,578,EVEDRK,香港,652,GABAGE,香港
2nd style,SP-TRIP MACHINE(for beatmania II),466,CN.ADR,香港,624,GABAGE,香港,638,REFLUX,香港
2nd style,PUT YOUR FAITH IN ME(for beatmania II),549,DRIVER,香港,857,GABAGE,香港,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),848,KIDNEY,香港,1075,TMHGKG,香港,1191,GABAGE,香港
2nd style,I Was The One,523,HOSTC*,香港,625,OAO,香港,676,REFLUX,香港
2nd style,Electro Tuned(the SubS mix),712,TAK,香港,857,EVEDRK,香港,1042,GABAGE,香港
2nd style,Digital MinD(A/T Libra mix),639,CALFOY,香港,1001,DRIVER,香港,1092,PASTEL,香港
2nd style,Dancin' Into The Night,417,BOB,香港,461,REFLUX,香港,0,,未設定
2nd style,.59,687,DRIVER,香港,964,SELI.B,香港,1129,GABAGE,香港
3rd style,THE SAFARI,1193,REFLUX,香港,1748,GABAGE,香港,0,,未設定
3rd style,Tangerine Stream,280,BOB,香港,392,HOSTC*,香港,0,,未設定
3rd style,Skyscraper,687,REASON,香港,1132,NOB,香港,1204,REFLUX,香港
3rd style,Schlagwerk,646,NARI8,香港,1255,NOB,香港,1610,TMHGKG,香港
3rd style,REINCARNATION,810,REASON,香港,989,TMHGKG,香港,1241,GABAGE,香港
3rd style,R5,749,PASTEL,香港,1141,PASTEL,香港,1735,PASTEL,香港
3rd style,Presto,512,HI.ON9,香港,972,TMHGKG,香港,989,GABAGE,香港
3rd style,LEADING CYBER,614,GOUKI,香港,1193,PASTEL,香港,1239,FOOL!,香港
3rd style,Holic,760,NOB,香港,1169,EVEDRK,香港,1666,PASTEL,香港
3rd style,era (nostalmix),839,GABAGE,香港,1080,HOSTC*,香港,1495,LITTER,香港
3rd style,Don't Stop!,738,BOB,香港,849,GABAGE,香港,892,TMHGKG,香港
3rd style,CAN'T STOP FALLIN'IN LOVE,603,PASTEL,香港,1240,PASTEL,香港,0,,未設定
4th style,Voltage (feat. Hidemaru),,,,,,,,,
4th style,Under Construction,772,DRIVER,香港,878,GTC?,香港,1117,REFLUX,香港
4th style,ULTRA HIGH-HEELS,719,REASON,香港,810,REASON,香港,966,GABAGE,香港
4th style,starmine,846,DRIVER,香港,1373,LOK,香港,1560,PASTEL,香港
4th style,Nasty!,405,HEI,香港,804,YEE,香港,1479,REFLUX,香港
4th style,Mr.T.(take me higher),783,REASON,香港,987,REFLUX,香港,1695,REFLUX,香港
4th style,minimalian,475,REASON,香港,1063,REFLUX,香港,1372,SELI.B,香港
4th style,LOVE WILL・・・,511,GTC?,香港,724,REASON,香港,1445,PASTEL,香港
4th style,KAMIKAZE,984,OAO,香港,1446,REFLUX,香港,2267,GABAGE,香港
4th style,Jam&Marmalade,703,BB,香港,856,OAO,香港,978,REFLUX,香港
4th style,Hitch Hiker2,761,REASON,香港,1049,REASON,香港,1321,GABAGE,香港
4th style,HIGHER,500,RETINA,香港,881,REASON,香港,1266,PASTEL,香港
4th style,FLOWERS for ALBION,200,YGG,香港,422,GABAGE,香港,0,,未設定
4th style,era (step mix),975,KIDNEY,香港,1346,REFLUX,香港,1654,GABAGE,香港
4th style,empathy,715,DEJIKO,香港,1271,SX27,香港,1454,GABAGE,香港
4th style,DXY!,1125,DRIVER,香港,1774,REFLUX,香港,2224,GABAGE,香港
4th style,Clione,497,OAO,香港,889,OAO,香港,1601,PASTEL,香港
4th style,CHECKING YOU OUT,503,LYCOS,香港,871,GABAGE,香港,1272,LITTER,香港
4th style,Burnin' The Floor,566,BOB,香港,863,REASON,香港,1419,PASTEL,香港
4th style,Broken My Heart,840,DRIVER,香港,1419,XCHER*,香港,1788,PASTEL,香港
4th style,B4U,961,RETINA,香港,1491,REFLUX,香港,1958,LITTER,香港
4th style,ABSOLUTE,1251,EVEDRK,香港,1697,REFLUX,香港,2322,GABAGE,香港
4th style,250bpm,639,LYCOS,香港,966,SX27,香港,1380,GABAGE,香港
5th style,V,1250,HOSTC*,香港,2374,REFLUX,香港,2908,GABAGE,香港
5th style,THE SHINING POLARIS,924,OAO,香港,1258,OAO,香港,1555,PASTEL,香港
5th style,THE CUBE,611,KIBITZ,香港,1264,GABAGE,香港,1277,REFLUX,香港
5th style,sync,1068,GABAGE,香港,1868,REFLUX,香港,2352,GABAGE,香港
5th style,still my words,853,TAK,香港,1211,PASTEL,香港,0,,未設定
5th style,STILL IN MY HEART,880,LYCOS,香港,1266,FOOL!,香港,1878,GABAGE,香港
5th style,Spin the disc,732,REASON,香港,1008,DEJIKO,香港,1295,LITTER,香港
5th style,RISLIM,859,REASON,香港,1216,GABAGE,香港,0,,未設定
5th style,RIDE ON THE LIGHT (HI GREAT MIX),784,DEJIKO,香港,1065,GABAGE,香港,1706,GABAGE,香港
5th style,Regulus,960,EVEDRK,香港,1432,REFLUX,香港,1604,ZZYZX,香港
5th style,Real,1005,REASON,香港,1528,ZZYZX,香港,1777,GABAGE,香港
5th style,Radical Faith,851,MAKI!-,香港,1374,TAK,香港,1267,GABAGE,香港
5th style,QQQ,1130,REASON,香港,1871,GABAGE,香港,2139,GABAGE,香港
5th style,outer wall,835,LYCOS,香港,1245,XCHER*,香港,1709,PASTEL,香港
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,708,REASON,香港,942,HAYATO,香港,1100,GABAGE,香港
5th style,Kiss me all night long,770,DEJIKO,香港,1127,TAK,香港,1451,PASTEL,香港
5th style,in my eyes,935,BOB,香港,1329,GTC?,香港,1552,PASTEL,香港
5th style,Abyss,1260,GABAGE,香港,1601,HOSTC*,香港,1847,PASTEL,香港
6th style,電人イェーガーのテーマ(Theme of DENJIN J),941,MATT.K,香港,1472,TMHGKG,香港,0,,未設定
6th style,こっちを向いてよ,553,ANDRE,香港,1148,REASON,香港,1309,SX27,香港
6th style,Take It Easy,1420,HI.ON9,香港,2305,REFLUX,香港,2462,GABAGE,香港
6th style,Summer Vacation(CU mix),1182,DRIVER,香港,1795,GABAGE,香港,0,,未設定
6th style,route 80s,837,EVEDRK,香港,1103,6AR,香港,1492,GABAGE,香港
6th style,rottel-da-sun,714,REASON,香港,1323,V,香港,1839,HOSTC*,香港
6th style,NEMESIS,919,TAK,香港,1521,REFLUX,香港,1816,GABAGE,香港
