バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,760,RIS.CT,三重県,976,FIA,三重県,1138,HAGGER,三重県
1st&substream,RUGGED ASH,369,CIRNO9,三重県,396,TREIZE,三重県,1061,H-NYAN,三重県
1st&substream,R3,647,RIS.CT,三重県,710,IKIT,三重県,889,HAGGER,三重県
1st&substream,PARANOIA MAX～DIRTY MIX～,548,RIS.CT,三重県,707,IKIT,三重県,1083,H-NYAN,三重県
1st&substream,Macho Gang,351,796,三重県,1050,RIS.CT,三重県,1645,4,三重県
1st&substream,KEEP ON MOVIN',191,MASSH.,三重県,242,HAGGER,三重県,,,
1st&substream,GRADIUSIC CYBER,868,RIS.CT,三重県,959,FIA,三重県,1179,HAGGER,三重県
1st&substream,GENOM SCREAMS,380,IIDX23,三重県,734,SHANA,三重県,1052,FRIP,三重県
1st&substream,GAMBOL,274,CIRNO9,三重県,274,CIRNO9,三重県,,,
1st&substream,Dr.LOVE,388,MASSH.,三重県,517,HAGGER,三重県,572,HAGGER,三重県
1st&substream,deep in you,477,5NE5,三重県,497,5NE5,三重県,653,.32,三重県
1st&substream,BRILLIANT 2U,461,REMAKO,三重県,644,RIS.CT,三重県,717,HAGGER,三重県
1st&substream,5.1.1.,195,.FLRD,三重県,1016,H-NYAN,三重県,1558,H-NYAN,三重県
1st&substream,22DUNK,506,5NE5,三重県,604,NKMR.,三重県,645,HAGGER,三重県
2nd style,SP-TRIP MACHINE(for beatmania II),493,RIS.CT,三重県,614,RIS.CT,三重県,644,H-NYAN,三重県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),566,RIS.CT,三重県,851,HAGGER,三重県,,,
2nd style,Indigo Vision(full flavour hide around mix),843,RIS.CT,三重県,1036,IKIT,三重県,1201,4,三重県
2nd style,I Was The One,470,ISENO,三重県,638,RIS.CT,三重県,685,9RAZU4,三重県
2nd style,Electro Tuned(the SubS mix),755,5NE5,三重県,924,IKIT,三重県,1066,HAGGER,三重県
2nd style,Digital MinD(A/T Libra mix),724,RIS.CT,三重県,1001,IKIT,三重県,1109,HAGGER,三重県
2nd style,Dancin' Into The Night,416,QUERY,三重県,464,HAGGER,三重県,,,
2nd style,.59,694,RIS.CT,三重県,966,FIA,三重県,1133,DOSEI3,三重県
3rd style,THE SAFARI,1210,H-NYAN,三重県,1741,4,三重県,,,
3rd style,Tangerine Stream,263,GRAM,三重県,395,HAGGER,三重県,,,
3rd style,Skyscraper,732,RIS.CT,三重県,1148,IKIT,三重県,1236,HAGGER,三重県
3rd style,Schlagwerk,808,RIS.CT,三重県,1274,9RAZU4,三重県,1669,4,三重県
3rd style,REINCARNATION,826,RIS.CT,三重県,996,IKIT,三重県,1246,HAGGER,三重県
3rd style,R5,758,RIS.CT,三重県,1168,H-NYAN,三重県,1765,4,三重県
3rd style,Presto,533,RIS.CT,三重県,940,IKIT,三重県,994,HAGGER,三重県
3rd style,LEADING CYBER,842,RIS.CT,三重県,1124,SHANA,三重県,1241,RIS.CT,三重県
