バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,744,JARO.,長崎県,946,ABABA,長崎県,1129,JARO.,長崎県
1st&substream,RUGGED ASH,369,KYOU**,長崎県,400,KYOU**,長崎県,1069,KYOU**,長崎県
1st&substream,R3,615,BMKYUN,長崎県,663,BMKYUN,長崎県,885,HEIPOP,長崎県
1st&substream,PARANOIA MAX～DIRTY MIX～,534,BMKYUN,長崎県,714,BMKYUN,長崎県,1079,HEIPOP,長崎県
1st&substream,Macho Gang,370,BMKYUN,長崎県,949,G3BAR3,長崎県,1566,NAYU,長崎県
1st&substream,KEEP ON MOVIN',187,BMKYUN,長崎県,241,KYOU**,長崎県,,,
1st&substream,GRADIUSIC CYBER,733,ES,長崎県,928,LOW.S,長崎県,1155,KYOU**,長崎県
1st&substream,GENOM SCREAMS,407,BMKYUN,長崎県,762,MER,長崎県,1046,HEIPOP,長崎県
1st&substream,GAMBOL,270,BMKYUN,長崎県,272,KYOU**,長崎県,,,
1st&substream,Dr.LOVE,397,BMKYUN,長崎県,502,BMKYUN,長崎県,572,STEAK,長崎県
1st&substream,deep in you,476,BMKYUN,長崎県,468,BMKYUN,長崎県,652,HEIPOP,長崎県
1st&substream,BRILLIANT 2U,514,BMKYUN,長崎県,617,G,長崎県,707,HEIPOP,長崎県
1st&substream,5.1.1.,194,BMKYUN,長崎県,963,G,長崎県,1532,ZANG-F,長崎県
1st&substream,22DUNK,495,BMKYUN,長崎県,567,404,長崎県,641,HEIPOP,長崎県
2nd style,SP-TRIP MACHINE(for beatmania II),493,BMKYUN,長崎県,614,HEIPOP,長崎県,638,HEIPOP,長崎県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),555,BMKYUN,長崎県,839,HEIPOP,長崎県,,,
