バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,752,MARIMO,宮城県,1020,H*PORN,宮城県,1147,KEEL,宮城県
1st&substream,RUGGED ASH,367,MARIMO,宮城県,396,MARIMO,宮城県,1088,SSSSSS,宮城県
1st&substream,R3,653,MARIMO,宮城県,727,EBI,宮城県,899,SSSSSS,宮城県
1st&substream,PARANOIA MAX～DIRTY MIX～,545,MARIMO,宮城県,727,MARIMO,宮城県,1104,SSSSSS,宮城県
1st&substream,Macho Gang,369,MARIMO,宮城県,980,2$,宮城県,1607,KEEL,宮城県
1st&substream,KEEP ON MOVIN',193,MARIMO,宮城県,241,YULI,宮城県,0,,未設定
1st&substream,GRADIUSIC CYBER,842,MARIMO,宮城県,955,MARIMO,宮城県,1198,KEEL,宮城県
1st&substream,GENOM SCREAMS,414,MARIMO,宮城県,796,MARIMO,宮城県,1064,SSSSSS,宮城県
1st&substream,GAMBOL,274,MARIMO,宮城県,274,UDON-G,宮城県,0,,未設定
1st&substream,Dr.LOVE,401,MARIMO,宮城県,510,MARIMO,宮城県,571,KEEL,宮城県
1st&substream,deep in you,486,MARIMO,宮城県,488,MARIMO,宮城県,660,KEEL,宮城県
1st&substream,BRILLIANT 2U,531,MARIMO,宮城県,650,MARIMO,宮城県,722,SSSSSS,宮城県
1st&substream,5.1.1.,197,MARIMO,宮城県,997,MARIMO,宮城県,1560,TEAR.S,宮城県
1st&substream,22DUNK,512,MARIMO,宮城県,615,MARIMO,宮城県,642,KEEL,宮城県
2nd style,SP-TRIP MACHINE(for beatmania II),502,MARIMO,宮城県,617,MARIMO,宮城県,647,ERROR,宮城県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),567,KAZANE,宮城県,854,KEEL,宮城県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),859,MARIMO,宮城県,1062,MARIMO,宮城県,1217,KEEL,宮城県
2nd style,I Was The One,534,RYU215,宮城県,635,MARIMO,宮城県,694,KEEL,宮城県
2nd style,Electro Tuned(the SubS mix),756,MARIMO,宮城県,924,MARIMO,宮城県,1058,KEEL,宮城県
2nd style,Digital MinD(A/T Libra mix),723,MARIMO,宮城県,1018,MARIMO,宮城県,1128,SSSSSS,宮城県
2nd style,Dancin' Into The Night,426,MARIMO,宮城県,461,YULI,宮城県,0,,未設定
