バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,753,W,兵庫県,1021,LAKIA,兵庫県,1133,YYY,兵庫県
1st&substream,RUGGED ASH,365,VABO,兵庫県,402,HIDERI,兵庫県,1093,BBC,兵庫県
1st&substream,R3,633,HIZRO*,兵庫県,710,----.-,兵庫県,900,BBC,兵庫県
1st&substream,PARANOIA MAX～DIRTY MIX～,515,GAPPOI,兵庫県,714,LAKIA,兵庫県,1105,YYY,兵庫県
1st&substream,Macho Gang,364,GUMI,兵庫県,1056,LAKIA,兵庫県,1598,YYY,兵庫県
1st&substream,KEEP ON MOVIN',187,HEREN.,兵庫県,244,YYY,兵庫県,0,,未設定
1st&substream,GRADIUSIC CYBER,845,3SHITA,兵庫県,971,HIDERI,兵庫県,1191,BBC,兵庫県
1st&substream,GENOM SCREAMS,396,SUNA,兵庫県,794,LAKIA,兵庫県,1069,YYY,兵庫県
1st&substream,GAMBOL,271,YORIKO,兵庫県,274,YYY,兵庫県,0,,未設定
1st&substream,Dr.LOVE,395,GUMI,兵庫県,506,----.-,兵庫県,576,STREAM,兵庫県
1st&substream,deep in you,462,MOCHI,兵庫県,500,HIDERI,兵庫県,655,BBC,兵庫県
1st&substream,BRILLIANT 2U,511,IIDX24,兵庫県,628,LAKIA,兵庫県,712,YYY,兵庫県
1st&substream,5.1.1.,196,----.-,兵庫県,1002,HIDERI,兵庫県,1560,YYY,兵庫県
1st&substream,22DUNK,500,MOCHI,兵庫県,635,HIDERI,兵庫県,653,STREAM,兵庫県
2nd style,SP-TRIP MACHINE(for beatmania II),474,ENE*,兵庫県,605,LAKIA,兵庫県,643,YYY,兵庫県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),512,5738ED,兵庫県,861,BBC,兵庫県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),824,R.WEIS,兵庫県,1090,----.-,兵庫県,1213,YYY,兵庫県
2nd style,I Was The One,532,TASO2,兵庫県,628,LAKIA,兵庫県,687,HIDERI,兵庫県
2nd style,Electro Tuned(the SubS mix),714,M4R!3*,兵庫県,927,LAKIA,兵庫県,1060,YYY,兵庫県
2nd style,Digital MinD(A/T Libra mix),697,R.WEIS,兵庫県,1043,LAKIA,兵庫県,1120,YYY,兵庫県
2nd style,Dancin' Into The Night,419,TASO2,兵庫県,467,YYY,兵庫県,0,,未設定
2nd style,.59,691,NANON,兵庫県,974,LAKIA,兵庫県,1145,BBC,兵庫県
3rd style,THE SAFARI,1180,NANON,兵庫県,1756,YYY,兵庫県,0,,未設定
3rd style,Tangerine Stream,274,NERV,兵庫県,390,YYY,兵庫県,0,,未設定
3rd style,Skyscraper,685,4MA82,兵庫県,1173,HIDERI,兵庫県,1245,BBC,兵庫県
