バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,770,T.T,和歌山県,969,VIET7M,和歌山県,1108,T.T,和歌山県
1st&substream,RUGGED ASH,288,YUKINA,和歌山県,322,TAC,和歌山県,1068,RAD-W*,和歌山県
1st&substream,R3,638,T.T,和歌山県,709,T.T,和歌山県,876,RAD-W*,和歌山県
1st&substream,PARANOIA MAX～DIRTY MIX～,535,VIET7M,和歌山県,612,ZCC,和歌山県,1082,RAD-W*,和歌山県
1st&substream,Macho Gang,320,SOUKA,和歌山県,950,MONOMI,和歌山県,1609,IRM,和歌山県
1st&substream,KEEP ON MOVIN',186,KARORU,和歌山県,238,T.T,和歌山県,0,,未設定
1st&substream,GRADIUSIC CYBER,836,T.T,和歌山県,848,OHATEN,和歌山県,1187,RAD-W*,和歌山県
1st&substream,GENOM SCREAMS,376,XYBUR,和歌山県,459,YRK0,和歌山県,1055,MYZ,和歌山県
1st&substream,GAMBOL,271,T.T,和歌山県,270,RAD-W*,和歌山県,0,,未設定
1st&substream,Dr.LOVE,395,T.T,和歌山県,437,FIRENE,和歌山県,568,RAD-W*,和歌山県
1st&substream,deep in you,441,KAGURA,和歌山県,497,T.T,和歌山県,650,RAD-W*,和歌山県
1st&substream,BRILLIANT 2U,509,ALLEN,和歌山県,607,KAGURA,和歌山県,712,RAD-W*,和歌山県
1st&substream,5.1.1.,196,T.T,和歌山県,919,*TA$UQ,和歌山県,1555,MYZ,和歌山県
1st&substream,22DUNK,389,KAGURA,和歌山県,575,ALLEN,和歌山県,637,RAD-W*,和歌山県
2nd style,SP-TRIP MACHINE(for beatmania II),475,L.E.N.,和歌山県,546,OHATEN,和歌山県,635,MOBE,和歌山県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),294,JAKO**,和歌山県,837,RAD-W*,和歌山県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),861,T.T,和歌山県,1048,VIET7M,和歌山県,1211,MYZ,和歌山県
2nd style,I Was The One,533,T.T,和歌山県,628,T.T,和歌山県,689,RAD-W*,和歌山県
2nd style,Electro Tuned(the SubS mix),539,TAC,和歌山県,896,VIET7M,和歌山県,1032,RAD-W*,和歌山県
2nd style,Digital MinD(A/T Libra mix),714,T.T,和歌山県,1013,T.T,和歌山県,1102,RAD-W*,和歌山県
2nd style,Dancin' Into The Night,425,T.T,和歌山県,457,RAD-W*,和歌山県,0,,未設定
2nd style,.59,133,IIDX24,和歌山県,915,R.I.P.,和歌山県,1129,RAD-W*,和歌山県
3rd style,THE SAFARI,1172,MOBE,和歌山県,1741,MYZ,和歌山県,0,,未設定
3rd style,Tangerine Stream,272,T.T,和歌山県,391,RAD-W*,和歌山県,0,,未設定
3rd style,Skyscraper,705,T.T,和歌山県,935,NAIBUS,和歌山県,1203,RAD-W*,和歌山県
3rd style,Schlagwerk,812,T.T,和歌山県,1246,T.T,和歌山県,1627,CRASS,和歌山県
3rd style,REINCARNATION,831,T.T,和歌山県,926,VIET7M,和歌山県,1227,RAD-W*,和歌山県
3rd style,R5,740,VIET7M,和歌山県,1059,ABIDY,和歌山県,1736,RAD-W*,和歌山県
3rd style,Presto,520,T.T,和歌山県,968,T.T,和歌山県,1000,MYZ,和歌山県
3rd style,LEADING CYBER,432,YUKINA,和歌山県,974,774,和歌山県,1214,T.T,和歌山県
3rd style,Holic,754,T.T,和歌山県,1147,T.T,和歌山県,1657,MYZ,和歌山県
3rd style,era (nostalmix),809,VIET7M,和歌山県,999,ABIDY,和歌山県,1440,CRASS,和歌山県
3rd style,Don't Stop!,759,T.T,和歌山県,721,KAGURA,和歌山県,893,Q-NO,和歌山県
3rd style,CAN'T STOP FALLIN'IN LOVE,386,HYOU,和歌山県,1228,RAD-W*,和歌山県,0,,未設定
4th style,Voltage (feat. Hidemaru),847,VIET7M,和歌山県,1134,VIET7M,和歌山県,1296,GIGANT,和歌山県
4th style,ULTRA HIGH-HEELS,678,KARORU,和歌山県,880,VIET7M,和歌山県,965,RAD-W*,和歌山県
4th style,SWEET LAB,537,T.T,和歌山県,935,KAMO?,和歌山県,1317,GIGANT,和歌山県
4th style,starmine,867,T.T,和歌山県,1363,MOBE,和歌山県,1575,MYZ,和歌山県
4th style,Nasty!,565,T.T,和歌山県,0,,未設定,1469,MOBE,和歌山県
4th style,Mr.T.(take me higher),366,NERU,和歌山県,984,T.T,和歌山県,1738,MYZ,和歌山県
4th style,minimalian,519,ASDC,和歌山県,1016,T.T,和歌山県,1344,RAD-W*,和歌山県
4th style,LOVE WILL・・・,528,T.T,和歌山県,752,T.T,和歌山県,1445,RAD-W*,和歌山県
4th style,KAMIKAZE,999,T.T,和歌山県,1413,T.T,和歌山県,2254,MYZ,和歌山県
4th style,Jam&Marmalade,724,HAEON,和歌山県,743,KAGURA,和歌山県,995,IRM,和歌山県
4th style,Hitch Hiker2,0,,未設定,1135,T.T,和歌山県,1279,RAD-W*,和歌山県
4th style,HIGHER,359,YUKINA,和歌山県,576,TAROCH,和歌山県,1269,MYZ,和歌山県
4th style,FLOWERS for ALBION,199,AKO,和歌山県,422,T.T,和歌山県,0,,未設定
4th style,era (step mix),1054,T.T,和歌山県,1255,NAO,和歌山県,1614,RAD-W*,和歌山県
4th style,empathy,791,VIET7M,和歌山県,1257,VIET7M,和歌山県,1418,CRASS,和歌山県
4th style,DXY!,940,52149,和歌山県,1822,*TA$UQ,和歌山県,2200,GIGANT,和歌山県
4th style,Clione†,0,,未設定,0,,未設定,2024,RAD-W*,和歌山県
4th style,Clione,517,T.T,和歌山県,913,VIET7M,和歌山県,1572,RAITO.,和歌山県
4th style,CHECKING YOU OUT,604,T.T,和歌山県,710,VIET7M,和歌山県,1294,GIGANT,和歌山県
4th style,Burnin' The Floor,311,YUKINA,和歌山県,927,T.T,和歌山県,1422,RAD-W*,和歌山県
4th style,Broken My Heart,902,T.T,和歌山県,1409,T.T,和歌山県,1800,MYZ,和歌山県
4th style,B4U,1021,T.T,和歌山県,1467,Q-NO,和歌山県,1923,CRASS,和歌山県
4th style,ABSOLUTE,920,AKEYAN,和歌山県,1756,T.T,和歌山県,2331,MYZ,和歌山県
4th style,250bpm,658,T.T,和歌山県,729,SMUR93,和歌山県,1358,IRM,和歌山県
5th style,V,1258,T.T,和歌山県,2303,T.T,和歌山県,2927,T.S.M,和歌山県
5th style,THE SHINING POLARIS,921,VIET7M,和歌山県,1249,VIET7M,和歌山県,1549,RAD-W*,和歌山県
5th style,THE CUBE,703,T.T,和歌山県,1067,ZZZ,和歌山県,1334,MOBE,和歌山県
5th style,sync,956,MALICE,和歌山県,1795,T.T,和歌山県,2282,SUSO,和歌山県
5th style,still my words,878,VIET7M,和歌山県,1200,T.T,和歌山県,0,,未設定
5th style,STILL IN MY HEART,987,VIET7M,和歌山県,1292,VIET7M,和歌山県,1892,GIGANT,和歌山県
5th style,Spin the disc,785,T.T,和歌山県,1234,VIET7M,和歌山県,1317,MYZ,和歌山県
5th style,RISLIM,0,,未設定,1189,RAD-W*,和歌山県,0,,未設定
5th style,RIDE ON THE LIGHT (HI GREAT MIX) †,0,,未設定,0,,未設定,1670,DARUMA,和歌山県
5th style,RIDE ON THE LIGHT (HI GREAT MIX),860,T.T,和歌山県,1037,VIET7M,和歌山県,1697,MYZ,和歌山県
5th style,Regulus,626,52149,和歌山県,1421,Q-NO,和歌山県,1603,RAD-W*,和歌山県
5th style,Real,1048,VIET7M,和歌山県,1601,MOBE,和歌山県,1696,SUSO,和歌山県
5th style,Radical Faith,1136,VIET7M,和歌山県,1418,T.T,和歌山県,1263,RAD-W*,和歌山県
5th style,QQQ,1202,VIET7M,和歌山県,1793,T.T,和歌山県,2129,*TA$UQ,和歌山県
5th style,outer wall,860,VIET7M,和歌山県,1125,GOTOKO,和歌山県,1726,GIGANT,和歌山県
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,733,T.T,和歌山県,915,VIET7M,和歌山県,1114,*TA$UQ,和歌山県
5th style,Kiss me all night long,878,VIET7M,和歌山県,1100,HAEON,和歌山県,1424,MOBE,和歌山県
5th style,in my eyes,911,VIET7M,和歌山県,1246,HAEON,和歌山県,1528,RAD-W*,和歌山県
5th style,Abyss,1241,T.T,和歌山県,1553,T.T,和歌山県,1819,RAD-W*,和歌山県
6th style,電人イェーガーのテーマ(Theme of DENJIN J),1075,T.T,和歌山県,1502,RAD-W*,和歌山県,0,,未設定
6th style,こっちを向いてよ,806,T.T,和歌山県,976,MALICE,和歌山県,1346,IRM,和歌山県
6th style,Take It Easy,973,TAROCH,和歌山県,2142,ALLEN,和歌山県,2431,RAD-W*,和歌山県
6th style,Summer Vacation(CU mix),1075,XYBUR,和歌山県,1732,RAD-W*,和歌山県,0,,未設定
6th style,SOMETHING WONDERFUL,489,NERU,和歌山県,1192,L.E.N.,和歌山県,1961,MYZ,和歌山県
6th style,route 80s,732,KAGURA,和歌山県,1016,HAEON,和歌山県,1447,RAD-W*,和歌山県
6th style,rottel-da-sun,752,VIET7M,和歌山県,1324,MOBE,和歌山県,1815,RAD-W*,和歌山県
6th style,NEMESIS,936,VIET7M,和歌山県,1426,T.T,和歌山県,1761,RAD-W*,和歌山県
6th style,Linus,927,T.T,和歌山県,1472,Q-NO,和歌山県,2104,RAD-W*,和歌山県
6th style,G2,1349,VIET7M,和歌山県,1795,GIGANT,和歌山県,2239,GIGANT,和歌山県
6th style,Frozen Ray (original mix),1003,52149,和歌山県,1661,Q-NO,和歌山県,1777,MYZ,和歌山県
6th style,Free Style,869,T.T,和歌山県,521,YRK0,和歌山県,1244,Q-NO,和歌山県
6th style,fly through the night,876,T.T,和歌山県,1237,VIET7M,和歌山県,1639,CRASS,和歌山県
6th style,DIVE ～INTO YOUR HEART～,1231,VIET7M,和歌山県,1708,T.T,和歌山県,2058,MYZ,和歌山県
6th style,Colors (radio edit),1020,52149,和歌山県,1834,T.T,和歌山県,2338,MYZ,和歌山県
6th style,Buffalo,958,T.T,和歌山県,1345,VIET7M,和歌山県,1778,IRM,和歌山県
6th style,Blueberry Stream,421,YUKINA,和歌山県,1370,VIET7M,和歌山県,1584,RAD-W*,和歌山県
6th style,BALLAD FOR YOU～想いの雨～,583,T.T,和歌山県,744,VIET7M,和歌山県,1060,RAD-W*,和歌山県
6th style,"19,November",1052,VIET7M,和歌山県,1389,T.T,和歌山県,1714,T.T,和歌山県
7th style,革命,585,52149,和歌山県,1834,T.T,和歌山県,2180,RAD-W*,和歌山県
7th style,ZERO-ONE,417,YUKINA,和歌山県,1626,Q-NO,和歌山県,2143,CRASS,和歌山県
7th style,traces,1457,T.T,和歌山県,1856,MOBE,和歌山県,2110,MYZ,和歌山県
7th style,Tomorrow Perfume,829,52149,和歌山県,1934,GIGANT,和歌山県,2057,MYZ,和歌山県
7th style,stoic,1449,SOMA,和歌山県,2220,Q-NO,和歌山県,2401,RAD-W*,和歌山県
7th style,Spica,549,VIET7M,和歌山県,1308,VIET7M,和歌山県,2123,IRM,和歌山県
7th style,MAX 300,839,MA-04A,和歌山県,1828,DARUMA,和歌山県,0,,未設定
7th style,Marmalade Reverie,405,NERU,和歌山県,977,823,和歌山県,1248,RAD-W*,和歌山県
7th style,Love Me Do,1024,VIET7M,和歌山県,1651,T.T,和歌山県,2048,RAD-W*,和歌山県
7th style,Let the Snow Paint Me,615,AKEYAN,和歌山県,1056,SUSO,和歌山県,1214,RAD-W*,和歌山県
7th style,Last Message,970,VIET7M,和歌山県,1350,GIGANT,和歌山県,1570,MYZ,和歌山県
7th style,Happy Wedding,0,,未設定,1678,*TA$UQ,和歌山県,1790,IRM,和歌山県
7th style,Glorious Days,506,T.T,和歌山県,736,VIET7M,和歌山県,891,MYZ,和歌山県
7th style,foreplay,674,T.T,和歌山県,920,KAGURA,和歌山県,1263,MOBE,和歌山県
7th style,DESTINY,1047,T.T,和歌山県,1253,ASDC,和歌山県,1830,MYZ,和歌山県
7th style,D2R,944,T.T,和歌山県,1204,*TA$UQ,和歌山県,1560,MOBE,和歌山県
7th style,Cheer Train,859,VIET7M,和歌山県,785,BY-SK,和歌山県,1655,RAD-W*,和歌山県
7th style,Burning Heat! (Full Option Mix),687,T.T,和歌山県,881,VIET7M,和歌山県,1429,RAD-W*,和歌山県
7th style,Bad Routine,1000,T.T,和歌山県,1422,GIGANT,和歌山県,1898,MYZ,和歌山県
7th style,AVE DE RAPINA,1321,T.T,和歌山県,1619,T.T,和歌山県,1752,RAD-W*,和歌山県
7th style,A,1232,T.T,和歌山県,2125,*TA$UQ,和歌山県,2366,*TA$UQ,和歌山県
8th style,蒼い衝動,871,VIET7M,和歌山県,1232,VIET7M,和歌山県,1519,823,和歌山県
8th style,桜,930,VIET7M,和歌山県,1427,T.T,和歌山県,1945,CRASS,和歌山県
