バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,652,CARRY,島根県,849,KIRAX2,島根県,1040,9610,島根県
1st&substream,RUGGED ASH,357,YUA,島根県,98,GAYUU,島根県,963,YUA,島根県
1st&substream,R3,620,9610,島根県,672,YUA,島根県,851,ZLUM*K,島根県
1st&substream,PARANOIA MAX～DIRTY MIX～,436,CARRY,島根県,658,HYPER,島根県,963,YUA,島根県
1st&substream,Macho Gang,354,YUA,島根県,1013,9610,島根県,1390,UMEBOC,島根県
1st&substream,KEEP ON MOVIN',152,ARUMU-,島根県,233,YUA,島根県,0,,未設定
1st&substream,GRADIUSIC CYBER,774,CARRY,島根県,858,CARRY,島根県,1069,YUA,島根県
1st&substream,GENOM SCREAMS,348,DAKEN,島根県,511,MOTIDD,島根県,1029,3GOKUN,島根県
1st&substream,GAMBOL,250,YUA,島根県,245,9610,島根県,0,,未設定
1st&substream,Dr.LOVE,364,CLMS2,島根県,470,CLMS2,島根県,546,9610,島根県
1st&substream,deep in you,429,BO$$,島根県,225,SUKEBE,島根県,599,YUA,島根県
1st&substream,BRILLIANT 2U,435,CARRY,島根県,348,KASO,島根県,670,YUA,島根県
1st&substream,5.1.1.,179,TAKANA,島根県,918,CARRY,島根県,1460,Z*,島根県
1st&substream,22DUNK,455,CARRY,島根県,554,CARRY,島根県,618,9610,島根県
2nd style,SP-TRIP MACHINE(for beatmania II),489,YUA,島根県,357,NOIZE,島根県,613,UMEBOC,島根県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),547,YUA,島根県,810,ZLUM*K,島根県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),797,CARRY,島根県,718,SIJIMI,島根県,1080,YUA,島根県
2nd style,I Was The One,514,9610,島根県,570,HAYASE,島根県,659,YUA,島根県
2nd style,Electro Tuned(the SubS mix),590,CARRY,島根県,877,KIRAX2,島根県,964,YUA,島根県
2nd style,Digital MinD(A/T Libra mix),580,CARRY,島根県,776,NRT,島根県,1046,YUA,島根県
2nd style,Dancin' Into The Night,404,YUA,島根県,448,9610,島根県,0,,未設定
2nd style,.59,627,CARRY,島根県,846,RENJAQ,島根県,1068,9610,島根県
3rd style,THE SAFARI,1054,CARRY,島根県,1658,ZLUM*K,島根県,0,,未設定
3rd style,Tangerine Stream,255,PIYO,島根県,383,YUA,島根県,0,,未設定
3rd style,Skyscraper,617,CARRY,島根県,1132,9610,島根県,1082,HAL,島根県
3rd style,Schlagwerk,678,CARRY,島根県,1181,YUA,島根県,1537,LATIAS,島根県
3rd style,REINCARNATION,688,CARRY,島根県,905,K*N.SY,島根県,1154,YUA,島根県
3rd style,R5,676,LU.PSJ,島根県,1116,9610,島根県,1730,ZLUM*K,島根県
3rd style,Presto,469,MION48,島根県,878,9610,島根県,952,3GOKUN,島根県
3rd style,LEADING CYBER,787,CARRY,島根県,617,SIJIMI,島根県,1174,9610,島根県
