バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,727,B-TAI,熊本県,943,B-TAI,熊本県,1128,YM,熊本県
1st&substream,RUGGED ASH,363,YUDI,熊本県,397,31D,熊本県,1036,GALA,熊本県
1st&substream,R3,649,PET4KI,熊本県,722,PET4KI,熊本県,873,ZND-L,熊本県
1st&substream,PARANOIA MAX～DIRTY MIX～,526,EX250K,熊本県,711,EX250K,熊本県,1072,PUBG,熊本県
1st&substream,Macho Gang,358,31D,熊本県,932,YUDI,熊本県,1523,YM,熊本県
1st&substream,KEEP ON MOVIN',196,PET4KI,熊本県,236,BIFU-R,熊本県,0,,未設定
1st&substream,GRADIUSIC CYBER,813,WARI84,熊本県,920,YUDI,熊本県,1132,G.Y,熊本県
1st&substream,GENOM SCREAMS,396,YUDI,熊本県,742,NJ,熊本県,1044,G.Y,熊本県
1st&substream,GAMBOL,272,PET4KI,熊本県,271,PET4KI,熊本県,0,,未設定
1st&substream,Dr.LOVE,403,PET4KI,熊本県,485,YUDI,熊本県,568,P.K.R.,熊本県
1st&substream,deep in you,451,YUDI,熊本県,447,YUDI,熊本県,642,ZND-L,熊本県
1st&substream,BRILLIANT 2U,520,31D,熊本県,625,ZND-L,熊本県,704,PUBG,熊本県
1st&substream,5.1.1.,195,PET4KI,熊本県,939,NJ,熊本県,1533,PUBG,熊本県
1st&substream,22DUNK,478,YUDI,熊本県,591,YUDI,熊本県,635,.PATCH,熊本県
2nd style,SP-TRIP MACHINE(for beatmania II),479,YUDI,熊本県,574,YUDI,熊本県,641,WANIMA,熊本県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),546,EX250K,熊本県,832,BIFU-R,熊本県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),835,31D,熊本県,999,YUDI,熊本県,1177,PUBG,熊本県
2nd style,I Was The One,536,PET4KI,熊本県,623,31D,熊本県,675,BIFU-R,熊本県
2nd style,Electro Tuned(the SubS mix),717,YUDI,熊本県,873,YUDI,熊本県,1026,BIFU-R,熊本県
2nd style,Digital MinD(A/T Libra mix),694,31D,熊本県,963,YUDI,熊本県,1074,FLAME5,熊本県
2nd style,Dancin' Into The Night,427,PET4KI,熊本県,456,BIFU-R,熊本県,0,,未設定
2nd style,.59,674,YUDI,熊本県,944,NJ,熊本県,1130,PUBG,熊本県
3rd style,THE SAFARI,1117,EX250K,熊本県,1735,YM,熊本県,0,,未設定
3rd style,Tangerine Stream,276,PET4KI,熊本県,390,BIFU-R,熊本県,0,,未設定
3rd style,Skyscraper,682,DRACUL,熊本県,1096,KEEN!?,熊本県,1215,BIFU-R,熊本県
3rd style,Schlagwerk,766,YUDI,熊本県,1183,YUDI,熊本県,1622,.PATCH,熊本県
3rd style,REINCARNATION,802,YUDI,熊本県,971,31D,熊本県,1249,PUBG,熊本県
3rd style,R5,734,YUDI,熊本県,1102,31D,熊本県,1753,WANIMA,熊本県
3rd style,Presto,501,YUDI,熊本県,923,PC.WEB,熊本県,971,AAAAAA,熊本県
3rd style,LEADING CYBER,788,EX250K,熊本県,1100,YUDI,熊本県,1229,PUBG,熊本県
3rd style,Holic,714,YUDI,熊本県,1139,CLALA,熊本県,1663,Z.N.D.,熊本県
3rd style,era (nostalmix),791,YUDI,熊本県,987,KEEN!?,熊本県,1467,YM,熊本県
3rd style,Don't Stop!,736,YUDI,熊本県,810,YUDI,熊本県,887,BIFU-R,熊本県
3rd style,CAN'T STOP FALLIN'IN LOVE,580,YUDI,熊本県,1236,WANIMA,熊本県,0,,未設定
4th style,Voltage (feat. Hidemaru),839,YUDI,熊本県,1051,NJ,熊本県,1281,KARIQB,熊本県
4th style,ULTRA HIGH-HEELS,696,YUDI,熊本県,852,YUDI,熊本県,977,Z.N.D.,熊本県
4th style,SWEET LAB,528,UD0NGE,熊本県,939,UD0NGE,熊本県,1289,P.K.R.,熊本県
4th style,starmine,825,YUDI,熊本県,1284,BIFU-R,熊本県,1548,P.K.R.,熊本県
4th style,Nasty!,528,YUDI,熊本県,887,YUDI,熊本県,1515,PUBG,熊本県
4th style,Mr.T.(take me higher),819,31D,熊本県,967,NJ,熊本県,1666,.PATCH,熊本県
4th style,minimalian,522,YUDI,熊本県,1004,EX250K,熊本県,1376,PUBG,熊本県
4th style,LOVE WILL・・・,525,CLOCK,熊本県,714,31D,熊本県,1460,CHLOE*,熊本県
4th style,KAMIKAZE,968,EX250K,熊本県,1352,YUDI,熊本県,2242,PUBG,熊本県
