バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,324,SHINYA,愛媛県,1045,KA2ME4,愛媛県,1108,LEMON*,愛媛県
1st&substream,RUGGED ASH,346,TL2,愛媛県,402,KA2ME4,愛媛県,1063,KA2ME4,愛媛県
1st&substream,R3,344,MAKI!H,愛媛県,675,ROD-DS,愛媛県,881,KA2ME4,愛媛県
1st&substream,PARANOIA MAX～DIRTY MIX～,419,SAI,愛媛県,508,T-TLN,愛媛県,1069,KA2ME4,愛媛県
1st&substream,Macho Gang,353,GONTA#,愛媛県,908,1338KH,愛媛県,1568,AAAAAA,愛媛県
1st&substream,KEEP ON MOVIN',189,FJWR3.,愛媛県,238,HINA.S,愛媛県,0,,未設定
1st&substream,GRADIUSIC CYBER,680,TRASH,愛媛県,871,ZETTON,愛媛県,1165,KA2ME4,愛媛県
1st&substream,GENOM SCREAMS,236,KNIGHT,愛媛県,786,GYAREN,愛媛県,1055,45NYAN,愛媛県
1st&substream,GAMBOL,268,NOCHIN,愛媛県,267,HINA.S,愛媛県,0,,未設定
1st&substream,Dr.LOVE,371,COLPS*,愛媛県,469,PANNYA,愛媛県,569,HINA.S,愛媛県
1st&substream,deep in you,422,KA5ME,愛媛県,324,ERIWO,愛媛県,635,D!EBEN,愛媛県
1st&substream,BRILLIANT 2U,260,KNIGHT,愛媛県,471,TOMO,愛媛県,684,D!EBEN,愛媛県
1st&substream,5.1.1.,196,L#WIND,愛媛県,752,T-TLN,愛媛県,1546,KA2ME4,愛媛県
1st&substream,22DUNK,183,SOU,愛媛県,326,SHINYA,愛媛県,638,KA2ME4,愛媛県
2nd style,SP-TRIP MACHINE(for beatmania II),334,ZEET,愛媛県,590,TAKOSS,愛媛県,641,HINO.S,愛媛県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),430,BCCH,愛媛県,803,D!EBEN,愛媛県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),707,TRASH,愛媛県,833,D$ZERO,愛媛県,1181,AAAAAA,愛媛県
2nd style,I Was The One,472,TUKKO3,愛媛県,588,PANNYA,愛媛県,681,HINO.S,愛媛県
2nd style,Electro Tuned(the SubS mix),468,LOCO,愛媛県,757,D$ZERO,愛媛県,1040,HINO.S,愛媛県
2nd style,Digital MinD(A/T Libra mix),362,114514,愛媛県,788,D$ZERO,愛媛県,1096,KA2ME4,愛媛県
2nd style,Dancin' Into The Night,378,BCCH,愛媛県,446,NOCHIN,愛媛県,0,,未設定
2nd style,.59,574,PYONSU,愛媛県,965,MMMMMM,愛媛県,1054,172,愛媛県
3rd style,THE SAFARI,1060,1338KH,愛媛県,1744,ZO-SUI,愛媛県,0,,未設定
3rd style,Tangerine Stream,241,KYOBIQ,愛媛県,392,HINA.S,愛媛県,0,,未設定
3rd style,Skyscraper,426,SHINYA,愛媛県,1029,KA5ME,愛媛県,1211,KA2ME4,愛媛県
3rd style,Schlagwerk,734,AIR,愛媛県,1190,AIR,愛媛県,1644,HINO.S,愛媛県
3rd style,REINCARNATION,770,.,愛媛県,930,AMBASA,愛媛県,1244,HINO.S,愛媛県
3rd style,R5,665,BLACK,愛媛県,1033,KA5ME,愛媛県,1746,45NYAN,愛媛県
3rd style,Presto,410,TRASH,愛媛県,978,ZO-SUI,愛媛県,992,762,愛媛県
3rd style,LEADING CYBER,662,SECT.9,愛媛県,1079,ZETTON,愛媛県,1237,HINO.S,愛媛県
3rd style,Holic,518,INPEX,愛媛県,1072,HANECO,愛媛県,1642,KA2ME4,愛媛県
3rd style,era (nostalmix),824,762,愛媛県,1094,KA2ME4,愛媛県,1513,KA2ME4,愛媛県
3rd style,Don't Stop!,516,ERIWO,愛媛県,791,AMBASA,愛媛県,888,KA2ME4,愛媛県
3rd style,CAN'T STOP FALLIN'IN LOVE,345,YUUM,愛媛県,1195,HINA.S,愛媛県,0,,未設定
4th style,Voltage (feat. Hidemaru),912,AAAAAA,愛媛県,1122,LEMON*,愛媛県,1304,KA2ME4,愛媛県
4th style,ULTRA HIGH-HEELS,295,LOCO,愛媛県,507,INPEX,愛媛県,974,-KEN5-,愛媛県
4th style,SWEET LAB,481,OKOJYO,愛媛県,887,Q-S,愛媛県,1332,KA2ME4,愛媛県
4th style,starmine,720,BCCH,愛媛県,1311,ERISHA,愛媛県,1530,TAKA.,愛媛県
4th style,Nasty!,430,ERIWO,愛媛県,710,MIZUKI,愛媛県,1512,KA2ME4,愛媛県
4th style,Mr.T.(take me higher),356,FIZIKA,愛媛県,938,ZEXYU,愛媛県,1726,*PAPU*,愛媛県
4th style,minimalian,319,MKT-2,愛媛県,671,HEXIM,愛媛県,1366,KA2ME4,愛媛県
4th style,LOVE WILL・・・,524,TEN,愛媛県,595,U160,愛媛県,1449,KA2ME4,愛媛県
4th style,KAMIKAZE,935,AIR,愛媛県,1335,AIR,愛媛県,2270,45NYAN,愛媛県
4th style,Jam&Marmalade,571,BCCH,愛媛県,762,PANNYA,愛媛県,990,-KEN5-,愛媛県
4th style,Hitch Hiker2,679,BCCH,愛媛県,789,KRBY,愛媛県,1309,KA2ME4,愛媛県
4th style,HIGHER,391,MAKI!H,愛媛県,898,NOCHIN,愛媛県,1264,-KEN5-,愛媛県
4th style,FLOWERS for ALBION,229,ZESPRI,愛媛県,426,D!EBEN,愛媛県,0,,未設定
4th style,era (step mix),587,IIDX25,愛媛県,1367,762,愛媛県,1663,45NYAN,愛媛県
4th style,empathy,673,BCCH,愛媛県,1171,1338KH,愛媛県,1429,-KEN5-,愛媛県
4th style,DXY!,824,WES,愛媛県,1743,D!EBEN,愛媛県,2121,FJWR3.,愛媛県
4th style,Clione†,0,,未設定,0,,未設定,2121,ZO-SUI,愛媛県
4th style,Clione,465,BCCH,愛媛県,771,RSN!,愛媛県,1586,-KEN5-,愛媛県
4th style,CHECKING YOU OUT,625,284.,愛媛県,909,KA2ME4,愛媛県,1338,KA2ME4,愛媛県
4th style,Burnin' The Floor,376,MAKI!H,愛媛県,699,ERIWO,愛媛県,1412,KA2ME4,愛媛県
4th style,Broken My Heart,767,BCCH,愛媛県,1159,RSN!,愛媛県,1767,MMMMMM,愛媛県
4th style,B4U,729,SUZ,愛媛県,1410,IIDX25,愛媛県,1981,45NYAN,愛媛県
4th style,ABSOLUTE†,0,,未設定,0,,未設定,2648,ZO-SUI,愛媛県
4th style,ABSOLUTE,1296,FJWR3.,愛媛県,1722,HARUKI,愛媛県,2367,ZO-SUI,愛媛県
4th style,250bpm,299,OLIVIA,愛媛県,617,RSN!,愛媛県,1333,KA2ME4,愛媛県
5th style,V,1258,HINO.S,愛媛県,2423,FJWR3.,愛媛県,2936,45NYAN,愛媛県
5th style,THE SHINING POLARIS,730,BCCH,愛媛県,1142,1338KH,愛媛県,1566,-KEN5-,愛媛県
5th style,THE CUBE,601,BCCH,愛媛県,1238,HINO.S,愛媛県,1301,ZESPRI,愛媛県
5th style,sync,1045,LAPIS,愛媛県,1847,HINO.S,愛媛県,2323,KA2ME4,愛媛県
5th style,still my words,763,MIZUKI,愛媛県,1211,KA2ME4,愛媛県,0,,未設定
5th style,STILL IN MY HEART,898,KA5ME,愛媛県,1363,45NYAN,愛媛県,1866,-KEN5-,愛媛県
