バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,737,MAJAJA,台湾,1014,KS4728,台湾,1131,AQUARS,台湾
1st&substream,RUGGED ASH,357,SAGIRI,台湾,399,KS4728,台湾,1021,CAFEX,台湾
1st&substream,R3,413,AX,台湾,686,Y-L,台湾,868,FELI4A,台湾
1st&substream,PARANOIA MAX～DIRTY MIX～,483,DJHANK,台湾,732,KS4728,台湾,1073,FELI4A,台湾
1st&substream,Macho Gang,349,-BENNY,台湾,1021,KS4728,台湾,1579,LOKI,台湾
1st&substream,KEEP ON MOVIN',195,KS4728,台湾,240,TADA?,台湾,0,,未設定
1st&substream,GRADIUSIC CYBER,845,XG.GER,台湾,931,KS4728,台湾,1152,TOKO!,台湾
1st&substream,GENOM SCREAMS,380,KERO,台湾,764,KS4728,台湾,1034,CAFEX,台湾
1st&substream,GAMBOL,274,KS4728,台湾,274,KS4728,台湾,0,,未設定
1st&substream,Dr.LOVE,394,KS4728,台湾,508,KS4728,台湾,565,KS4728,台湾
1st&substream,deep in you,431,DEJAVU,台湾,498,KS4728,台湾,653,LOKI,台湾
1st&substream,BRILLIANT 2U,519,AKINA*,台湾,639,KS4728,台湾,707,KS4728,台湾
1st&substream,5.1.1.,197,KS4728,台湾,993,KS4728,台湾,1546,AQUARS,台湾
1st&substream,22DUNK,444,LY****,台湾,615,KS4728,台湾,614,WOOOOF,台湾
2nd style,SP-TRIP MACHINE(for beatmania II),341,URAN,台湾,618,KS4728,台湾,642,KS4728,台湾
2nd style,PUT YOUR FAITH IN ME(for beatmania II),546,DEJAVU,台湾,818,KS4728,台湾,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),828,MAJAJA,台湾,1079,AFN.-7,台湾,1176,☠,台湾
2nd style,I Was The One,537,KS4728,台湾,648,KS4728,台湾,675,KS4728,台湾
2nd style,Electro Tuned(the SubS mix),573,NEKO*,台湾,928,KS4728,台湾,1045,LOKI,台湾
2nd style,Digital MinD(A/T Libra mix),567,PSY,台湾,1029,KS4728,台湾,1088,TOKO!,台湾
2nd style,Dancin' Into The Night,416,NO.THX,台湾,451,Y-L,台湾,0,,未設定
2nd style,.59,675,KERO,台湾,983,KS4728,台湾,1114,AQUARS,台湾
3rd style,THE SAFARI,957,NEKO,台湾,1754,AQUARS,台湾,0,,未設定
3rd style,Tangerine Stream,281,KS4728,台湾,391,KS4728,台湾,0,,未設定
3rd style,Skyscraper,687,DEJAVU,台湾,1152,KS4728,台湾,1218,CAFEX,台湾
3rd style,Schlagwerk,718,SKE48,台湾,1272,KS4728,台湾,1623,CAFEX,台湾
3rd style,REINCARNATION,780,DEJAVU,台湾,1004,KS4728,台湾,1245,CAFEX,台湾
3rd style,R5,703,LEO,台湾,1138,KS4728,台湾,1743,AQUARS,台湾
3rd style,Presto,517,AKINA*,台湾,968,TADA?,台湾,965,HIPHOP,台湾
3rd style,LEADING CYBER,789,DEJAVU,台湾,1127,KS4728,台湾,1212,FELI4A,台湾
3rd style,Holic,740,AKINA*,台湾,1178,KS4728,台湾,1655,TADA?,台湾
3rd style,era (nostalmix),805,YOKO.H,台湾,1042,HIPHOP,台湾,1495,AQUARS,台湾
3rd style,Don't Stop!,624,SKE48,台湾,835,KS4728,台湾,890,KS4728,台湾
3rd style,CAN'T STOP FALLIN'IN LOVE,582,DEJAVU,台湾,1224,CAFEX,台湾,0,,未設定
4th style,Voltage (feat. Hidemaru),859,KAZARI,台湾,1096,KS4728,台湾,1293,LOKI,台湾
4th style,ULTRA HIGH-HEELS,740,DEJAVU,台湾,883,KS4728,台湾,960,KS4728,台湾
4th style,SWEET LAB,530,PPTP,台湾,922,CAFEX,台湾,1333,LOKI,台湾
4th style,starmine,708,SKE48,台湾,1325,KS4728,台湾,1510,EXPLOR,台湾
4th style,Nasty!,330,*-*,台湾,932,KS4728,台湾,1509,CORGIG,台湾
4th style,Mr.T.(take me higher),797,AKINA*,台湾,975,Y-L,台湾,1703,CAFEX,台湾
4th style,minimalian,519,DEJAVU,台湾,1064,KS4728,台湾,1367,CAFEX,台湾
4th style,LOVE WILL・・・,462,OZBDP,台湾,749,KS4728,台湾,1423,KAQ!,台湾
4th style,KAMIKAZE,968,DEJAVU,台湾,1444,KS4728,台湾,2243,AQUARS,台湾
4th style,Jam&Marmalade,719,DEJAVU,台湾,883,KS4728,台湾,965,FELI4A,台湾
4th style,Hitch Hiker2,768,DEJAVU,台湾,1133,KS4728,台湾,1287,CAFEX,台湾
4th style,HIGHER,524,KAQ!,台湾,922,KS4728,台湾,1255,TOKO!,台湾
4th style,FLOWERS for ALBION,234,AKINA*,台湾,426,LOKI,台湾,0,,未設定
4th style,era (step mix),898,PEPPA,台湾,1350,EXPLOR,台湾,1660,AQUARS,台湾
4th style,empathy,785,DEJAVU,台湾,1261,KS4728,台湾,1397,TADA?,台湾
4th style,DXY!,1127,ECHO.,台湾,1816,N!FU,台湾,2124,DEJAVU,台湾
4th style,Clione†,0,,未設定,0,,未設定,2135,AQUARS,台湾
4th style,Clione,473,KERO,台湾,924,KS4728,台湾,1596,LOKI,台湾
4th style,CHECKING YOU OUT,613,TOKO!,台湾,920,LOKI,台湾,1295,LOKI,台湾
4th style,Burnin' The Floor,366,PSY,台湾,920,KAQ!,台湾,1396,TOKO!,台湾
4th style,Broken My Heart,744,SKE48,台湾,1320,KS4728,台湾,1746,DEJAVU,台湾
4th style,B4U,889,NEKO,台湾,1451,KAQ!,台湾,1947,☠,台湾
4th style,ABSOLUTE†,0,,未設定,0,,未設定,2659,AQUARS,台湾
4th style,ABSOLUTE,1239,DEJAVU,台湾,1767,HIPHOP,台湾,2285,CORGIG,台湾
4th style,250bpm,526,RAKERS,台湾,976,KS4728,台湾,1335,TOKO!,台湾
5th style,V,1202,AKINA*,台湾,2425,TADA?,台湾,2933,AQUARS,台湾
5th style,THE SHINING POLARIS,650,RAKERS,台湾,1273,KS4728,台湾,1548,SQUARS,台湾
5th style,THE CUBE,713,DEJAVU,台湾,1191,KS4728,台湾,1296,EXPLOR,台湾
5th style,sync,1025,AKINA*,台湾,1779,NO.THX,台湾,2330,TADA?,台湾
5th style,still my words,796,PEPPA,台湾,1204,CAFEX,台湾,0,,未設定
5th style,STILL IN MY HEART,943,ECHO.,台湾,1291,KS4728,台湾,1873,LOKI,台湾
5th style,Spin the disc,733,ECHO.,台湾,1280,AQUARS,台湾,1296,CAFEX,台湾
5th style,RISLIM,599,SKE48,台湾,1207,AQUARS,台湾,0,,未設定
5th style,RIDE ON THE LIGHT (HI GREAT MIX) †,0,,未設定,0,,未設定,1801,AQUARS,台湾
5th style,RIDE ON THE LIGHT (HI GREAT MIX),851,AKINA*,台湾,1023,KS4728,台湾,1684,AQUARS,台湾
5th style,Regulus,955,PON-,台湾,1424,KS4728,台湾,1661,YQUARS,台湾
5th style,Real,819,PEPPA,台湾,1530,CORGIU,台湾,1785,DEJAVU,台湾
5th style,Radical Faith,1012,PEPPA,台湾,1416,KS4728,台湾,1262,KS4728,台湾
5th style,QQQ,1162,ECHO.,台湾,1790,EXPLOR,台湾,2108,R-RENO,台湾
5th style,outer wall,827,DEJAVU,台湾,1301,KS4728,台湾,1698,AQUARS,台湾
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,623,KUROMI,台湾,969,KS4728,台湾,1108,KS4728,台湾
5th style,in my eyes,924,AKINA*,台湾,1393,KS4728,台湾,1494,TOKO!,台湾
5th style,Abyss,1204,AKINA*,台湾,1583,TAMAGO,台湾,1848,AQUARS,台湾
6th style,電人イェーガーのテーマ(Theme of DENJIN J),1010,DEJAVU,台湾,1535,CAFEX,台湾,0,,未設定
6th style,こっちを向いてよ,773,AKINA*,台湾,1221,KS4728,台湾,1311,SB*OUO,台湾
6th style,Take It Easy,1371,DEJAVU,台湾,2302,EXPLOR,台湾,2441,AQUARS,台湾
6th style,Summer Vacation(CU mix),1169,?,台湾,1758,TADA?,台湾,0,,未設定
6th style,SOMETHING WONDERFUL,878,AAA-1,台湾,1292,GENYA,台湾,1930,TADA?,台湾
6th style,route 80s,821,?,台湾,1107,KAQ!,台湾,1477,CAFEX,台湾
6th style,rottel-da-sun,766,DEJAVU,台湾,1199,DEJAVU,台湾,1829,FELI4A,台湾
6th style,NEMESIS,1021,AQUARS,台湾,1502,WHERX,台湾,1846,AQUARS,台湾
6th style,Linus,890,DEJAVU,台湾,1447,KS4728,台湾,2085,FELI4A,台湾
6th style,G2,1258,KS4728,台湾,1705,EXPLOR,台湾,2250,YQUARS,台湾
6th style,Frozen Ray (original mix),1242,DEJAVU,台湾,1758,AQUARS,台湾,1766,AQUARS,台湾
6th style,Free Style,798,PEPPA,台湾,1045,KS4728,台湾,1291,AQUARS,台湾
6th style,fly through the night,845,AKINA*,台湾,1256,KS4728,台湾,1679,CAFEX,台湾
6th style,DIVE ～INTO YOUR HEART～,1141,S-JAP#,台湾,1703,EXPLOR,台湾,2060,AQUARS,台湾
6th style,Colors (radio edit),1419,TADA?,台湾,1862,273.15,台湾,2373,AQUARS,台湾
6th style,Buffalo,938,DEJAVU,台湾,1428,KS4728,台湾,1770,TADA?,台湾
6th style,Blueberry Stream,694,S-JAP#,台湾,1403,KS4728,台湾,1610,TADA?,台湾
6th style,BALLAD FOR YOU～想いの雨～,573,R-RENO,台湾,773,KS4728,台湾,1063,AQUARS,台湾
6th style,"19,November",940,RAKERS,台湾,1379,KS4728,台湾,1763,AQUARS,台湾
7th style,革命,707,ECHO.,台湾,1914,☠,台湾,2233,☠,台湾
7th style,ZERO-ONE,986,ECHO.,台湾,1621,EXPLOR,台湾,2184,TADA?,台湾
7th style,traces,1345,?,台湾,1828,WHERX,台湾,2093,TADA?,台湾
7th style,Tomorrow Perfume,1151,ECHO.,台湾,1822,CORGIB,台湾,2003,CAFEX,台湾
7th style,stoic,1562,EXPLOR,台湾,2252,WOOOOF,台湾,2502,AQUARS,台湾
7th style,Spica,617,AKINA*,台湾,1415,KS4728,台湾,2199,AQUARS,台湾
7th style,MAX 300,1006,KS4728,台湾,1881,TADA?,台湾,0,,未設定
7th style,Love Me Do,1025,DEJAVU,台湾,1658,KS4728,台湾,2082,FELI4A,台湾
7th style,Let the Snow Paint Me,837,AKINA*,台湾,1018,KS4728,台湾,1227,DEJAVU,台湾
7th style,Last Message,916,AKINA*,台湾,1230,Y-L,台湾,1554,HIPHOP,台湾
7th style,Happy Wedding,1132,DEJAVU,台湾,1613,KS4728,台湾,1780,AQUARS,台湾
7th style,Glorious Days,481,100000,台湾,747,DEJAVU,台湾,891,LOKI,台湾
7th style,foreplay,326,LEBE,台湾,1075,LY****,台湾,1275,TADA?,台湾
7th style,DESTINY,955,S-JAP#,台湾,1306,KS4728,台湾,1766,SB*OUO,台湾
7th style,D2R,853,ECHO.,台湾,1188,KS4728,台湾,1577,FELI4A,台湾
7th style,Cheer Train,815,S-JAP#,台湾,1124,?,台湾,1704,AQUARS,台湾
7th style,Burning Heat! (Full Option Mix),359,ADZEN,台湾,919,KS4728,台湾,1449,AQUARS,台湾
7th style,Bad Routine,840,NEKO,台湾,1316,KS4728,台湾,1910,CAFEX,台湾
