バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,689,TOTTIE,海外,958,4444,海外,1145,IZUNA.,海外
1st&substream,RUGGED ASH†,0,,未設定,0,,未設定,1971,T-NUMA,海外
1st&substream,RUGGED ASH,350,TOTTIE,海外,395,ASHN*,海外,1079,T-NUMA,海外
1st&substream,R3,621,IIDX24,海外,653,QQ36,海外,880,CR.R,海外
1st&substream,PARANOIA MAX～DIRTY MIX～,532,ASHN*,海外,679,*ITO.*,海外,1073,CR.R,海外
1st&substream,Macho Gang,351,IIDX24,海外,989,SIG,海外,1572,ADA.W*,海外
1st&substream,KEEP ON MOVIN',178,TOTTIE,海外,242,SEIKIN,海外,0,,未設定
1st&substream,GRADIUSIC CYBER,852,CR.R,海外,888,IIDX24,海外,1156,U.N.K,海外
1st&substream,GENOM SCREAMS,389,SIG,海外,812,36RA51,海外,1032,U.N.K,海外
1st&substream,GAMBOL,268,CR.R,海外,270,JGA#77,海外,0,,未設定
1st&substream,Dr.LOVE,361,LILIAN,海外,482,KTGR,海外,563,IIDX26,海外
1st&substream,deep in you,441,040,海外,408,IIDX24,海外,650,JGA#77,海外
1st&substream,5.1.1.,191,MATSU,海外,937,H!DERI,海外,1556,T-NUMA,海外
1st&substream,22DUNK,505,.,海外,555,404,海外,643,U.N.K,海外
2nd style,SP-TRIP MACHINE(for beatmania II),462,TOTTIE,海外,596,Y41K0.,海外,642,T-NUMA,海外
2nd style,PUT YOUR FAITH IN ME(for beatmania II),429,MOCKBA,海外,861,JGA#77,海外,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),854,CR.R,海外,1059,XJR,海外,1205,T-NUMA,海外
2nd style,I Was The One,530,CR.R,海外,586,IIDX24,海外,679,CR.R,海外
2nd style,Electro Tuned(the SubS mix),575,TOTTIE,海外,863,IIDX24,海外,1046,JGA#77,海外
2nd style,Digital MinD(A/T Libra mix),728,CR.R,海外,949,KATANA,海外,1085,CR.R,海外
2nd style,.59,663,PROG,海外,913,LILIAN,海外,1089,CR.R,海外
3rd style,THE SAFARI,1066,*ITO.*,海外,1762,DT-G5Q,海外,0,,未設定
3rd style,Tangerine Stream,279,CR.R,海外,382,CYBERX,海外,0,,未設定
3rd style,Skyscraper,642,TOTTIE,海外,1084,LILIAN,海外,1241,DT-G5Q,海外
3rd style,Schlagwerk,724,TOTTIE,海外,1299,IIDX26,海外,1664,IIDX26,海外
3rd style,REINCARNATION,676,KAGERO,海外,963,CASPER,海外,1258,DT-G5Q,海外
3rd style,R5,752,CR.R,海外,1112,3SYA9G,海外,1765,T-NUMA,海外
3rd style,Presto,473,TOTTIE,海外,949,ASHN*,海外,998,JGA#77,海外
3rd style,LEADING CYBER,767,IIDX24,海外,1152,GMOVER,海外,1269,DT-G5Q,海外
3rd style,Holic,718,LYCOS,海外,1177,GOBUNG,海外,1721,T-NUMA,海外
3rd style,era (nostalmix),784,TOTTIE,海外,1064,IZUNA.,海外,1495,IIDX26,海外
3rd style,Don't Stop!,468,ACDC,海外,829,3SYA9G,海外,899,JGA#77,海外
3rd style,CAN'T STOP FALLIN'IN LOVE,563,SIG,海外,1242,JGA#77,海外,0,,未設定
4th style,Voltage (feat. Hidemaru),776,TOTTIE,海外,1072,LILIAN,海外,1308,JGA#77,海外
4th style,ULTRA HIGH-HEELS,657,TOTTIE,海外,820,QQ36,海外,983,IIDX26,海外
4th style,SWEET LAB,488,IIDX24,海外,879,QQ36,海外,1341,T-NUMA,海外
4th style,starmine,815,IIDX24,海外,1311,GMOVER,海外,1574,T-NUMA,海外
4th style,Mr.T.(take me higher),847,CR.R,海外,994,IIDX26,海外,1753,T-NUMA,海外
4th style,minimalian,451,TOTTIE,海外,975,XJR,海外,1391,T-NUMA,海外
4th style,LOVE WILL・・・,497,TOTTIE,海外,740,SYM,海外,1455,T-NUMA,海外
4th style,KAMIKAZE,947,TOTTIE,海外,1447,CR.R,海外,2229,DT-G5Q,海外
4th style,Jam&Marmalade,726,TOTTIE,海外,885,CR.R,海外,981,CR.R,海外
4th style,Hitch Hiker2,748,TOTTIE,海外,1096,LYCOS,海外,1308,IIDX26,海外
4th style,HIGHER,510,TOTTIE,海外,917,CR.R,海外,1264,U.N.K,海外
4th style,FLOWERS for ALBION,232,KATANA,海外,433,T-NUMA,海外,0,,未設定
4th style,era (step mix),1042,SIG,海外,1262,Y41K0.,海外,1605,JAAAAA,海外
4th style,empathy,758,TOTTIE,海外,1189,LILIAN,海外,1386,86,海外
4th style,DXY!,1195,*ITO.*,海外,1900,T-NUMA,海外,2231,T-NUMA,海外
4th style,Clione†,0,,未設定,0,,未設定,2109,IIDX26,海外
4th style,Clione,400,H.KND,海外,917,PROG,海外,1599,T-NUMA,海外
4th style,CHECKING YOU OUT,599,JAAAAA,海外,866,IZUNA.,海外,1274,T-NUMA,海外
4th style,Burnin' The Floor,530,TOTTIE,海外,932,CR.R,海外,1433,IIDX26,海外
4th style,Broken My Heart,790,TOTTIE,海外,1381,LILIAN,海外,1757,------,海外
4th style,B4U,887,LRLRLR,海外,1337,RABURA,海外,1976,DT-G5Q,海外
