バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,695,IIDX28,岩手県,992,GARNET,岩手県,1138,NENE,岩手県,0,,-
1st&substream,RUGGED ASH,0,,-,329,VELOCE,岩手県,391,FLAPPY,岩手県,1027,5ON0D4,岩手県,1961,NENE,岩手県
1st&substream,R3,0,,-,450,IIDX28,岩手県,636,STOCK,岩手県,897,SHIVA.,岩手県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,515,GARNET,岩手県,687,STOCK,岩手県,1116,DOLCE.,岩手県,0,,-
1st&substream,Macho Gang,0,,-,354,Y.S,岩手県,1003,GARNET,岩手県,1570,TABI,岩手県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,189,SKYLLA,岩手県,244,TABI,岩手県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,605,IIDX28,岩手県,897,N-HARD,岩手県,1166,JON1RU,岩手県,0,,-
1st&substream,gentle stress,0,,-,340,XYANA,岩手県,652,OKE,岩手県,1434,SHIVA.,岩手県,0,,-
1st&substream,GENOM SCREAMS,0,,-,301,TAKU,岩手県,776,AREA88,岩手県,1061,SHIVA.,岩手県,0,,-
1st&substream,GAMBOL,0,,-,266,OMGSIS,岩手県,274,DOLCE.,岩手県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,402,SKYLLA,岩手県,507,SKYLLA,岩手県,573,SHIVA.,岩手県,0,,-
1st&substream,deep in you,0,,-,454,VELOCE,岩手県,448,VELOCE,岩手県,661,SHIVA.,岩手県,0,,-
1st&substream,5.1.1.,0,,-,198,11O.,岩手県,980,OKE,岩手県,1571,DOLCE.,岩手県,0,,-
1st&substream,22DUNK,0,,-,479,MASX2.,岩手県,573,GARNET,岩手県,655,SHIVA.,岩手県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,460,VELOCE,岩手県,532,IIDX28,岩手県,648,SHIVA.,岩手県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,492,VELOCE,岩手県,855,TABI,岩手県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,221,AAAAAA,岩手県,988,STOCK,岩手県,1206,SHIVA.,岩手県,0,,-
2nd style,I Was The One,0,,-,487,ISB,岩手県,578,IIDX28,岩手県,680,KLAGE,岩手県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,643,RU-KO.,岩手県,861,884,岩手県,1048,AREA88,岩手県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,352,ARIS,岩手県,895,ISB,岩手県,1129,DOLCE.,岩手県,0,,-
2nd style,.59,0,,-,444,ARO,岩手県,932,GARNET,岩手県,1162,DOLCE.,岩手県,0,,-
3rd style,THE SAFARI,353,*USAMI,岩手県,1151,S.C!TY,岩手県,1773,DOLCE.,岩手県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,275,G.ZONE,岩手県,376,GARNET,岩手県,0,,-,0,,-
3rd style,Skyscraper,0,,-,466,KUMIN,岩手県,1014,STOCK,岩手県,1210,11O.,岩手県,0,,-
3rd style,Schlagwerk,0,,-,0,,-,1189,GARNET,岩手県,1670,NENE,岩手県,0,,-
3rd style,REINCARNATION,0,,-,678,GRAM,岩手県,864,RYU-YA,岩手県,1244,NENE,岩手県,0,,-
3rd style,R5,0,,-,667,T.T,岩手県,1122,GARNET,岩手県,1756,SHIVA.,岩手県,0,,-
3rd style,Presto,0,,-,386,LEG,岩手県,964,SHIVA.,岩手県,995,NENE,岩手県,0,,-
3rd style,LEADING CYBER,0,,-,580,IIDX28,岩手県,1163,AREA88,岩手県,1228,AREA88,岩手県,0,,-
3rd style,Holic,0,,-,736,SETU,岩手県,1079,NORIDA,岩手県,1693,SHIVA.,岩手県,0,,-
3rd style,era (nostalmix),0,,-,784,LEG,岩手県,1096,DOLCE.,岩手県,1554,DOLCE.,岩手県,0,,-
3rd style,Don't Stop!,0,,-,710,NASNAS,岩手県,763,NASNAS,岩手県,903,SHIVA.,岩手県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,525,TAIKI,岩手県,1226,11O.,岩手県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,850,G.ZONE,岩手県,1099,GARNET,岩手県,1335,DOLCE.,岩手県,0,,-
4th style,SWEET LAB,0,,-,299,MASAKI,岩手県,912,OKE,岩手県,1378,DOLCE.,岩手県,0,,-
4th style,starmine,420,G.ZONE,岩手県,754,RYU-YA,岩手県,1345,OKE,岩手県,1587,DOLCE.,岩手県,0,,-
4th style,Mr.T.(take me higher),0,,-,687,LEG,岩手県,972,RAMDA,岩手県,1704,FAILED,岩手県,0,,-
4th style,minimalian,0,,-,314,KOMEQR,岩手県,975,GARNET,岩手県,1363,TABI,岩手県,0,,-
4th style,LOVE WILL・・・,0,,-,467,TAIKI,岩手県,713,MASX2.,岩手県,1455,NENE,岩手県,0,,-
4th style,KAMIKAZE,0,,-,591,YTB#5,岩手県,1348,N-HARD,岩手県,2280,NENE,岩手県,0,,-
4th style,Jam&Marmalade,0,,-,728,MASX2.,岩手県,798,WDN-2P,岩手県,989,11O.,岩手県,0,,-
4th style,Hitch Hiker2,0,,-,700,VELOCE,岩手県,1045,STOCK,岩手県,1279,CVID19,岩手県,1938,DOLCE.,岩手県
4th style,HIGHER,0,,-,308,ARIS,岩手県,801,EXTEND,岩手県,1277,SHIVA.,岩手県,0,,-
4th style,FLOWERS for ALBION,0,,-,226,G.ZONE,岩手県,428,11O.,岩手県,0,,-,0,,-
4th style,era (step mix),0,,-,952,884,岩手県,1358,ARCHE,岩手県,1614,0.0-.-,岩手県,0,,-
4th style,empathy,0,,-,741,RYU-YA,岩手県,1298,SKYLLA,岩手県,1441,SHIVA.,岩手県,0,,-
4th style,DXY!,0,,-,1227,DAIDA,岩手県,1662,GARNET,岩手県,2292,DOLCE.,岩手県,0,,-
4th style,Clione,0,,-,475,KARIN,岩手県,857,STOCK,岩手県,1560,CVID19,岩手県,2180,DOLCE.,岩手県
4th style,CHECKING YOU OUT,0,,-,646,11O.,岩手県,887,11O.,岩手県,1379,DOLCE.,岩手県,0,,-
4th style,Burnin' The Floor,0,,-,0,,-,871,NASNAS,岩手県,1441,SHIVA.,岩手県,0,,-
4th style,Broken My Heart,0,,-,755,EXTEND,岩手県,1360,GARNET,岩手県,1826,DOLCE.,岩手県,0,,-
4th style,B4U,0,,-,866,KARIN,岩手県,1413,N,岩手県,1995,SHIVA.,岩手県,0,,-
4th style,ABSOLUTE,0,,-,1106,MSN006,岩手県,1637,GARNET,岩手県,2403,DOLCE.,岩手県,2775,DOLCE.,岩手県
4th style,250bpm,0,,-,496,IIDX28,岩手県,910,GARNET,岩手県,1435,DOLCE.,岩手県,0,,-
5th style,V,324,G.ZONE,岩手県,1099,MSN006,岩手県,2393,NENE,岩手県,3020,DOLCE.,岩手県,0,,-
5th style,THE SHINING POLARIS,0,,-,810,IIDX28,岩手県,1195,GARNET,岩手県,1524,TABI,岩手県,0,,-
5th style,THE CUBE,0,,-,511,TAKU,岩手県,1145,0PPAI,岩手県,1326,11O.,岩手県,0,,-
5th style,sync,0,,-,1038,L-FOX,岩手県,1859,NU.9RA,岩手県,2308,TABI,岩手県,0,,-
5th style,still my words,0,,-,684,IIDX28,岩手県,1206,TABI,岩手県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,644,NASNAS,岩手県,1221,N-HARD,岩手県,1928,DOLCE.,岩手県,0,,-
5th style,Spin the disc,0,,-,0,,-,1167,GARNET,岩手県,1326,SHIVA.,岩手県,0,,-
5th style,RISLIM,0,,-,797,VELOCE,岩手県,1241,DOLCE.,岩手県,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,455,DJNG!!,岩手県,1008,G.ZONE,岩手県,1705,SHIVA.,岩手県,1853,DOLCE.,岩手県
5th style,Regulus,0,,-,726,T.T,岩手県,1362,GARNET,岩手県,1687,SHIVA.,岩手県,0,,-
5th style,Real,0,,-,963,G.ZONE,岩手県,1470,NORIDA,岩手県,1828,DOLCE.,岩手県,0,,-
5th style,Radical Faith,0,,-,0,,-,1451,11O.,岩手県,1228,5ON0D4,岩手県,0,,-
5th style,QQQ,0,,-,1053,RU-KO.,岩手県,1787,2WAKKA,岩手県,2175,DOLCE.,岩手県,0,,-
5th style,outer wall,0,,-,747,T.T,岩手県,1240,GARNET,岩手県,1699,TABI,岩手県,0,,-
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,-,221,KAMUI,岩手県,850,YU-SA,岩手県,1121,SHIVA.,岩手県,0,,-
5th style,in my eyes,0,,-,750,ALIKA,岩手県,1224,STOCK,岩手県,1529,11O.,岩手県,0,,-
5th style,Abyss,0,,-,1157,KOU,岩手県,1616,SHIVA.,岩手県,1887,DOLCE.,岩手県,0,,-
6th style,電人イェーガーのテーマ(Theme of DENJIN J),0,,-,994,884,岩手県,1495,SKYLLA,岩手県,0,,-,0,,-
6th style,こっちを向いてよ,0,,-,447,JK*,岩手県,1092,0PPAI,岩手県,1365,SHIVA.,岩手県,0,,-
6th style,VJ ARMY,0,,-,1190,MASX2.,岩手県,1658,L-FOX,岩手県,2266,DOLCE.,岩手県,0,,-
6th style,Take It Easy,0,,-,1355,G.ZONE,岩手県,2303,GRN.,岩手県,2491,JON1RU,岩手県,0,,-
6th style,Summer Vacation(CU mix),0,,-,0,,-,1796,TABI,岩手県,0,,-,0,,-
6th style,SOMETHING WONDERFUL,0,,-,712,TAIKI,岩手県,1306,OKE,岩手県,1903,LAYLA,岩手県,0,,-
6th style,route 80s,0,,-,715,T.T,岩手県,1106,GARNET,岩手県,1447,TABI,岩手県,0,,-
6th style,rottel-da-sun,0,,-,709,VELOCE,岩手県,1244,GARNET,岩手県,1866,DOLCE.,岩手県,0,,-
6th style,NEMESIS,0,,-,764,RU-KO.,岩手県,1374,GARNET,岩手県,1858,SHIVA.,岩手県,0,,-
6th style,Linus,0,,-,648,ARANO,岩手県,1465,OKE,岩手県,2201,DOLCE.,岩手県,0,,-
6th style,G2,0,,-,1370,ARCHE,岩手県,1571,WAKA**,岩手県,2237,SHIVA.,岩手県,0,,-
6th style,Frozen Ray (original mix),0,,-,1122,MSN006,岩手県,1650,QUOLL*,岩手県,1763,NENE,岩手県,0,,-
6th style,Free Style,0,,-,729,T.T,岩手県,951,NORIDA,岩手県,1266,NENE,岩手県,0,,-
6th style,fly through the night,0,,-,772,VELOCE,岩手県,1111,YU-KI,岩手県,1636,11O.,岩手県,0,,-
6th style,DIVE ～INTO YOUR HEART～,0,,-,1016,RU-KO.,岩手県,1736,ARCHE,岩手県,2119,DOLCE.,岩手県,0,,-
6th style,Colors (radio edit),0,,-,1253,884,岩手県,1852,FAILED,岩手県,2372,SHIVA.,岩手県,0,,-
6th style,Buffalo,0,,-,951,G.ZONE,岩手県,1355,N-HARD,岩手県,1842,DOLCE.,岩手県,2527,DOLCE.,岩手県
6th style,Blueberry Stream,0,,-,749,884,岩手県,1206,STOCK,岩手県,1604,TABI,岩手県,0,,-
6th style,BALLAD FOR YOU～想いの雨～,0,,-,559,VELOCE,岩手県,713,EXTEND,岩手県,1063,HASSHY,岩手県,0,,-
6th style,"19,November",0,,-,819,ROOTS,岩手県,1400,SKYLLA,岩手県,1810,DOLCE.,岩手県,0,,-
7th style,革命,0,,-,609,MSN006,岩手県,1758,K,岩手県,2345,DOLCE.,岩手県,0,,-
7th style,ZERO-ONE,0,,-,883,T.T,岩手県,1615,OKE,岩手県,2234,DOLCE.,岩手県,0,,-
7th style,traces,0,,-,1324,884,岩手県,1822,WAKA**,岩手県,2005,MILIN,岩手県,0,,-
7th style,Tomorrow Perfume,0,,-,959,EXTEND,岩手県,1699,N-HARD,岩手県,2055,NENE,岩手県,0,,-
7th style,stoic,0,,-,1565,OKE,岩手県,2275,GRN.,岩手県,2574,DOLCE.,岩手県,0,,-
7th style,Spica,0,,-,600,*PXIQ*,岩手県,1365,N-HARD,岩手県,2253,DOLCE.,岩手県,0,,-
7th style,Love Me Do,0,,-,1041,MAME4B,岩手県,1605,N-HARD,岩手県,2111,SHIVA.,岩手県,0,,-
7th style,Let the Snow Paint Me,0,,-,788,VELOCE,岩手県,983,G.ZONE,岩手県,1246,SHIVA.,岩手県,0,,-
7th style,Last Message,0,,-,847,RU-KO.,岩手県,1228,ARCHE,岩手県,1613,DOLCE.,岩手県,0,,-
7th style,Happy Wedding,0,,-,1087,G.ZONE,岩手県,1472,GARNET,岩手県,1809,SHIVA.,岩手県,0,,-
7th style,Glorious Days,0,,-,457,NASNAS,岩手県,779,HASSHY,岩手県,886,AREA88,岩手県,0,,-
7th style,foreplay,0,,-,552,VELOCE,岩手県,1069,GARNET,岩手県,1241,CVID19,岩手県,0,,-
7th style,DESTINY,0,,-,891,RU-KO.,岩手県,1247,ARCHE,岩手県,1803,Y.S,岩手県,0,,-
7th style,D2R,0,,-,618,NASNAS,岩手県,1236,ARCHE,岩手県,1616,SHIVA.,岩手県,0,,-
7th style,Cheer Train,0,,-,778,WDN-2P,岩手県,1084,NORIDA,岩手県,1698,NENE,岩手県,0,,-
7th style,Burning Heat! (Full Option Mix),0,,-,524,TAIKI,岩手県,700,KOU,岩手県,1481,SHIVA.,岩手県,0,,-
7th style,Bad Routine,0,,-,972,ARCHE,岩手県,1367,DAIDA,岩手県,1913,SHIVA.,岩手県,0,,-
7th style,AVE DE RAPINA,0,,-,1207,884,岩手県,1582,GRN.,岩手県,1850,DOLCE.,岩手県,0,,-
7th style,A,0,,-,1081,VELOCE,岩手県,1983,AJI,岩手県,2514,DOLCE.,岩手県,0,,-
8th style,蒼い衝動,0,,-,762,T.T,岩手県,1164,884,岩手県,1521,Y.S,岩手県,0,,-
8th style,桜,0,,-,944,GARNET,岩手県,1402,GRN.,岩手県,2217,DOLCE.,岩手県,0,,-
8th style,xenon,0,,-,644,ROOTS,岩手県,1547,ARCHE,岩手県,2669,NENE,岩手県,0,,-
8th style,World Wide Love,0,,-,681,G.ZONE,岩手県,904,LEG,岩手県,1101,*USAMI,岩手県,0,,-
8th style,WAR GAME,0,,-,723,ADAMS.,岩手県,1405,N-HARD,岩手県,2149,DOLCE.,岩手県,0,,-
8th style,thunder,0,,-,991,EXTEND,岩手県,1520,ARCHE,岩手県,1816,11O.,岩手県,0,,-
8th style,symbolic,0,,-,1211,RU-KO.,岩手県,1727,OKE,岩手県,2115,GRN.,岩手県,0,,-
8th style,rainbow flyer,0,,-,380,KOMEQR,岩手県,1502,ARCHE,岩手県,2092,SHIVA.,岩手県,0,,-
8th style,PLEASE DON'T GO,0,,-,755,T.T,岩手県,1361,FAILED,岩手県,2382,SHIVA.,岩手県,0,,-
8th style,MUSIC TO YOUR HEAD,0,,-,596,LEG,岩手県,1108,MILFIY,岩手県,1669,SHIVA.,岩手県,0,,-
8th style,murmur twins,0,,-,1016,884,岩手県,1521,ARCHE,岩手県,2378,DOLCE.,岩手県,0,,-
8th style,Monkey Dance,0,,-,484,YKTR,岩手県,1371,SHIVA.,岩手県,1970,SHIVA.,岩手県,0,,-
8th style,memories,0,,-,936,T.T,岩手県,1926,MSK,岩手県,2153,CVID19,岩手県,0,,-
8th style,Luv 2 Feel Your Body,0,,-,791,MASX2.,岩手県,1005,OKE,岩手県,1601,TABI,岩手県,0,,-
8th style,LOVE IS ORANGE,0,,-,749,KARIN,岩手県,972,HANABI,岩手県,1722,0.0-.-,岩手県,2068,GJI,岩手県
8th style,LAB,0,,-,822,TAKU,岩手県,1816,OKE,岩手県,2145,DOLCE.,岩手県,0,,-
8th style,HYPER BOUNDARY GATE,0,,-,1224,K-66.,岩手県,1857,8NA9SO,岩手県,2077,ELMA,岩手県,0,,-
8th style,Halfway of promise,0,,-,649,ARO,岩手県,1353,N-HARD,岩手県,1859,DOLCE.,岩手県,0,,-
8th style,Giudecca,0,,-,492,RHIY,岩手県,1780,OKE,岩手県,2704,DOLCE.,岩手県,0,,-
8th style,dual control,0,,-,546,T.T,岩手県,1058,EXTEND,岩手県,1697,11O.,岩手県,0,,-
8th style,Colors -Y&Co. Eurobeat Remix-,0,,-,1040,MSN006,岩手県,1915,ARCHE,岩手県,2169,SHIVA.,岩手県,0,,-
8th style,CELEBRATE NITE,0,,-,851,MAME4B,岩手県,1125,SKYLLA,岩手県,1338,SKYLLA,岩手県,0,,-
8th style,Blame,0,,-,768,AME3YA,岩手県,1445,ARCHE,岩手県,1911,SHIVA.,岩手県,0,,-
8th style,bit mania,0,,-,389,TOMMY,岩手県,1029,CNBA,岩手県,1853,SHIVA.,岩手県,0,,-
8th style,Attitude,0,,-,769,T.T,岩手県,1279,ISB,岩手県,1696,AREA88,岩手県,0,,-
8th style,ALL RIGHT,0,,-,803,884,岩手県,1112,ISB,岩手県,1548,CVID19,岩手県,0,,-
8th style,airflow,0,,-,376,TAKEO,岩手県,694,MASX2.,岩手県,1438,DOLCE.,岩手県,0,,-
8th style,abstract,0,,-,1138,YU-KI,岩手県,1502,ARCHE,岩手県,1850,FAILED,岩手県,0,,-
9th style,真夏の花・真夏の夢,0,,-,632,TAIKI,岩手県,1040,NORIDA,岩手県,1491,DOLCE.,岩手県,0,,-
9th style,ライオン好き,0,,-,427,ARO,岩手県,1115,FIRE-S,岩手県,1509,SHIVA.,岩手県,0,,-
9th style,SWEETEST SAVAGE,0,,-,583,T.T,岩手県,1315,OKE,岩手県,1837,DOLCE.,岩手県,0,,-
9th style,Sweet Sweet Magic,0,,-,869,RYU-YA,岩手県,1441,ARCHE,岩手県,2024,SHIVA.,岩手県,0,,-
9th style,STAR FIELD,0,,-,674,HURTA,岩手県,1416,NORIDA,岩手県,1854,FAILED,岩手県,0,,-
9th style,SNOW,0,,-,756,KST,岩手県,1252,ARCHE,岩手県,1902,FAILED,岩手県,0,,-
9th style,Silvia Drive,0,,-,773,FIRE-S,岩手県,1310,O-GAMI,岩手県,2081,DOLCE.,岩手県,0,,-
9th style,rottel-the-Mercury,0,,-,919,VELOCE,岩手県,1789,ARCHE,岩手県,2260,DOLCE.,岩手県,0,,-
9th style,RISLIM -Remix-,0,,-,698,VELOCE,岩手県,917,NORIDA,岩手県,1886,SHIVA.,岩手県,0,,-
9th style,Really Love,0,,-,535,LEG,岩手県,953,TOHOKU,岩手県,1728,SHIVA.,岩手県,0,,-
9th style,Quickening,0,,-,876,TAKAP-,岩手県,1618,OKE,岩手県,2081,NENE,岩手県,0,,-
9th style,quasar,0,,-,1001,MSN006,岩手県,1633,ARCHE,岩手県,2313,DOLCE.,岩手県,0,,-
9th style,one or eight,0,,-,1221,GARNET,岩手県,1761,GRN.,岩手県,2287,DOLCE.,岩手県,0,,-
9th style,moon_child,0,,-,978,STOCK,岩手県,1892,GRN.,岩手県,2567,DOLCE.,岩手県,0,,-
9th style,MARIA (I believe... ),0,,-,637,VELOCE,岩手県,1529,NU.9RA,岩手県,1934,SHIVA.,岩手県,0,,-
