バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,561,ROHRYU,山形県,1029,U-.-U,山形県,1136,MANCO!,山形県,0,,-
1st&substream,RUGGED ASH,0,,-,364,DONUTS,山形県,402,DONUTS,山形県,1043,SIZUKU,山形県,1925,MANCO!,山形県
1st&substream,R3,0,,-,642,KAR1N,山形県,709,KAR1N,山形県,890,N-PSTL,山形県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,500,MAIYA2,山形県,721,K-ON!!,山形県,1048,RRX2,山形県,0,,-
1st&substream,Macho Gang,0,,-,374,ANI,山形県,1001,CIGAR,山形県,1587,NEWYO9,山形県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,169,CL2,山形県,240,3Y2S,山形県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,855,KAR1N,山形県,966,KAR1N,山形県,1160,OPI.IK,山形県,0,,-
1st&substream,gentle stress,0,,-,313,WAKAMY,山形県,645,DONUT$,山形県,1408,RRX2,山形県,0,,-
1st&substream,GENOM SCREAMS,0,,-,261,KIJI,山形県,668,MACON.,山形県,1036,SATO.B,山形県,0,,-
1st&substream,GAMBOL,0,,-,274,DONUTS,山形県,274,DONUTS,山形県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,393,KAR1N,山形県,488,KAR1N,山形県,574,DONUTS,山形県,0,,-
1st&substream,deep in you,0,,-,400,NO4XTK,山形県,433,JOKER,山形県,650,OPI.IK,山形県,0,,-
1st&substream,5.1.1.,0,,-,198,OSMKBT,山形県,988,KAR1N,山形県,1555,DONUTS,山形県,0,,-
1st&substream,22DUNK,0,,-,507,KAR1N,山形県,627,JYR010,山形県,644,N-PSTL,山形県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,503,RRX2,山形県,526,KEMT,山形県,645,RRX2,山形県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,442,WAKAMY,山形県,846,HIFU*S,山形県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,697,WAKAMY,山形県,948,AXEL09,山形県,1190,NEWYO9,山形県,0,,-
2nd style,I Was The One,0,,-,525,JYR010,山形県,502,ROHRYU,山形県,678,OPI.IK,山形県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,758,RIZ,山形県,877,JYR010,山形県,1041,RRX2,山形県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,0,,-,926,JOKER,山形県,1098,OPI.IK,山形県,0,,-
2nd style,.59,0,,-,467,MITTSU,山形県,918,JOKER,山形県,1138,OPI.IK,山形県,0,,-
3rd style,THE SAFARI,360,168ZEN,山形県,1054,CIGAR,山形県,1745,NANIKA,山形県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,277,RRX2,山形県,396,DONUTS,山形県,0,,-,0,,-
3rd style,Skyscraper,0,,-,577,WAKAMY,山形県,1090,K-ON!!,山形県,1221,OPI.IK,山形県,0,,-
3rd style,Schlagwerk,0,,-,626,SAFA,山形県,1307,DONUTS,山形県,1656,DONUTS,山形県,0,,-
3rd style,REINCARNATION,0,,-,697,FUBUKI,山形県,941,SA21,山形県,1247,OPI.IK,山形県,0,,-
3rd style,R5,0,,-,760,SATO.B,山形県,1098,K-ON!!,山形県,1741,3Y2S,山形県,0,,-
3rd style,Presto,0,,-,525,168ZEN,山形県,967,IORI,山形県,985,3Y2S,山形県,0,,-
3rd style,LEADING CYBER,0,,-,693,NO4XTK,山形県,922,NO4XTK,山形県,1232,NEWYO9,山形県,0,,-
3rd style,Holic,0,,-,540,NA39MO,山形県,1121,K-ON!!,山形県,1672,MANCO!,山形県,0,,-
3rd style,era (nostalmix),0,,-,839,DONUTS,山形県,1052,MANCO!,山形県,1480,MANCO!,山形県,0,,-
3rd style,Don't Stop!,0,,-,770,DONUTS,山形県,842,DONUTS,山形県,897,DONUTS,山形県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,547,KENP,山形県,1230,OPI.IK,山形県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,787,WAKAMY,山形県,1209,IORI,山形県,1299,EV0214,山形県,0,,-
4th style,SWEET LAB,0,,-,444,WAKAMY,山形県,879,HIFU*S,山形県,1320,NEWYO9,山形県,0,,-
