バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,765,WRC,福島県,1032,SORA,福島県,1158,U*PAFE,福島県,0,,-
1st&substream,RUGGED ASH,0,,-,362,ZIV-R,福島県,401,WRC,福島県,1077,U*PAFE,福島県,1958,07KING,福島県
1st&substream,R3,0,,-,649,WRC,福島県,685,WRC,福島県,899,KOME-S,福島県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,473,KEISE,福島県,731,WRC,福島県,1114,U*PAFE,福島県,0,,-
1st&substream,Macho Gang,0,,-,372,WRC,福島県,1034,SORA,福島県,1648,U*PAFE,福島県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,193,WRC,福島県,244,KOME-S,福島県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,842,AAAA,福島県,958,SORA,福島県,1200,KOME-S,福島県,0,,-
1st&substream,gentle stress,0,,-,343,WRC,福島県,659,KENTO,福島県,1449,KOME-S,福島県,0,,-
1st&substream,GENOM SCREAMS,0,,-,416,WRC,福島県,790,SORA,福島県,1064,U*PAFE,福島県,0,,-
1st&substream,GAMBOL,0,,-,274,KOME-S,福島県,273,RYU-L,福島県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,406,WRC,福島県,477,1SUM1,福島県,575,KOME-S,福島県,0,,-
1st&substream,deep in you,0,,-,435,KEISE,福島県,454,AAAA,福島県,657,U*PAFE,福島県,0,,-
1st&substream,5.1.1.,0,,-,195,KENTO,福島県,946,WRC,福島県,1551,07KING,福島県,0,,-
1st&substream,22DUNK,0,,-,492,ACT,福島県,563,ACT,福島県,656,KOME-S,福島県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,502,WRC,福島県,612,WRC,福島県,646,KOME-S,福島県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,527,KEISE,福島県,861,U*PAFE,福島県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,779,KEISE,福島県,995,ACT,福島県,1223,U*PAFE,福島県,0,,-
2nd style,I Was The One,0,,-,525,WRC,福島県,641,WRC,福島県,691,KOME-S,福島県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,312,10ICHI,福島県,887,WRC,福島県,1072,U*PAFE,福島県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,702,AAAA,福島県,1019,SORA,福島県,1132,U*PAFE,福島県,0,,-
2nd style,.59,0,,-,707,WRC,福島県,994,FUTABA,福島県,1158,U*PAFE,福島県,0,,-
3rd style,THE SAFARI,352,KEISE,福島県,1168,D-LOW,福島県,1775,U*PAFE,福島県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,277,292929,福島県,392,KOME-S,福島県,0,,-,0,,-
3rd style,Skyscraper,0,,-,658,KEISE,福島県,968,AAAA,福島県,1237,KOME-S,福島県,0,,-
3rd style,Schlagwerk,0,,-,601,EUA2T,福島県,1150,MIKLK,福島県,1694,U*PAFE,福島県,0,,-
3rd style,REINCARNATION,0,,-,757,KEISE,福島県,867,MIKLK,福島県,1248,KOME-S,福島県,0,,-
3rd style,R5,0,,-,750,WRC,福島県,1114,ABE4,福島県,1760,U*PAFE,福島県,0,,-
3rd style,Presto,0,,-,323,COOZ,福島県,953,DARK-I,福島県,1005,KOME-S,福島県,0,,-
3rd style,LEADING CYBER,0,,-,814,WRC,福島県,1132,SORA,福島県,1265,KOME-S,福島県,0,,-
3rd style,Holic,0,,-,744,4-LVIA,福島県,1161,SORA,福島県,1721,U*PAFE,福島県,0,,-
3rd style,era (nostalmix),0,,-,823,ASKA,福島県,1078,KOME-S,福島県,1527,U*PAFE,福島県,0,,-
3rd style,Don't Stop!,0,,-,542,WHITE,福島県,809,SA2KI,福島県,904,KOME-S,福島県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,604,AAAA,福島県,1234,KOME-S,福島県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,0,,-,1073,2.TA!!,福島県,1318,YA9BU2,福島県,0,,-
4th style,SWEET LAB,0,,-,496,KO9BUN,福島県,874,IZ#HAN,福島県,1324,U*PAFE,福島県,0,,-
4th style,starmine,443,AMANE,福島県,784,DAIKI,福島県,1315,HITOMI,福島県,1577,KOME-S,福島県,0,,-
4th style,Mr.T.(take me higher),0,,-,0,,-,908,MIKLK,福島県,1747,KOME-S,福島県,0,,-
4th style,minimalian,0,,-,516,WRC,福島県,1047,ZRRRR,福島県,1386,KOME-S,福島県,0,,-
4th style,LOVE WILL・・・,0,,-,506,KO9BUN,福島県,744,WRC,福島県,1456,KOME-S,福島県,0,,-
4th style,KAMIKAZE,0,,-,945,ASKA,福島県,1325,WRC,福島県,2285,KOME-S,福島県,0,,-
4th style,Jam&Marmalade,0,,-,675,KEISE,福島県,712,RSK.,福島県,1004,RUNO,福島県,0,,-
4th style,Hitch Hiker2,0,,-,516,WRC,福島県,1098,WRC,福島県,1315,KOME-S,福島県,1942,U*PAFE,福島県
4th style,HIGHER,0,,-,538,WRC,福島県,884,WRC,福島県,1277,U*PAFE,福島県,0,,-
4th style,FLOWERS for ALBION,0,,-,221,KO9BUN,福島県,443,U*PAFE,福島県,0,,-,0,,-
4th style,era (step mix),0,,-,980,AILES,福島県,1268,SISOOO,福島県,1680,DARK-I,福島県,0,,-
4th style,empathy,0,,-,733,KEISE,福島県,1178,HITOMI,福島県,1458,U*PAFE,福島県,0,,-
4th style,DXY!,0,,-,1127,KEISE,福島県,1631,HITOMI,福島県,2267,U*PAFE,福島県,0,,-
4th style,Clione,0,,-,521,WRC,福島県,947,KOME-S,福島県,1599,KOME-S,福島県,2119,KOME-S,福島県
4th style,CHECKING YOU OUT,0,,-,537,HALSER,福島県,912,KOME-S,福島県,1343,U*PAFE,福島県,0,,-
4th style,Burnin' The Floor,0,,-,535,KO9BUN,福島県,823,MIKLK,福島県,1434,U*PAFE,福島県,0,,-
4th style,Broken My Heart,0,,-,521,NEMO,福島県,1314,ACT,福島県,1767,KOME-S,福島県,0,,-
4th style,B4U,0,,-,1004,555555,福島県,1359,MINO,福島県,1993,07KING,福島県,0,,-
4th style,ABSOLUTE,0,,-,1186,292929,福島県,1654,4-LVIA,福島県,2379,KOME-S,福島県,2653,FUTABA,福島県
4th style,250bpm,0,,-,593,KEISE,福島県,862,T-BOWL,福島県,1408,5LBATT,福島県,0,,-
5th style,V,324,KO9BUN,福島県,1198,ASKA,福島県,2357,MKNEKO,福島県,2983,U*PAFE,福島県,0,,-
5th style,THE SHINING POLARIS,0,,-,802,AILES,福島県,1272,SORA,福島県,1571,KOME-S,福島県,0,,-
5th style,THE CUBE,0,,-,721,WRC,福島県,1162,WRC,福島県,1343,07KING,福島県,0,,-
5th style,sync,0,,-,1048,AAAA,福島県,1747,RAY,福島県,2348,07KING,福島県,0,,-
5th style,still my words,0,,-,840,KO9BUN,福島県,1223,KOME-S,福島県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,658,AKO,福島県,1307,SORA,福島県,1885,07KING,福島県,0,,-
5th style,Spin the disc,0,,-,784,WRC,福島県,1069,MIKLK,福島県,1329,KOME-S,福島県,0,,-
5th style,RISLIM,0,,-,791,KO9BUN,福島県,1216,KOME-S,福島県,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,883,WRC,福島県,1035,X-KLVR,福島県,1715,U*PAFE,福島県,1781,FUTABA,福島県
5th style,Regulus,0,,-,923,WRC,福島県,1429,SORA,福島県,1718,U*PAFE,福島県,0,,-
5th style,Real,0,,-,950,KEISE,福島県,1608,SORA,福島県,1780,GW,福島県,0,,-
5th style,Radical Faith,0,,-,1103,THE-TA,福島県,1510,KOME-S,福島県,1292,KOME-S,福島県,0,,-
5th style,QQQ,0,,-,1192,WRC,福島県,1812,SORA,福島県,2141,KOME-S,福島県,0,,-
5th style,outer wall,0,,-,589,RIRI,福島県,1302,SORA,福島県,1737,KOME-S,福島県,0,,-
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,-,759,WRC,福島県,956,-FRAN-,福島県,1115,KOME-S,福島県,0,,-
5th style,in my eyes,0,,-,930,WRC,福島県,1415,SORA,福島県,1579,KOME-S,福島県,0,,-
5th style,Abyss,0,,-,1211,4-LVIA,福島県,1617,07KING,福島県,1869,KOME-S,福島県,0,,-
6th style,電人イェーガーのテーマ(Theme of DENJIN J),0,,-,806,AAAA,福島県,1564,KOME-S,福島県,0,,-,0,,-
6th style,こっちを向いてよ,0,,-,728,AAAA,福島県,1051,EILL,福島県,1380,U*PAFE,福島県,0,,-
6th style,VJ ARMY,0,,-,1136,4Y4S4K,福島県,1551,178UA-,福島県,2247,U*PAFE,福島県,0,,-
6th style,Take It Easy,0,,-,1289,ACT,福島県,2206,PICO*N,福島県,2519,U*PAFE,福島県,0,,-
6th style,Summer Vacation(CU mix),0,,-,1202,SA2KI,福島県,1857,U*PAFE,福島県,0,,-,0,,-
6th style,SOMETHING WONDERFUL,0,,-,914,WRC,福島県,1220,WRC,福島県,1933,SECIL,福島県,0,,-
6th style,route 80s,0,,-,742,FISH,福島県,1148,SORA,福島県,1489,5LBATT,福島県,0,,-
6th style,rottel-da-sun,0,,-,708,AAAA,福島県,1257,HITOMI,福島県,1832,DARK-I,福島県,0,,-
6th style,NEMESIS,0,,-,927,WRC,福島県,1507,SORA,福島県,1888,U*PAFE,福島県,0,,-
6th style,Linus,0,,-,800,AAAA,福島県,1276,MAMAN,福島県,2164,KOME-S,福島県,0,,-
6th style,G2,0,,-,843,PXT*,福島県,1734,SORA,福島県,2279,U*PAFE,福島県,0,,-
6th style,Frozen Ray (original mix),0,,-,1179,KEISE,福島県,1705,SORA,福島県,1785,07KING,福島県,0,,-
6th style,Free Style,0,,-,901,WRC,福島県,761,AAAA,福島県,1302,KOME-S,福島県,0,,-
6th style,fly through the night,0,,-,862,WRC,福島県,1011,AILES,福島県,1668,KOME-S,福島県,0,,-
6th style,DIVE ～INTO YOUR HEART～,0,,-,1218,WRC,福島県,1775,SORA,福島県,2112,U*PAFE,福島県,0,,-
6th style,Colors (radio edit),0,,-,1170,ZIV-L,福島県,1843,SORA,福島県,2456,U*PAFE,福島県,0,,-
6th style,Buffalo,0,,-,974,WRC,福島県,1406,SORA,福島県,1812,KOME-S,福島県,2459,DARK-I,福島県
6th style,Blueberry Stream,0,,-,776,KEISE,福島県,1415,SORA,福島県,1654,U*PAFE,福島県,0,,-
6th style,BALLAD FOR YOU～想いの雨～,0,,-,590,WRC,福島県,747,WRC,福島県,1069,KOME-S,福島県,0,,-
6th style,"19,November",0,,-,934,AAAA,福島県,1401,SORA,福島県,1786,KOME-S,福島県,0,,-
7th style,革命,0,,-,553,HALSER,福島県,1843,SORA,福島県,2294,DARK-I,福島県,0,,-
7th style,ZERO-ONE,0,,-,892,292929,福島県,1626,SORA,福島県,2246,U*PAFE,福島県,0,,-
7th style,traces,0,,-,1142,AAAA,福島県,1831,SORA,福島県,2110,07KING,福島県,0,,-
7th style,Tomorrow Perfume,0,,-,1183,ARCO,福島県,1675,SHINO,福島県,2029,07KING,福島県,0,,-
7th style,stoic,0,,-,1396,PURAIN,福島県,2187,SORA,福島県,2572,U*PAFE,福島県,0,,-
7th style,Spica,0,,-,636,MINO,福島県,1371,SORA,福島県,2252,U*PAFE,福島県,0,,-
7th style,Love Me Do,0,,-,1025,AAAA,福島県,1644,SORA,福島県,2109,07KING,福島県,0,,-
7th style,Let the Snow Paint Me,0,,-,756,KO9BUN,福島県,1012,WRC,福島県,1240,KOME-S,福島県,0,,-
7th style,Last Message,0,,-,1011,07KING,福島県,1336,07KING,福島県,1627,U*PAFE,福島県,0,,-
7th style,Happy Wedding,0,,-,949,RIRI,福島県,1594,SORA,福島県,1826,KOME-S,福島県,0,,-
7th style,Glorious Days,0,,-,510,WRC,福島県,792,WRC,福島県,908,KOME-S,福島県,0,,-
7th style,foreplay,0,,-,0,,-,1048,RAY,福島県,1278,XWHW73,福島県,0,,-
7th style,DESTINY,0,,-,1029,WRC,福島県,1339,SORA,福島県,1830,KOME-S,福島県,0,,-
7th style,D2R,0,,-,754,AAAA,福島県,1174,WRC,福島県,1616,KOME-S,福島県,0,,-
7th style,Cheer Train,0,,-,473,SETZER,福島県,1121,WRC,福島県,1688,07KING,福島県,0,,-
7th style,Burning Heat! (Full Option Mix),0,,-,698,WRC,福島県,919,SORA,福島県,1458,KOME-S,福島県,0,,-
7th style,Bad Routine,0,,-,982,ZRRRR,福島県,1368,SORA,福島県,1915,KOME-S,福島県,0,,-
7th style,AVE DE RAPINA,0,,-,968,RIRI,福島県,1524,HITOMI,福島県,1830,U*PAFE,福島県,0,,-
7th style,A,0,,-,1123,KO9BUN,福島県,1954,RMBOX,福島県,2428,DARK-I,福島県,0,,-
8th style,蒼い衝動,0,,-,439,TSUKI3,福島県,1343,SIYORI,福島県,1590,KOME-S,福島県,0,,-
8th style,桜,0,,-,932,ASKA,福島県,1370,MINO,福島県,2071,KOME-S,福島県,0,,-
8th style,xenon,0,,-,776,RIRI,福島県,1621,SORA,福島県,2738,U*PAFE,福島県,0,,-
8th style,World Wide Love,0,,-,698,WRC,福島県,982,MIKLK,福島県,1115,AMANE,福島県,0,,-
8th style,WAR GAME,0,,-,892,AAAA,福島県,1475,R-GRAY,福島県,2128,KOME-S,福島県,0,,-
8th style,thunder,0,,-,887,RIRI,福島県,1556,AOI,福島県,1862,KOME-S,福島県,0,,-
8th style,symbolic,0,,-,1299,TSU,福島県,1799,SORA,福島県,2233,U*PAFE,福島県,0,,-
8th style,rainbow flyer,0,,-,734,4-LVIA,福島県,1622,CUTLAS,福島県,2100,07KING,福島県,0,,-
8th style,PLEASE DON'T GO,0,,-,576,9583,福島県,1319,SORA,福島県,2419,U*PAFE,福島県,0,,-
8th style,MUSIC TO YOUR HEAD,0,,-,333,E-Q,福島県,1365,SORA,福島県,1691,U*PAFE,福島県,0,,-
8th style,murmur twins,0,,-,1036,0INARE,福島県,1561,RAY,福島県,2357,07KING,福島県,0,,-
8th style,Monkey Dance,0,,-,808,WRC,福島県,1359,07KING,福島県,1964,07KING,福島県,0,,-
8th style,memories,0,,-,0,,-,1997,SORA,福島県,2236,07KING,福島県,0,,-
