バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,772,UPOMU.,埼玉県,1011,HRURR.,埼玉県,1150,LOBMAG,埼玉県,0,,-
1st&substream,RUGGED ASH,0,,-,370,2439-R,埼玉県,402,2439-R,埼玉県,1090,KINUYO,埼玉県,2039,UCCHIE,埼玉県
1st&substream,R3,0,,-,636,UPOMU.,埼玉県,718,CHA*MA,埼玉県,902,54GAYA,埼玉県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,545,BENK,埼玉県,719,BASSY,埼玉県,1115,KINUYO,埼玉県,0,,-
1st&substream,Macho Gang,0,,-,372,UMAMI,埼玉県,1048,R-18,埼玉県,1625,54GAYA,埼玉県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,195,2439-R,埼玉県,244,YU.AR8,埼玉県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,852,GIRO,埼玉県,958,PADDY,埼玉県,1210,KINUYO,埼玉県,0,,-
1st&substream,gentle stress,0,,-,342,2439-R,埼玉県,673,TUNDEL,埼玉県,1450,UCCHIE,埼玉県,0,,-
1st&substream,GENOM SCREAMS,0,,-,405,AZUSA,埼玉県,821,1-PIN,埼玉県,1068,LOBMAG,埼玉県,0,,-
1st&substream,GAMBOL,0,,-,274,YU.AR8,埼玉県,274,YU.AR8,埼玉県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,397,AIR-3R,埼玉県,508,AYA*3,埼玉県,578,NENE,埼玉県,0,,-
1st&substream,deep in you,0,,-,482,TUBASA,埼玉県,477,0YZZY4,埼玉県,665,ROUGAI,埼玉県,0,,-
1st&substream,5.1.1.,0,,-,198,SAIX.,埼玉県,1009,HI7MI.,埼玉県,1568,1-PIN,埼玉県,0,,-
1st&substream,22DUNK,0,,-,480,RELESS,埼玉県,633,MAIYAN,埼玉県,652,54GAYA,埼玉県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,491,TRY!,埼玉県,612,IORIN,埼玉県,648,YU.AR8,埼玉県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,559,!,埼玉県,858,YU.AR8,埼玉県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,845,THE.KD,埼玉県,1059,HAKABA,埼玉県,1221,LOBMAG,埼玉県,0,,-
2nd style,I Was The One,0,,-,513,0YZZY4,埼玉県,645,Y&CCO.,埼玉県,692,YU.AR8,埼玉県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,744,UPOMU.,埼玉県,917,TTKZ,埼玉県,1066,ROUGAI,埼玉県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,690,MOFOX,埼玉県,998,PK,埼玉県,1129,KINUYO,埼玉県,0,,-
2nd style,.59,0,,-,690,!,埼玉県,999,UPOMU.,埼玉県,1159,KINUYO,埼玉県,0,,-
3rd style,THE SAFARI,362,BRAVO.,埼玉県,1179,IIDX28,埼玉県,1772,YUI.OR,埼玉県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,270,!,埼玉県,396,YU.AR8,埼玉県,0,,-,0,,-
3rd style,Skyscraper,0,,-,706,MARISA,埼玉県,1096,YAKKUN,埼玉県,1246,GO*,埼玉県,0,,-
3rd style,Schlagwerk,0,,-,793,Y0$,埼玉県,1277,A-TOUK,埼玉県,1688,54GAYA,埼玉県,0,,-
3rd style,REINCARNATION,0,,-,800,VAKA,埼玉県,987,MOPPY,埼玉県,1267,KINUYO,埼玉県,0,,-
3rd style,R5,0,,-,743,.HIFU3,埼玉県,1156,TIN&PO,埼玉県,1765,W3DG3,埼玉県,0,,-
3rd style,Presto,0,,-,516,TUBASA,埼玉県,979,YU11,埼玉県,1009,KINUYO,埼玉県,0,,-
3rd style,LEADING CYBER,0,,-,796,REIJI,埼玉県,1166,DR.LUV,埼玉県,1274,CHERRY,埼玉県,0,,-
3rd style,Holic,0,,-,768,DEZIST,埼玉県,1203,TLABOT,埼玉県,1738,1-PIN,埼玉県,0,,-
3rd style,era (nostalmix),0,,-,825,RUI-KO,埼玉県,1077,KIDO,埼玉県,1532,1-PIN,埼玉県,0,,-
3rd style,Don't Stop!,0,,-,751,!,埼玉県,832,UPOMU.,埼玉県,906,YU.AR8,埼玉県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,593,VAKA,埼玉県,1249,KINUYO,埼玉県,0,,-,0,,-
