バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,496,CL,岐阜県,1024,TUTTYO,岐阜県,1143,ALBION,岐阜県,0,,-
1st&substream,RUGGED ASH,0,,-,360,REDS0M,岐阜県,402,YUUNA*,岐阜県,1024,K-G3*,岐阜県,1937,ALBION,岐阜県
1st&substream,R3,0,,-,623,COLT,岐阜県,701,VIP-KO,岐阜県,891,A,岐阜県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,520,MI2PIN,岐阜県,715,REDS0M,岐阜県,1087,A,岐阜県,0,,-
1st&substream,Macho Gang,0,,-,374,77MARU,岐阜県,1063,TUTTYO,岐阜県,1557,YUKIA2,岐阜県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,192,GMT.RK,岐阜県,244,YUUNA*,岐阜県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,836,MAME,岐阜県,957,MAME,岐阜県,1171,NOY,岐阜県,0,,-
1st&substream,gentle stress,0,,-,342,TUTTYO,岐阜県,659,TUTTYO,岐阜県,1425,77MARU,岐阜県,0,,-
1st&substream,GENOM SCREAMS,0,,-,386,AS2497,岐阜県,807,SWOOPS,岐阜県,1042,YUE.*,岐阜県,0,,-
1st&substream,GAMBOL,0,,-,274,YUUNA*,岐阜県,274,YUUNA*,岐阜県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,384,ASKRIA,岐阜県,500,REDS0M,岐阜県,577,YUUNA*,岐阜県,0,,-
1st&substream,deep in you,0,,-,466,REDS0M,岐阜県,489,REDS0M,岐阜県,655,YUUNA*,岐阜県,0,,-
1st&substream,5.1.1.,0,,-,186,CHAOS,岐阜県,984,&#9318,岐阜県,1553,SWOOPS,岐阜県,0,,-
1st&substream,22DUNK,0,,-,522,YUUNA*,岐阜県,587,WEST,岐阜県,647,ALBION,岐阜県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,495,REDS0M,岐阜県,603,REDS0M,岐阜県,647,YUUNA*,岐阜県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,498,COCOA,岐阜県,857,YUUNA*,岐阜県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,747,SS-I58,岐阜県,1053,SYRUP,岐阜県,1199,SWOOPS,岐阜県,0,,-
2nd style,I Was The One,0,,-,459,COCOA,岐阜県,618,DOG,岐阜県,688,YUUNA*,岐阜県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,622,CHAOS,岐阜県,875,WEST,岐阜県,1020,REDS0M,岐阜県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,591,SS-I58,岐阜県,999,REDS0M,岐阜県,1095,YUE.*,岐阜県,0,,-
2nd style,.59,0,,-,562,SS-I58,岐阜県,953,REDS0M,岐阜県,1144,ALBION,岐阜県,0,,-
3rd style,THE SAFARI,350,MAME,岐阜県,1183,YUE.*,岐阜県,1713,SWOOPS,岐阜県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,268,SYRUP,岐阜県,396,YUUNA*,岐阜県,0,,-,0,,-
3rd style,Skyscraper,0,,-,631,8MAMO,岐阜県,1127,MAME,岐阜県,1220,NOY,岐阜県,0,,-
3rd style,Schlagwerk,0,,-,708,SS-I58,岐阜県,1188,MI2PIN,岐阜県,1665,YUUNA*,岐阜県,0,,-
3rd style,REINCARNATION,0,,-,698,SS-I58,岐阜県,953,MAME,岐阜県,1248,NOY,岐阜県,0,,-
3rd style,R5,0,,-,739,VIP-KO,岐阜県,1168,77MARU,岐阜県,1761,ALBION,岐阜県,0,,-
3rd style,Presto,0,,-,484,8MAMO,岐阜県,968,SWOOPS,岐阜県,998,YUUNA*,岐阜県,0,,-
3rd style,LEADING CYBER,0,,-,808,YUE.*,岐阜県,1124,MAME,岐阜県,1231,ALBION,岐阜県,0,,-
3rd style,Holic,0,,-,723,DOG,岐阜県,1102,MAME,岐阜県,1646,YUKIA2,岐阜県,0,,-
3rd style,era (nostalmix),0,,-,770,FL4G-#,岐阜県,1065,ALBION,岐阜県,1481,F44*S2,岐阜県,0,,-
3rd style,Don't Stop!,0,,-,712,8MAMO,岐阜県,818,MAME,岐阜県,899,YUUNA*,岐阜県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,584,COLT,岐阜県,1236,ALBION,岐阜県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,791,ONOZU,岐阜県,1161,ROCKY,岐阜県,1318,ALBION,岐阜県,0,,-
4th style,SWEET LAB,0,,-,535,2,岐阜県,927,ITSUKI,岐阜県,1325,KH*358,岐阜県,0,,-
4th style,starmine,432,MAME,岐阜県,808,WEST,岐阜県,1357,WI,岐阜県,1536,77MARU,岐阜県,0,,-
4th style,Mr.T.(take me higher),0,,-,761,8MAMO,岐阜県,964,NE-SH0,岐阜県,1731,ALBION,岐阜県,0,,-
4th style,minimalian,0,,-,459,COCOA,岐阜県,1079,ITSUKI,岐阜県,1379,ALBION,岐阜県,0,,-
4th style,LOVE WILL・・・,0,,-,533,AMIYA,岐阜県,743,ITSUKI,岐阜県,1436,NOY,岐阜県,0,,-
4th style,KAMIKAZE,0,,-,919,DOG,岐阜県,1414,YUE.*,岐阜県,2201,ALBION,岐阜県,0,,-
4th style,Jam&Marmalade,0,,-,742,SHIBA,岐阜県,847,MAME,岐阜県,989,YUKIA2,岐阜県,0,,-
4th style,Hitch Hiker2,0,,-,681,COCOA,岐阜県,1141,YUE.*,岐阜県,1311,ALBION,岐阜県,1884,A,岐阜県
4th style,HIGHER,0,,-,484,MI2PIN,岐阜県,898,MAME,岐阜県,1266,YUUNA*,岐阜県,0,,-
4th style,FLOWERS for ALBION,0,,-,244,ALBION,岐阜県,444,ALBION,岐阜県,0,,-,0,,-
4th style,era (step mix),0,,-,943,21-19,岐阜県,1352,96GANE,岐阜県,1680,ROCKY,岐阜県,0,,-
4th style,empathy,0,,-,776,WEST,岐阜県,1312,YUE.*,岐阜県,1421,ALBION,岐阜県,0,,-
4th style,DXY!,0,,-,1280,ALBION,岐阜県,1696,YUE.*,岐阜県,2146,A,岐阜県,0,,-
4th style,Clione,0,,-,474,COCOA,岐阜県,912,S660!!,岐阜県,1574,CHERIE,岐阜県,2092,ROCKY,岐阜県
4th style,CHECKING YOU OUT,0,,-,567,SARASA,岐阜県,885,ALBION,岐阜県,1299,ALBION,岐阜県,0,,-
4th style,Burnin' The Floor,0,,-,517,COCOA,岐阜県,885,DOG,岐阜県,1423,8MAKEN,岐阜県,0,,-
4th style,Broken My Heart,0,,-,899,YUE.*,岐阜県,1459,S660!!,岐阜県,1774,SWOOPS,岐阜県,0,,-
4th style,B4U,0,,-,1013,A,岐阜県,1450,K-G3*,岐阜県,1982,KH*358,岐阜県,0,,-
4th style,ABSOLUTE,0,,-,1251,TOOL,岐阜県,1794,ITSUKI,岐阜県,2327,ALBION,岐阜県,2615,YAHOO!,岐阜県
