バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,777,T.T,和歌山県,1002,T.T,和歌山県,1157,GIGANT,和歌山県,0,,-
1st&substream,RUGGED ASH,0,,-,361,T.T,和歌山県,397,SOMA,和歌山県,1084,GIGANT,和歌山県,1976,TTOI,和歌山県
1st&substream,R3,0,,-,591,SASORI,和歌山県,663,SOMA,和歌山県,905,GIGANT,和歌山県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,528,T.T,和歌山県,695,SOMA,和歌山県,1114,GIGANT,和歌山県,0,,-
1st&substream,Macho Gang,0,,-,319,MOBE,和歌山県,908,96SK,和歌山県,1610,GIGANT,和歌山県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,191,TTOI,和歌山県,244,TTOI,和歌山県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,881,GIGANT,和歌山県,1012,GIGANT,和歌山県,1210,GIGANT,和歌山県,0,,-
1st&substream,gentle stress,0,,-,331,IEKEI,和歌山県,646,SOMA,和歌山県,1453,GIGANT,和歌山県,0,,-
1st&substream,GENOM SCREAMS,0,,-,378,96SK,和歌山県,826,Q-NO,和歌山県,1061,Q-NO,和歌山県,0,,-
1st&substream,GAMBOL,0,,-,269,AZUKI7,和歌山県,274,Q-NO,和歌山県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,257,AYETEX,和歌山県,481,SOMA,和歌山県,578,TTOI,和歌山県,0,,-
1st&substream,deep in you,0,,-,414,F55CPR,和歌山県,447,SOMA,和歌山県,650,Q-NO,和歌山県,0,,-
1st&substream,5.1.1.,0,,-,197,RAITO.,和歌山県,939,SASORI,和歌山県,1569,TTOI,和歌山県,0,,-
1st&substream,22DUNK,0,,-,0,,-,600,SOMA,和歌山県,654,GIGANT,和歌山県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,409,AIRHI,和歌山県,624,GIGANT,和歌山県,648,TTOI,和歌山県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,560,T.T,和歌山県,864,GIGANT,和歌山県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,826,SASORI,和歌山県,1073,T.T,和歌山県,1207,GIGANT,和歌山県,0,,-
2nd style,I Was The One,0,,-,429,AIRHI,和歌山県,629,SASORI,和歌山県,692,TTOI,和歌山県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,747,T.T,和歌山県,893,T.T,和歌山県,1064,TTOI,和歌山県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,684,SASORI,和歌山県,972,SOMA,和歌山県,1114,GIGANT,和歌山県,0,,-
2nd style,.59,0,,-,692,MORIX2,和歌山県,941,SOMA,和歌山県,1154,TTOI,和歌山県,0,,-
3rd style,THE SAFARI,352,VIET7M,和歌山県,1019,SASORI,和歌山県,1716,N,和歌山県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,0,,-,382,T.T,和歌山県,0,,-,0,,-
3rd style,Skyscraper,0,,-,499,773SUN,和歌山県,1063,ZZZ,和歌山県,1244,TTOI,和歌山県,0,,-
3rd style,Schlagwerk,0,,-,789,SASORI,和歌山県,1320,GIGANT,和歌山県,1686,TTOI,和歌山県,0,,-
3rd style,REINCARNATION,0,,-,402,AYETEX,和歌山県,980,SOMA,和歌山県,1278,GIGANT,和歌山県,0,,-
3rd style,R5,0,,-,722,SASORI,和歌山県,1104,SOMA,和歌山県,1762,RAITO.,和歌山県,0,,-
3rd style,Presto,0,,-,506,SASORI,和歌山県,987,GIGANT,和歌山県,1009,GIGANT,和歌山県,0,,-
3rd style,LEADING CYBER,0,,-,812,SASORI,和歌山県,1214,GIGANT,和歌山県,1278,GIGANT,和歌山県,0,,-
3rd style,Holic,0,,-,744,SASORI,和歌山県,1038,96SK,和歌山県,1707,RAITO.,和歌山県,0,,-
3rd style,era (nostalmix),0,,-,816,T.T,和歌山県,1100,TTOI,和歌山県,1503,RAITO.,和歌山県,0,,-
3rd style,Don't Stop!,0,,-,749,SASORI,和歌山県,800,SASORI,和歌山県,898,Q-NO,和歌山県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,579,SASORI,和歌山県,1260,GIGANT,和歌山県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,874,SASORI,和歌山県,1235,GIGANT,和歌山県,1317,GIGANT,和歌山県,0,,-
4th style,SWEET LAB,0,,-,513,SASORI,和歌山県,691,NAIBUS,和歌山県,1372,Q-NO,和歌山県,0,,-
4th style,starmine,436,VIET7M,和歌山県,885,T.T,和歌山県,1371,MORIX2,和歌山県,1568,Q-NO,和歌山県,0,,-
4th style,Mr.T.(take me higher),0,,-,831,T.T,和歌山県,933,SASORI,和歌山県,1758,GIGANT,和歌山県,0,,-
4th style,minimalian,0,,-,509,SASORI,和歌山県,1100,GIGANT,和歌山県,1404,GIGANT,和歌山県,0,,-
4th style,LOVE WILL・・・,0,,-,534,T.T,和歌山県,693,KASUR1,和歌山県,1463,GIGANT,和歌山県,0,,-
4th style,KAMIKAZE,0,,-,980,T.T,和歌山県,1485,GIGANT,和歌山県,2284,TTOI,和歌山県,0,,-
4th style,Jam&Marmalade,0,,-,722,SASORI,和歌山県,722,NAIBUS,和歌山県,981,KENX2.,和歌山県,0,,-
4th style,Hitch Hiker2,0,,-,797,SASORI,和歌山県,1025,ZZZ,和歌山県,1282,MORIX2,和歌山県,1929,GIGANT,和歌山県
4th style,HIGHER,0,,-,517,T.T,和歌山県,864,SASORI,和歌山県,1278,GIGANT,和歌山県,0,,-
4th style,FLOWERS for ALBION,0,,-,234,T.T,和歌山県,443,GIGANT,和歌山県,0,,-,0,,-
4th style,era (step mix),0,,-,1049,SASORI,和歌山県,1234,SOMA,和歌山県,1659,GIGANT,和歌山県,0,,-
4th style,empathy,0,,-,811,T.T,和歌山県,1192,SOMA,和歌山県,1456,GIGANT,和歌山県,0,,-
4th style,DXY!,0,,-,1141,SASORI,和歌山県,1896,GIGANT,和歌山県,2200,RAITO.,和歌山県,0,,-
4th style,Clione,0,,-,443,SAHARU,和歌山県,888,SASORI,和歌山県,1614,GIGANT,和歌山県,2143,TTOI,和歌山県
4th style,CHECKING YOU OUT,0,,-,568,KYON,和歌山県,909,GIGANT,和歌山県,1328,GIGANT,和歌山県,0,,-
4th style,Burnin' The Floor,0,,-,576,T.T,和歌山県,813,NAIBUS,和歌山県,1439,TTOI,和歌山県,0,,-
4th style,Broken My Heart,0,,-,861,SASORI,和歌山県,1495,GIGANT,和歌山県,1809,TTOI,和歌山県,0,,-
4th style,B4U,0,,-,1011,T.T,和歌山県,1407,F.K!,和歌山県,1990,RAITO.,和歌山県,0,,-
4th style,ABSOLUTE,0,,-,1211,SASORI,和歌山県,1837,GIGANT,和歌山県,2373,RAITO.,和歌山県,2705,TTOI,和歌山県
4th style,250bpm,0,,-,240,ELMA,和歌山県,815,SOMA,和歌山県,1321,RAD-W*,和歌山県,0,,-
5th style,V,341,VIET7M,和歌山県,1217,MORIX2,和歌山県,2423,MOBE,和歌山県,2938,RAITO.,和歌山県,0,,-
5th style,THE SHINING POLARIS,0,,-,881,SASORI,和歌山県,1324,GIGANT,和歌山県,1591,GIGANT,和歌山県,0,,-
5th style,THE CUBE,0,,-,644,MOBE,和歌山県,1173,SOMA,和歌山県,1345,GIGANT,和歌山県,0,,-
5th style,sync,0,,-,1022,SASORI,和歌山県,1789,F.K!,和歌山県,2365,RAITO.,和歌山県,0,,-
5th style,still my words,0,,-,855,SASORI,和歌山県,1225,RAITO.,和歌山県,0,,-,0,,-
