バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,424,GORO56,鳥取県,948,KAME,鳥取県,1082,HUTAO,鳥取県,0,,-
1st&substream,RUGGED ASH,0,,-,211,SHUSUI,鳥取県,386,SHUSUI,鳥取県,1028,HOMURA,鳥取県,1920,HOMURA,鳥取県
1st&substream,R3,0,,-,550,GIGLIO,鳥取県,591,GIGLIO,鳥取県,887,S0-NYA,鳥取県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,538,HUTAO,鳥取県,642,GIGLIO,鳥取県,1021,ALTE,鳥取県,0,,-
1st&substream,Macho Gang,0,,-,357,Y.Y,鳥取県,765,AME,鳥取県,1558,DEBU87,鳥取県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,163,GIGLIO,鳥取県,241,#MA3#,鳥取県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,771,SHUSUI,鳥取県,855,MOXON,鳥取県,1139,AOIXIX,鳥取県,0,,-
1st&substream,gentle stress,0,,-,196,SHUSUI,鳥取県,581,GIGLIO,鳥取県,1447,#MA3#,鳥取県,0,,-
1st&substream,GENOM SCREAMS,0,,-,3,SHUSUI,鳥取県,785,SALOON,鳥取県,1025,DEBU87,鳥取県,0,,-
1st&substream,GAMBOL,0,,-,233,GIGLIO,鳥取県,262,DEBU87,鳥取県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,361,AME,鳥取県,466,WT,鳥取県,562,DEBU87,鳥取県,0,,-
1st&substream,deep in you,0,,-,448,SHUSUI,鳥取県,447,SHUSUI,鳥取県,614,HUTAO,鳥取県,0,,-
1st&substream,5.1.1.,0,,-,193,SHUSUI,鳥取県,952,SHUSUI,鳥取県,1552,#MA3#,鳥取県,0,,-
1st&substream,22DUNK,0,,-,502,HUTAO,鳥取県,531,SHUSUI,鳥取県,619,HUTAO,鳥取県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,461,SHUSUI,鳥取県,23,SHUSUI,鳥取県,645,DEBU87,鳥取県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,360,GORO56,鳥取県,809,HUTAO,鳥取県,0,,-,0,,-
