バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,776,3439,広島県,1017,MELT,広島県,1126,ROBBY,広島県,0,,-
1st&substream,RUGGED ASH,0,,-,365,3439,広島県,400,44KING,広島県,1047,F.KAME,広島県,2021,HVM,広島県
1st&substream,R3,0,,-,563,A1,広島県,710,U-OTA*,広島県,903,NKNFAL,広島県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,544,3439,広島県,722,MELT,広島県,1116,NKNFAL,広島県,0,,-
1st&substream,Macho Gang,0,,-,381,44KING,広島県,1000,M.K,広島県,1629,-AKI-,広島県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,194,TATSU*,広島県,244,44KING,広島県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,782,DIVIDE,広島県,964,M.K,広島県,1151,M.K,広島県,0,,-
1st&substream,gentle stress,0,,-,332,2-4K,広島県,648,3439,広島県,1450,-AKI-,広島県,0,,-
1st&substream,GENOM SCREAMS,0,,-,348,A1,広島県,820,MELT,広島県,1039,ROBBY,広島県,0,,-
1st&substream,GAMBOL,0,,-,266,3439,広島県,274,44KING,広島県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,393,3439,広島県,500,M.K,広島県,578,NKNFAL,広島県,0,,-
1st&substream,deep in you,0,,-,487,3439,広島県,486,M.K,広島県,655,NAAYU,広島県,0,,-
1st&substream,5.1.1.,0,,-,187,WEL,広島県,995,U-OTA*,広島県,1565,NKNFAL,広島県,0,,-
1st&substream,22DUNK,0,,-,453,A1,広島県,619,M.K,広島県,654,44KING,広島県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,497,3439,広島県,613,U-OTA*,広島県,644,ROBBY,広島県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,501,A1,広島県,858,44KING,広島県,0,,-,0,,-
