バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,552,CICO2A,長崎県,989,ABABA,長崎県,1135,HEIPON,長崎県,0,,-
1st&substream,RUGGED ASH,0,,-,344,GOMI,長崎県,369,AOI*,長崎県,1015,K.FLAN,長崎県,1959,LAMY,長崎県
1st&substream,R3,0,,-,499,KAYAKI,長崎県,701,L,長崎県,890,KAEDE,長崎県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,480,CICO2A,長崎県,710,SHIURA,長崎県,1092,HEIPON,長崎県,0,,-
1st&substream,Macho Gang,0,,-,346,HTS,長崎県,1029,SHIURA,長崎県,1545,HEIPON,長崎県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,189,Z-GIRL,長崎県,229,Z-GIRL,長崎県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,658,CICO2A,長崎県,916,SHIURA,長崎県,1182,HEIPON,長崎県,0,,-
1st&substream,gentle stress,0,,-,309,GOMI,長崎県,645,ABABA,長崎県,1403,HEIPON,長崎県,0,,-
1st&substream,GENOM SCREAMS,0,,-,358,RYTHEM,長崎県,775,SHIURA,長崎県,1050,HEIPON,長崎県,0,,-
1st&substream,GAMBOL,0,,-,264,Z-GIRL,長崎県,272,SHIURA,長崎県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,359,CICO2A,長崎県,507,SHIURA,長崎県,568,HEIPON,長崎県,0,,-
1st&substream,deep in you,0,,-,386,CICO2A,長崎県,478,SHIURA,長崎県,657,HEIPON,長崎県,0,,-
1st&substream,5.1.1.,0,,-,173,CICO2A,長崎県,966,NAGO,長崎県,1536,KAEDE,長崎県,0,,-
1st&substream,22DUNK,0,,-,495,ARCAEA,長崎県,599,SHIURA,長崎県,649,HEIPON,長崎県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,466,CICO2A,長崎県,561,AOI*,長崎県,639,HEIPON,長崎県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,452,CICO2A,長崎県,850,LAMY,長崎県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,846,ABABA,長崎県,1065,ABABA,長崎県,1185,KAEDE,長崎県,0,,-
2nd style,I Was The One,0,,-,458,CICO2A,長崎県,632,SHIURA,長崎県,676,TAU,長崎県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,749,ARCAEA,長崎県,912,ABABA,長崎県,975,IIDX28,長崎県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,580,CICO2A,長崎県,1005,SHIURA,長崎県,1090,HEIPON,長崎県,0,,-
2nd style,.59,0,,-,574,KAYAKI,長崎県,811,AOI*,長崎県,1114,HEIPON,長崎県,0,,-
3rd style,THE SAFARI,345,NOZOM!,長崎県,925,RA,長崎県,1716,HEIPON,長崎県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,255,CICO2A,長崎県,379,ROBROY,長崎県,0,,-,0,,-
3rd style,Skyscraper,0,,-,513,CICO2A,長崎県,930,KAYAKI,長崎県,1232,P,長崎県,0,,-
3rd style,Schlagwerk,0,,-,677,CICO2A,長崎県,1238,SHIURA,長崎県,1619,P,長崎県,0,,-
3rd style,REINCARNATION,0,,-,698,CICO2A,長崎県,961,YUA*M,長崎県,1246,HEIPON,長崎県,0,,-
3rd style,R5,0,,-,631,LOVELY,長崎県,1021,NAMERK,長崎県,1727,P,長崎県,0,,-
3rd style,Presto,0,,-,417,CICO2A,長崎県,952,KAEDE,長崎県,957,K.FLAN,長崎県,0,,-
3rd style,LEADING CYBER,0,,-,791,ABABA,長崎県,1121,SHIURA,長崎県,1155,K.FLAN,長崎県,0,,-
3rd style,Holic,0,,-,635,CICO2A,長崎県,1072,ROBROY,長崎県,1685,HEIPON,長崎県,0,,-
3rd style,era (nostalmix),0,,-,636,CICO2A,長崎県,1011,SR,長崎県,1457,HEIPON,長崎県,0,,-
3rd style,Don't Stop!,0,,-,678,CICO2A,長崎県,748,CICO2A,長崎県,897,HEIPON,長崎県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,524,CICO2A,長崎県,1209,HEIPON,長崎県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,632,TOMO,長崎県,1124,SHIURA,長崎県,1269,P,長崎県,0,,-
4th style,SWEET LAB,0,,-,427,CICO2A,長崎県,889,SHIURA,長崎県,1237,KAEDE,長崎県,0,,-
4th style,starmine,415,NOZOM!,長崎県,776,CICO2A,長崎県,1368,SHIURA,長崎県,1544,LAMY,長崎県,0,,-
4th style,Mr.T.(take me higher),0,,-,660,CICO2A,長崎県,820,AOI*,長崎県,1690,TAU,長崎県,0,,-
4th style,minimalian,0,,-,470,CICO2A,長崎県,864,ROBROY,長崎県,1358,HEIPON,長崎県,0,,-
4th style,LOVE WILL・・・,0,,-,486,CICO2A,長崎県,666,AOI*,長崎県,1431,HEIPON,長崎県,0,,-
4th style,KAMIKAZE,0,,-,891,CICO2A,長崎県,1379,SHIURA,長崎県,2224,HEIPON,長崎県,0,,-
4th style,Jam&Marmalade,0,,-,643,LOVELY,長崎県,846,SHIURA,長崎県,958,ABABA,長崎県,0,,-
