バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,450,YOUKEY,熊本県,901,ZALMK,熊本県,1151,STRNGI,熊本県,0,,-
1st&substream,RUGGED ASH,0,,-,342,DECIDE,熊本県,358,A,熊本県,1042,8NEI,熊本県,1963,D.Z.I.,熊本県
1st&substream,R3,0,,-,573,4KI01,熊本県,660,SUU--*,熊本県,884,YM,熊本県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,494,DECIDE,熊本県,689,SYU4DX,熊本県,1081,K.,熊本県,0,,-
1st&substream,Macho Gang,0,,-,346,BIFU-L,熊本県,954,KAZZY.,熊本県,1619,D.Z.I.,熊本県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,182,DECIDE,熊本県,241,TARKOV,熊本県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,701,MOGULO,熊本県,920,P-OIZM,熊本県,1189,D.Z.I.,熊本県,0,,-
1st&substream,gentle stress,0,,-,325,P-OIZM,熊本県,619,P-OIZM,熊本県,1407,CURREN,熊本県,0,,-
1st&substream,GENOM SCREAMS,0,,-,352,4KI01,熊本県,822,D.Z.I.,熊本県,1049,D.Z.I.,熊本県,0,,-
1st&substream,GAMBOL,0,,-,269,C-CAT,熊本県,272,C-CAT,熊本県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,376,XILENT,熊本県,470,HA,熊本県,569,TARKOV,熊本県,0,,-
1st&substream,deep in you,0,,-,295,YOUKEY,熊本県,397,T2,熊本県,656,D.Z.I.,熊本県,0,,-
1st&substream,5.1.1.,0,,-,194,TFCC-L,熊本県,981,NJGAIA,熊本県,1554,STRNGI,熊本県,0,,-
1st&substream,22DUNK,0,,-,456,4KI01,熊本県,567,SUU--*,熊本県,647,D.Z.I.,熊本県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,486,DECIDE,熊本県,565,SUU--*,熊本県,642,D.Z.I.,熊本県,0,,-
