バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,708,HAKU*,鹿児島県,963,HAKU*,鹿児島県,1144,INOKI!,鹿児島県,0,,-
1st&substream,RUGGED ASH,0,,-,246,KAZU,鹿児島県,338,JUST..,鹿児島県,1079,AITHON,鹿児島県,1959,FUSI,鹿児島県
1st&substream,R3,0,,-,312,TORORO,鹿児島県,717,ARROW.,鹿児島県,889,FUSI,鹿児島県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,373,YOMA,鹿児島県,708,KOMURO,鹿児島県,1088,HIRO99,鹿児島県,0,,-
1st&substream,Macho Gang,0,,-,367,OFUTON,鹿児島県,975,MAT.,鹿児島県,1627,HIRO99,鹿児島県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,189,HAKU*,鹿児島県,243,SUMIRE,鹿児島県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,390,ZIZOU*,鹿児島県,927,HAKU*,鹿児島県,1188,FUSI,鹿児島県,0,,-
1st&substream,gentle stress,0,,-,320,MIKI.H,鹿児島県,624,0000,鹿児島県,1435,FUSI,鹿児島県,0,,-
1st&substream,GENOM SCREAMS,0,,-,196,ZIZOU*,鹿児島県,745,HAKU*,鹿児島県,1051,FUSI,鹿児島県,0,,-
1st&substream,GAMBOL,0,,-,264,HAKU*,鹿児島県,272,FUSI,鹿児島県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,361,RPG,鹿児島県,484,SEKKEN,鹿児島県,574,FUSI,鹿児島県,0,,-
1st&substream,deep in you,0,,-,0,,-,430,LEVIN,鹿児島県,661,SUMIRE,鹿児島県,0,,-
1st&substream,5.1.1.,0,,-,187,HAKU*,鹿児島県,967,INK,鹿児島県,1556,AITHON,鹿児島県,0,,-
