バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,256,AMAKU!,シンガポール,2,OMULE2,シンガポール,1144,710,シンガポール,0,,-
1st&substream,RUGGED ASH,0,,-,0,,-,211,Z-NA0,シンガポール,1080,710,シンガポール,1969,YUBI,シンガポール
1st&substream,R3,0,,-,634,ZEFF,シンガポール,0,,-,905,710,シンガポール,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,418,DRAGZZ,シンガポール,730,HOSHEY,シンガポール,1119,710,シンガポール,0,,-
1st&substream,Macho Gang,0,,-,373,INDEX,シンガポール,838,TAMAMI,シンガポール,1623,710,シンガポール,0,,-
1st&substream,KEEP ON MOVIN',0,,-,185,OMULE2,シンガポール,243,INDEX,シンガポール,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,1,SUFURE,シンガポール,921,ZEFF,シンガポール,1203,710,シンガポール,0,,-
1st&substream,gentle stress,0,,-,0,,-,430,AAAAA,シンガポール,1441,710,シンガポール,0,,-
1st&substream,GENOM SCREAMS,0,,-,232,SPROCC,シンガポール,760,D,シンガポール,1053,YUBI,シンガポール,0,,-
1st&substream,GAMBOL,0,,-,234,7KIRI*,シンガポール,273,710,シンガポール,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,0,,-,486,GOSYO!,シンガポール,569,710,シンガポール,0,,-
1st&substream,deep in you,0,,-,474,OMULE2,シンガポール,0,,-,657,710,シンガポール,0,,-
1st&substream,5.1.1.,0,,-,172,9XST3W,シンガポール,862,TAMAMI,シンガポール,1548,710,シンガポール,0,,-
1st&substream,22DUNK,0,,-,495,OMULE2,シンガポール,132,RUBYOX,シンガポール,652,710,シンガポール,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,500,INDEX,シンガポール,195,SPROCC,シンガポール,645,710,シンガポール,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,365,GOSYO!,シンガポール,856,710,シンガポール,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,137,MANDA,シンガポール,0,,-,1209,710,シンガポール,0,,-
2nd style,I Was The One,0,,-,475,SUFURE,シンガポール,0,,-,689,710,シンガポール,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,475,ORENJI,シンガポール,884,MACH.,シンガポール,1064,710,シンガポール,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,425,QUINN?,シンガポール,0,,-,1126,710,シンガポール,0,,-
2nd style,.59,0,,-,320,2DS!!,シンガポール,955,HOSHEY,シンガポール,1122,YUBI,シンガポール,0,,-
3rd style,THE SAFARI,308,MENDES,シンガポール,941,MENDES,シンガポール,1747,YUBI,シンガポール,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,0,,-,386,LYCOS*,シンガポール,0,,-,0,,-
3rd style,Skyscraper,0,,-,0,,-,1137,HOSHEY,シンガポール,1244,710,シンガポール,0,,-
3rd style,Schlagwerk,0,,-,0,,-,1230,GOSYO!,シンガポール,1679,710,シンガポール,0,,-
3rd style,REINCARNATION,0,,-,812,ZEFF,シンガポール,0,,-,1172,U-KA,シンガポール,0,,-
3rd style,R5,0,,-,746,LA#FA,シンガポール,923,ZXY!,シンガポール,1739,LA#FA,シンガポール,0,,-
3rd style,Presto,0,,-,343,PE,シンガポール,971,LU,シンガポール,997,710,シンガポール,0,,-
3rd style,LEADING CYBER,0,,-,0,,-,1159,KUKO,シンガポール,1199,INDEX,シンガポール,0,,-
3rd style,Holic,0,,-,0,,-,904,TUX,シンガポール,1698,710,シンガポール,0,,-
3rd style,era (nostalmix),0,,-,855,OMULE2,シンガポール,1046,YUBI,シンガポール,1502,710,シンガポール,0,,-
3rd style,Don't Stop!,0,,-,606,OMULE2,シンガポール,0,,-,902,710,シンガポール,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,508,MKMK*,シンガポール,1243,710,シンガポール,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,168,#NANCY,シンガポール,1175,KUKO,シンガポール,1304,710,シンガポール,0,,-
4th style,SWEET LAB,0,,-,0,,-,904,HOSHEY,シンガポール,1337,710,シンガポール,0,,-
4th style,starmine,336,SPROCC,シンガポール,669,MKMK*,シンガポール,1316,KANADE,シンガポール,1556,YUBI,シンガポール,0,,-
4th style,Mr.T.(take me higher),0,,-,180,KOKUY0,シンガポール,912,GOSYO!,シンガポール,1746,710,シンガポール,0,,-
4th style,minimalian,0,,-,0,,-,969,DLSITE,シンガポール,1397,710,シンガポール,0,,-
4th style,LOVE WILL・・・,0,,-,0,,-,733,OMULE2,シンガポール,1416,D,シンガポール,0,,-
4th style,KAMIKAZE,0,,-,0,,-,1381,OMULE2,シンガポール,2279,710,シンガポール,0,,-
4th style,Jam&Marmalade,0,,-,489,NIGU,シンガポール,0,,-,1008,710,シンガポール,0,,-
4th style,Hitch Hiker2,0,,-,0,,-,1145,HOSHEY,シンガポール,1315,710,シンガポール,1924,710,シンガポール
4th style,HIGHER,0,,-,0,,-,0,,-,1277,710,シンガポール,0,,-
4th style,FLOWERS for ALBION,0,,-,234,710,シンガポール,419,YUBI,シンガポール,0,,-,0,,-
4th style,era (step mix),0,,-,725,MKMK*,シンガポール,1417,LU,シンガポール,1684,710,シンガポール,0,,-
4th style,empathy,0,,-,0,,-,1252,HOSHEY,シンガポール,1448,710,シンガポール,0,,-
4th style,DXY!,0,,-,842,KEVY,シンガポール,1674,ZEFF,シンガポール,2199,YUBI,シンガポール,0,,-
4th style,Clione,0,,-,0,,-,779,MENDES,シンガポール,1554,MOQSAN,シンガポール,2134,YUBI,シンガポール
4th style,CHECKING YOU OUT,0,,-,0,,-,857,710,シンガポール,1317,710,シンガポール,0,,-
4th style,Burnin' The Floor,0,,-,0,,-,477,LUKA.,シンガポール,1436,710,シンガポール,0,,-
4th style,Broken My Heart,0,,-,885,OMULE2,シンガポール,1413,HOSHEY,シンガポール,1810,710,シンガポール,0,,-
4th style,B4U,0,,-,846,AFRO,シンガポール,1478,KUKO,シンガポール,1983,YUBI,シンガポール,0,,-
4th style,ABSOLUTE,0,,-,381,RUNJE,シンガポール,1355,PEKORA,シンガポール,2285,KUKO,シンガポール,2541,MOQSAN,シンガポール
4th style,250bpm,0,,-,0,,-,838,DLSITE,シンガポール,1391,710,シンガポール,0,,-
5th style,V,313,PUNX,シンガポール,1200,SHKN,シンガポール,2345,D,シンガポール,2929,YUBI,シンガポール,0,,-
5th style,THE SHINING POLARIS,0,,-,494,MKMK*,シンガポール,1219,D,シンガポール,1575,710,シンガポール,0,,-
5th style,THE CUBE,0,,-,544,GEFF,シンガポール,1127,HOSHEY,シンガポール,1342,710,シンガポール,0,,-
5th style,sync,0,,-,1034,D,シンガポール,1497,ARGATO,シンガポール,2356,YUBI,シンガポール,0,,-
5th style,still my words,0,,-,899,OMULE2,シンガポール,1226,710,シンガポール,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,972,D,シンガポール,927,TATS,シンガポール,1885,710,シンガポール,0,,-
5th style,Spin the disc,0,,-,0,,-,0,,-,1328,710,シンガポール,0,,-
5th style,RISLIM,0,,-,0,,-,1183,LA#FA,シンガポール,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,576,GEFF,シンガポール,0,,-,1683,YUBI,シンガポール,1805,710,シンガポール
5th style,Regulus,0,,-,0,,-,1467,TAKES,シンガポール,1706,710,シンガポール,0,,-
5th style,Real,0,,-,793,MENDES,シンガポール,1697,LU,シンガポール,1791,LU,シンガポール,0,,-
5th style,Radical Faith,0,,-,0,,-,1084,MILLE,シンガポール,1303,710,シンガポール,0,,-
5th style,QQQ,0,,-,979,MENDES,シンガポール,1808,D,シンガポール,2131,YUBI,シンガポール,0,,-
5th style,outer wall,0,,-,0,,-,106,HOSHEY,シンガポール,1750,710,シンガポール,0,,-
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,-,752,OMULE2,シンガポール,734,TATS,シンガポール,1111,710,シンガポール,0,,-
5th style,in my eyes,0,,-,512,MMRRRR,シンガポール,1376,HOSHEY,シンガポール,1568,710,シンガポール,0,,-
5th style,Abyss,0,,-,1207,KANADE,シンガポール,1626,710,シンガポール,1821,YUBI,シンガポール,0,,-
6th style,電人イェーガーのテーマ(Theme of DENJIN J),0,,-,0,,-,1529,INDEX,シンガポール,0,,-,0,,-
6th style,こっちを向いてよ,0,,-,177,MMRRRR,シンガポール,1153,HOSHEY,シンガポール,1368,710,シンガポール,0,,-
6th style,VJ ARMY,0,,-,1128,GUMI,シンガポール,1456,MACH.,シンガポール,2180,710,シンガポール,0,,-
6th style,Take It Easy,0,,-,0,,-,2163,YNS*MY,シンガポール,2460,YUBI,シンガポール,0,,-
6th style,Summer Vacation(CU mix),0,,-,939,MENDES,シンガポール,1830,710,シンガポール,0,,-,0,,-
6th style,SOMETHING WONDERFUL,0,,-,566,SAM,シンガポール,0,,-,1966,710,シンガポール,0,,-
6th style,route 80s,0,,-,696,GUMI,シンガポール,736,MENDES,シンガポール,1507,710,シンガポール,0,,-
6th style,rottel-da-sun,0,,-,485,2DS!!,シンガポール,1055,CAT420,シンガポール,1782,CEEELL,シンガポール,0,,-
6th style,NEMESIS,0,,-,0,,-,1160,POM*,シンガポール,1843,YUBI,シンガポール,0,,-
6th style,Linus,0,,-,800,SUFURE,シンガポール,1183,TAMAMI,シンガポール,2160,YUBI,シンガポール,0,,-
6th style,G2,0,,-,1320,OMULE2,シンガポール,1425,MACH.,シンガポール,2292,710,シンガポール,0,,-
6th style,Frozen Ray (original mix),0,,-,1241,KUKO,シンガポール,1476,MACH.,シンガポール,1779,710,シンガポール,0,,-
6th style,Free Style,0,,-,0,,-,1021,HOSHEY,シンガポール,1289,710,シンガポール,0,,-
6th style,fly through the night,0,,-,0,,-,1142,GUMI,シンガポール,1702,710,シンガポール,0,,-
6th style,DIVE ～INTO YOUR HEART～,0,,-,0,,-,1721,D,シンガポール,2069,710,シンガポール,0,,-
6th style,Colors (radio edit),0,,-,1407,D,シンガポール,1940,LA#FA,シンガポール,2369,YUBI,シンガポール,0,,-
6th style,Buffalo,0,,-,0,,-,892,R.,シンガポール,1805,710,シンガポール,2464,710,シンガポール
6th style,Blueberry Stream,0,,-,0,,-,950,TATS,シンガポール,1629,710,シンガポール,0,,-
6th style,BALLAD FOR YOU～想いの雨～,0,,-,0,,-,0,,-,1061,YUBI,シンガポール,0,,-
6th style,"19,November",0,,-,0,,-,1377,D,シンガポール,1784,710,シンガポール,0,,-
7th style,革命,0,,-,639,MENDES,シンガポール,1825,GONBO3,シンガポール,2201,KUKO,シンガポール,0,,-
7th style,ZERO-ONE,0,,-,0,,-,1238,MACH.,シンガポール,2190,YUBI,シンガポール,0,,-
7th style,traces,0,,-,0,,-,0,,-,2119,710,シンガポール,0,,-
7th style,Tomorrow Perfume,0,,-,856,TATS,シンガポール,1503,U-KA,シンガポール,2086,710,シンガポール,0,,-
7th style,stoic,0,,-,1514,KANADE,シンガポール,2143,HOSHEY,シンガポール,2523,710,シンガポール,0,,-
7th style,Spica,0,,-,642,LU,シンガポール,1148,MACH.,シンガポール,2156,710,シンガポール,0,,-
7th style,Love Me Do,0,,-,945,PE,シンガポール,0,,-,2101,710,シンガポール,0,,-
7th style,Let the Snow Paint Me,0,,-,0,,-,1030,INDEX,シンガポール,1239,710,シンガポール,0,,-
7th style,Last Message,0,,-,992,YUBI,シンガポール,1323,YUBI,シンガポール,1624,710,シンガポール,0,,-
7th style,Happy Wedding,0,,-,0,,-,1212,TAMAMI,シンガポール,1805,710,シンガポール,0,,-
7th style,Glorious Days,0,,-,0,,-,467,JUDI04,シンガポール,900,710,シンガポール,0,,-
7th style,foreplay,0,,-,368,JUDI04,シンガポール,1024,DLSITE,シンガポール,1315,710,シンガポール,0,,-
7th style,DESTINY,0,,-,0,,-,1283,HOSHEY,シンガポール,1837,YUBI,シンガポール,0,,-
7th style,D2R,0,,-,747,MENDES,シンガポール,1209,HOSHEY,シンガポール,1622,710,シンガポール,0,,-
7th style,Cheer Train,0,,-,298,BOME,シンガポール,1150,HOSHEY,シンガポール,1726,710,シンガポール,0,,-
7th style,Burning Heat! (Full Option Mix),0,,-,0,,-,144,KYYY..,シンガポール,1458,710,シンガポール,0,,-
7th style,Bad Routine,0,,-,80,LEAF,シンガポール,1311,MOQSAN,シンガポール,1910,710,シンガポール,0,,-
7th style,AVE DE RAPINA,0,,-,0,,-,1614,IIDX21,シンガポール,1799,710,シンガポール,0,,-
7th style,A,0,,-,1230,KANADE,シンガポール,2006,LU,シンガポール,2449,YUBI,シンガポール,0,,-
8th style,蒼い衝動,0,,-,901,OMULE2,シンガポール,1348,LU,シンガポール,1589,710,シンガポール,0,,-
8th style,桜,0,,-,801,HIDARI,シンガポール,1432,GONBO3,シンガポール,2058,YUBI,シンガポール,0,,-
8th style,xenon,0,,-,0,,-,1652,TAKES,シンガポール,2711,YUBI,シンガポール,0,,-
8th style,World Wide Love,0,,-,0,,-,0,,-,1114,710,シンガポール,0,,-
8th style,WAR GAME,0,,-,957,OMULE2,シンガポール,1509,LA#FA,シンガポール,2118,710,シンガポール,0,,-
8th style,thunder,0,,-,1149,HOSHEY,シンガポール,1504,OMULE2,シンガポール,1842,710,シンガポール,0,,-
8th style,symbolic,0,,-,0,,-,1368,TAMAMI,シンガポール,2208,710,シンガポール,0,,-
8th style,rainbow flyer,0,,-,0,,-,1641,LU,シンガポール,2113,710,シンガポール,0,,-
8th style,PLEASE DON'T GO,0,,-,0,,-,1145,YEF!,シンガポール,2397,710,シンガポール,0,,-
8th style,MUSIC TO YOUR HEAD,0,,-,460,Z-NA0,シンガポール,1108,GOSYO!,シンガポール,1681,710,シンガポール,0,,-
