バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,454,JEUNO,アメリカ,962,DBDR!?,アメリカ,1124,HOTDOG,アメリカ,0,,-
1st&substream,RUGGED ASH,0,,-,182,TSRED,アメリカ,380,COZY.C,アメリカ,1064,PUNK,アメリカ,1965,VANARI,アメリカ
1st&substream,R3,0,,-,614,DJMAKI,アメリカ,679,ASHURA,アメリカ,886,PUNK,アメリカ,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,506,WESLEY,アメリカ,674,ASHURA,アメリカ,1081,SIMP,アメリカ,0,,-
1st&substream,Macho Gang,0,,-,377,B-MORE,アメリカ,988,WWE,アメリカ,1605,VANARI,アメリカ,0,,-
1st&substream,KEEP ON MOVIN',0,,-,185,TAMM.X,アメリカ,230,MXSXG!,アメリカ,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,671,SUPAHG,アメリカ,959,WWE,アメリカ,1190,PUNK,アメリカ,0,,-
1st&substream,gentle stress,0,,-,341,WWE,アメリカ,627,AVALON,アメリカ,1399,PUNK,アメリカ,0,,-
1st&substream,GENOM SCREAMS,0,,-,262,PSYKO,アメリカ,742,FUSEI3,アメリカ,1052,HOTDOG,アメリカ,0,,-
1st&substream,GAMBOL,0,,-,253,LITTTT,アメリカ,264,MXSXG!,アメリカ,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,329,SUPAHG,アメリカ,462,COZY.C,アメリカ,553,PUNK,アメリカ,0,,-
1st&substream,deep in you,0,,-,310,JEUNO,アメリカ,430,ESC,アメリカ,644,PUNK,アメリカ,0,,-
1st&substream,5.1.1.,0,,-,190,WWE,アメリカ,954,ASHURA,アメリカ,1544,VANARI,アメリカ,0,,-
1st&substream,22DUNK,0,,-,512,WWE,アメリカ,577,COZY.C,アメリカ,642,PUNK,アメリカ,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,484,WWE,アメリカ,577,COZY.C,アメリカ,637,ARK,アメリカ,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,474,WWE,アメリカ,842,PUNK,アメリカ,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,822,GRTHOK,アメリカ,1043,FUSEI3,アメリカ,1206,PUNK,アメリカ,0,,-
2nd style,I Was The One,0,,-,515,ASHURA,アメリカ,607,ASHURA,アメリカ,684,KEV.,アメリカ,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,717,GRTHOK,アメリカ,853,JA$E,アメリカ,1051,PUNK,アメリカ,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,462,MP!,アメリカ,1005,WWE,アメリカ,1103,PUNK,アメリカ,0,,-
2nd style,.59,0,,-,536,FRANGE,アメリカ,973,WWE,アメリカ,1137,PUNK,アメリカ,0,,-
3rd style,THE SAFARI,349,ASHURA,アメリカ,1096,FUSEI3,アメリカ,1746,ARK,アメリカ,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,269,ASHURA,アメリカ,390,HOTDOG,アメリカ,0,,-,0,,-
3rd style,Skyscraper,0,,-,423,HAY,アメリカ,1110,ASHURA,アメリカ,1234,PUNK,アメリカ,0,,-
3rd style,Schlagwerk,0,,-,369,CCCCD,アメリカ,1234,WWE,アメリカ,1670,VANARI,アメリカ,0,,-
3rd style,REINCARNATION,0,,-,538,ALEX,アメリカ,935,ZEUS,アメリカ,1257,PUNK,アメリカ,0,,-
3rd style,R5,0,,-,236,Q,アメリカ,1116,REVISE,アメリカ,1748,DEMIYA,アメリカ,0,,-
3rd style,Presto,0,,-,523,WWE,アメリカ,978,HOTDOG,アメリカ,998,PUNK,アメリカ,0,,-
3rd style,LEADING CYBER,0,,-,531,MERC,アメリカ,1159,ELIAS,アメリカ,1244,PUNK,アメリカ,0,,-
3rd style,Holic,0,,-,629,SUPAHG,アメリカ,1134,ZEUS,アメリカ,1687,HOTDOG,アメリカ,0,,-
3rd style,era (nostalmix),0,,-,695,KHOALA,アメリカ,982,ZEUS,アメリカ,1450,PUNK,アメリカ,0,,-
3rd style,Don't Stop!,0,,-,539,KRZY05,アメリカ,762,COZY.C,アメリカ,889,PUNK,アメリカ,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,581,WWE,アメリカ,1195,REVISE,アメリカ,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,448,MERC,アメリカ,1098,ZEUS,アメリカ,1312,PHN!X,アメリカ,0,,-
4th style,SWEET LAB,0,,-,531,WWE,アメリカ,862,ASHURA,アメリカ,1331,VANARI,アメリカ,0,,-
4th style,starmine,320,MECHRO,アメリカ,798,WESLEY,アメリカ,1324,ZEUS,アメリカ,1478,SHOP99,アメリカ,0,,-
4th style,Mr.T.(take me higher),0,,-,790,GRTHOK,アメリカ,958,ZEUS,アメリカ,1718,VANARI,アメリカ,0,,-
4th style,minimalian,0,,-,280,PSYKO,アメリカ,973,ZEUS,アメリカ,1385,HOTDOG,アメリカ,0,,-
4th style,LOVE WILL・・・,0,,-,326,ISSEY,アメリカ,663,COZY.C,アメリカ,1426,HOTDOG,アメリカ,0,,-
4th style,KAMIKAZE,0,,-,972,GRTHOK,アメリカ,1409,WWE,アメリカ,2222,N00B.,アメリカ,0,,-
4th style,Jam&Marmalade,0,,-,675,WESLEY,アメリカ,845,ZEUS,アメリカ,988,PUNK,アメリカ,0,,-
4th style,Hitch Hiker2,0,,-,293,RIGZ,アメリカ,0,,-,1224,TAMM.X,アメリカ,1918,PHN!X,アメリカ
4th style,HIGHER,0,,-,397,MIKE-G,アメリカ,853,ASHURA,アメリカ,1199,SHOP99,アメリカ,0,,-
4th style,FLOWERS for ALBION,0,,-,223,GRTHOK,アメリカ,443,ARK,アメリカ,0,,-,0,,-
4th style,era (step mix),0,,-,0,,-,1212,COZY.C,アメリカ,1614,PUNK,アメリカ,0,,-
4th style,empathy,0,,-,555,KRZY05,アメリカ,1293,WWE,アメリカ,1422,PUNK,アメリカ,0,,-
4th style,DXY!,0,,-,878,PATTYS,アメリカ,1732,POGAI2,アメリカ,2159,VANARI,アメリカ,0,,-
4th style,Clione,0,,-,334,DEF,アメリカ,912,WWE,アメリカ,1590,HOTDOG,アメリカ,2131,PHN!X,アメリカ
4th style,CHECKING YOU OUT,0,,-,534,ABEL,アメリカ,897,VANARI,アメリカ,1331,VANARI,アメリカ,0,,-
4th style,Burnin' The Floor,0,,-,379,ROBO..,アメリカ,915,DAGETT,アメリカ,1423,HOTDOG,アメリカ,0,,-
4th style,Broken My Heart,0,,-,605,AAABBB,アメリカ,1369,WWE,アメリカ,1756,HOTDOG,アメリカ,0,,-
4th style,B4U,0,,-,1019,WWE,アメリカ,1481,REVISE,アメリカ,1979,VANARI,アメリカ,0,,-
4th style,ABSOLUTE,0,,-,950,MIKE-G,アメリカ,1811,HOTDOG,アメリカ,2342,HOTDOG,アメリカ,2614,CIREZD,アメリカ
4th style,250bpm,0,,-,561,WESLEY,アメリカ,830,DEJIKO,アメリカ,1351,PUNK,アメリカ,0,,-
5th style,V,335,FUSEI3,アメリカ,1092,WESLEY,アメリカ,2401,JAG,アメリカ,2941,PHN!X,アメリカ,0,,-
5th style,THE SHINING POLARIS,0,,-,640,COOL25,アメリカ,1200,GRTHOK,アメリカ,1563,PUNK,アメリカ,0,,-
5th style,THE CUBE,0,,-,508,PHANTM,アメリカ,1144,ASHURA,アメリカ,1349,PHN!X,アメリカ,0,,-
5th style,sync,0,,-,1001,ZEUS,アメリカ,1856,REVISE,アメリカ,2316,PUNK,アメリカ,0,,-
5th style,still my words,0,,-,873,GRTHOK,アメリカ,1160,SHAAKE,アメリカ,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,447,ASTRID,アメリカ,1210,ASHURA,アメリカ,1857,VANARI,アメリカ,0,,-
5th style,Spin the disc,0,,-,430,KUMI,アメリカ,1165,ZEUS,アメリカ,1315,VANARI,アメリカ,0,,-
5th style,RISLIM,0,,-,880,WWE,アメリカ,1221,PHN!X,アメリカ,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,773,GRTHOK,アメリカ,819,CLOUDY,アメリカ,1604,TAMM.X,アメリカ,1775,VANARI,アメリカ
5th style,Regulus,0,,-,890,DJDADY,アメリカ,1370,ZEUS,アメリカ,1680,PUNK,アメリカ,0,,-
5th style,Real,0,,-,899,DEJIKO,アメリカ,1424,COZY.C,アメリカ,1762,PUNK,アメリカ,0,,-
5th style,Radical Faith,0,,-,755,ROBO..,アメリカ,1487,BIGC,アメリカ,1277,PUNK,アメリカ,0,,-
5th style,QQQ,0,,-,936,PHANTM,アメリカ,1774,TEHSIG,アメリカ,2134,N00B.,アメリカ,0,,-
5th style,outer wall,0,,-,848,GRTHOK,アメリカ,1219,ZEUS,アメリカ,1722,PUNK,アメリカ,0,,-
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,-,469,CCCCD,アメリカ,930,ASHURA,アメリカ,1067,WWE,アメリカ,0,,-
5th style,in my eyes,0,,-,692,COOL25,アメリカ,1335,ZEUS,アメリカ,1547,HOTDOG,アメリカ,0,,-
5th style,Abyss,0,,-,962,SUPAHG,アメリカ,1624,HOTDOG,アメリカ,1833,PUNK,アメリカ,0,,-
6th style,電人イェーガーのテーマ(Theme of DENJIN J),0,,-,693,ZABZZL,アメリカ,1539,PUNK,アメリカ,0,,-,0,,-
6th style,こっちを向いてよ,0,,-,363,GYROID,アメリカ,1099,JA$E,アメリカ,1344,HOTDOG,アメリカ,0,,-
6th style,VJ ARMY,0,,-,1227,WWE,アメリカ,1512,R1NATE,アメリカ,2175,VANARI,アメリカ,0,,-
6th style,Take It Easy,0,,-,1161,DJDASH,アメリカ,2308,TIMBIT,アメリカ,2474,VANARI,アメリカ,0,,-
6th style,Summer Vacation(CU mix),0,,-,1160,ASHURA,アメリカ,1640,GHOST,アメリカ,0,,-,0,,-
6th style,SOMETHING WONDERFUL,0,,-,852,GRTHOK,アメリカ,1174,JA$E,アメリカ,1980,PHN!X,アメリカ,0,,-
6th style,route 80s,0,,-,743,DEJIKO,アメリカ,1045,JA$E,アメリカ,1462,PUNK,アメリカ,0,,-
6th style,rottel-da-sun,0,,-,742,PRYZM,アメリカ,1098,JA$E,アメリカ,1807,PUNK,アメリカ,0,,-
6th style,NEMESIS,0,,-,902,GRTHOK,アメリカ,1304,R1NATE,アメリカ,1829,DEMIYA,アメリカ,0,,-
6th style,Linus,0,,-,843,ZEUS,アメリカ,1491,REVISE,アメリカ,2135,ARK,アメリカ,0,,-
6th style,G2,0,,-,1282,ASHURA,アメリカ,1692,REVISE,アメリカ,2242,PUNK,アメリカ,0,,-
6th style,Frozen Ray (original mix),0,,-,1149,Z00M,アメリカ,1583,BEEK,アメリカ,1730,PUNK,アメリカ,0,,-
6th style,Free Style,0,,-,791,PRYZM,アメリカ,1032,WWE,アメリカ,1270,HOTDOG,アメリカ,0,,-
6th style,fly through the night,0,,-,499,ADRIAN,アメリカ,1190,ASHURA,アメリカ,1681,PUNK,アメリカ,0,,-
6th style,DIVE ～INTO YOUR HEART～,0,,-,1235,WWE,アメリカ,1616,JA$E,アメリカ,2037,VANARI,アメリカ,0,,-
6th style,Colors (radio edit),0,,-,1104,HRCAM,アメリカ,1781,ALLEN,アメリカ,2413,DEMIYA,アメリカ,0,,-
6th style,Buffalo,0,,-,869,DEJIKO,アメリカ,1315,GRTHOK,アメリカ,1779,PUNK,アメリカ,2472,VANARI,アメリカ
6th style,Blueberry Stream,0,,-,574,KHOALA,アメリカ,1319,ZEUS,アメリカ,1619,PUNK,アメリカ,0,,-
6th style,BALLAD FOR YOU～想いの雨～,0,,-,434,COOL25,アメリカ,684,CND9,アメリカ,1057,TIMBIT,アメリカ,0,,-
6th style,"19,November",0,,-,1065,DAGETT,アメリカ,1306,KJA-P,アメリカ,1783,VANARI,アメリカ,0,,-
7th style,革命,0,,-,600,TBIRD,アメリカ,1791,JHAYR,アメリカ,2214,PUNK,アメリカ,0,,-
7th style,ZERO-ONE,0,,-,556,BUNN!!,アメリカ,1514,ASHURA,アメリカ,2191,BYTERU,アメリカ,0,,-
7th style,traces,0,,-,1388,ASHURA,アメリカ,1817,REVISE,アメリカ,2100,PUNK,アメリカ,0,,-
7th style,Tomorrow Perfume,0,,-,1017,DEJIKO,アメリカ,1824,KONG,アメリカ,2055,KEV.,アメリカ,0,,-
7th style,stoic,0,,-,1580,WWE,アメリカ,2055,WWE,アメリカ,2479,KEV.,アメリカ,0,,-
7th style,Spica,0,,-,618,ASHURA,アメリカ,1281,DJDADY,アメリカ,2160,VANARI,アメリカ,0,,-
