バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,796,PICO,東京都,1057,IMOTO*,大阪府,1160,KUREI,愛知県,0,,-
1st&substream,RUGGED ASH,0,,-,370,IMOTO*,大阪府,402,YUUNA*,岐阜県,1104,PEACE,愛知県,2077,PEACE,愛知県
1st&substream,R3,0,,-,660,IMOTO*,大阪府,736,IMOTO*,大阪府,908,CYBERX,神奈川県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,560,GB-XTO,富山県,752,RE*,和歌山県,1124,RIOO,富山県,0,,-
1st&substream,Macho Gang,0,,-,382,GOEMON,神奈川県,1090,PICO,東京都,1669,TATSU,神奈川県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,IMOTO*,大阪府,244,YUDEX2,愛知県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,884,PICO,東京都,1015,PICO,東京都,1215,DINASO,東京都,0,,-
1st&substream,gentle stress,0,,-,344,IMOTO*,大阪府,684,IMOTO*,大阪府,1453,MIKAMO,東京都,0,,-
1st&substream,GENOM SCREAMS,0,,-,422,IMOTO*,大阪府,831,IMOTO*,大阪府,1072,MIKAMO,東京都,0,,-
1st&substream,GAMBOL,0,,-,274,IMOTO*,大阪府,274,IMOTO*,大阪府,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,408,GB-XTO,富山県,522,17GO!?,熊本県,580,HAL,愛知県,0,,-
1st&substream,deep in you,0,,-,500,IMOTO*,大阪府,510,RE*,和歌山県,666,ANSA,愛知県,0,,-
1st&substream,5.1.1.,0,,-,198,IMOTO*,大阪府,1022,RE*,和歌山県,1572,CHARM,韓国,0,,-
1st&substream,22DUNK,0,,-,523,04*,東京都,646,GIGANT,和歌山県,658,ROCHER,マカオ,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,508,IMOTO*,大阪府,626,IMOTO*,大阪府,648,IMOTO*,大阪府,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,577,04*,東京都,866,BBMART,愛知県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,884,PICO,東京都,1137,IMOTO*,大阪府,1234,RIOO,富山県,0,,-
2nd style,I Was The One,0,,-,544,IMOTO*,大阪府,652,IMOTO*,大阪府,696,GIGANT,和歌山県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,769,NEODIO,青森県,962,IMOTO*,大阪府,1073,U*PAFE,福島県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,748,IMOTO*,大阪府,1073,RE*,和歌山県,1137,VELVET,大阪府,0,,-
2nd style,.59,0,,-,718,PICO,東京都,1017,WWW.M,大阪府,1167,PEACE,愛知県,0,,-
3rd style,THE SAFARI,366,*9N2*,神奈川県,1227,*ALEX*,静岡県,1791,MIKAMO,東京都,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,282,IMOTO*,大阪府,396,IMOTO*,大阪府,0,,-,0,,-
3rd style,Skyscraper,0,,-,744,PICO,東京都,1215,STEEL*,神奈川県,1255,CYBERX,神奈川県,0,,-
3rd style,Schlagwerk,0,,-,828,IMOTO*,大阪府,1325,PICO,東京都,1695,U*PAFE,福島県,0,,-
3rd style,REINCARNATION,0,,-,848,STEEL*,神奈川県,1048,IMOTO*,大阪府,1284,PEACE,愛知県,0,,-
