バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,746,HKD807,北海道,1000,7MA5V4,北海道,1148,MUCC,北海道,0,,-
1st&substream,RUGGED ASH,0,,-,365,ELAINA,北海道,397,ELAINA,北海道,1063,MUCC,北海道,1993,M-CHA*,北海道
1st&substream,R3,0,,-,628,ALIKA,北海道,729,X,北海道,899,SUZUKI,北海道,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,550,ELAINA,北海道,734,PINGU.,北海道,1112,MUCC,北海道,0,,-
1st&substream,Macho Gang,0,,-,373,L!A,北海道,1036,WAKIGE,北海道,1591,TEFNUT,北海道,0,,-
1st&substream,KEEP ON MOVIN',0,,-,194,99MOON,北海道,244,99MOON,北海道,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,820,T-Y#,北海道,976,X,北海道,1207,N!?,北海道,0,,-
1st&substream,gentle stress,0,,-,320,KITUNE,北海道,660,A,北海道,1444,JOHN.S,北海道,0,,-
1st&substream,GENOM SCREAMS,0,,-,394,MASIMO,北海道,802,SUWA,北海道,1064,MUCC,北海道,0,,-
1st&substream,GAMBOL,0,,-,272,ALIKA,北海道,272,JOHN.S,北海道,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,389,.IXION,北海道,504,PRIMO,北海道,575,COSTCO,北海道,0,,-
1st&substream,deep in you,0,,-,490,DONMEL,北海道,491,9MA3RO,北海道,650,MUCC,北海道,0,,-
1st&substream,5.1.1.,0,,-,198,SAI.,北海道,1010,SAFARI,北海道,1566,N!?,北海道,0,,-
1st&substream,22DUNK,0,,-,501,USE,北海道,635,X,北海道,653,MUCC,北海道,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,495,ELAINA,北海道,603,9MA3RO,北海道,643,MUCC,北海道,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,402,COBI,北海道,852,MUCC,北海道,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,834,USE,北海道,1047,9MA3RO,北海道,1209,99MOON,北海道,0,,-
2nd style,I Was The One,0,,-,518,GHOST,北海道,623,9MA3RO,北海道,692,DONMEL,北海道,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,491,AAAAAA,北海道,881,KITUNE,北海道,1065,*JILL*,北海道,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,678,HKD807,北海道,997,9MA3RO,北海道,1118,DONMEL,北海道,0,,-
2nd style,.59,0,,-,665,SILVER,北海道,984,MQUEEN,北海道,1166,N!?,北海道,0,,-
3rd style,THE SAFARI,303,DIA,北海道,1139,79L,北海道,1761,N!?,北海道,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,274,ELAINA,北海道,394,DONMEL,北海道,0,,-,0,,-
3rd style,Skyscraper,0,,-,686,SHIRON,北海道,1201,MUCC,北海道,1251,N!?,北海道,0,,-
3rd style,Schlagwerk,0,,-,793,ELAINA,北海道,1225,9MA3RO,北海道,1676,99MOON,北海道,0,,-
3rd style,REINCARNATION,0,,-,822,REIN-A,北海道,1023,MUCC,北海道,1279,N!?,北海道,0,,-
3rd style,R5,0,,-,761,SUWA,北海道,1174,N!?,北海道,1758,CIS,北海道,0,,-
3rd style,Presto,0,,-,522,MASIMO,北海道,981,MUCC,北海道,1014,N!?,北海道,0,,-
3rd style,LEADING CYBER,0,,-,821,MASIMO,北海道,1135,9MA3RO,北海道,1262,MUCC,北海道,0,,-
3rd style,Holic,0,,-,739,USE,北海道,1235,MUCC,北海道,1706,*WOOL*,北海道,0,,-
3rd style,era (nostalmix),0,,-,846,79L,北海道,1100,N!?,北海道,1539,DPSTN,北海道,0,,-
3rd style,Don't Stop!,0,,-,759,ELAINA,北海道,839,9MA3RO,北海道,900,MUCC,北海道,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,585,HKD807,北海道,1238,MGRK,北海道,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,959,N!?,北海道,1257,N!?,北海道,1340,N!?,北海道,0,,-
4th style,SWEET LAB,0,,-,520,ELAINA,北海道,881,9MA3RO,北海道,1372,TEFNUT,北海道,0,,-
4th style,starmine,447,ELAINA,北海道,863,USE,北海道,1338,HA-2.C,北海道,1578,TEFNUT,北海道,0,,-
4th style,Mr.T.(take me higher),0,,-,626,MAKI,北海道,956,GHOST,北海道,1752,N!?,北海道,0,,-
4th style,minimalian,0,,-,500,T-Y#,北海道,1044,9MA3RO,北海道,1407,N!?,北海道,0,,-
4th style,LOVE WILL・・・,0,,-,540,REIN-A,北海道,737,&#9787,北海道,1460,N!?,北海道,0,,-
4th style,KAMIKAZE,0,,-,964,ELAINA,北海道,1411,9MA3RO,北海道,2291,N!?,北海道,0,,-
4th style,Jam&Marmalade,0,,-,733,ELAINA,北海道,849,9MA3RO,北海道,1004,LEAF.M,北海道,0,,-
4th style,Hitch Hiker2,0,,-,781,ELAINA,北海道,1085,9MA3RO,北海道,1326,N!?,北海道,1927,*WOOL*,北海道
4th style,HIGHER,0,,-,520,MIKU.N,北海道,905,9MA3RO,北海道,1279,COSTCO,北海道,0,,-
4th style,FLOWERS for ALBION,0,,-,236,REIN-A,北海道,444,N!?,北海道,0,,-,0,,-
4th style,era (step mix),0,,-,1079,ALIKA,北海道,1359,PS,北海道,1699,N!?,北海道,0,,-
4th style,empathy,0,,-,801,O.486,北海道,1294,ALIKA,北海道,1468,N!?,北海道,0,,-
4th style,DXY!,0,,-,1213,MASIMO,北海道,1709,MASIMO,北海道,2238,DPSTN,北海道,0,,-
4th style,Clione,0,,-,504,REIN-A,北海道,922,&#9787,北海道,1620,N!?,北海道,2133,99MOON,北海道
4th style,CHECKING YOU OUT,0,,-,593,9ROKA.,北海道,856,DXY!,北海道,1347,DPSTN,北海道,0,,-
4th style,Burnin' The Floor,0,,-,573,REIN-A,北海道,887,9MA3RO,北海道,1432,MUCC,北海道,0,,-
4th style,Broken My Heart,0,,-,882,USE,北海道,1428,KAWASE,北海道,1818,N!?,北海道,0,,-
4th style,B4U,0,,-,957,ELAINA,北海道,1500,ROOMBA,北海道,2012,COSTCO,北海道,0,,-
4th style,ABSOLUTE,0,,-,1249,KITUNE,北海道,1825,MUCC,北海道,2410,N!?,北海道,2702,TSURRR,北海道
4th style,250bpm,0,,-,671,ALIKA,北海道,963,A,北海道,1414,N!?,北海道,0,,-
5th style,V,335,ELAINA,北海道,1223,CHEESE,北海道,2504,N!?,北海道,3027,DOREMY,北海道,0,,-
5th style,THE SHINING POLARIS,0,,-,897,USE,北海道,1233,9MA3RO,北海道,1594,N!?,北海道,0,,-
5th style,THE CUBE,0,,-,543,HISUI,北海道,1264,VKANIV,北海道,1361,N!?,北海道,0,,-
5th style,sync,0,,-,1038,HKD807,北海道,1916,MUCC,北海道,2385,DPSTN,北海道,0,,-
5th style,still my words,0,,-,877,ELAINA,北海道,1220,MUCC,北海道,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,696,SUISOK,北海道,1268,NO.14,北海道,1914,DPSTN,北海道,0,,-
5th style,Spin the disc,0,,-,723,GHOST,北海道,1218,9MA3RO,北海道,1339,N!?,北海道,0,,-
5th style,sometime,0,,-,762,NARDI,北海道,1036,NARDI,北海道,1306,MUCC,北海道,0,,-
5th style,RISLIM,0,,-,622,MAKI,北海道,1227,MUCC,北海道,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,846,HKD807,北海道,1042,KAWASE,北海道,1713,ROOMBA,北海道,1798,KAMA,北海道
5th style,Regulus,0,,-,958,USE,北海道,1435,ALIKA,北海道,1716,N!?,北海道,0,,-
5th style,Real,0,,-,1086,ALIKA,北海道,1576,A,北海道,1803,JOHN.S,北海道,0,,-
5th style,Radical Faith,0,,-,848,SHRIMP,北海道,1496,DONMEL,北海道,1282,*JILL*,北海道,0,,-
5th style,QQQ,0,,-,991,HIMEKA,北海道,1871,COSTCO,北海道,2166,COSTCO,北海道,0,,-
5th style,outer wall,0,,-,420,PEPE,北海道,1270,KAWASE,北海道,1754,MUCC,北海道,0,,-
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,-,631,***OOZ,北海道,952,9MA3RO,北海道,1118,MUCC,北海道,0,,-
5th style,in my eyes,0,,-,800,SAKI,北海道,1404,9MA3RO,北海道,1587,N!?,北海道,0,,-
5th style,Abyss,0,,-,1229,USE,北海道,1602,COSTCO,北海道,1884,N!?,北海道,0,,-
6th style,電人イェーガーのテーマ(Theme of DENJIN J),0,,-,996,HKD807,北海道,1567,DONMEL,北海道,0,,-,0,,-
6th style,こっちを向いてよ,0,,-,792,MASIMO,北海道,1223,9MA3RO,北海道,1372,N!?,北海道,0,,-
6th style,VJ ARMY,0,,-,1230,NO.14,北海道,1786,N!?,北海道,2138,CIS,北海道,0,,-
6th style,Take It Easy,0,,-,1425,MASIMO,北海道,2259,ALIKA,北海道,2520,TEFNUT,北海道,0,,-
6th style,Summer Vacation(CU mix),0,,-,1248,ALIKA,北海道,1817,MUCC,北海道,0,,-,0,,-
6th style,SOMETHING WONDERFUL,0,,-,840,K.,北海道,1264,9MA3RO,北海道,1969,MUCC,北海道,0,,-
6th style,route 80s,0,,-,862,MASIMO,北海道,1154,AGRES,北海道,1513,DPSTN,北海道,0,,-
6th style,rottel-da-sun,0,,-,761,REIN-A,北海道,1297,PS,北海道,1859,ME$O,北海道,0,,-
6th style,NEMESIS,0,,-,913,USE,北海道,1441,9MA3RO,北海道,1875,JOHN.S,北海道,0,,-
6th style,Linus,0,,-,959,79L,北海道,1524,YUK1#S,北海道,2197,*WOOL*,北海道,0,,-
6th style,G2,0,,-,1390,G.G,北海道,1858,N!?,北海道,2307,HINO38,北海道,0,,-
6th style,Frozen Ray (original mix),0,,-,1248,USE,北海道,1729,VKANIV,北海道,1798,DPSTN,北海道,0,,-
6th style,Free Style,0,,-,889,ALIKA,北海道,1061,ALIKA,北海道,1312,COSTCO,北海道,0,,-
6th style,fly through the night,0,,-,859,REIN-A,北海道,1268,9MA3RO,北海道,1695,XBX360,北海道,0,,-
6th style,DIVE ～INTO YOUR HEART～,0,,-,1234,MASIMO,北海道,1761,MASIMO,北海道,2085,N!?,北海道,0,,-
6th style,Colors (radio edit),0,,-,1415,A,北海道,1964,MUCC,北海道,2461,JOHN.S,北海道,0,,-
6th style,Buffalo,0,,-,990,ALIKA,北海道,1409,X,北海道,1822,N!?,北海道,2485,N!?,北海道
6th style,Blueberry Stream,0,,-,767,HKD807,北海道,1409,KAWASE,北海道,1635,DPSTN,北海道,0,,-
6th style,BALLAD FOR YOU～想いの雨～,0,,-,565,REIN-A,北海道,743,9MA3RO,北海道,1069,DONMEL,北海道,0,,-
