バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,511,SPYRO,青森県,1027,KANGON,青森県,1146,TOAD,青森県,0,,-
1st&substream,RUGGED ASH,0,,-,0,,-,401,T,青森県,1067,A.X.L.,青森県,1983,A.X.L.,青森県
1st&substream,R3,0,,-,313,YUMI,青森県,732,SUICA,青森県,902,TOAD,青森県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,462,SPYRO,青森県,684,H2O,青森県,1110,TAKOPI,青森県,0,,-
1st&substream,Macho Gang,0,,-,283,RUBI,青森県,1033,POCKRO,青森県,1620,SUICA,青森県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,176,SINAPS,青森県,244,T,青森県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,295,YUMI,青森県,998,SUICA,青森県,1200,SUICA,青森県,0,,-
1st&substream,gentle stress,0,,-,242,9ON,青森県,648,BLANC.,青森県,1432,TOAD,青森県,0,,-
1st&substream,GENOM SCREAMS,0,,-,349,NEZ3,青森県,764,NEZ3,青森県,1069,MOSAPI,青森県,0,,-
1st&substream,GAMBOL,0,,-,273,E.L.D.,青森県,274,T,青森県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,383,ARU.68,青森県,430,ISZ,青森県,578,TAKOPI,青森県,0,,-
1st&substream,deep in you,0,,-,369,CSM,青森県,176,YUMI,青森県,664,MOSAPI,青森県,0,,-
1st&substream,5.1.1.,0,,-,118,DISK,青森県,983,NEZ3,青森県,1559,TOAD,青森県,0,,-
1st&substream,22DUNK,0,,-,278,YUMI,青森県,627,SUICA,青森県,653,TOAD,青森県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,491,ARU.68,青森県,343,SPYRO,青森県,642,KAWADX,青森県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,303,EEVEE!,青森県,859,MOSAPI,青森県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,881,NEODIO,青森県,1033,CSM,青森県,1218,MOSAPI,青森県,0,,-
2nd style,I Was The One,0,,-,476,CALFD,青森県,619,ARU.68,青森県,689,IIDX28,青森県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,769,NEODIO,青森県,391,YUMI,青森県,1069,MOSAPI,青森県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,331,YUMI,青森県,976,JETHY,青森県,1116,MOSAPI,青森県,0,,-
2nd style,.59,0,,-,434,YUMI,青森県,689,U-ZAN,青森県,1154,MOSAPI,青森県,0,,-
3rd style,THE SAFARI,260,PASY!,青森県,1108,ARCARD,青森県,1768,MOSAPI,青森県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,252,JKUN,青森県,396,T,青森県,0,,-,0,,-
3rd style,Skyscraper,0,,-,690,SIRO,青森県,927,A.AURA,青森県,1249,MOSAPI,青森県,0,,-
3rd style,Schlagwerk,0,,-,763,SIRO,青森県,1299,DIS-L,青森県,1672,A.X.L.,青森県,0,,-
3rd style,REINCARNATION,0,,-,805,ARU.68,青森県,761,NEZ3,青森県,1249,T,青森県,0,,-
3rd style,R5,0,,-,347,YUMI,青森県,1147,NEODIO,青森県,1754,MOSAPI,青森県,0,,-
3rd style,Presto,0,,-,234,RELLIM,青森県,958,GNH,青森県,1009,MOSAPI,青森県,0,,-
3rd style,LEADING CYBER,0,,-,258,YUMI,青森県,1069,S,青森県,1237,M.K*AY,青森県,0,,-
3rd style,Holic,0,,-,89,HELP!!,青森県,1169,ARCARD,青森県,1725,MOSAPI,青森県,0,,-
3rd style,era (nostalmix),0,,-,684,HOUJI,青森県,1083,USAGI,青森県,1496,KAWADX,青森県,0,,-
3rd style,Don't Stop!,0,,-,0,,-,848,KAWADX,青森県,898,TAKOPI,青森県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,0,,-,1258,MOSAPI,青森県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,499,HACK.6,青森県,1191,MUNE,青森県,1318,A.X.L.,青森県,0,,-
4th style,SWEET LAB,0,,-,542,RU4AN,青森県,974,NEODIO,青森県,1348,MOSAPI,青森県,0,,-
4th style,starmine,393,CSM,青森県,781,K.K,青森県,1344,OICHAN,青森県,1584,MOSAPI,青森県,0,,-
4th style,Mr.T.(take me higher),0,,-,775,S,青森県,938,H2O,青森県,1747,TOAD,青森県,0,,-
4th style,minimalian,0,,-,499,NEZ3,青森県,935,OKTM,青森県,1406,MOSAPI,青森県,0,,-
4th style,LOVE WILL・・・,0,,-,211,SUWAKO,青森県,737,SIY,青森県,1462,MOSAPI,青森県,0,,-
4th style,KAMIKAZE,0,,-,965,SIRO,青森県,1357,SIRO,青森県,2299,MOSAPI,青森県,0,,-
4th style,Jam&Marmalade,0,,-,348,YUMI,青森県,757,NEZ3,青森県,1005,TAKOPI,青森県,0,,-
4th style,Hitch Hiker2,0,,-,288,IIDX29,青森県,1109,PAC,青森県,1303,DIS-L,青森県,1934,MOSAPI,青森県
4th style,HIGHER,0,,-,288,P4RM,青森県,917,SIY,青森県,1272,TAKOPI,青森県,0,,-
4th style,FLOWERS for ALBION,0,,-,244,T,青森県,442,NEODIO,青森県,0,,-,0,,-
4th style,era (step mix),0,,-,1019,ARCARD,青森県,1233,NCG.NV,青森県,1659,TAKOPI,青森県,0,,-
