バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,662,SAIONJ,蟯ｩ謇狗恁,1009,RIGIN.,蟯ｩ謇狗恁,1122,GRN.,蟯ｩ謇狗恁,0,,-
1st&substream,RUGGED ASH,0,,-,345,AESPA*,蟯ｩ謇狗恁,384,SAIONJ,蟯ｩ謇狗恁,1021,GUCCIE,蟯ｩ謇狗恁,2048,DOLCE.,蟯ｩ謇狗恁
1st&substream,R3,0,,-,630,RAMDA,蟯ｩ謇狗恁,716,LOUP,蟯ｩ謇狗恁,884,110.,蟯ｩ謇狗恁,0,,-
1st&substream,PARANOIA MAX�曠IRTY MIX��,0,,-,514,AESPA*,蟯ｩ謇狗恁,667,WDN-2P,蟯ｩ謇狗恁,1088,IIDX29,蟯ｩ謇狗恁,0,,-
1st&substream,Macho Gang,0,,-,351,MIDO*2,蟯ｩ謇狗恁,1033,LOUP,蟯ｩ謇狗恁,1520,D&D&D,蟯ｩ謇狗恁,0,,-
1st&substream,KEEP ON MOVIN',0,,-,190,IIDX15,蟯ｩ謇狗恁,244,NENE,蟯ｩ謇狗恁,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,540,ROME,蟯ｩ謇狗恁,899,FIRE-S,蟯ｩ謇狗恁,1201,SHIVA.,蟯ｩ謇狗恁,0,,-
1st&substream,gentle stress,0,,-,329,YOSTAK,蟯ｩ謇狗恁,642,WDN-2P,蟯ｩ謇狗恁,1426,110.,蟯ｩ謇狗恁,0,,-
1st&substream,GENOM SCREAMS,0,,-,163,NNXA,蟯ｩ謇狗恁,724,EXTEND,蟯ｩ謇狗恁,1072,DOLCE.,蟯ｩ謇狗恁,0,,-
1st&substream,GAMBOL,0,,-,257,K-66.,蟯ｩ謇狗恁,269,KING-R,蟯ｩ謇狗恁,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,374,AESPA*,蟯ｩ謇狗恁,503,RAMDA,蟯ｩ謇狗恁,569,TABI,蟯ｩ謇狗恁,0,,-
1st&substream,deep in you,0,,-,486,RAMDA,蟯ｩ謇狗恁,445,SAIONJ,蟯ｩ謇狗恁,660,NENE,蟯ｩ謇狗恁,0,,-
1st&substream,5.1.1.,0,,-,197,RIGIN.,蟯ｩ謇狗恁,947,TOBI29,蟯ｩ謇狗恁,1569,DOLCE.,蟯ｩ謇狗恁,0,,-
1st&substream,22DUNK,0,,-,452,AESPA*,蟯ｩ謇狗恁,555,SAIONJ,蟯ｩ謇狗恁,634,110.,蟯ｩ謇狗恁,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,461,AESPA*,蟯ｩ謇狗恁,582,SAIONJ,蟯ｩ謇狗恁,648,SHIVA.,蟯ｩ謇狗恁,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,267,UUX,蟯ｩ謇狗恁,848,IIDX29,蟯ｩ謇狗恁,0,,-,0,,-
