バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,626,MA2KZ,宮城県,1018,LIERRE,宮城県,1142,DLSITE,宮城県,0,,-
1st&substream,RUGGED ASH,0,,-,369,MARIMO,宮城県,374,MAU,宮城県,1071,MSTRAL,宮城県,2016,YUFFIE,宮城県
1st&substream,R3,0,,-,655,MARIMO,宮城県,694,MAU,宮城県,892,FANZA*,宮城県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,537,A-BONE,宮城県,709,CANCAN,宮城県,1105,YULI,宮城県,0,,-
1st&substream,Macho Gang,0,,-,376,MARIMO,宮城県,907,TUBAKI,宮城県,1615,KEEL,宮城県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,MARIMO,宮城県,244,CAIT.C,宮城県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,9,ALT,宮城県,902,MAU,宮城県,1164,MSTRAL,宮城県,0,,-
1st&substream,gentle stress,0,,-,344,MARIMO,宮城県,652,DDMASA,宮城県,1444,NCG.SF,宮城県,0,,-
1st&substream,GENOM SCREAMS,0,,-,415,YULI,宮城県,724,CANCAN,宮城県,1049,YULI,宮城県,0,,-
1st&substream,GAMBOL,0,,-,273,LIERRE,宮城県,274,HIRO&C,宮城県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,406,MARIMO,宮城県,423,ALT,宮城県,570,YULI,宮城県,0,,-
1st&substream,deep in you,0,,-,377,BUDDA,宮城県,494,LIERRE,宮城県,660,KEEL,宮城県,0,,-
1st&substream,5.1.1.,0,,-,198,MARIMO,宮城県,992,MENU,宮城県,1568,UDON-G,宮城県,0,,-
1st&substream,22DUNK,0,,-,514,MARIMO,宮城県,637,YULI,宮城県,652,KEEL,宮城県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,505,MARIMO,宮城県,592,MAU,宮城県,643,SKMMYP,宮城県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,308,YYYKT?,宮城県,828,HYU-.,宮城県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,747,-D-,宮城県,993,MAU,宮城県,1220,KEEL,宮城県,0,,-
2nd style,I Was The One,0,,-,206,SIMC,宮城県,625,MENU,宮城県,686,LEGACY,宮城県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,659,KAME,宮城県,786,MAU,宮城県,1051,DO3PIN,宮城県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,601,BUDDA,宮城県,965,MAU,宮城県,1094,DO3PIN,宮城県,0,,-
2nd style,.59,0,,-,540,NON,宮城県,874,MAU,宮城県,1142,FANZA*,宮城県,0,,-
3rd style,THE SAFARI,366,MARIMO,宮城県,967,KSK.MT,宮城県,1761,KEEL,宮城県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,282,MARIMO,宮城県,392,LIERRE,宮城県,0,,-,0,,-
3rd style,Skyscraper,0,,-,501,YYY06,宮城県,870,MUJIN,宮城県,1237,DARK-I,宮城県,0,,-
3rd style,Schlagwerk,0,,-,676,KAME,宮城県,1288,LIERRE,宮城県,1669,DARK-I,宮城県,0,,-
3rd style,REINCARNATION,0,,-,702,INACON,宮城県,928,MAU,宮城県,1254,DLSITE,宮城県,0,,-
3rd style,R5,0,,-,771,MARIMO,宮城県,1157,YULI,宮城県,1755,KEEL,宮城県,0,,-
3rd style,Presto,0,,-,527,MARIMO,宮城県,975,AT-NAO,宮城県,993,DLSITE,宮城県,0,,-
3rd style,LEADING CYBER,0,,-,803,KAIN,宮城県,1179,LIERRE,宮城県,1199,MSTRAL,宮城県,0,,-
3rd style,Holic,0,,-,0,,-,1172,LIERRE,宮城県,1721,KEEL,宮城県,0,,-
3rd style,era (nostalmix),0,,-,702,SODEEP,宮城県,1102,YULI,宮城県,1520,KEEL,宮城県,0,,-
3rd style,Don't Stop!,0,,-,734,.,宮城県,852,YULI,宮城県,897,DARK-I,宮城県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,586,.,宮城県,1236,YULI,宮城県,0,,-,0,,-
5th style,V,346,MARIMO,宮城県,918,NON,宮城県,2406,SR-3,宮城県,2971,KEEL,宮城県,0,,-
5th style,THE SHINING POLARIS,0,,-,844,KADO,宮城県,1249,HIRO&C,宮城県,1577,YULI,宮城県,0,,-
5th style,THE CUBE,0,,-,742,LIERRE,宮城県,1237,LIERRE,宮城県,1338,LIERRE,宮城県,0,,-
5th style,sync,0,,-,1046,------,宮城県,1748,GARNET,宮城県,2391,KEEL,宮城県,0,,-
5th style,still my words,0,,-,555,AVRIL,宮城県,1227,YULI,宮城県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,456,N.14,宮城県,1282,LIERRE,宮城県,1910,KEEL,宮城県,0,,-
5th style,Spin the disc,0,,-,0,,-,1140,AOI,宮城県,1331,YULI,宮城県,0,,-
5th style,sometime,0,,-,754,LIERRE,宮城県,1032,LIERRE,宮城県,1315,YULI,宮城県,0,,-
5th style,RISLIM,0,,-,864,.,宮城県,1214,YULI,宮城県,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,840,HIRON,宮城県,1006,KAIN,宮城県,1707,YULI,宮城県,1787,EBI,宮城県
5th style,Regulus,0,,-,514,MIYA84,宮城県,1432,LIERRE,宮城県,1714,KEEL,宮城県,0,,-
5th style,Real,0,,-,389,AREVIN,宮城県,1553,KAZANE,宮城県,1827,KEEL,宮城県,0,,-
5th style,Radical Faith,0,,-,811,AYA,宮城県,1491,NCG.SF,宮城県,1296,DARK-I,宮城県,0,,-
5th style,QQQ,0,,-,1050,KKO,宮城県,1832,LIERRE,宮城県,2154,YULI,宮城県,0,,-
5th style,outer wall,0,,-,0,,-,1126,CANCAN,宮城県,1756,YULI,宮城県,0,,-
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,-,611,KANAKO,宮城県,846,HYU-.,宮城県,1114,DARK-I,宮城県,0,,-
5th style,in my eyes,0,,-,717,AKI*,宮城県,1143,YUBI,宮城県,1582,YULI,宮城県,0,,-
5th style,Abyss,0,,-,1099,-D-,宮城県,1557,LIERRE,宮城県,1875,KEEL,宮城県,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,794,ORY,宮城県,1143,MENU,宮城県,1327,KEEL,宮城県,0,,-
4th style,SWEET LAB,0,,-,230,HATAKI,宮城県,603,AKI*,宮城県,1345,HIRO,宮城県,0,,-
4th style,starmine,448,MARIMO,宮城県,721,AKI*,宮城県,1343,FO,宮城県,1589,UDON-G,宮城県,0,,-
4th style,Mr.T.(take me higher),0,,-,508,.,宮城県,857,ALT,宮城県,1736,NCG.SF,宮城県,0,,-
4th style,minimalian,0,,-,458,LINKER,宮城県,934,ANEL,宮城県,1407,KEEL,宮城県,0,,-
4th style,LOVE WILL・・・,0,,-,506,FBI.32,宮城県,747,CAIT.C,宮城県,1453,KEEL,宮城県,0,,-
4th style,KAMIKAZE,0,,-,845,SODEEP,宮城県,1392,MENU,宮城県,2290,KEEL,宮城県,0,,-
4th style,Jam&Marmalade,0,,-,727,TUBAKI,宮城県,735,KAMOME,宮城県,990,MSTRAL,宮城県,0,,-
4th style,Hitch Hiker2,0,,-,656,.,宮城県,1145,MARIMO,宮城県,1310,KEEL,宮城県,1925,KEEL,宮城県
4th style,HIGHER,0,,-,527,LIERRE,宮城県,665,14CK,宮城県,1273,DARK-I,宮城県,0,,-
4th style,FLOWERS for ALBION,0,,-,234,MARIMO,宮城県,442,YULI,宮城県,0,,-,0,,-
4th style,era (step mix),0,,-,902,33E3,宮城県,1399,DO3PIN,宮城県,1673,KEEL,宮城県,0,,-
4th style,empathy,0,,-,817,INKYO.,宮城県,1311,YULI,宮城県,1452,YULI,宮城県,0,,-
4th style,DXY!,0,,-,664,WISTER,宮城県,1706,LIERRE,宮城県,2240,NCG.SF,宮城県,0,,-
4th style,Clione,0,,-,517,.,宮城県,929,YULI,宮城県,1614,KEEL,宮城県,2155,KEEL,宮城県
4th style,CHECKING YOU OUT,0,,-,587,FO,宮城県,828,EBI,宮城県,1345,KEEL,宮城県,0,,-
4th style,Burnin' The Floor,0,,-,569,.,宮城県,761,AKI*,宮城県,1440,KEEL,宮城県,0,,-
4th style,Broken My Heart,0,,-,830,KADO,宮城県,1198,HIATUS,宮城県,1791,DLSITE,宮城県,0,,-
4th style,B4U,0,,-,1016,FANZA*,宮城県,1499,LIERRE,宮城県,1989,YULI,宮城県,0,,-
4th style,ABSOLUTE,0,,-,1044,SHANA,宮城県,1760,C,宮城県,2394,KEEL,宮城県,2722,KEEL,宮城県
4th style,250bpm,0,,-,629,FBI.32,宮城県,992,LIERRE,宮城県,1418,KEEL,宮城県,0,,-
6th style,電人イェーガーのテーマ(Theme of DENJIN J),0,,-,690,KANAKO,宮城県,1537,LIERRE,宮城県,0,,-,0,,-
6th style,こっちを向いてよ,0,,-,554,WISTER,宮城県,1259,LIERRE,宮城県,1357,NEMOUS,宮城県,0,,-
6th style,VJ ARMY,0,,-,1075,EGN09X,宮城県,1597,KAMIEL,宮城県,2209,KEEL,宮城県,0,,-
6th style,Take It Easy,0,,-,1241,-D-,宮城県,2316,LIERRE,宮城県,2506,KEEL,宮城県,0,,-
6th style,Summer Vacation(CU mix),0,,-,1169,------,宮城県,1830,KEEL,宮城県,0,,-,0,,-
6th style,SOMETHING WONDERFUL,0,,-,723,ZUMI,宮城県,1108,DENBE#,宮城県,1980,KEEL,宮城県,0,,-
6th style,route 80s,0,,-,229,-D-,宮城県,1183,HANDA8,宮城県,1510,YULI,宮城県,0,,-
6th style,rottel-da-sun,0,,-,563,GARPO,宮城県,1331,LIERRE,宮城県,1842,DARK-I,宮城県,0,,-
6th style,NEMESIS,0,,-,732,RIRAN,宮城県,1528,LIERRE,宮城県,1882,KEEL,宮城県,0,,-
6th style,Linus,0,,-,908,EBI,宮城県,1455,LIERRE,宮城県,2181,KEEL,宮城県,0,,-
6th style,G2,0,,-,1409,POCKET,宮城県,1710,LIERRE,宮城県,2321,KEEL,宮城県,0,,-
6th style,Frozen Ray (original mix),0,,-,1087,RAIN,宮城県,1610,MARISA,宮城県,1782,YUFFIE,宮城県,0,,-
6th style,Free Style,0,,-,659,AKI*,宮城県,697,JOHN,宮城県,1279,DARK-I,宮城県,0,,-
6th style,fly through the night,0,,-,452,DOO,宮城県,1171,AOI,宮城県,1714,YULI,宮城県,0,,-
6th style,DIVE ～INTO YOUR HEART～,0,,-,833,FANZA*,宮城県,1774,LIERRE,宮城県,2094,KEEL,宮城県,0,,-
6th style,Colors (radio edit),0,,-,985,YU931,宮城県,1802,GAKIO,宮城県,2421,KEEL,宮城県,0,,-
6th style,Buffalo,0,,-,523,SHUNYA,宮城県,1407,LIERRE,宮城県,1802,KEEL,宮城県,2494,YULI,宮城県
6th style,Blueberry Stream,0,,-,651,IIDX29,宮城県,1419,LIERRE,宮城県,1601,NEMOUS,宮城県,0,,-
6th style,BALLAD FOR YOU～想いの雨～,0,,-,567,.,宮城県,732,DDMASA,宮城県,1069,NEMOUS,宮城県,0,,-
