バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,416,TAKE.T,山形県,778,ABS,山形県,1148,SNOW,山形県,0,,-
1st&substream,RUGGED ASH,0,,-,216,KAZOO,山形県,201,MELON!,山形県,1045,KAR1N,山形県,1983,NEWYO9,山形県
1st&substream,R3,0,,-,498,CHACO,山形県,588,ZA0,山形県,865,DEMI,山形県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,354,77SUKE,山形県,672,BIG,山形県,1083,OPI.IK,山形県,0,,-
1st&substream,Macho Gang,0,,-,374,MOBRAT,山形県,848,.,山形県,1574,3Y2S,山形県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,133,NEKO,山形県,240,HARU*,山形県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,533,TOMO,山形県,790,D-PAN*,山形県,1106,KA37GI,山形県,0,,-
1st&substream,gentle stress,0,,-,336,SATO.B,山形県,628,SATO.B,山形県,1394,KAR1N,山形県,0,,-
1st&substream,GENOM SCREAMS,0,,-,212,OSATOH,山形県,386,QURAPO,山形県,1040,SNOW,山形県,0,,-
1st&substream,GAMBOL,0,,-,267,HARU*,山形県,274,DONUTS,山形県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,230,NEKO,山形県,486,ANI,山形県,575,HARU*,山形県,0,,-
1st&substream,deep in you,0,,-,211,OSATOH,山形県,0,,-,631,KAR1N,山形県,0,,-
1st&substream,5.1.1.,0,,-,188,6K,山形県,985,SATO.B,山形県,1556,KAR1N,山形県,0,,-
1st&substream,22DUNK,0,,-,429,CHACO,山形県,302,77SUKE,山形県,641,HARU*,山形県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,0,,-,471,KANTA,山形県,644,HARU*,山形県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,0,,-,839,KAR1N,山形県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,415,XION,山形県,1070,328,山形県,1178,KAR1N,山形県,0,,-
2nd style,I Was The One,0,,-,0,,-,425,TC*S1*,山形県,671,ANI,山形県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,0,,-,687,KANTA,山形県,1037,KAR1N,山形県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,0,,-,1007,DONUTS,山形県,1086,KAR1N,山形県,0,,-
2nd style,.59,0,,-,28,KEY,山形県,849,.,山形県,1116,PSCN,山形県,0,,-
3rd style,THE SAFARI,205,46GANE,山形県,935,RZN,山形県,1708,EBICH.,山形県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,141,46GANE,山形県,396,DONUTS,山形県,0,,-,0,,-
3rd style,Skyscraper,0,,-,40,XION,山形県,1041,.,山形県,1231,HARU*,山形県,0,,-
3rd style,Schlagwerk,0,,-,0,,-,868,8IGHT,山形県,1648,KAR1N,山形県,0,,-
