バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,760,WRC,福島県,926,KAICHO,福島県,1116,GW,福島県,0,,-
1st&substream,RUGGED ASH,0,,-,365,WRC,福島県,400,KOME-S,福島県,1056,REA*,福島県,1989,U*PAFE,福島県
1st&substream,R3,0,,-,652,WRC,福島県,670,MALO,福島県,897,ARTE3S,福島県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,433,1023YA,福島県,675,KAICHO,福島県,1109,U*PAFE,福島県,0,,-
1st&substream,Macho Gang,0,,-,369,U18RU*,福島県,800,TSBO,福島県,1630,U*PAFE,福島県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,WRC,福島県,244,KOME-S,福島県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,612,FALK3N,福島県,914,KAOTEN,福島県,1196,KOME-S,福島県,0,,-
1st&substream,gentle stress,0,,-,338,WRC,福島県,658,ISUZU,福島県,1444,KOME-S,福島県,0,,-
1st&substream,GENOM SCREAMS,0,,-,417,WRC,福島県,808,9-LL,福島県,1057,07KING,福島県,0,,-
1st&substream,GAMBOL,0,,-,274,KOME-S,福島県,268,KENTO,福島県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,408,WRC,福島県,514,WRC,福島県,572,KOME-S,福島県,0,,-
1st&substream,deep in you,0,,-,457,MALO,福島県,473,KAICHO,福島県,656,U*PAFE,福島県,0,,-
1st&substream,5.1.1.,0,,-,195,KENTO,福島県,976,WRC,福島県,1565,U*PAFE,福島県,0,,-
1st&substream,22DUNK,0,,-,508,07KING,福島県,591,KAICHO,福島県,646,KOME-S,福島県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,500,WRC,福島県,532,GN,福島県,648,KOME-S,福島県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,424,MPISTA,福島県,838,SORA,福島県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,761,GN,福島県,943,KAOTEN,福島県,1213,ARTE3S,福島県,0,,-
2nd style,I Was The One,0,,-,529,WRC,福島県,476,SETZER,福島県,685,KOME-S,福島県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,740,WRC,福島県,869,AS5KEY,福島県,1072,U*PAFE,福島県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,701,KAOTEN,福島県,991,WRC,福島県,1055,AMANE,福島県,0,,-
2nd style,.59,0,,-,500,SETZER,福島県,949,SORA,福島県,1128,KOME-S,福島県,0,,-
3rd style,THE SAFARI,320,A,福島県,1155,I-L,福島県,1745,U*PAFE,福島県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,278,WRC,福島県,395,KOME-S,福島県,0,,-,0,,-
3rd style,Skyscraper,0,,-,681,-RUKI-,福島県,1079,AKZW,福島県,1243,KOME-S,福島県,0,,-
3rd style,Schlagwerk,0,,-,577,MPISTA,福島県,1192,THE-TA,福島県,1695,U*PAFE,福島県,0,,-
3rd style,REINCARNATION,0,,-,746,-RUKI-,福島県,921,KAOTEN,福島県,1258,KOME-S,福島県,0,,-
3rd style,R5,0,,-,693,MALO,福島県,1136,IIDX29,福島県,1762,U*PAFE,福島県,0,,-
3rd style,Presto,0,,-,473,MIKLK,福島県,955,RGDOLL,福島県,1001,KOME-S,福島県,0,,-
3rd style,LEADING CYBER,0,,-,737,-RUKI-,福島県,1139,SCOLAR,福島県,1244,KOME-S,福島県,0,,-
3rd style,Holic,0,,-,707,MALO,福島県,1028,KAICHO,福島県,1666,07KING,福島県,0,,-
3rd style,era (nostalmix),0,,-,762,-RUKI-,福島県,1094,KOME-S,福島県,1458,RUNO,福島県,0,,-
3rd style,Don't Stop!,0,,-,742,-RUKI-,福島県,572,MPISTA,福島県,901,KOME-S,福島県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,574,-RUKI-,福島県,1251,07KING,福島県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,857,HITOMI,福島県,1145,*HAMU*,福島県,1326,U*PAFE,福島県,0,,-
4th style,SWEET LAB,0,,-,533,WRC,福島県,893,I-L,福島県,1355,U*PAFE,福島県,0,,-
4th style,starmine,423,MALO,福島県,853,HITOMI,福島県,1419,ARTE3S,福島県,1577,KOME-S,福島県,0,,-
4th style,Mr.T.(take me higher),0,,-,843,WRC,福島県,994,WRC,福島県,1728,ARTE3S,福島県,0,,-
4th style,minimalian,0,,-,536,WRC,福島県,1093,ARTE3S,福島県,1381,SIYORI,福島県,0,,-
4th style,LOVE WILL・・・,0,,-,549,WRC,福島県,752,WRC,福島県,1457,KOME-S,福島県,0,,-
4th style,KAMIKAZE,0,,-,960,HITOMI,福島県,1393,I-L,福島県,2280,KOME-S,福島県,0,,-
4th style,Jam&Marmalade,0,,-,732,HITOMI,福島県,857,KAICHO,福島県,1016,U*PAFE,福島県,0,,-
4th style,Hitch Hiker2,0,,-,0,,-,1067,A!L35,福島県,1312,KOME-S,福島県,1928,U*PAFE,福島県
4th style,HIGHER,0,,-,514,KEISE,福島県,855,MALO,福島県,1274,KOME-S,福島県,0,,-
4th style,FLOWERS for ALBION,0,,-,169,UDON,福島県,443,KOME-S,福島県,0,,-,0,,-
4th style,era (step mix),0,,-,1012,HITOMI,福島県,1255,PRESTO,福島県,1655,AUTO,福島県,0,,-
4th style,empathy,0,,-,811,WRC,福島県,1195,WRC,福島県,1466,U*PAFE,福島県,0,,-
4th style,DXY!,0,,-,1208,HITOMI,福島県,1582,AKZW,福島県,2264,U*PAFE,福島県,0,,-
4th style,Clione,0,,-,524,WRC,福島県,896,WRC,福島県,1608,U*PAFE,福島県,2120,07KING,福島県
4th style,CHECKING YOU OUT,0,,-,548,FALK3N,福島県,863,07KING,福島県,1332,U*PAFE,福島県,0,,-
4th style,Burnin' The Floor,0,,-,582,WRC,福島県,939,WRC,福島県,1438,U*PAFE,福島県,0,,-
4th style,Broken My Heart,0,,-,876,HITOMI,福島県,1282,KAICHO,福島県,1804,07KING,福島県,0,,-
4th style,B4U,0,,-,1002,WRC,福島県,1504,RGDOLL,福島県,1967,WTMATE,福島県,0,,-
4th style,ABSOLUTE,0,,-,1319,SORA,福島県,1800,ZUMOMO,福島県,2382,KOME-S,福島県,2661,FUTABA,福島県
4th style,250bpm,0,,-,676,HITOMI,福島県,991,SORA,福島県,1393,KOME-S,福島県,0,,-
5th style,V,321,KO9BUN,福島県,1172,KAOTEN,福島県,2477,U*PAFE,福島県,2964,07KING,福島県,0,,-
5th style,THE SHINING POLARIS,0,,-,925,WRC,福島県,1323,ARTE3S,福島県,1582,ARTE3S,福島県,0,,-
5th style,THE CUBE,0,,-,718,WRC,福島県,1260,KOME-S,福島県,1346,XWHW73,福島県,0,,-
5th style,sync,0,,-,1010,MALO,福島県,1736,HERMES,福島県,2354,07KING,福島県,0,,-
5th style,still my words,0,,-,911,WRC,福島県,1231,07KING,福島県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,963,HITOMI,福島県,1285,SAK#9,福島県,1907,U*PAFE,福島県,0,,-
5th style,Spin the disc,0,,-,752,HITOMI,福島県,1085,KAICHO,福島県,1326,KOME-S,福島県,0,,-
5th style,sometime,0,,-,732,KAICHO,福島県,1010,SORA,福島県,1314,ARTE3S,福島県,0,,-
5th style,RISLIM,0,,-,849,KEISE,福島県,1213,KOME-S,福島県,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,854,HITOMI,福島県,1057,SORA,福島県,1700,KOME-S,福島県,1816,KOME-S,福島県
5th style,Regulus,0,,-,973,HITOMI,福島県,1217,PURAIN,福島県,1712,U*PAFE,福島県,0,,-
5th style,Real,0,,-,1039,HITOMI,福島県,1555,4RO9MA,福島県,1761,KOME-S,福島県,0,,-
5th style,Radical Faith,0,,-,1111,HITOMI,福島県,1481,AMANE,福島県,1285,KOME-S,福島県,0,,-
5th style,QQQ,0,,-,1178,HITOMI,福島県,1775,YUI,福島県,2159,U*PAFE,福島県,0,,-
5th style,outer wall,0,,-,886,HITOMI,福島県,1184,KAICHO,福島県,1708,GW,福島県,0,,-
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,-,760,WRC,福島県,973,WRC,福島県,1118,KOME-S,福島県,0,,-
5th style,in my eyes,0,,-,964,ARTE3S,福島県,1466,ARTE3S,福島県,1579,ARTE3S,福島県,0,,-
5th style,Abyss,0,,-,1239,HITOMI,福島県,1456,WRC,福島県,1857,KINYA,福島県,0,,-
6th style,電人イェーガーのテーマ(Theme of DENJIN J),0,,-,1033,HITOMI,福島県,1511,FUZ,福島県,0,,-,0,,-
6th style,こっちを向いてよ,0,,-,778,HITOMI,福島県,854,SETZER,福島県,1375,KOME-S,福島県,0,,-
6th style,VJ ARMY,0,,-,1222,HITOMI,福島県,1407,AS5KEY,福島県,2254,U*PAFE,福島県,0,,-
6th style,Take It Easy,0,,-,1298,KEISE,福島県,2274,MEIK-L,福島県,2521,U*PAFE,福島県,0,,-
6th style,Summer Vacation(CU mix),0,,-,1196,HITOMI,福島県,1811,KOME-S,福島県,0,,-,0,,-
6th style,SOMETHING WONDERFUL,0,,-,872,HITOMI,福島県,1358,ARTE3S,福島県,1961,ARTE3S,福島県,0,,-
6th style,route 80s,0,,-,841,HITOMI,福島県,1195,ARTE3S,福島県,1497,ARTE3S,福島県,0,,-
6th style,rottel-da-sun,0,,-,760,HITOMI,福島県,1152,DAIFU9,福島県,1840,ARTE3S,福島県,0,,-
6th style,NEMESIS,0,,-,923,HITOMI,福島県,1115,LABI,福島県,1840,07KING,福島県,0,,-
6th style,Linus,0,,-,914,AAAA,福島県,1434,HERMES,福島県,2151,KOME-S,福島県,0,,-
6th style,G2,0,,-,1375,SORA,福島県,1723,YUI,福島県,2275,XWHW73,福島県,0,,-
6th style,Frozen Ray (original mix),0,,-,1209,HITOMI,福島県,1522,29DA2,福島県,1754,KINYA,福島県,0,,-
6th style,Free Style,0,,-,828,KEISE,福島県,667,FALK3N,福島県,1300,07KING,福島県,0,,-
6th style,fly through the night,0,,-,839,HITOMI,福島県,1306,SORA,福島県,1711,U*PAFE,福島県,0,,-
6th style,DIVE ～INTO YOUR HEART～,0,,-,1240,HITOMI,福島県,1790,*HAMU*,福島県,2111,U*PAFE,福島県,0,,-
6th style,Colors (radio edit),0,,-,1349,HITOMI,福島県,1788,MANJON,福島県,2382,07KING,福島県,0,,-
6th style,Buffalo,0,,-,958,HITOMI,福島県,1366,WRC,福島県,1793,KOME-S,福島県,2451,07KING,福島県
6th style,Blueberry Stream,0,,-,764,HITOMI,福島県,1235,KAICHO,福島県,1613,KINYA,福島県,0,,-
6th style,BALLAD FOR YOU～想いの雨～,0,,-,581,WRC,福島県,766,WRC,福島県,1071,KOME-S,福島県,0,,-
6th style,"19,November",0,,-,1070,HITOMI,福島県,1301,WRC,福島県,1771,KOME-S,福島県,0,,-
7th style,革命,0,,-,738,SORA,福島県,1759,MEIK-L,福島県,2312,07KING,福島県,0,,-
7th style,ZERO-ONE,0,,-,1068,SORA,福島県,1569,SAK#9,福島県,2210,07KING,福島県,0,,-
7th style,traces,0,,-,1482,SORA,福島県,1886,ARTE3S,福島県,2111,07KING,福島県,0,,-
7th style,Tomorrow Perfume,0,,-,1216,HITOMI,福島県,1717,DAIFU9,福島県,2097,KOME-S,福島県,0,,-
7th style,stoic,0,,-,1455,SILVIA,福島県,2433,ARTE3S,福島県,2572,U*PAFE,福島県,0,,-
7th style,Spica,0,,-,623,BIO,福島県,1360,DAIFU9,福島県,2220,U*PAFE,福島県,0,,-
7th style,Love Me Do,0,,-,1075,MINO,福島県,1637,HERMES,福島県,2113,KOME-S,福島県,0,,-
7th style,Let the Snow Paint Me,0,,-,796,KEISE,福島県,961,ARCO,福島県,1242,KOME-S,福島県,0,,-
7th style,Last Message,0,,-,959,WRC,福島県,1226,DAIFU9,福島県,1624,U*PAFE,福島県,0,,-
7th style,Happy Wedding,0,,-,1138,HITOMI,福島県,1583,APINYA,福島県,1792,KOME-S,福島県,0,,-
7th style,Glorious Days,0,,-,513,WRC,福島県,786,WRC,福島県,913,KOME-S,福島県,0,,-
7th style,foreplay,0,,-,611,HITOMI,福島県,1085,AURA,福島県,1271,XWHW73,福島県,0,,-
7th style,DESTINY,0,,-,995,HITOMI,福島県,960,ZONE0,福島県,1832,KOME-S,福島県,0,,-
7th style,D2R,0,,-,893,HITOMI,福島県,1266,SORA,福島県,1619,ARTE3S,福島県,0,,-
7th style,Cheer Train,0,,-,878,HITOMI,福島県,1224,ARTE3S,福島県,1709,ARTE3S,福島県,0,,-
7th style,Burning Heat! (Full Option Mix),0,,-,691,KENTO,福島県,419,MPISTA,福島県,1449,ARTE3S,福島県,0,,-
7th style,Bad Routine,0,,-,973,HITOMI,福島県,1325,SAK#9,福島県,1904,KOME-S,福島県,0,,-
7th style,AVE DE RAPINA,0,,-,1284,MINO,福島県,1529,WRC,福島県,1828,KOME-S,福島県,0,,-
7th style,A,0,,-,1202,MINO,福島県,1970,2.TA!!,福島県,2491,U*PAFE,福島県,0,,-
8th style,蒼い衝動,0,,-,913,WRC,福島県,1371,ARTE3S,福島県,1593,73K1Y9,福島県,0,,-
8th style,桜,0,,-,965,I-L,福島県,1409,AMANE,福島県,2122,U*PAFE,福島県,0,,-
8th style,xenon,0,,-,1042,WRC,福島県,1419,EILL,福島県,2709,07KING,福島県,0,,-
8th style,World Wide Love,0,,-,700,WRC,福島県,1017,*5YNC*,福島県,1116,KOME-S,福島県,0,,-
8th style,WAR GAME,0,,-,961,WRC,福島県,1521,WALZER,福島県,2140,07KING,福島県,0,,-
8th style,thunder,0,,-,1122,SAK#9,福島県,1492,SAK#9,福島県,1831,WALZER,福島県,0,,-
8th style,symbolic,0,,-,1358,HITOMI,福島県,1711,HITOMI,福島県,2210,WTMATE,福島県,0,,-
8th style,rainbow flyer,0,,-,775,WRC,福島県,1596,REA*,福島県,2105,07KING,福島県,0,,-
8th style,PLEASE DON'T GO,0,,-,929,HITOMI,福島県,1308,I-L,福島県,2426,U*PAFE,福島県,0,,-
8th style,MUSIC TO YOUR HEAD,0,,-,793,HITOMI,福島県,1446,ARTE3S,福島県,1684,U*PAFE,福島県,0,,-
8th style,murmur twins,0,,-,1091,WRC,福島県,1608,4RO9MA,福島県,2354,07KING,福島県,0,,-
8th style,Monkey Dance,0,,-,804,WRC,福島県,1233,WRC,福島県,1967,73K1Y9,福島県,0,,-
8th style,memories,0,,-,1039,HITOMI,福島県,1762,PRESTO,福島県,2255,U*PAFE,福島県,0,,-
8th style,Luv 2 Feel Your Body,0,,-,777,KEISE,福島県,613,S.HOPE,福島県,1646,U*PAFE,福島県,0,,-
8th style,LOVE IS ORANGE,0,,-,754,HITOMI,福島県,973,KAICHO,福島県,1787,WALZER,福島県,2095,07KING,福島県
8th style,LAB,0,,-,1006,HITOMI,福島県,1814,HITOMI,福島県,2089,07KING,福島県,0,,-
8th style,HYPER BOUNDARY GATE,0,,-,1192,HITOMI,福島県,1892,JAXYA,福島県,2206,KOME-S,福島県,0,,-
8th style,Halfway of promise,0,,-,942,WRC,福島県,1404,HITOMI,福島県,1801,KOME-S,福島県,0,,-
8th style,Giudecca,0,,-,835,HITOMI,福島県,1659,KAICHO,福島県,2639,07KING,福島県,0,,-
8th style,dual control,0,,-,728,HITOMI,福島県,1314,SORA,福島県,1874,U*PAFE,福島県,0,,-
8th style,Colors -Y&Co. Eurobeat Remix-,0,,-,1078,HITOMI,福島県,1791,KNIT,福島県,2175,07KING,福島県,0,,-
