バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,659,NKM,闌ｨ蝓守恁,956,IPSAMA,闌ｨ蝓守恁,1158,MOKA.A,闌ｨ蝓守恁,0,,-
1st&substream,RUGGED ASH,0,,-,338,OBUKI,闌ｨ蝓守恁,396,HENSEL,闌ｨ蝓守恁,1071,SYANKS,闌ｨ蝓守恁,2033,NCHO72,闌ｨ蝓守恁
1st&substream,R3,0,,-,647,XIAO,闌ｨ蝓守恁,677,FATE,闌ｨ蝓守恁,901,K6PP1.,闌ｨ蝓守恁,0,,-
1st&substream,PARANOIA MAX�曠IRTY MIX��,0,,-,548,AKML,闌ｨ蝓守恁,705,IPSAMA,闌ｨ蝓守恁,1101,REMAKO,闌ｨ蝓守恁,0,,-
1st&substream,Macho Gang,0,,-,372,SHU.,闌ｨ蝓守恁,949,IPSAMA,闌ｨ蝓守恁,1652,NCHO72,闌ｨ蝓守恁,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,ONTHE#,闌ｨ蝓守恁,244,NCHO72,闌ｨ蝓守恁,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,829,HENSEL,闌ｨ蝓守恁,932,19ZIN,闌ｨ蝓守恁,1198,REMAKO,闌ｨ蝓守恁,0,,-
1st&substream,gentle stress,0,,-,338,SELENE,闌ｨ蝓守恁,668,NURJES,闌ｨ蝓守恁,1430,REMAKO,闌ｨ蝓守恁,0,,-
1st&substream,GENOM SCREAMS,0,,-,412,HENSEL,闌ｨ蝓守恁,791,CA4ORE,闌ｨ蝓守恁,1066,NCHO72,闌ｨ蝓守恁,0,,-
1st&substream,GAMBOL,0,,-,266,HENSEL,闌ｨ蝓守恁,274,REMAKO,闌ｨ蝓守恁,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,400,HENSEL,闌ｨ蝓守恁,509,AXEL3,闌ｨ蝓守恁,576,NCHO72,闌ｨ蝓守恁,0,,-
1st&substream,deep in you,0,,-,479,AKML,闌ｨ蝓守恁,456,DDRMIX,闌ｨ蝓守恁,656,-16KG,闌ｨ蝓守恁,0,,-
1st&substream,5.1.1.,0,,-,197,HENSEL,闌ｨ蝓守恁,1002,Y2J,闌ｨ蝓守恁,1572,NCHO72,闌ｨ蝓守恁,0,,-
1st&substream,22DUNK,0,,-,409,NKM,闌ｨ蝓守恁,585,TWELVE,闌ｨ蝓守恁,654,-16KG,闌ｨ蝓守恁,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,499,AKML,闌ｨ蝓守恁,584,IPSAMA,闌ｨ蝓守恁,645,REMAKO,闌ｨ蝓守恁,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,543,AIKA,闌ｨ蝓守恁,841,MIA.T,闌ｨ蝓守恁,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,813,MUMEI,闌ｨ蝓守恁,1059,IPSAMA,闌ｨ蝓守恁,1218,K6PP1.,闌ｨ蝓守恁,0,,-
2nd style,I Was The One,0,,-,488,MR,闌ｨ蝓守恁,618,IPSAMA,闌ｨ蝓守恁,687,XIAO,闌ｨ蝓守恁,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,572,SPE,闌ｨ蝓守恁,866,IPSAMA,闌ｨ蝓守恁,1066,REMAKO,闌ｨ蝓守恁,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,439,AAA,闌ｨ蝓守恁,901,MAGIMO,闌ｨ蝓守恁,1075,REV-K,闌ｨ蝓守恁,0,,-
