バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,780,SAYA..,栃木県,1033,SAYA..,栃木県,1142,SLEEPY,栃木県,0,,-
1st&substream,RUGGED ASH,0,,-,369,SAYA..,栃木県,398,SAYA..,栃木県,1081,SLEEPY,栃木県,2004,SLEEPY,栃木県
1st&substream,R3,0,,-,653,SAYA..,栃木県,727,SAYA..,栃木県,897,GA9BRU,栃木県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,553,SAYA..,栃木県,745,SAYA..,栃木県,1107,GA9BRU,栃木県,0,,-
1st&substream,Macho Gang,0,,-,380,SAYA..,栃木県,1015,FL4V1A,栃木県,1590,SLEEPY,栃木県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,195,SAYA..,栃木県,244,SLEEPY,栃木県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,866,SAYA..,栃木県,959,SAYA..,栃木県,1192,SLEEPY,栃木県,0,,-
1st&substream,gentle stress,0,,-,344,SAYA..,栃木県,675,SAYA..,栃木県,1444,SLEEPY,栃木県,0,,-
1st&substream,GENOM SCREAMS,0,,-,421,SAYA..,栃木県,808,SAYA..,栃木県,1069,SLEEPY,栃木県,0,,-
1st&substream,GAMBOL,0,,-,274,SAYA..,栃木県,274,SAYA..,栃木県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,405,SAYA..,栃木県,514,SAYA..,栃木県,571,SAYA..,栃木県,0,,-
1st&substream,deep in you,0,,-,494,SAYA..,栃木県,503,SAYA..,栃木県,662,SLEEPY,栃木県,0,,-
1st&substream,5.1.1.,0,,-,197,SAYA..,栃木県,1013,SAYA..,栃木県,1568,HERMIT,栃木県,0,,-
1st&substream,22DUNK,0,,-,522,SAYA..,栃木県,634,SAYA..,栃木県,650,GA9BRU,栃木県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,505,SAYA..,栃木県,618,SAYA..,栃木県,646,GA9BRU,栃木県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,571,SAYA..,栃木県,859,GA9BRU,栃木県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,865,SAYA..,栃木県,1125,SLEEPY,栃木県,1218,SLEEPY,栃木県,0,,-
2nd style,I Was The One,0,,-,540,SAYA..,栃木県,646,SAYA..,栃木県,683,SAYA..,栃木県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,760,SAYA..,栃木県,945,SAYA..,栃木県,1059,GA9BRU,栃木県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,736,SAYA..,栃木県,1040,SAYA..,栃木県,1101,GA9BRU,栃木県,0,,-
2nd style,.59,0,,-,706,SAYA..,栃木県,998,SAYA..,栃木県,1161,SLEEPY,栃木県,0,,-
3rd style,THE SAFARI,355,CHOBB,栃木県,1196,96GAL.,栃木県,1759,TIHAYA,栃木県,0,,-,0,,-
