バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,695,TAT2AN,群馬県,965,N.C.,群馬県,1148,SYNCH,群馬県,0,,-
1st&substream,RUGGED ASH,0,,-,333,TEITO.,群馬県,398,TAKA-P,群馬県,1069,ISANA*,群馬県,2036,G*,群馬県
1st&substream,R3,0,,-,561,TAT2AN,群馬県,697,OYMDKT,群馬県,898,NEKOZE,群馬県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,507,SANTE!,群馬県,680,HIRORO,群馬県,1088,SYNCH,群馬県,0,,-
1st&substream,Macho Gang,0,,-,375,PA-SHI,群馬県,932,N.C.,群馬県,1617,G*,群馬県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,194,4OPAN2,群馬県,244,G*,群馬県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,735,TAT2AN,群馬県,672,KSDD,群馬県,1188,SYNCH,群馬県,0,,-
1st&substream,gentle stress,0,,-,335,TUONE*,群馬県,598,*SION*,群馬県,1435,TAKA-P,群馬県,0,,-
1st&substream,GENOM SCREAMS,0,,-,357,TAT2AN,群馬県,734,CAT...,群馬県,1057,SYNCH,群馬県,0,,-
1st&substream,GAMBOL,0,,-,267,JUBEAT,群馬県,274,RAMAN5,群馬県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,374,TEITO.,群馬県,459,333,群馬県,574,SYNCH,群馬県,0,,-
1st&substream,deep in you,0,,-,416,TAT2AN,群馬県,501,G*,群馬県,657,NEKOZE,群馬県,0,,-
1st&substream,5.1.1.,0,,-,198,G*,群馬県,901,FLG.,群馬県,1559,TAKA-P,群馬県,0,,-
1st&substream,22DUNK,0,,-,487,N.C.,群馬県,616,MOTOBE,群馬県,645,SYNCH,群馬県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,500,06RICE,群馬県,596,PEDRO,群馬県,645,SYNCH,群馬県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,480,TAT2AN,群馬県,844,RINNE*,群馬県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,744,H-M,群馬県,1090,B-1824,群馬県,1219,SYNCH,群馬県,0,,-
2nd style,I Was The One,0,,-,523,N.C.,群馬県,557,TAT2AN,群馬県,685,SYNCH,群馬県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,654,TAT2AN,群馬県,845,ARGN,群馬県,1060,BEERKZ,群馬県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,684,TAT2AN,群馬県,894,TOWA.,群馬県,1103,SYNCH,群馬県,0,,-
2nd style,.59,0,,-,628,TAT2AN,群馬県,911,N.C.,群馬県,1151,SYNCH,群馬県,0,,-
3rd style,THE SAFARI,361,FLG.,群馬県,1046,NECO,群馬県,1738,SYNCH,群馬県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,257,N.C.,群馬県,393,RINNE*,群馬県,0,,-,0,,-
