バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,649,D-4693,千葉県,1037,HMKM.R,千葉県,1148,ROEN,千葉県,0,,-
1st&substream,RUGGED ASH,0,,-,354,T3.CH*,千葉県,394,#NAME#,千葉県,1076,ROEN,千葉県,2029,MOFFLE,千葉県
1st&substream,R3,0,,-,588,TOMY,千葉県,703,-8-IZM,千葉県,900,ROEN,千葉県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,538,YUYUYU,千葉県,724,DAN5MK,千葉県,1113,CI*,千葉県,0,,-
1st&substream,Macho Gang,0,,-,376,3TNO.D,千葉県,928,GENONT,千葉県,1600,NEBKA8,千葉県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,KI.,千葉県,244,IIDX54,千葉県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,704,494031,千葉県,958,UPI,千葉県,1178,RIS.AK,千葉県,0,,-
1st&substream,gentle stress,0,,-,344,T3.CH*,千葉県,642,T3.CH*,千葉県,1440,PSY6CK,千葉県,0,,-
1st&substream,GENOM SCREAMS,0,,-,392,DOSIS,千葉県,779,MOMIZI,千葉県,1063,MOFFLE,千葉県,0,,-
1st&substream,GAMBOL,0,,-,268,T3.CH*,千葉県,274,SMILY.,千葉県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,386,ICHIYA,千葉県,492,CORPSE,千葉県,578,ROEN,千葉県,0,,-
1st&substream,deep in you,0,,-,377,YUUUKI,千葉県,421,MAX428,千葉県,661,ROEN,千葉県,0,,-
1st&substream,5.1.1.,0,,-,198,T3.CH*,千葉県,979,511588,千葉県,1566,TENIN,千葉県,0,,-
1st&substream,22DUNK,0,,-,454,YK,千葉県,595,CORPSE,千葉県,650,TENIN,千葉県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,505,T3.CH*,千葉県,597,ODD,千葉県,647,ROEN,千葉県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,506,DREAM,千葉県,861,ROEN,千葉県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,830,33-322,千葉県,1085,#NAME#,千葉県,1224,MOFFLE,千葉県,0,,-
2nd style,I Was The One,0,,-,525,511588,千葉県,618,33-322,千葉県,689,MIYAKO,千葉県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,739,WALTZ.,千葉県,877,T3.CH*,千葉県,1056,KI.,千葉県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,616,KIRYU,千葉県,1003,ODD,千葉県,1127,NEBKA8,千葉県,0,,-
2nd style,.59,0,,-,674,ALF,千葉県,925,POWDER,千葉県,1144,ARISA,千葉県,0,,-
3rd style,THE SAFARI,360,T3.CH*,千葉県,1168,FROST5,千葉県,1749,CI*,千葉県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,280,T3.CH*,千葉県,396,ROEN,千葉県,0,,-,0,,-
3rd style,Skyscraper,0,,-,666,MAX428,千葉県,1113,LX.666,千葉県,1241,ROEN,千葉県,0,,-
3rd style,Schlagwerk,0,,-,494,RENNYU,千葉県,1216,IIDX28,千葉県,1678,ROEN,千葉県,0,,-
3rd style,REINCARNATION,0,,-,834,KI.,千葉県,964,TAEZOC,千葉県,1281,ROEN,千葉県,0,,-
3rd style,R5,0,,-,749,ALF,千葉県,1106,FROST5,千葉県,1770,TENIN,千葉県,0,,-
3rd style,Presto,0,,-,529,ARISA,千葉県,955,HMKM.R,千葉県,1008,1988,千葉県,0,,-
3rd style,LEADING CYBER,0,,-,433,AKIMO,千葉県,1117,KENSKE,千葉県,1269,ROEN,千葉県,0,,-
3rd style,Holic,0,,-,735,TAKUYA,千葉県,1166,7AKASU,千葉県,1722,SEIRYU,千葉県,0,,-
3rd style,era (nostalmix),0,,-,788,TYPE-R,千葉県,1085,ZAKURO,千葉県,1535,U*TAKA,千葉県,0,,-
3rd style,Don't Stop!,0,,-,759,511588,千葉県,743,M3.,千葉県,903,ROEN,千葉県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,573,M3.,千葉県,1241,KI.,千葉県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,843,M3.,千葉県,1235,PSY6CK,千葉県,1327,GTO,千葉県,0,,-
4th style,SWEET LAB,0,,-,494,OSEYUI,千葉県,901,.COM-R,千葉県,1339,0-.-0,千葉県,0,,-
4th style,starmine,444,T3.CH*,千葉県,823,M3.,千葉県,1356,N-A-O,千葉県,1588,U*TAKA,千葉県,0,,-
4th style,Mr.T.(take me higher),0,,-,682,A8,千葉県,871,MARO,千葉県,1751,TENIN,千葉県,0,,-
4th style,minimalian,0,,-,515,33-322,千葉県,1036,SOSDAN,千葉県,1405,MOFFLE,千葉県,0,,-
4th style,LOVE WILL・・・,0,,-,524,YK,千葉県,727,TAEZOC,千葉県,1462,TENIN,千葉県,0,,-
4th style,KAMIKAZE,0,,-,477,HNAKAI,千葉県,1368,.COM-R,千葉県,2270,PRECOG,千葉県,0,,-
4th style,Jam&Marmalade,0,,-,742,511588,千葉県,733,ITEKEN,千葉県,1013,1988,千葉県,0,,-
