バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,710,A6M#RK,神奈川県,1050,GOEMON,神奈川県,1159,IIDX29,神奈川県,0,,-
1st&substream,RUGGED ASH,0,,-,370,*9N2*,神奈川県,402,*9N2*,神奈川県,1080,IKESJD,神奈川県,2047,WELLOW,神奈川県
1st&substream,R3,0,,-,623,KIRI,神奈川県,735,GOEMON,神奈川県,908,CYBERX,神奈川県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,504,SHUREI,神奈川県,745,KAZU,神奈川県,1120,KANON,神奈川県,0,,-
1st&substream,Macho Gang,0,,-,382,GOEMON,神奈川県,1085,GOEMON,神奈川県,1642,IKESJD,神奈川県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,*9N2*,神奈川県,244,*9N2*,神奈川県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,749,SHUREI,神奈川県,999,GOEMON,神奈川県,1203,I6VV,神奈川県,0,,-
1st&substream,gentle stress,0,,-,344,*9N2*,神奈川県,678,GOEMON,神奈川県,1442,IKESJD,神奈川県,0,,-
1st&substream,GENOM SCREAMS,0,,-,403,M-PEKO,神奈川県,825,GOEMON,神奈川県,1066,I6VV,神奈川県,0,,-
1st&substream,GAMBOL,0,,-,274,*9N2*,神奈川県,274,*9N2*,神奈川県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,366,SHUREI,神奈川県,515,OMENKO,神奈川県,580,STEEL*,神奈川県,0,,-
1st&substream,deep in you,0,,-,463,SHUREI,神奈川県,508,GOEMON,神奈川県,665,I6VV,神奈川県,0,,-
1st&substream,5.1.1.,0,,-,198,*9N2*,神奈川県,1021,GOEMON,神奈川県,1571,TATSU,神奈川県,0,,-
1st&substream,22DUNK,0,,-,521,HELMES,神奈川県,643,GOEMON,神奈川県,657,IKESJD,神奈川県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,508,*9N2*,神奈川県,626,GOEMON,神奈川県,648,GOEMON,神奈川県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,516,SHUREI,神奈川県,865,STYU--,神奈川県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,838,REOLE.,神奈川県,1128,STEEL*,神奈川県,1232,CYBERX,神奈川県,0,,-
2nd style,I Was The One,0,,-,537,KARENA,神奈川県,649,GOEMON,神奈川県,695,IKESJD,神奈川県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,715,BERRY,神奈川県,958,GOEMON,神奈川県,1070,I6VV,神奈川県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,599,HARUKA,神奈川県,1054,GOEMON,神奈川県,1134,IKESJD,神奈川県,0,,-
2nd style,.59,0,,-,638,MINK.X,神奈川県,1011,GOEMON,神奈川県,1158,IKESJD,神奈川県,0,,-
3rd style,THE SAFARI,366,*9N2*,神奈川県,1191,KA2718,神奈川県,1775,CYBERX,神奈川県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,282,*9N2*,神奈川県,396,*9N2*,神奈川県,0,,-,0,,-
3rd style,Skyscraper,0,,-,639,HARUKA,神奈川県,1215,STEEL*,神奈川県,1255,CYBERX,神奈川県,0,,-
3rd style,Schlagwerk,0,,-,823,STEEL*,神奈川県,1314,STEEL*,神奈川県,1683,IKESJD,神奈川県,0,,-
3rd style,REINCARNATION,0,,-,848,STEEL*,神奈川県,1045,STEEL*,神奈川県,1284,I6VV,神奈川県,0,,-
3rd style,R5,0,,-,672,M-RAID,神奈川県,1144,SQUALO,神奈川県,1771,CYBERX,神奈川県,0,,-
3rd style,Presto,0,,-,524,KARENA,神奈川県,985,GOEMON,神奈川県,1012,IKESJD,神奈川県,0,,-
3rd style,LEADING CYBER,0,,-,812,UBETYA,神奈川県,1215,STEEL*,神奈川県,1279,IKESJD,神奈川県,0,,-
3rd style,Holic,0,,-,785,STEEL*,神奈川県,1238,STEEL*,神奈川県,1729,TATSU,神奈川県,0,,-
3rd style,era (nostalmix),0,,-,804,R5-URA,神奈川県,1102,PPJT,神奈川県,1522,D4C,神奈川県,0,,-
3rd style,Don't Stop!,0,,-,744,539ZU*,神奈川県,852,GOEMON,神奈川県,904,I6VV,神奈川県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,522,HARUKA,神奈川県,1260,IIDX29,神奈川県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,898,HELMES,神奈川県,1241,GOEMON,神奈川県,1329,*HERO*,神奈川県,0,,-
4th style,SWEET LAB,0,,-,549,MASAKI,神奈川県,940,CH*,神奈川県,1374,I6VV,神奈川県,0,,-
4th style,starmine,446,PPJT,神奈川県,817,XPX,神奈川県,1427,STEEL*,神奈川県,1591,CYBERX,神奈川県,0,,-
4th style,Mr.T.(take me higher),0,,-,830,KARENA,神奈川県,956,BU,神奈川県,1765,WELLOW,神奈川県,0,,-
4th style,minimalian,0,,-,469,HARUKA,神奈川県,1098,STEEL*,神奈川県,1410,CYBERX,神奈川県,0,,-
4th style,LOVE WILL・・・,0,,-,520,BKTARO,神奈川県,757,GOEMON,神奈川県,1464,CYBERX,神奈川県,0,,-
4th style,KAMIKAZE,0,,-,884,HARUKA,神奈川県,1445,HELMES,神奈川県,2303,I6VV,神奈川県,0,,-
4th style,Jam&Marmalade,0,,-,771,STEEL*,神奈川県,902,GOEMON,神奈川県,1020,CYBERX,神奈川県,0,,-
4th style,Hitch Hiker2,0,,-,806,HELMES,神奈川県,1212,STEEL*,神奈川県,1317,I6VV,神奈川県,1934,I6VV,神奈川県
4th style,HIGHER,0,,-,504,539ZU*,神奈川県,935,GOEMON,神奈川県,1277,I6VV,神奈川県,0,,-
4th style,FLOWERS for ALBION,0,,-,239,PA84.,神奈川県,439,I6VV,神奈川県,0,,-,0,,-
4th style,era (step mix),0,,-,881,IIDX27,神奈川県,1338,OMENKO,神奈川県,1707,I6VV,神奈川県,0,,-
4th style,empathy,0,,-,769,MOWDMP,神奈川県,1349,GOEMON,神奈川県,1449,I6VV,神奈川県,0,,-
