バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,768,HELMES,逾槫･亥ｷ晉恁,1050,GOEMON,逾槫･亥ｷ晉恁,1159,IIDX29,逾槫･亥ｷ晉恁,0,,-
1st&substream,RUGGED ASH,0,,-,370,*9N2*,逾槫･亥ｷ晉恁,402,*9N2*,逾槫･亥ｷ晉恁,1091,I6VV,逾槫･亥ｷ晉恁,2047,WELLOW,逾槫･亥ｷ晉恁
1st&substream,R3,0,,-,650,SAG,逾槫･亥ｷ晉恁,735,GOEMON,逾槫･亥ｷ晉恁,908,CYBERX,逾槫･亥ｷ晉恁,0,,-
1st&substream,PARANOIA MAX�曠IRTY MIX��,0,,-,560,*9N2*,逾槫･亥ｷ晉恁,751,GOEMON,逾槫･亥ｷ晉恁,1120,KANON,逾槫･亥ｷ晉恁,0,,-
1st&substream,Macho Gang,0,,-,382,GOEMON,逾槫･亥ｷ晉恁,1085,GOEMON,逾槫･亥ｷ晉恁,1642,DJSEKI,逾槫･亥ｷ晉恁,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,*9N2*,逾槫･亥ｷ晉恁,244,*9N2*,逾槫･亥ｷ晉恁,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,868,HELMES,逾槫･亥ｷ晉恁,999,GOEMON,逾槫･亥ｷ晉恁,1203,I6VV,逾槫･亥ｷ晉恁,0,,-
1st&substream,gentle stress,0,,-,344,*9N2*,逾槫･亥ｷ晉恁,678,GOEMON,逾槫･亥ｷ晉恁,1442,DJSEKI,逾槫･亥ｷ晉恁,0,,-
1st&substream,GENOM SCREAMS,0,,-,422,*9N2*,逾槫･亥ｷ晉恁,825,GOEMON,逾槫･亥ｷ晉恁,1068,DJSEKI,逾槫･亥ｷ晉恁,0,,-
1st&substream,GAMBOL,0,,-,274,*9N2*,逾槫･亥ｷ晉恁,274,*9N2*,逾槫･亥ｷ晉恁,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,408,*9N2*,逾槫･亥ｷ晉恁,518,GOEMON,逾槫･亥ｷ晉恁,580,STEEL*,逾槫･亥ｷ晉恁,0,,-
