バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,729,Y.Y-LH,新潟県,1029,DASCA,新潟県,1137,MORTIS,新潟県,0,,-
1st&substream,RUGGED ASH,0,,-,330,MIKOTO,新潟県,388,WEDGE,新潟県,1058,AOI,新潟県,1994,HORIZN,新潟県
1st&substream,R3,0,,-,628,Y.Y-LH,新潟県,707,CHINO*,新潟県,877,SIMCA7,新潟県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,507,29CSTH,新潟県,710,Y.Y-LH,新潟県,1104,MAKO-G,新潟県,0,,-
1st&substream,Macho Gang,0,,-,378,SEPIA,新潟県,943,Y.Y-LH,新潟県,1557,MORTIS,新潟県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,192,33KIDS,新潟県,243,REO,新潟県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,686,MIKOTO,新潟県,976,INTAI,新潟県,1172,BLONK,新潟県,0,,-
1st&substream,gentle stress,0,,-,320,OUTER,新潟県,645,Y.Y-LH,新潟県,1426,1231,新潟県,0,,-
1st&substream,GENOM SCREAMS,0,,-,409,Y.Y-LH,新潟県,810,MORTIS,新潟県,1063,MAKO-G,新潟県,0,,-
1st&substream,GAMBOL,0,,-,253,T!QWUV,新潟県,274,BLONK,新潟県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,387,Y.Y-LH,新潟県,494,KENTA6,新潟県,570,IIDX29,新潟県,0,,-
1st&substream,deep in you,0,,-,479,Y.Y-LH,新潟県,490,Y.Y-LH,新潟県,646,INTAI,新潟県,0,,-
