バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,748,DUKE,遏ｳ蟾晉恁,911,T&#97Q,遏ｳ蟾晉恁,1149,AZUSA,遏ｳ蟾晉恁,0,,-
1st&substream,RUGGED ASH,0,,-,358,T&#97Q,遏ｳ蟾晉恁,392,T&#97Q,遏ｳ蟾晉恁,1073,4S.E1.,遏ｳ蟾晉恁,1979,4S.E1.,遏ｳ蟾晉恁
1st&substream,R3,0,,-,616,DUKE,遏ｳ蟾晉恁,677,BOKU,遏ｳ蟾晉恁,898,U*CHA3,遏ｳ蟾晉恁,0,,-
1st&substream,PARANOIA MAX�曠IRTY MIX��,0,,-,532,T&#97Q,遏ｳ蟾晉恁,710,RYOKI.,遏ｳ蟾晉恁,1099,4S.E1.,遏ｳ蟾晉恁,0,,-
1st&substream,Macho Gang,0,,-,377,PLCAN,遏ｳ蟾晉恁,915,T&#97Q,遏ｳ蟾晉恁,1610,U*CHA3,遏ｳ蟾晉恁,0,,-
1st&substream,KEEP ON MOVIN',0,,-,189,DUKE,遏ｳ蟾晉恁,244,3BOTEN,遏ｳ蟾晉恁,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,496,CJ,遏ｳ蟾晉恁,847,T&#97Q,遏ｳ蟾晉恁,1196,U*CHA3,遏ｳ蟾晉恁,0,,-
1st&substream,gentle stress,0,,-,342,S.CROW,遏ｳ蟾晉恁,634,DUKE,遏ｳ蟾晉恁,1440,U*CHA3,遏ｳ蟾晉恁,0,,-
1st&substream,GENOM SCREAMS,0,,-,408,DUKE,遏ｳ蟾晉恁,764,KT-UMA,遏ｳ蟾晉恁,1055,U*CHA3,遏ｳ蟾晉恁,0,,-
1st&substream,GAMBOL,0,,-,262,RIBA,遏ｳ蟾晉恁,271,3BOTEN,遏ｳ蟾晉恁,0,,-,0,,-
