バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,474,SHAMMY,福井県,686,XYM!,福井県,1128,SLAY.,福井県,0,,-
1st&substream,RUGGED ASH,0,,-,348,PE10SI,福井県,387,T.AIMI,福井県,1050,&#9996,福井県,1957,SLAY.,福井県
1st&substream,R3,0,,-,607,RIA,福井県,713,RIKI-P,福井県,890,MAD2KI,福井県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,481,MAX711,福井県,699,T.AIMI,福井県,1070,&#9996,福井県,0,,-
1st&substream,Macho Gang,0,,-,369,KEMONO,福井県,717,MOKOU,福井県,1525,BNX02*,福井県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,190,RIA,福井県,244,MAD2KI,福井県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,583,SHAMMY,福井県,613,LOOP,福井県,1119,HAYDRM,福井県,0,,-
1st&substream,gentle stress,0,,-,175,HIBNK,福井県,647,T.AIMI,福井県,1417,SLAY.,福井県,0,,-
1st&substream,GENOM SCREAMS,0,,-,378,RIA,福井県,402,!,福井県,1053,BNXDEU,福井県,0,,-
1st&substream,GAMBOL,0,,-,263,OKKA-3,福井県,273,HAYDRM,福井県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,207,HIBNK,福井県,189,HIBNK,福井県,571,HAYDRM,福井県,0,,-
1st&substream,deep in you,0,,-,380,STICKS,福井県,371,STICKS,福井県,651,HAYDRM,福井県,0,,-
1st&substream,5.1.1.,0,,-,192,RIKI-P,福井県,989,24NO*F,福井県,1559,MAD2KI,福井県,0,,-
1st&substream,22DUNK,0,,-,449,SRI*MA,福井県,588,T.AIMI,福井県,642,HAYDRM,福井県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,0,,-,617,HAYDRM,福井県,632,HAYDRM,福井県,0,,-
