バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,320,SAZA73,岐阜県,1029,ITSUKI,岐阜県,1138,77MARU,岐阜県,0,,-
1st&substream,RUGGED ASH,0,,-,91,0721,岐阜県,402,YUUNA*,岐阜県,1003,HAL,岐阜県,1936,RYO,岐阜県
1st&substream,R3,0,,-,257,ALICE,岐阜県,735,ITSUKI,岐阜県,894,YUE.*,岐阜県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,478,CHAOS,岐阜県,749,ITSUKI,岐阜県,1086,SWOOPS,岐阜県,0,,-
1st&substream,Macho Gang,0,,-,371,GO,岐阜県,1070,ITSUKI,岐阜県,1586,AZARA8,岐阜県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,189,DJK7TN,岐阜県,244,YUUNA*,岐阜県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,632,LT09,岐阜県,998,ITSUKI,岐阜県,1131,MIMORI,岐阜県,0,,-
1st&substream,gentle stress,0,,-,308,KERORO,岐阜県,675,ITSUKI,岐阜県,1420,DEVI-3,岐阜県,0,,-
1st&substream,GENOM SCREAMS,0,,-,203,KIENOX,岐阜県,813,ITSUKI,岐阜県,1035,77MARU,岐阜県,0,,-
1st&substream,GAMBOL,0,,-,272,MIMORI,岐阜県,274,YUUNA*,岐阜県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,384,VIP-KO,岐阜県,515,ITSUKI,岐阜県,560,291586,岐阜県,0,,-
1st&substream,deep in you,0,,-,473,VIP-KO,岐阜県,507,ITSUKI,岐阜県,662,YUUNA*,岐阜県,0,,-
1st&substream,5.1.1.,0,,-,198,77MARU,岐阜県,1006,ITSUKI,岐阜県,1552,YUUNA*,岐阜県,0,,-
1st&substream,22DUNK,0,,-,446,KERORO,岐阜県,632,ITSUKI,岐阜県,629,ROCKY,岐阜県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,497,YUE.*,岐阜県,623,ITSUKI,岐阜県,614,MAME,岐阜県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,0,,-,854,DEVI-3,岐阜県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,748,CHAOS,岐阜県,1110,ITSUKI,岐阜県,1208,DEVI-3,岐阜県,0,,-
2nd style,I Was The One,0,,-,0,,-,649,ITSUKI,岐阜県,692,YUUNA*,岐阜県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,400,SAZA73,岐阜県,948,ITSUKI,岐阜県,977,MAME,岐阜県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,0,,-,1052,ITSUKI,岐阜県,1031,GMT.RK,岐阜県,0,,-
2nd style,.59,0,,-,673,GO,岐阜県,1000,ITSUKI,岐阜県,1113,SUZU,岐阜県,0,,-
3rd style,THE SAFARI,353,PH1LIA,岐阜県,1172,YUE.*,岐阜県,1765,UNA-10,岐阜県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,106,ICEWNG,岐阜県,396,YUUNA*,岐阜県,0,,-,0,,-
3rd style,Skyscraper,0,,-,0,,-,1186,ITSUKI,岐阜県,1204,YUE.*,岐阜県,0,,-
3rd style,Schlagwerk,0,,-,0,,-,1288,ITSUKI,岐阜県,1669,YUUNA*,岐阜県,0,,-
3rd style,REINCARNATION,0,,-,348,NEKO,岐阜県,853,FL4-G,岐阜県,1245,SWOOPS,岐阜県,0,,-
3rd style,R5,0,,-,682,OGURI8,岐阜県,1143,ITSUKI,岐阜県,1765,AZARA8,岐阜県,0,,-
3rd style,Presto,0,,-,237,SAZA73,岐阜県,961,ITSUKI,岐阜県,960,ROCKY,岐阜県,0,,-
3rd style,LEADING CYBER,0,,-,0,,-,1194,ITSUKI,岐阜県,1180,YUE.*,岐阜県,0,,-
3rd style,Holic,0,,-,408,SAZA73,岐阜県,1199,ITSUKI,岐阜県,1692,AZARA8,岐阜県,0,,-
