バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,682,NOBU29,静岡県,1049,CLARET,静岡県,1141,*ALEX*,静岡県,0,,-
1st&substream,RUGGED ASH,0,,-,329,HEBON,静岡県,394,ARRAGI,静岡県,1067,ORIGIN,静岡県,1947,ROSKIL,静岡県
1st&substream,R3,0,,-,597,NOBU29,静岡県,710,4NOMI8,静岡県,900,CLARET,静岡県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,527,NOBU29,静岡県,749,*ALEX*,静岡県,1108,*ALEX*,静岡県,0,,-
1st&substream,Macho Gang,0,,-,373,HOSOUS,静岡県,984,YORU*,静岡県,1582,ROSKIL,静岡県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,195,VELGER,静岡県,244,LEON,静岡県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,787,NOBU29,静岡県,884,NOBU29,静岡県,1192,ORIGIN,静岡県,0,,-
1st&substream,gentle stress,0,,-,332,COO,静岡県,667,COO,静岡県,1436,*ALEX*,静岡県,0,,-
1st&substream,GENOM SCREAMS,0,,-,369,NOBU29,静岡県,822,*ALEX*,静岡県,1062,CLARET,静岡県,0,,-
1st&substream,GAMBOL,0,,-,274,KARAKI,静岡県,274,KARAKI,静岡県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,370,M.ASY,静岡県,483,HOSOUS,静岡県,578,*ALEX*,静岡県,0,,-
1st&substream,deep in you,0,,-,478,7NORA*,静岡県,480,FLSTC,静岡県,663,*ALEX*,静岡県,0,,-
1st&substream,5.1.1.,0,,-,198,KARAKI,静岡県,1008,*ALEX*,静岡県,1562,036NE,静岡県,0,,-
1st&substream,22DUNK,0,,-,466,HNTR,静岡県,620,4NOMI8,静岡県,656,*ALEX*,静岡県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,507,LEON,静岡県,606,ANSWER,静岡県,648,*ALEX*,静岡県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,520,NOBU29,静岡県,863,*ALEX*,静岡県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,806,NOBU29,静岡県,922,KATE,静岡県,1223,CLARET,静岡県,0,,-
2nd style,I Was The One,0,,-,522,HOSOUS,静岡県,617,HOSOUS,静岡県,692,CLARET,静岡県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,692,NOBU29,静岡県,913,PAQY,静岡県,1065,CLARET,静岡県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,668,NOBU29,静岡県,1039,VELGER,静岡県,1116,CLARET,静岡県,0,,-
2nd style,.59,0,,-,660,NOBU29,静岡県,912,I19-K,静岡県,1162,*ALEX*,静岡県,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,780,NOBU29,静岡県,1236,MUNEKI,静岡県,1308,*ALEX*,静岡県,0,,-
4th style,SWEET LAB,0,,-,524,COO,静岡県,938,F15H,静岡県,1353,MUNEKI,静岡県,0,,-
4th style,starmine,441,HOSOUS,静岡県,813,NOBU29,静岡県,1271,PETA,静岡県,1590,*ALEX*,静岡県,0,,-
4th style,Mr.T.(take me higher),0,,-,760,NOBU29,静岡県,936,ANSWER,静岡県,1738,*ALEX*,静岡県,0,,-
4th style,minimalian,0,,-,534,-EMA-,静岡県,1070,KNMI.,静岡県,1403,CLARET,静岡県,0,,-
4th style,LOVE WILL・・・,0,,-,515,NOBU29,静岡県,738,VELGER,静岡県,1460,CLARET,静岡県,0,,-
4th style,KAMIKAZE,0,,-,901,NOBU29,静岡県,1444,YORU*,静岡県,2262,GARSON,静岡県,0,,-
4th style,Jam&Marmalade,0,,-,739,YORU*,静岡県,860,YORU*,静岡県,1012,*ALEX*,静岡県,0,,-
4th style,Hitch Hiker2,0,,-,753,L.LULU,静岡県,1154,VELGER,静岡県,1318,*ALEX*,静岡県,1906,*ALEX*,静岡県
4th style,HIGHER,0,,-,500,NOBU29,静岡県,892,F15H,静岡県,1272,*ALEX*,静岡県,0,,-
4th style,FLOWERS for ALBION,0,,-,243,HOSOUS,静岡県,436,K-CHA*,静岡県,0,,-,0,,-
4th style,era (step mix),0,,-,1094,AKI,静岡県,1370,KAITO,静岡県,1670,CLARET,静岡県,0,,-
4th style,empathy,0,,-,808,YORU*,静岡県,1295,KDM,静岡県,1452,*ALEX*,静岡県,0,,-
4th style,DXY!,0,,-,1232,YORU*,静岡県,1841,ORIGIN,静岡県,2200,*ALEX*,静岡県,0,,-
4th style,Clione,0,,-,485,NOBU29,静岡県,872,ANSWER,静岡県,1615,*ALEX*,静岡県,2134,AXE*,静岡県
4th style,CHECKING YOU OUT,0,,-,594,NANCY,静岡県,831,ARRAGI,静岡県,1308,U2*,静岡県,0,,-
4th style,Burnin' The Floor,0,,-,543,NOBU29,静岡県,922,ANSWER,静岡県,1435,*ALEX*,静岡県,0,,-
4th style,Broken My Heart,0,,-,896,PAQY,静岡県,1406,YORU*,静岡県,1806,*ALEX*,静岡県,0,,-
4th style,B4U,0,,-,981,PAQY,静岡県,1572,*ALEX*,静岡県,1983,*ALEX*,静岡県,0,,-
4th style,ABSOLUTE,0,,-,1184,PETA,静岡県,1832,*ALEX*,静岡県,2373,*ALEX*,静岡県,2706,RAN9*,静岡県
