バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,596,ISENO,三重県,1007,TURQUO,三重県,1149,YUKITO,三重県,0,,-
1st&substream,RUGGED ASH,0,,-,0,,-,357,MOKO,三重県,1079,FRIP,三重県,1998,FRIP,三重県
1st&substream,R3,0,,-,643,QUERY,三重県,722,TURQUO,三重県,899,T*CHA,三重県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,503,SYARO.,三重県,734,TURQUO,三重県,1113,FRIP,三重県,0,,-
1st&substream,Macho Gang,0,,-,356,KYURA,三重県,820,KRC,三重県,1634,FRIP,三重県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,186,MASSH.,三重県,244,IIDX35,三重県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,713,6262-R,三重県,666,P.,三重県,1172,MEKA.K,三重県,0,,-
1st&substream,gentle stress,0,,-,325,SHANA,三重県,653,SHANA,三重県,1405,.EKAT,三重県,0,,-
1st&substream,GENOM SCREAMS,0,,-,286,ENJU,三重県,664,T-TMY,三重県,1069,FRIP,三重県,0,,-
1st&substream,GAMBOL,0,,-,274,CIRNO9,三重県,274,CIRNO9,三重県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,390,6262-R,三重県,387,K4GUR4,三重県,574,HAGGER,三重県,0,,-
1st&substream,deep in you,0,,-,0,,-,273,SIOSAI,三重県,641,FLRD.,三重県,0,,-
1st&substream,5.1.1.,0,,-,181,6262-R,三重県,1013,.AKARI,三重県,1569,T*CHA,三重県,0,,-
1st&substream,22DUNK,0,,-,475,6262-R,三重県,614,TURQUO,三重県,654,T*CHA,三重県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,0,,-,412,SYUN,三重県,647,FLRD.,三重県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,515,SYARO.,三重県,858,T*CHA,三重県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,855,K.E.N!,三重県,653,SIOSAI,三重県,1224,FRIP,三重県,0,,-
2nd style,I Was The One,0,,-,379,SYUN,三重県,520,MLESKE,三重県,684,FLRD.,三重県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,492,ENJU,三重県,0,,-,1046,YUKITO,三重県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,0,,-,0,,-,1089,T*CHA,三重県,0,,-
2nd style,.59,0,,-,598,MR.Q,三重県,880,KONEKO,三重県,1111,MOR1TA,三重県,0,,-
3rd style,THE SAFARI,352,SHANA,三重県,1000,2SALTY,三重県,1774,FRIP,三重県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,0,,-,390,TURQUO,三重県,0,,-,0,,-
3rd style,Skyscraper,0,,-,352,MORY,三重県,618,SIOSAI,三重県,1229,.32,三重県,0,,-
3rd style,Schlagwerk,0,,-,410,HARU,三重県,1262,TURQUO,三重県,1561,459MTN,三重県,0,,-
3rd style,REINCARNATION,0,,-,650,ISENO,三重県,732,ISENO,三重県,1262,YUKITO,三重県,0,,-
3rd style,R5,0,,-,396,REI,三重県,1109,SHANA,三重県,1769,MACOS,三重県,0,,-
3rd style,Presto,0,,-,502,T-TMY,三重県,934,JUICY!,三重県,988,K.E.N!,三重県,0,,-
3rd style,LEADING CYBER,0,,-,776,MR.Q,三重県,1152,TURQUO,三重県,1197,RUDE,三重県,0,,-
3rd style,Holic,0,,-,534,LINT,三重県,1067,RIVER*,三重県,1722,FRIP,三重県,0,,-
3rd style,era (nostalmix),0,,-,435,SEPT,三重県,1094,T*CHA,三重県,1503,T*CHA,三重県,0,,-
3rd style,Don't Stop!,0,,-,643,MOKO,三重県,391,GACKT,三重県,894,K.E.N!,三重県,0,,-
