バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,586,RUTE,滋賀県,784,T-109,滋賀県,1141,8VSZU4,滋賀県,0,,-
1st&substream,RUGGED ASH,0,,-,0,,-,401,8VSZU4,滋賀県,1100,KORSK,滋賀県,2049,KORSK,滋賀県
1st&substream,R3,0,,-,517,T-109,滋賀県,725,-SB-,滋賀県,896,8VSZU4,滋賀県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,518,N,滋賀県,650,PIZZA,滋賀県,1094,6KKA,滋賀県,0,,-
1st&substream,Macho Gang,0,,-,360,KANATA,滋賀県,655,KBGA*L,滋賀県,1558,R.K.,滋賀県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,192,NOCCHI,滋賀県,243,8VSZU4,滋賀県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,725,SHANA8,滋賀県,962,Z.O.O,滋賀県,1134,ES.,滋賀県,0,,-
1st&substream,gentle stress,0,,-,204,ABCDEF,滋賀県,595,SHANA8,滋賀県,1401,ONOKEN,滋賀県,0,,-
1st&substream,GENOM SCREAMS,0,,-,373,SHANA8,滋賀県,796,XEFF.K,滋賀県,1048,52KING,滋賀県,0,,-
1st&substream,GAMBOL,0,,-,253,MDHIME,滋賀県,274,N.KJ,滋賀県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,384,8WARE,滋賀県,268,ABCDEF,滋賀県,566,AZUNA,滋賀県,0,,-
1st&substream,deep in you,0,,-,476,MARIAM,滋賀県,492,-SB-,滋賀県,645,8VSZU4,滋賀県,0,,-
1st&substream,5.1.1.,0,,-,198,8VSZU4,滋賀県,881,T-109,滋賀県,1566,KORSK,滋賀県,0,,-
1st&substream,22DUNK,0,,-,309,0.9N,滋賀県,508,OGI,滋賀県,652,8VSZU4,滋賀県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,488,8WARE,滋賀県,561,SHANA8,滋賀県,642,YU,滋賀県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,570,NOCCHI,滋賀県,863,KORSK,滋賀県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,772,AI-R,滋賀県,860,SHANA8,滋賀県,1221,R.I.P.,滋賀県,0,,-
2nd style,I Was The One,0,,-,445,SHANA8,滋賀県,351,ABCDEF,滋賀県,691,R.K.,滋賀県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,358,MEG,滋賀県,917,8WARE,滋賀県,1051,8VSZU4,滋賀県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,603,T-109,滋賀県,891,SHANA8,滋賀県,1120,R.K.,滋賀県,0,,-
2nd style,.59,0,,-,590,T-109,滋賀県,946,XEFF.K,滋賀県,1109,KOTA3,滋賀県,0,,-
3rd style,THE SAFARI,258,FREDY,滋賀県,1076,MG0,滋賀県,1771,KORSK,滋賀県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,155,ABCDEF,滋賀県,396,R.K.,滋賀県,0,,-,0,,-
3rd style,Skyscraper,0,,-,0,,-,875,OGI,滋賀県,1232,R.K.,滋賀県,0,,-
3rd style,Schlagwerk,0,,-,783,8WARE,滋賀県,1317,R.I.P.,滋賀県,1672,R.K.,滋賀県,0,,-
3rd style,REINCARNATION,0,,-,702,MR.814,滋賀県,926,SHANA8,滋賀県,1235,KOTA3,滋賀県,0,,-
3rd style,R5,0,,-,723,SHANA8,滋賀県,1166,-111-,滋賀県,1760,KORSK,滋賀県,0,,-
3rd style,Presto,0,,-,480,MR.814,滋賀県,903,GRATIN,滋賀県,995,8VSZU4,滋賀県,0,,-
3rd style,LEADING CYBER,0,,-,620,MANA,滋賀県,631,???,滋賀県,1191,ES.,滋賀県,0,,-
3rd style,Holic,0,,-,681,SHANA8,滋賀県,1034,PIZZA,滋賀県,1688,YU,滋賀県,0,,-
3rd style,era (nostalmix),0,,-,758,T-109,滋賀県,1073,KORSK,滋賀県,1521,REGARD,滋賀県,0,,-
3rd style,Don't Stop!,0,,-,0,,-,757,SHANA8,滋賀県,898,R.K.,滋賀県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,589,TREK,滋賀県,1237,52KING,滋賀県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,864,8WARE,滋賀県,1178,KOTA3,滋賀県,1313,R.K.,滋賀県,0,,-
4th style,SWEET LAB,0,,-,257,SOUYA,滋賀県,734,KIRYU,滋賀県,1319,24,滋賀県,0,,-
4th style,starmine,275,KAIMA9,滋賀県,865,N,滋賀県,1367,8VSZU4,滋賀県,1559,R.K.,滋賀県,0,,-
4th style,Mr.T.(take me higher),0,,-,661,MANA,滋賀県,934,PIZZA,滋賀県,1764,KORSK,滋賀県,0,,-
4th style,minimalian,0,,-,0,,-,835,SHANA8,滋賀県,1399,R.I.P.,滋賀県,0,,-
4th style,LOVE WILL・・・,0,,-,462,AR-RIS,滋賀県,747,XEFF.K,滋賀県,1448,H,滋賀県,0,,-
4th style,KAMIKAZE,0,,-,895,SHANA8,滋賀県,1392,XEFF.K,滋賀県,2298,R.I.P.,滋賀県,0,,-
4th style,Jam&Marmalade,0,,-,583,MR.814,滋賀県,612,MANA,滋賀県,1008,R.I.P.,滋賀県,0,,-
4th style,Hitch Hiker2,0,,-,0,,-,874,MR.814,滋賀県,1275,YUHEY.,滋賀県,1935,R.I.P.,滋賀県
4th style,HIGHER,0,,-,386,884,滋賀県,845,PIZZA,滋賀県,1260,H,滋賀県,0,,-
4th style,FLOWERS for ALBION,0,,-,152,ABCDEF,滋賀県,438,N.KJ,滋賀県,0,,-,0,,-
4th style,era (step mix),0,,-,953,SHANA8,滋賀県,1261,8WARE,滋賀県,1708,KORSK,滋賀県,0,,-
4th style,empathy,0,,-,791,N,滋賀県,1213,MDHIME,滋賀県,1419,6KKA,滋賀県,0,,-
4th style,DXY!,0,,-,934,KASSUH,滋賀県,1640,XEFF.K,滋賀県,2257,KORSK,滋賀県,0,,-
4th style,Clione,0,,-,460,MR.814,滋賀県,914,XEFF.K,滋賀県,1597,R.K.,滋賀県,2149,KORSK,滋賀県
4th style,CHECKING YOU OUT,0,,-,0,,-,878,-111-,滋賀県,1315,KORSK,滋賀県,0,,-
4th style,Burnin' The Floor,0,,-,290,MEG,滋賀県,930,XEFF.K,滋賀県,1434,8VSZU4,滋賀県,0,,-
4th style,Broken My Heart,0,,-,746,T-109,滋賀県,1408,XEFF.K,滋賀県,1817,KORSK,滋賀県,0,,-
4th style,B4U,0,,-,911,SHANA8,滋賀県,1525,-SB-,滋賀県,1976,R.K.,滋賀県,0,,-
4th style,ABSOLUTE,0,,-,1250,N,滋賀県,1671,SHUKA,滋賀県,2363,R.K.,滋賀県,2722,KORSK,滋賀県
4th style,250bpm,0,,-,619,YAYO84,滋賀県,744,SHANA8,滋賀県,1369,R.I.P.,滋賀県,0,,-
5th style,V,294,RUTE,滋賀県,1205,TREK,滋賀県,2504,R.I.P.,滋賀県,2989,R.I.P.,滋賀県,0,,-
5th style,THE SHINING POLARIS,0,,-,925,YUKI.,滋賀県,1244,XEFF.K,滋賀県,1561,YU,滋賀県,0,,-
5th style,THE CUBE,0,,-,0,,-,1183,XEFF.K,滋賀県,1323,H,滋賀県,0,,-
5th style,sync,0,,-,858,UNAGI,滋賀県,1628,PIZZA,滋賀県,2359,-111-,滋賀県,0,,-
5th style,still my words,0,,-,483,LINGY,滋賀県,1213,YUHEY.,滋賀県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,865,SHANA8,滋賀県,1330,P9P,滋賀県,1901,KORSK,滋賀県,0,,-
5th style,Spin the disc,0,,-,700,SHANA8,滋賀県,853,CHALA?,滋賀県,1332,R.I.P.,滋賀県,0,,-
5th style,sometime,0,,-,583,KUMA,滋賀県,1031,R.K.,滋賀県,1326,KORSK,滋賀県,0,,-
5th style,RISLIM,0,,-,858,8WARE,滋賀県,1226,R.K.,滋賀県,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,785,T-109,滋賀県,939,SHANA8,滋賀県,1716,KORSK,滋賀県,1805,KORSK,滋賀県
5th style,Regulus,0,,-,488,MANA,滋賀県,1132,AA,滋賀県,1683,R.K.,滋賀県,0,,-
5th style,Real,0,,-,871,MR.814,滋賀県,1239,PIZZA,滋賀県,1812,KORSK,滋賀県,0,,-
5th style,Radical Faith,0,,-,1020,SHANA8,滋賀県,1530,KORSK,滋賀県,1305,KORSK,滋賀県,0,,-
5th style,QQQ,0,,-,1095,SHANA8,滋賀県,1731,GRATIN,滋賀県,2154,52KING,滋賀県,0,,-
5th style,outer wall,0,,-,779,SHANA8,滋賀県,861,MR.814,滋賀県,1754,R.I.P.,滋賀県,0,,-
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,-,0,,-,915,PIZZA,滋賀県,1109,8VSZU4,滋賀県,0,,-
5th style,in my eyes,0,,-,935,YUKI.,滋賀県,1390,XEFF.K,滋賀県,1588,NOCCHI,滋賀県,0,,-
5th style,Abyss,0,,-,1153,AI-R,滋賀県,1553,MDHIME,滋賀県,1871,R.I.P.,滋賀県,0,,-
6th style,電人イェーガーのテーマ(Theme of DENJIN J),0,,-,932,AR-RIS,滋賀県,1550,CAFEX,滋賀県,0,,-,0,,-
6th style,こっちを向いてよ,0,,-,707,SHANA8,滋賀県,1048,M.VINA,滋賀県,1355,P9P,滋賀県,0,,-
6th style,VJ ARMY,0,,-,1117,NABE-3,滋賀県,1479,NYARO,滋賀県,2234,KORSK,滋賀県,0,,-
6th style,Take It Easy,0,,-,1204,17N7-R,滋賀県,1965,PIZZA,滋賀県,2503,KORSK,滋賀県,0,,-
6th style,Summer Vacation(CU mix),0,,-,1225,8WARE,滋賀県,1859,KORSK,滋賀県,0,,-,0,,-
6th style,SOMETHING WONDERFUL,0,,-,0,,-,1325,-111-,滋賀県,1816,TJK,滋賀県,0,,-
