バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,0,,-,1015,T,鳥取県,1154,LANA.,鳥取県,0,,-
1st&substream,RUGGED ASH,0,,-,0,,-,190,LILLY,鳥取県,1070,#MA3#,鳥取県,2022,#MA3#,鳥取県
1st&substream,R3,0,,-,338,GORO56,鳥取県,0,,-,879,KOREAN,鳥取県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,472,M1YUCO,鳥取県,472,SIRION,鳥取県,1055,6GOUKI,鳥取県,0,,-
1st&substream,Macho Gang,0,,-,361,T,鳥取県,808,AME,鳥取県,1633,#MA3#,鳥取県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,97,NEON,鳥取県,243,LANA.,鳥取県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,0,,-,0,,-,1095,KAME,鳥取県,0,,-
1st&substream,gentle stress,0,,-,0,,-,586,MO,鳥取県,1437,LANA.,鳥取県,0,,-
1st&substream,GENOM SCREAMS,0,,-,195,MOC,鳥取県,0,,-,1022,X*,鳥取県,0,,-
1st&substream,GAMBOL,0,,-,235,H.TAMA,鳥取県,266,SIGRIN,鳥取県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,183,LILLY,鳥取県,284,LILLY,鳥取県,503,SIKAGO,鳥取県,0,,-
1st&substream,deep in you,0,,-,0,,-,0,,-,646,DEBU**,鳥取県,0,,-
1st&substream,5.1.1.,0,,-,107,MRN,鳥取県,664,INADA,鳥取県,1553,LANA.,鳥取県,0,,-
1st&substream,22DUNK,0,,-,0,,-,0,,-,645,LANA.,鳥取県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,0,,-,0,,-,646,LANA.,鳥取県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,178,AAAAAA,鳥取県,862,#MA3#,鳥取県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,488,GORO56,鳥取県,927,AME,鳥取県,1117,Y.Y,鳥取県,0,,-
2nd style,I Was The One,0,,-,0,,-,395,FUMIKA,鳥取県,671,HOMURA,鳥取県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,0,,-,474,FUMIKA,鳥取県,420,FUMIKA,鳥取県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,0,,-,821,HANKCH,鳥取県,1096,LANA.,鳥取県,0,,-
2nd style,.59,0,,-,0,,-,486,FUMIKA,鳥取県,1095,T,鳥取県,0,,-
3rd style,THE SAFARI,158,YOZAWA,鳥取県,428,JACK,鳥取県,1762,LANA.,鳥取県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,178,GORO56,鳥取県,371,SIGRIN,鳥取県,0,,-,0,,-
3rd style,Skyscraper,0,,-,0,,-,601,FUMIKA,鳥取県,1121,LDEN-O,鳥取県,0,,-
3rd style,Schlagwerk,0,,-,209,ZERO,鳥取県,830,FUMIKA,鳥取県,1616,INSFJN,鳥取県,0,,-
3rd style,REINCARNATION,0,,-,0,,-,307,FUMIKA,鳥取県,1231,T,鳥取県,0,,-
3rd style,R5,0,,-,402,REAMTO,鳥取県,1059,PRN.SZ,鳥取県,1753,VIOLA.,鳥取県,0,,-
3rd style,Presto,0,,-,467,H.TAMA,鳥取県,830,ARA9NE,鳥取県,993,VIOLA.,鳥取県,0,,-
3rd style,LEADING CYBER,0,,-,397,SIRION,鳥取県,0,,-,1172,T,鳥取県,0,,-
3rd style,Holic,0,,-,0,,-,0,,-,1719,VIOLA.,鳥取県,0,,-
3rd style,era (nostalmix),0,,-,0,,-,1092,LANA.,鳥取県,1521,#MA3#,鳥取県,0,,-
3rd style,Don't Stop!,0,,-,569,INADA,鳥取県,300,FUMIKA,鳥取県,829,51NODL,鳥取県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,242,LILLY,鳥取県,1186,HOMURA,鳥取県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,0,,-,1225,LANA.,鳥取県,1320,#MA3#,鳥取県,0,,-
4th style,SWEET LAB,0,,-,312,MJPIII,鳥取県,352,FUMIKA,鳥取県,1363,VIOLA.,鳥取県,0,,-
4th style,starmine,198,NEON,鳥取県,689,K86666,鳥取県,1337,W,鳥取県,1574,LANA.,鳥取県,0,,-
4th style,Mr.T.(take me higher),0,,-,0,,-,649,FUMIKA,鳥取県,1755,VIOLA.,鳥取県,0,,-
4th style,minimalian,0,,-,272,TIETS,鳥取県,0,,-,1349,T,鳥取県,0,,-
4th style,LOVE WILL・・・,0,,-,0,,-,647,AME,鳥取県,1460,LANA.,鳥取県,0,,-
4th style,KAMIKAZE,0,,-,0,,-,823,FUMIKA,鳥取県,2289,LANA.,鳥取県,0,,-
4th style,Jam&Marmalade,0,,-,0,,-,442,FUMIKA,鳥取県,1006,VIOLA.,鳥取県,0,,-
4th style,Hitch Hiker2,0,,-,0,,-,627,FUMIKA,鳥取県,1327,VIOLA.,鳥取県,1923,VIOLA.,鳥取県
4th style,HIGHER,0,,-,0,,-,374,ALBA,鳥取県,1279,VIOLA.,鳥取県,0,,-
4th style,FLOWERS for ALBION,0,,-,198,SIKAGO,鳥取県,441,HOMURA,鳥取県,0,,-,0,,-
4th style,era (step mix),0,,-,0,,-,1237,NWA,鳥取県,1700,#MA3#,鳥取県,0,,-
4th style,empathy,0,,-,761,SIKAGO,鳥取県,965,AME,鳥取県,1458,#MA3#,鳥取県,0,,-
4th style,DXY!,0,,-,725,M1YUCO,鳥取県,1774,04,鳥取県,2224,VIOLA.,鳥取県,0,,-
4th style,Clione,0,,-,205,MOC,鳥取県,818,GIGLIO,鳥取県,1599,LANA.,鳥取県,2141,VIOLA.,鳥取県
4th style,CHECKING YOU OUT,0,,-,414,NOE,鳥取県,820,04,鳥取県,1344,#MA3#,鳥取県,0,,-
4th style,Burnin' The Floor,0,,-,311,GORO56,鳥取県,0,,-,1437,LANA.,鳥取県,0,,-
4th style,Broken My Heart,0,,-,0,,-,1198,YUNE,鳥取県,1820,VIOLA.,鳥取県,0,,-
4th style,B4U,0,,-,840,M1YUCO,鳥取県,1182,AME,鳥取県,2015,#MA3#,鳥取県,0,,-
4th style,ABSOLUTE,0,,-,1090,YUNE,鳥取県,1663,KI9TU2,鳥取県,2381,#MA3#,鳥取県,2743,VIOLA.,鳥取県
4th style,250bpm,0,,-,0,,-,0,,-,1416,#MA3#,鳥取県,0,,-
5th style,V,272,NKSG,鳥取県,1005,10969T,鳥取県,2386,KARIN.,鳥取県,2980,VIOLA.,鳥取県,0,,-
5th style,THE SHINING POLARIS,0,,-,429,DOUGFO,鳥取県,1292,04,鳥取県,1576,#MA3#,鳥取県,0,,-
5th style,THE CUBE,0,,-,318,DTC,鳥取県,608,FUMIKA,鳥取県,1330,HOMURA,鳥取県,0,,-
5th style,sync,0,,-,0,,-,1705,MI3SGI,鳥取県,2370,VIOLA.,鳥取県,0,,-
5th style,still my words,0,,-,592,GORO56,鳥取県,1227,LANA.,鳥取県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,0,,-,817,YATAO?,鳥取県,1906,#MA3#,鳥取県,0,,-
5th style,Spin the disc,0,,-,0,,-,0,,-,1332,#MA3#,鳥取県,0,,-
5th style,sometime,0,,-,0,,-,563,JACK,鳥取県,1257,4N4L,鳥取県,0,,-
5th style,RISLIM,0,,-,217,HAL?,鳥取県,1226,LANA.,鳥取県,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,722,PUYO-M,鳥取県,848,YUNE,鳥取県,1670,X*,鳥取県,1834,VIOLA.,鳥取県
5th style,Regulus,0,,-,482,JACK,鳥取県,0,,-,1684,#MA3#,鳥取県,0,,-
5th style,Real,0,,-,530,JACK,鳥取県,0,,-,1780,#MA3#,鳥取県,0,,-
5th style,Radical Faith,0,,-,788,BURNES,鳥取県,1470,LANA.,鳥取県,0,,-,0,,-
5th style,QQQ,0,,-,0,,-,1884,04,鳥取県,2156,LANA.,鳥取県,0,,-
5th style,outer wall,0,,-,0,,-,0,,-,1758,#MA3#,鳥取県,0,,-
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,-,0,,-,421,FUMIKA,鳥取県,1104,LANA.,鳥取県,0,,-
5th style,in my eyes,0,,-,0,,-,1067,YUNE,鳥取県,1574,LANA.,鳥取県,0,,-
5th style,Abyss,0,,-,678,FUMIKA,鳥取県,1406,SIVIL*,鳥取県,1851,#MA3#,鳥取県,0,,-
6th style,電人イェーガーのテーマ(Theme of DENJIN J),0,,-,809,M1YUCO,鳥取県,793,M1YUCO,鳥取県,0,,-,0,,-
6th style,こっちを向いてよ,0,,-,542,M4H0,鳥取県,1097,GIGLIO,鳥取県,1374,LANA.,鳥取県,0,,-
6th style,VJ ARMY,0,,-,900,2-MAS*,鳥取県,1715,04,鳥取県,2212,#MA3#,鳥取県,0,,-
6th style,Take It Easy,0,,-,1219,GIGLIO,鳥取県,2075,UMIMI,鳥取県,2489,#MA3#,鳥取県,0,,-
6th style,Summer Vacation(CU mix),0,,-,940,JACK,鳥取県,1830,LANA.,鳥取県,0,,-,0,,-
6th style,SOMETHING WONDERFUL,0,,-,0,,-,970,YOZAWA,鳥取県,1977,#MA3#,鳥取県,0,,-
6th style,route 80s,0,,-,0,,-,1180,04,鳥取県,1507,#MA3#,鳥取県,0,,-
6th style,rottel-da-sun,0,,-,0,,-,655,YOZAWA,鳥取県,1861,#MA3#,鳥取県,0,,-
6th style,NEMESIS,0,,-,660,NKSG,鳥取県,955,AME,鳥取県,1859,LANA.,鳥取県,0,,-
6th style,Linus,0,,-,827,PUYO-M,鳥取県,1343,MEI,鳥取県,2192,VIOLA.,鳥取県,0,,-
6th style,G2,0,,-,888,M1YUCO,鳥取県,1534,UMIMI,鳥取県,2332,#MA3#,鳥取県,0,,-
6th style,Frozen Ray (original mix),0,,-,586,DOUGFO,鳥取県,1598,W,鳥取県,1784,LANA.,鳥取県,0,,-
6th style,Free Style,0,,-,0,,-,577,JACK,鳥取県,1294,#MA3#,鳥取県,0,,-
6th style,fly through the night,0,,-,438,GORO56,鳥取県,881,AME,鳥取県,1641,X*,鳥取県,0,,-
6th style,DIVE ～INTO YOUR HEART～,0,,-,1056,JACK,鳥取県,1281,EX.,鳥取県,2092,VIOLA.,鳥取県,0,,-
6th style,Colors (radio edit),0,,-,756,JACK,鳥取県,1683,SIGRIN,鳥取県,2421,VIOLA.,鳥取県,0,,-
6th style,Buffalo,0,,-,0,,-,1095,GIGLIO,鳥取県,1800,#MA3#,鳥取県,2504,VIOLA.,鳥取県
6th style,Blueberry Stream,0,,-,799,SIGRIN,鳥取県,0,,-,1641,#MA3#,鳥取県,0,,-
6th style,BALLAD FOR YOU～想いの雨～,0,,-,426,MJPIII,鳥取県,0,,-,1070,VIOLA.,鳥取県,0,,-
6th style,"19,November",0,,-,0,,-,1313,KAME,鳥取県,1794,#MA3#,鳥取県,0,,-
7th style,革命,0,,-,0,,-,1792,KI9TU2,鳥取県,2327,#MA3#,鳥取県,0,,-
7th style,ZERO-ONE,0,,-,0,,-,616,HPF,鳥取県,2233,#MA3#,鳥取県,0,,-
