バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,293,AAA!$-,広島県,1018,MELT,広島県,1132,CYBELE,広島県,0,,-
1st&substream,RUGGED ASH,0,,-,250,PIXEL,広島県,255,PIXEL,広島県,1018,*OB*,広島県,2018,HNNN,広島県
1st&substream,R3,0,,-,539,A1,広島県,605,493SUN,広島県,904,GURA,広島県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,437,CAM!LE,広島県,507,IIDX29,広島県,1083,KAKIPI,広島県,0,,-
1st&substream,Macho Gang,0,,-,379,MELT,広島県,1060,MELT,広島県,1634,NKNFAL,広島県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,191,PIC,広島県,244,-AKI-,広島県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,670,CAM!LE,広島県,845,*ASPN*,広島県,1173,CYBELE,広島県,0,,-
1st&substream,gentle stress,0,,-,334,PIC,広島県,627,2-4K,広島県,1413,-AKI-,広島県,0,,-
1st&substream,GENOM SCREAMS,0,,-,377,V2ABG,広島県,735,NARI,広島県,1047,FYGAR,広島県,0,,-
1st&substream,GAMBOL,0,,-,271,4MARIN,広島県,274,3.MPS*,広島県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,191,AYUMAL,広島県,491,2-4K,広島県,573,MELT,広島県,0,,-
1st&substream,deep in you,0,,-,323,WATTA,広島県,0,,-,651,ROBBY,広島県,0,,-
1st&substream,5.1.1.,0,,-,195,PIC,広島県,921,Y11,広島県,1554,IIDX29,広島県,0,,-
