バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,469,AKMIQN,徳島県,781,LEUCIS,徳島県,1143,KOUIKA,徳島県,0,,-
1st&substream,RUGGED ASH,0,,-,297,POSSEE,徳島県,382,SOL!D,徳島県,984,TATZTO,徳島県,1905,ITALY3,徳島県
1st&substream,R3,0,,-,484,DGT4U,徳島県,673,TAKA*,徳島県,823,D-BLAU,徳島県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,517,917YCH,徳島県,724,SOL!D,徳島県,1056,SHU1,徳島県,0,,-
1st&substream,Macho Gang,0,,-,368,AROMA,徳島県,993,EDF,徳島県,1461,ITALY3,徳島県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,0,,-,230,AKI,徳島県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,597,-ARK-,徳島県,966,SHU1,徳島県,1179,ITALY3,徳島県,0,,-
1st&substream,gentle stress,0,,-,0,,-,644,-LNK-,徳島県,1389,MOC...,徳島県,0,,-
1st&substream,GENOM SCREAMS,0,,-,192,POSSEE,徳島県,802,CROSS,徳島県,1034,NIGIRI,徳島県,0,,-
1st&substream,GAMBOL,0,,-,265,-LNK-,徳島県,270,D-BLAU,徳島県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,0,,-,339,SHIMA,徳島県,543,MOC...,徳島県,0,,-
1st&substream,deep in you,0,,-,372,SUGURI,徳島県,470,SOL!D,徳島県,604,SOL!D,徳島県,0,,-
1st&substream,5.1.1.,0,,-,0,,-,710,LKOP,徳島県,1482,KOHE,徳島県,0,,-
1st&substream,22DUNK,0,,-,0,,-,0,,-,646,ITALY3,徳島県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,339,POSSEE,徳島県,400,AKMIQN,徳島県,626,SHU1,徳島県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,538,LEON,徳島県,769,917YCH,徳島県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,289,POSSEE,徳島県,0,,-,1174,AROMA,徳島県,0,,-
2nd style,I Was The One,0,,-,317,POSSEE,徳島県,609,MOC...,徳島県,653,SOL!D,徳島県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,0,,-,709,SUGURI,徳島県,1009,D-BLAU,徳島県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,0,,-,739,SUGURI,徳島県,1080,SHU1,徳島県,0,,-
2nd style,.59,0,,-,169,KEN1,徳島県,761,GLA,徳島県,1128,NIGIRI,徳島県,0,,-
3rd style,THE SAFARI,0,,-,956,G.C.,徳島県,1627,CAMI,徳島県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,0,,-,378,SHU1,徳島県,0,,-,0,,-
3rd style,Skyscraper,0,,-,0,,-,0,,-,1197,SHU1,徳島県,0,,-
3rd style,Schlagwerk,0,,-,627,AKMIQN,徳島県,416,VVVVVV,徳島県,1604,SHU1,徳島県,0,,-
3rd style,REINCARNATION,0,,-,572,AKMIQN,徳島県,883,K,徳島県,1239,AROMA,徳島県,0,,-
3rd style,R5,0,,-,504,SHIMA,徳島県,1104,SHU1,徳島県,1716,CAMI,徳島県,0,,-
3rd style,Presto,0,,-,262,POSSEE,徳島県,937,SHU1,徳島県,981,KOUIKA,徳島県,0,,-
3rd style,LEADING CYBER,0,,-,472,-ARK-,徳島県,0,,-,1254,KOUIKA,徳島県,0,,-
3rd style,Holic,0,,-,0,,-,1146,SHU1,徳島県,1689,NIGIRI,徳島県,0,,-
3rd style,era (nostalmix),0,,-,595,MELT,徳島県,1065,NIGIRI,徳島県,1404,ITALY3,徳島県,0,,-
3rd style,Don't Stop!,0,,-,603,AKMIQN,徳島県,686,LEUCIS,徳島県,878,SHU1,徳島県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,375,AKMIQN,徳島県,1219,L#...Y,徳島県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,0,,-,298,TIKUWA,徳島県,1279,NIGIRI,徳島県,0,,-
4th style,SWEET LAB,0,,-,327,POSSEE,徳島県,500,AKMIQN,徳島県,1037,WELCOM,徳島県,0,,-
4th style,starmine,382,MOCHI3,徳島県,644,SHIMA,徳島県,1284,SOL!D,徳島県,1471,12EX57,徳島県,0,,-
4th style,Mr.T.(take me higher),0,,-,0,,-,0,,-,1610,6,徳島県,0,,-
4th style,minimalian,0,,-,306,AKMIQN,徳島県,1042,SHU1,徳島県,1382,KOUIKA,徳島県,0,,-
4th style,LOVE WILL・・・,0,,-,0,,-,729,SHU1,徳島県,1436,KOUIKA,徳島県,0,,-
4th style,KAMIKAZE,0,,-,0,,-,1019,MNA,徳島県,2088,6,徳島県,0,,-
4th style,Jam&Marmalade,0,,-,454,FLAG2A,徳島県,0,,-,952,SHU1,徳島県,0,,-
4th style,Hitch Hiker2,0,,-,0,,-,0,,-,1228,SHU1,徳島県,1867,ITALY3,徳島県
4th style,HIGHER,0,,-,374,AKMIQN,徳島県,905,SHU1,徳島県,1251,HANMA,徳島県,0,,-
4th style,FLOWERS for ALBION,0,,-,0,,-,424,CROSS,徳島県,0,,-,0,,-
4th style,era (step mix),0,,-,831,MELT,徳島県,1259,SHU1,徳島県,1538,LKAR,徳島県,0,,-
4th style,empathy,0,,-,0,,-,1219,EDF,徳島県,1404,KOUIKA,徳島県,0,,-
4th style,DXY!,0,,-,1192,SHU1,徳島県,1441,SOL!D,徳島県,2111,KOUIKA,徳島県,0,,-
4th style,Clione,0,,-,256,NAGARE,徳島県,838,SHU1,徳島県,1528,GOQURI,徳島県,1957,12EX57,徳島県
4th style,CHECKING YOU OUT,0,,-,572,-LNK-,徳島県,879,ITALY3,徳島県,1213,KOUIKA,徳島県,0,,-
4th style,Burnin' The Floor,0,,-,0,,-,778,TIKUWA,徳島県,1376,SHU1,徳島県,0,,-
4th style,Broken My Heart,0,,-,558,-ARK-,徳島県,1390,EDF,徳島県,1681,D-BLAU,徳島県,0,,-
4th style,B4U,0,,-,870,ORE,徳島県,1289,SOL!D,徳島県,1979,NIGIRI,徳島県,0,,-
4th style,ABSOLUTE,0,,-,1030,TIKUWA,徳島県,1673,SHU1,徳島県,2240,TATZTO,徳島県,2647,TATZTO,徳島県
4th style,250bpm,0,,-,0,,-,999,SHU1,徳島県,1340,KOUIKA,徳島県,0,,-
5th style,V,280,MOCHI3,徳島県,872,ALICE,徳島県,2357,6,徳島県,2877,ITALY3,徳島県,0,,-
5th style,THE SHINING POLARIS,0,,-,0,,-,0,,-,1523,HANMA,徳島県,0,,-
5th style,THE CUBE,0,,-,531,-ARK-,徳島県,0,,-,1343,AROMA,徳島県,0,,-
5th style,sync,0,,-,905,TIKUWA,徳島県,1835,SHU1,徳島県,2304,TATZTO,徳島県,0,,-
5th style,still my words,0,,-,610,AKMIQN,徳島県,1182,6,徳島県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,670,-ARK-,徳島県,0,,-,1821,HANMA,徳島県,0,,-
5th style,Spin the disc,0,,-,420,DGT4U,徳島県,0,,-,1262,SHU1,徳島県,0,,-
