バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,642,REG,香川県,934,KA3NOK,香川県,1153,515151,香川県,0,,-
1st&substream,RUGGED ASH,0,,-,329,SHELA,香川県,343,NAKA,香川県,1086,515151,香川県,2006,515151,香川県
1st&substream,R3,0,,-,533,NAKA,香川県,668,TOMYZ,香川県,893,9-NYA,香川県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,521,ADB,香川県,537,YKHR,香川県,1087,VAN3,香川県,0,,-
1st&substream,Macho Gang,0,,-,371,VAN35,香川県,846,MADOKA,香川県,1572,P.TEX,香川県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,184,LE,香川県,244,515151,香川県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,762,REG,香川県,911,S*CHIY,香川県,1150,A.GR-V,香川県,0,,-
1st&substream,gentle stress,0,,-,315,KEAR,香川県,626,NYAN*K,香川県,1422,TRD*N,香川県,0,,-
1st&substream,GENOM SCREAMS,0,,-,379,IIDX29,香川県,724,S*CHIY,香川県,1036,ENBRY,香川県,0,,-
1st&substream,GAMBOL,0,,-,255,256EXE,香川県,273,A.GR-V,香川県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,350,YO-?,香川県,448,YKHR,香川県,566,P.TEX,香川県,0,,-
1st&substream,deep in you,0,,-,463,CRAYON,香川県,419,S*CHIY,香川県,662,515151,香川県,0,,-
1st&substream,5.1.1.,0,,-,191,LE,香川県,1009,515151,香川県,1558,VAN3,香川県,0,,-
1st&substream,22DUNK,0,,-,435,REG,香川県,539,REG,香川県,614,RETALE,香川県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,0,,-,129,SYOMIN,香川県,644,515151,香川県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,0,,-,822,9-NYA,香川県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,298,!HACK,香川県,688,NAKA,香川県,1230,515151,香川県,0,,-
2nd style,I Was The One,0,,-,0,,-,634,VAN4,香川県,685,P.TEX,香川県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,639,REG,香川県,795,BISON,香川県,922,IIDX29,香川県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,588,NAKA,香川県,877,REG,香川県,1095,TRD*N,香川県,0,,-
2nd style,.59,0,,-,526,NAKA,香川県,920,S*CHIY,香川県,1157,515151,香川県,0,,-
3rd style,THE SAFARI,347,KEAR,香川県,978,REG,香川県,1732,VAN3,香川県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,246,REG,香川県,391,VAN3,香川県,0,,-,0,,-
3rd style,Skyscraper,0,,-,573,NAKA,香川県,1007,BISON,香川県,1204,LAW3,香川県,0,,-
3rd style,Schlagwerk,0,,-,613,NAKA,香川県,1176,BISON,香川県,1645,VAN35,香川県,0,,-
3rd style,REINCARNATION,0,,-,671,NAKA,香川県,0,,-,1244,LAW3,香川県,0,,-
3rd style,R5,0,,-,615,NAKA,香川県,1059,IIDX29,香川県,1774,515151,香川県,0,,-
3rd style,Presto,0,,-,429,NAKA,香川県,899,YVYA,香川県,977,KIKYO,香川県,0,,-
3rd style,LEADING CYBER,0,,-,736,REG,香川県,817,REG,香川県,1218,LAW3,香川県,0,,-
3rd style,Holic,0,,-,650,REG,香川県,1106,MATO,香川県,1734,515151,香川県,0,,-
3rd style,era (nostalmix),0,,-,825,H1RO,香川県,1066,VAN3,香川県,1528,515151,香川県,0,,-
3rd style,Don't Stop!,0,,-,670,NAKA,香川県,0,,-,903,515151,香川県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,488,NAKA,香川県,1173,CHIRO,香川県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,784,REG,香川県,1072,TOMY,香川県,1321,515151,香川県,0,,-
4th style,SWEET LAB,0,,-,249,420BBC,香川県,555,NAKA,香川県,1357,515151,香川県,0,,-
4th style,starmine,430,KEAR,香川県,711,YKHR,香川県,1279,OKIKU3,香川県,1554,VAN3,香川県,0,,-
4th style,Mr.T.(take me higher),0,,-,712,SHELA,香川県,0,,-,1771,515151,香川県,0,,-
4th style,minimalian,0,,-,399,NAKA,香川県,941,IIDX29,香川県,1326,VAN35,香川県,0,,-
4th style,LOVE WILL・・・,0,,-,457,GALET,香川県,671,REG,香川県,1451,L#HAPY,香川県,0,,-
4th style,KAMIKAZE,0,,-,890,REG,香川県,1264,BISON,香川県,2263,ENBRY,香川県,0,,-
4th style,Jam&Marmalade,0,,-,568,NAKA,香川県,684,REG,香川県,968,KIKYO,香川県,0,,-
4th style,Hitch Hiker2,0,,-,733,REG,香川県,963,REG,香川県,1253,KNU.,香川県,1848,REM,香川県
4th style,HIGHER,0,,-,0,,-,791,YKHR,香川県,1229,M-2-BR,香川県,0,,-
4th style,FLOWERS for ALBION,0,,-,211,CHIRO,香川県,438,515151,香川県,0,,-,0,,-
4th style,era (step mix),0,,-,863,REG,香川県,1444,515151,香川県,1635,A.GR-V,香川県,0,,-
4th style,empathy,0,,-,759,REG,香川県,1164,KEAR,香川県,1428,P.TEX,香川県,0,,-
