バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,560,KAKIRA,愛媛県,996,TAKOSS,愛媛県,1133,NOCHIN,愛媛県,0,,-
1st&substream,RUGGED ASH,0,,-,325,KAKIRA,愛媛県,348,KAKIRA,愛媛県,1047,DJKISO,愛媛県,1973,P*4JUN,愛媛県
1st&substream,R3,0,,-,622,TORI,愛媛県,542,KAKIRA,愛媛県,889,NGG,愛媛県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,535,VOLT,愛媛県,654,PANNYA,愛媛県,1094,NGG,愛媛県,0,,-
1st&substream,Macho Gang,0,,-,369,TONKO2,愛媛県,813,RSN!!!,愛媛県,1594,P*4JUN,愛媛県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,165,PG,愛媛県,241,P*4JUN,愛媛県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,691,KAKIRA,愛媛県,778,YOU,愛媛県,1180,TORI10,愛媛県,0,,-
1st&substream,gentle stress,0,,-,331,TAPI,愛媛県,602,Z.0.E.,愛媛県,1391,TAKOSS,愛媛県,0,,-
1st&substream,GENOM SCREAMS,0,,-,390,TAPI,愛媛県,769,TAKOSS,愛媛県,1050,TORI10,愛媛県,0,,-
1st&substream,GAMBOL,0,,-,234,PANNYA,愛媛県,271,PNSP!!,愛媛県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,395,MNI,愛媛県,464,BARY3,愛媛県,565,TORI10,愛媛県,0,,-
1st&substream,deep in you,0,,-,376,KAKIRA,愛媛県,271,COMIC,愛媛県,648,45NYAN,愛媛県,0,,-
1st&substream,5.1.1.,0,,-,189,GYAREN,愛媛県,914,YOU,愛媛県,1555,HA4MOT,愛媛県,0,,-
1st&substream,22DUNK,0,,-,392,KAKIRA,愛媛県,495,KAKIRA,愛媛県,641,TORI10,愛媛県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,431,KAKIRA,愛媛県,468,ERIWO,愛媛県,645,TORI10,愛媛県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,491,KAKIRA,愛媛県,828,GIORNO,愛媛県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,644,KAKIRA,愛媛県,1012,PG,愛媛県,1198,P*4JUN,愛媛県,0,,-
2nd style,I Was The One,0,,-,447,KAKIRA,愛媛県,613,TAPI,愛媛県,687,HA4MOT,愛媛県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,597,KAKIRA,愛媛県,948,ARU,愛媛県,1047,TORI10,愛媛県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,670,MENDES,愛媛県,771,HIKE,愛媛県,1075,TORI10,愛媛県,0,,-
2nd style,.59,0,,-,543,KAKIRA,愛媛県,910,PG,愛媛県,1131,P*4JUN,愛媛県,0,,-
3rd style,THE SAFARI,303,KAKIRA,愛媛県,986,AIR,愛媛県,1733,TORI10,愛媛県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,244,MF#ARR,愛媛県,388,TORI10,愛媛県,0,,-,0,,-
3rd style,Skyscraper,0,,-,544,KAKIRA,愛媛県,773,UNIDON,愛媛県,1234,NGG,愛媛県,0,,-
3rd style,Schlagwerk,0,,-,673,KAKIRA,愛媛県,1252,TAKOSS,愛媛県,1656,-KEN5-,愛媛県,0,,-
3rd style,REINCARNATION,0,,-,609,KAKIRA,愛媛県,180,COMIC,愛媛県,1254,TORI10,愛媛県,0,,-
3rd style,R5,0,,-,631,KAKIRA,愛媛県,1079,RIN-K,愛媛県,1740,OMOTO,愛媛県,0,,-
3rd style,Presto,0,,-,416,ERIWO,愛媛県,904,RSN!!!,愛媛県,997,-KEN5-,愛媛県,0,,-
3rd style,LEADING CYBER,0,,-,541,IIDX29,愛媛県,1160,TAKOSS,愛媛県,1227,TORI10,愛媛県,0,,-
3rd style,Holic,0,,-,608,KAKIRA,愛媛県,1152,$MAGES,愛媛県,1655,PNSP!!,愛媛県,0,,-
3rd style,era (nostalmix),0,,-,700,KAKIRA,愛媛県,1078,-KEN5-,愛媛県,1514,45NYAN,愛媛県,0,,-
3rd style,Don't Stop!,0,,-,725,NYAN,愛媛県,618,COMIC,愛媛県,898,HA4MOT,愛媛県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,510,RICHUK,愛媛県,1204,O-MO10,愛媛県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,837,UNO.S,愛媛県,1173,TAKOSS,愛媛県,1279,P*4JUN,愛媛県,0,,-
4th style,SWEET LAB,0,,-,449,KAKIRA,愛媛県,775,SOKO,愛媛県,1333,P*4JUN,愛媛県,0,,-
4th style,starmine,395,KAKIRA,愛媛県,787,NYAN,愛媛県,1188,5TKI.N,愛媛県,1578,OMOTO,愛媛県,0,,-
4th style,Mr.T.(take me higher),0,,-,696,KAKIRA,愛媛県,771,K*MUGI,愛媛県,1721,NOCHIN,愛媛県,0,,-
4th style,minimalian,0,,-,417,KAKIRA,愛媛県,636,ERIWO,愛媛県,1382,TORI10,愛媛県,0,,-
4th style,LOVE WILL・・・,0,,-,460,ERIWO,愛媛県,691,PG,愛媛県,1445,TONKO2,愛媛県,0,,-
4th style,KAMIKAZE,0,,-,436,KAKIRA,愛媛県,1242,SOKO,愛媛県,2247,HA4MOT,愛媛県,0,,-
4th style,Jam&Marmalade,0,,-,587,KAKIRA,愛媛県,554,ERIWO,愛媛県,981,KOUZI,愛媛県,0,,-
4th style,Hitch Hiker2,0,,-,630,KAKIRA,愛媛県,1071,SOKO,愛媛県,1273,TORI10,愛媛県,1867,TORI10,愛媛県
4th style,HIGHER,0,,-,514,TAPI,愛媛県,627,COMIC,愛媛県,1246,TORI10,愛媛県,0,,-
4th style,FLOWERS for ALBION,0,,-,179,KAKIRA,愛媛県,440,PNSP!!,愛媛県,0,,-,0,,-
4th style,era (step mix),0,,-,946,REAL#G,愛媛県,1157,AZ*,愛媛県,1624,L#WIND,愛媛県,0,,-
4th style,empathy,0,,-,717,KAKIRA,愛媛県,932,ERIWO,愛媛県,1436,PNSP!!,愛媛県,0,,-
4th style,DXY!,0,,-,920,ERIWO,愛媛県,1622,KYOBIQ,愛媛県,2173,TORI10,愛媛県,0,,-
4th style,Clione,0,,-,490,NYAN,愛媛県,832,YOU,愛媛県,1596,PNSP!!,愛媛県,2139,P*4JUN,愛媛県
4th style,CHECKING YOU OUT,0,,-,620,PO,愛媛県,834,KYOBIQ,愛媛県,1279,UME.,愛媛県,0,,-
4th style,Burnin' The Floor,0,,-,512,KAKIRA,愛媛県,796,Z.0.E.,愛媛県,1431,SAKAKI,愛媛県,0,,-
4th style,Broken My Heart,0,,-,660,KAKIRA,愛媛県,1289,SOKO,愛媛県,1773,MOMOMO,愛媛県,0,,-
4th style,B4U,0,,-,784,REAL#G,愛媛県,1421,KYOBIQ,愛媛県,2008,45NYAN,愛媛県,0,,-
4th style,ABSOLUTE,0,,-,1109,PG,愛媛県,1728,HA4MOT,愛媛県,2346,*COME*,愛媛県,2687,P*4JUN,愛媛県
4th style,250bpm,0,,-,503,KAKIRA,愛媛県,789,DEE,愛媛県,1344,PNSP!!,愛媛県,0,,-
5th style,V,337,TAKOSS,愛媛県,1273,P*4JUN,愛媛県,2465,HA4MOT,愛媛県,2945,P*4JUN,愛媛県,0,,-
5th style,THE SHINING POLARIS,0,,-,720,KAKIRA,愛媛県,904,UNIDON,愛媛県,1568,P*4JUN,愛媛県,0,,-
5th style,THE CUBE,0,,-,639,KAKIRA,愛媛県,1188,PO,愛媛県,1324,TORI10,愛媛県,0,,-
5th style,sync,0,,-,947,REAL#G,愛媛県,1719,BB-SVN,愛媛県,2328,PNSP!!,愛媛県,0,,-
5th style,still my words,0,,-,757,KAKIRA,愛媛県,1215,-KEN5-,愛媛県,0,,-,0,,-
