バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,286,GLAM,高知県,960,WONG!!,高知県,1142,69EXE,高知県,0,,-
1st&substream,RUGGED ASH,0,,-,342,K,高知県,388,WONG!!,高知県,1074,ZK-2,高知県,1989,69EXE,高知県
1st&substream,R3,0,,-,580,K,高知県,729,NOIK.K,高知県,887,3-EDGE,高知県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,299,MUSKIT,高知県,724,FKK22,高知県,1086,ZK-2,高知県,0,,-
1st&substream,Macho Gang,0,,-,363,SIDERA,高知県,946,WONG!!,高知県,1542,3-EDGE,高知県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,193,ZK-2,高知県,244,3-EDGE,高知県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,803,K,高知県,923,FKK22,高知県,1172,NOIK.K,高知県,0,,-
1st&substream,gentle stress,0,,-,184,MONO,高知県,660,WONG!!,高知県,1422,3-EDGE,高知県,0,,-
1st&substream,GENOM SCREAMS,0,,-,0,,-,734,WONG!!,高知県,1057,3-EDGE,高知県,0,,-
1st&substream,GAMBOL,0,,-,271,3-EDGE,高知県,274,ZK-2,高知県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,324,K,高知県,489,WONG!!,高知県,578,ZK-2,高知県,0,,-
1st&substream,deep in you,0,,-,467,CREAM*,高知県,461,WONG!!,高知県,656,3-EDGE,高知県,0,,-
1st&substream,5.1.1.,0,,-,196,ZK-2,高知県,1000,ZK-2,高知県,1560,ZK-2,高知県,0,,-
1st&substream,22DUNK,0,,-,108,SUUVA,高知県,613,WONG!!,高知県,642,3-EDGE,高知県,0,,-
