バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,354,#-QNK-,長崎県,514,NGC7KZ,長崎県,1141,HITA*,長崎県,0,,-
1st&substream,RUGGED ASH,0,,-,367,428RIN,長崎県,351,32SNOW,長崎県,1034,428RIN,長崎県,1916,MOOON*,長崎県
1st&substream,R3,0,,-,349,CRONO,長崎県,729,UDA,長崎県,893,HEIPON,長崎県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,409,IT-MOO,長崎県,700,AOI*,長崎県,1083,HEIPON,長崎県,0,,-
1st&substream,Macho Gang,0,,-,334,ARCAEA,長崎県,887,ACBEXE,長崎県,1574,UDA,長崎県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,183,COCOA.,長崎県,243,COCOA.,長崎県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,0,,-,636,SHAGIR,長崎県,1125,428RIN,長崎県,0,,-
1st&substream,gentle stress,0,,-,322,ARCAEA,長崎県,603,OXALIS,長崎県,1433,UDA,長崎県,0,,-
1st&substream,GENOM SCREAMS,0,,-,346,CICO2A,長崎県,823,UDA,長崎県,1045,HEIPON,長崎県,0,,-
1st&substream,GAMBOL,0,,-,259,428RIN,長崎県,274,IIDX30,長崎県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,0,,-,369,YUCD,長崎県,570,HEIPON,長崎県,0,,-
1st&substream,deep in you,0,,-,450,32SNOW,長崎県,502,UDA,長崎県,653,HEIPON,長崎県,0,,-
1st&substream,5.1.1.,0,,-,168,OCTSZY,長崎県,648,A90,長崎県,1554,MOCCOS,長崎県,0,,-
1st&substream,22DUNK,0,,-,485,32SNOW,長崎県,566,OYAJI.,長崎県,620,428RIN,長崎県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,0,,-,611,UDA,長崎県,639,HEIPON,長崎県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,0,,-,845,UDA,長崎県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,625,CICO2A,長崎県,0,,-,1127,428RIN,長崎県,0,,-
2nd style,I Was The One,0,,-,245,KATURA,長崎県,564,AOI*,長崎県,681,UDA,長崎県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,88,!ZZSSX,長崎県,0,,-,1040,MOOON*,長崎県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,0,,-,0,,-,1104,HEIPON,長崎県,0,,-
2nd style,.59,0,,-,0,,-,912,373301,長崎県,1119,COCOA.,長崎県,0,,-
3rd style,THE SAFARI,350,ARCAEA,長崎県,0,,-,1726,HEIPON,長崎県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,251,ROBROY,長崎県,384,428RIN,長崎県,0,,-,0,,-
3rd style,Skyscraper,0,,-,0,,-,702,TTZK,長崎県,1232,UDA,長崎県,0,,-
3rd style,Schlagwerk,0,,-,0,,-,0,,-,1588,428RIN,長崎県,0,,-
3rd style,REINCARNATION,0,,-,0,,-,0,,-,1259,UDA,長崎県,0,,-
3rd style,R5,0,,-,0,,-,1085,SHIURA,長崎県,1744,MOCCOS,長崎県,0,,-
3rd style,Presto,0,,-,400,CICO2A,長崎県,887,AKI..,長崎県,1002,UDA,長崎県,0,,-
3rd style,LEADING CYBER,0,,-,0,,-,0,,-,1157,428RIN,長崎県,0,,-
3rd style,Holic,0,,-,521,CRONO,長崎県,1207,UDA,長崎県,1696,UDA,長崎県,0,,-
3rd style,era (nostalmix),0,,-,846,MOOON*,長崎県,1076,HITA*,長崎県,1443,HITA*,長崎県,0,,-
3rd style,Don't Stop!,0,,-,0,,-,748,CICO2A,長崎県,888,HEIPON,長崎県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,368,CRONO,長崎県,1225,HEIPON,長崎県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,0,,-,1121,SHIURA,長崎県,1273,HITA*,長崎県,0,,-
4th style,SWEET LAB,0,,-,464,YOSHI.,長崎県,821,OXALIS,長崎県,1289,UDA,長崎県,0,,-
4th style,starmine,436,ARCAEA,長崎県,404,ASAGI,長崎県,1164,AOI*,長崎県,1557,COCOA.,長崎県,0,,-
4th style,Mr.T.(take me higher),0,,-,374,CRONO,長崎県,894,AOI*,長崎県,1702,MOCCOS,長崎県,0,,-
4th style,minimalian,0,,-,180,KATURA,長崎県,915,YOSHI.,長崎県,1374,HEIPON,長崎県,0,,-
4th style,LOVE WILL・・・,0,,-,420,TARA,長崎県,655,FENCER,長崎県,1441,HEIPON,長崎県,0,,-
