バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,442,KTGK,大分県,919,ELIO,大分県,1134,NU-KO,大分県,0,,-
1st&substream,RUGGED ASH,0,,-,230,HAMA,大分県,163,HAMA,大分県,1084,YAMADA,大分県,2007,YAMADA,大分県
1st&substream,R3,0,,-,522,HATM-R,大分県,494,SUBARU,大分県,904,YAMADA,大分県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,531,SAMMYK,大分県,696,SAMMYK,大分県,1116,YAMADA,大分県,0,,-
1st&substream,Macho Gang,0,,-,0,,-,955,YUIHAN,大分県,1647,YAMADA,大分県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,0,,-,244,ANITA,大分県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,0,,-,628,SPOON-,大分県,1203,YAMADA,大分県,0,,-
1st&substream,gentle stress,0,,-,202,PATCHU,大分県,356,SPOON-,大分県,1407,10FU86,大分県,0,,-
1st&substream,GENOM SCREAMS,0,,-,376,K,大分県,703,MURA,大分県,1066,YAMADA,大分県,0,,-
1st&substream,GAMBOL,0,,-,265,SOKI,大分県,274,KOKURI,大分県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,0,,-,476,PLAN.B,大分県,577,LO,大分県,0,,-
1st&substream,deep in you,0,,-,0,,-,0,,-,657,MIACH,大分県,0,,-
1st&substream,5.1.1.,0,,-,191,089,大分県,1017,ANITA,大分県,1567,ANITA,大分県,0,,-
1st&substream,22DUNK,0,,-,0,,-,0,,-,650,MIACH,大分県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,0,,-,0,,-,639,10FU86,大分県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,0,,-,841,NU-KO,大分県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,502,DAW1N,大分県,940,YUIHAN,大分県,1185,TOILET,大分県,0,,-
2nd style,I Was The One,0,,-,0,,-,0,,-,688,KOKURI,大分県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,0,,-,755,KAME-R,大分県,1032,SOKI,大分県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,385,SPOON-,大分県,0,,-,1132,LO,大分県,0,,-
2nd style,.59,0,,-,487,DAW1N,大分県,957,YUIHAN,大分県,1159,YAMADA,大分県,0,,-
3rd style,THE SAFARI,0,,-,801,SPOON-,大分県,1767,YAMADA,大分県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,81,TANIX,大分県,386,LOLWTF,大分県,0,,-,0,,-
3rd style,Skyscraper,0,,-,0,,-,480,REON,大分県,1223,KORONE,大分県,0,,-
3rd style,Schlagwerk,0,,-,0,,-,1235,YUIHAN,大分県,1611,10FU86,大分県,0,,-
3rd style,REINCARNATION,0,,-,544,KTGK,大分県,634,*SNOW*,大分県,1279,YAMADA,大分県,0,,-
3rd style,R5,0,,-,646,KTRST,大分県,1073,PIYO*,大分県,1770,ANITA,大分県,0,,-
3rd style,Presto,0,,-,0,,-,894,MITTEI,大分県,1005,YAMADA,大分県,0,,-
3rd style,LEADING CYBER,0,,-,161,A,大分県,1134,YUIHAN,大分県,1206,089,大分県,0,,-
3rd style,Holic,0,,-,597,SPOON-,大分県,1046,GG*853,大分県,1718,YAMADA,大分県,0,,-
3rd style,era (nostalmix),0,,-,718,KORONE,大分県,1091,NU-KO,大分県,1505,YAMADA,大分県,0,,-
3rd style,Don't Stop!,0,,-,0,,-,0,,-,898,YAMADA,大分県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,322,*SNOW*,大分県,1255,YAMADA,大分県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,752,HSU,大分県,1231,YAMADA,大分県,1320,YAMADA,大分県,0,,-
4th style,SWEET LAB,0,,-,0,,-,0,,-,1295,MIACH,大分県,0,,-
4th style,starmine,244,CHROU.,大分県,572,KATATE,大分県,1172,E.M.C,大分県,1563,ANITA,大分県,0,,-
4th style,Mr.T.(take me higher),0,,-,181,DIALIS,大分県,419,TOM,大分県,1747,YAMADA,大分県,0,,-
4th style,minimalian,0,,-,0,,-,912,J,大分県,1397,YAMADA,大分県,0,,-
4th style,LOVE WILL・・・,0,,-,0,,-,730,NGKAWA,大分県,1463,YAMADA,大分県,0,,-
4th style,KAMIKAZE,0,,-,0,,-,1432,WAMDUS,大分県,2222,KOKURI,大分県,0,,-
4th style,Jam&Marmalade,0,,-,663,ATRIUM,大分県,514,SPOON-,大分県,1018,YAMADA,大分県,0,,-
4th style,Hitch Hiker2,0,,-,756,SAMMYK,大分県,909,SPOON-,大分県,1291,AA3570,大分県,1920,YAMADA,大分県
4th style,HIGHER,0,,-,373,CRAZY,大分県,97,HABY,大分県,1262,KORONE,大分県,0,,-
4th style,FLOWERS for ALBION,0,,-,238,ENNUI,大分県,430,AA3570,大分県,0,,-,0,,-
4th style,era (step mix),0,,-,0,,-,1333,YUIHAN,大分県,1635,10FU86,大分県,0,,-
4th style,empathy,0,,-,637,HATM-R,大分県,1163,SAMMYK,大分県,1376,LOLWTF,大分県,0,,-
4th style,DXY!,0,,-,896,E..SE,大分県,1762,089,大分県,2099,NASDAQ,大分県,0,,-
4th style,Clione,0,,-,492,SAMMYK,大分県,927,WAMDUS,大分県,1554,KILA**,大分県,2159,NU-KO,大分県
4th style,CHECKING YOU OUT,0,,-,555,SAMMYK,大分県,918,NU-KO,大分県,1339,LO,大分県,0,,-
4th style,Burnin' The Floor,0,,-,545,SAMMYK,大分県,0,,-,1438,ENNUI,大分県,0,,-
4th style,Broken My Heart,0,,-,0,,-,1255,MURA,大分県,1816,YAMADA,大分県,0,,-
4th style,B4U,0,,-,766,ALEX.,大分県,1221,SCEAAT,大分県,2022,YAMADA,大分県,0,,-
4th style,ABSOLUTE,0,,-,1202,SAMMYK,大分県,1473,GG*853,大分県,2390,YAMADA,大分県,2711,NU-KO,大分県
4th style,250bpm,0,,-,0,,-,892,SAMMYK,大分県,1421,YAMADA,大分県,0,,-
5th style,V,239,SHIKA,大分県,878,XYZAL,大分県,2447,MIACH,大分県,2981,YAMADA,大分県,0,,-
5th style,THE SHINING POLARIS,0,,-,0,,-,939,PTC,大分県,1580,YAMADA,大分県,0,,-
5th style,THE CUBE,0,,-,0,,-,0,,-,1289,SOKI,大分県,0,,-
5th style,sync,0,,-,881,ATRIUM,大分県,1781,YUIHAN,大分県,2335,AA3570,大分県,0,,-
5th style,still my words,0,,-,864,MIKE,大分県,1171,SOKI,大分県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,0,,-,1114,J,大分県,1919,YAMADA,大分県,0,,-
5th style,Spin the disc,0,,-,527,DAW1N,大分県,521,SPOON-,大分県,1303,KORONE,大分県,0,,-
5th style,sometime,0,,-,712,PLAN.B,大分県,949,YUIHAN,大分県,1325,YAMADA,大分県,0,,-
5th style,RISLIM,0,,-,0,,-,1215,ANITA,大分県,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,838,SAMMYK,大分県,901,SAMMYK,大分県,1713,NU-KO,大分県,1822,NU-KO,大分県
5th style,Regulus,0,,-,0,,-,1307,K,大分県,1678,KOKURI,大分県,0,,-
5th style,Real,0,,-,0,,-,1374,Y-CHAN,大分県,1773,KOKURI,大分県,0,,-
5th style,Radical Faith,0,,-,500,TEGL4,大分県,1467,YAMADA,大分県,1248,SOKI,大分県,0,,-
5th style,QQQ,0,,-,847,SPOON-,大分県,1735,NGKAWA,大分県,2157,YAMADA,大分県,0,,-
5th style,outer wall,0,,-,834,Y-CHAN,大分県,1197,Y-CHAN,大分県,1685,10FU86,大分県,0,,-
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,-,0,,-,0,,-,1111,NU-KO,大分県,0,,-
5th style,in my eyes,0,,-,906,SAMMYK,大分県,0,,-,1525,AA3570,大分県,0,,-
5th style,Abyss,0,,-,1123,KAME-R,大分県,1474,PLAN.B,大分県,1884,YAMADA,大分県,0,,-
6th style,電人イェーガーのテーマ(Theme of DENJIN J),0,,-,518,PONKAN,大分県,1501,10FU86,大分県,0,,-,0,,-
6th style,こっちを向いてよ,0,,-,0,,-,0,,-,1364,ANITA,大分県,0,,-
6th style,VJ ARMY,0,,-,1124,MURA,大分県,1474,J,大分県,2202,YAMADA,大分県,0,,-
6th style,Take It Easy,0,,-,0,,-,2050,GG*853,大分県,2472,MIACH,大分県,0,,-
6th style,Summer Vacation(CU mix),0,,-,1139,K,大分県,1827,ENNUI,大分県,0,,-,0,,-
6th style,SOMETHING WONDERFUL,0,,-,680,DAW1N,大分県,1067,KOBA.,大分県,1964,KOKURI,大分県,0,,-
6th style,route 80s,0,,-,528,KIRARA,大分県,1019,KAME-R,大分県,1519,LO,大分県,0,,-
6th style,rottel-da-sun,0,,-,524,TOTORO,大分県,1276,WAMDUS,大分県,1846,ANITA,大分県,0,,-
6th style,NEMESIS,0,,-,608,*SNOW*,大分県,1139,NIBOSI,大分県,1883,YAMADA,大分県,0,,-
6th style,Linus,0,,-,896,SAMMYK,大分県,1332,PMASO,大分県,2180,YAMADA,大分県,0,,-
6th style,G2,0,,-,929,MARTH,大分県,1570,-555-,大分県,2328,YAMADA,大分県,0,,-
6th style,Frozen Ray (original mix),0,,-,1014,JORO,大分県,1504,GG*853,大分県,1775,KOKURI,大分県,0,,-
6th style,Free Style,0,,-,762,HSU,大分県,0,,-,1291,ANITA,大分県,0,,-
6th style,fly through the night,0,,-,875,WAMDUS,大分県,1173,PLAN.B,大分県,1622,TOILET,大分県,0,,-
6th style,DIVE ～INTO YOUR HEART～,0,,-,0,,-,1599,LASMIN,大分県,2113,YAMADA,大分県,0,,-
6th style,Colors (radio edit),0,,-,894,*SNOW*,大分県,1660,FKHR,大分県,2432,NU-KO,大分県,0,,-
6th style,Buffalo,0,,-,891,MURA,大分県,1239,PLAN.B,大分県,1692,SOKI,大分県,2468,MIACH,大分県
6th style,Blueberry Stream,0,,-,317,KTGK,大分県,908,*SNOW*,大分県,1594,NU-KO,大分県,0,,-
6th style,BALLAD FOR YOU～想いの雨～,0,,-,0,,-,731,NGKAWA,大分県,1070,YAMADA,大分県,0,,-
6th style,"19,November",0,,-,0,,-,0,,-,1785,NU-KO,大分県,0,,-
7th style,革命,0,,-,703,SAMMYK,大分県,1634,YUIHAN,大分県,2342,YAMADA,大分県,0,,-
7th style,ZERO-ONE,0,,-,1032,YUIHAN,大分県,1600,TAKA.4,大分県,2227,YAMADA,大分県,0,,-
7th style,traces,0,,-,881,HATM-R,大分県,1776,WAMDUS,大分県,2132,ENNUI,大分県,0,,-
7th style,Tomorrow Perfume,0,,-,905,THEEND,大分県,1857,AKANE*,大分県,2045,AKANE*,大分県,0,,-
7th style,stoic,0,,-,1405,TAKE*M,大分県,2159,YUIHAN,大分県,2566,YAMADA,大分県,0,,-
7th style,Spica,0,,-,620,SAMMYK,大分県,1086,YRN7S,大分県,2221,NU-KO,大分県,0,,-
7th style,Love Me Do,0,,-,1119,WAMDUS,大分県,1505,J,大分県,2116,YAMADA,大分県,0,,-
7th style,Let the Snow Paint Me,0,,-,451,LOAM,大分県,0,,-,1220,089,大分県,0,,-
7th style,Last Message,0,,-,0,,-,1205,YUIHAN,大分県,1614,YAMADA,大分県,0,,-
