バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,758,1.2.3.,宮崎県,983,1.2.3.,宮崎県,1099,COBOL,宮崎県,0,,-
1st&substream,RUGGED ASH,0,,-,367,1.2.3.,宮崎県,396,IKKI##,宮崎県,1047,COBOL,宮崎県,1919,TY,宮崎県
1st&substream,R3,0,,-,637,1.2.3.,宮崎県,721,1.2.3.,宮崎県,883,COBOL,宮崎県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,552,1.2.3.,宮崎県,724,1.2.3.,宮崎県,1084,COBOL,宮崎県,0,,-
1st&substream,Macho Gang,0,,-,374,1.2.3.,宮崎県,1011,1.2.3.,宮崎県,1538,COBOL,宮崎県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,1.2.3.,宮崎県,240,WILLY,宮崎県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,855,1.2.3.,宮崎県,945,1.2.3.,宮崎県,1180,COBOL,宮崎県,0,,-
1st&substream,gentle stress,0,,-,340,1.2.3.,宮崎県,661,1.2.3.,宮崎県,1408,COBOL,宮崎県,0,,-
1st&substream,GENOM SCREAMS,0,,-,412,1.2.3.,宮崎県,768,1.2.3.,宮崎県,1039,COBOL,宮崎県,0,,-
1st&substream,GAMBOL,0,,-,266,1.2.3.,宮崎県,270,COBOL,宮崎県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,400,1.2.3.,宮崎県,504,1.2.3.,宮崎県,573,COBOL,宮崎県,0,,-
1st&substream,deep in you,0,,-,484,1.2.3.,宮崎県,486,1.2.3.,宮崎県,651,COBOL,宮崎県,0,,-
1st&substream,5.1.1.,0,,-,195,1.2.3.,宮崎県,988,IKKI##,宮崎県,1550,COBOL,宮崎県,0,,-
1st&substream,22DUNK,0,,-,512,1.2.3.,宮崎県,627,1.2.3.,宮崎県,647,COBOL,宮崎県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,501,1.2.3.,宮崎県,618,1.2.3.,宮崎県,643,COBOL,宮崎県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,562,1.2.3.,宮崎県,842,COBOL,宮崎県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,850,1.2.3.,宮崎県,1052,1.2.3.,宮崎県,1176,COBOL,宮崎県,0,,-
2nd style,I Was The One,0,,-,524,1.2.3.,宮崎県,634,1.2.3.,宮崎県,689,COBOL,宮崎県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,758,1.2.3.,宮崎県,914,1.2.3.,宮崎県,1027,COBOL,宮崎県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,727,1.2.3.,宮崎県,993,1.2.3.,宮崎県,1082,COBOL,宮崎県,0,,-
2nd style,.59,0,,-,697,1.2.3.,宮崎県,966,ISLAY,宮崎県,1121,COBOL,宮崎県,0,,-
3rd style,THE SAFARI,359,1.2.3.,宮崎県,1143,1.2.3.,宮崎県,1641,COBOL,宮崎県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,279,1.2.3.,宮崎県,387,COBOL,宮崎県,0,,-,0,,-
3rd style,Skyscraper,0,,-,711,1.2.3.,宮崎県,1127,1.2.3.,宮崎県,1230,COBOL,宮崎県,0,,-
3rd style,Schlagwerk,0,,-,797,1.2.3.,宮崎県,1216,1.2.3.,宮崎県,1632,135,宮崎県,0,,-
3rd style,REINCARNATION,0,,-,825,1.2.3.,宮崎県,973,1.2.3.,宮崎県,1241,COBOL,宮崎県,0,,-
3rd style,R5,0,,-,748,1.2.3.,宮崎県,1143,IKKI##,宮崎県,1727,F,宮崎県,0,,-
3rd style,Presto,0,,-,535,1.2.3.,宮崎県,942,1.2.3.,宮崎県,977,COBOL,宮崎県,0,,-
3rd style,LEADING CYBER,0,,-,827,1.2.3.,宮崎県,1133,1.2.3.,宮崎県,1231,COBOL,宮崎県,0,,-
3rd style,Holic,0,,-,732,1.2.3.,宮崎県,1132,1.2.3.,宮崎県,1644,F,宮崎県,0,,-
3rd style,era (nostalmix),0,,-,843,1.2.3.,宮崎県,1044,CESSY.,宮崎県,1427,COBOL,宮崎県,0,,-
3rd style,Don't Stop!,0,,-,752,1.2.3.,宮崎県,824,1.2.3.,宮崎県,883,COBOL,宮崎県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,612,1.2.3.,宮崎県,1236,COBOL,宮崎県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,896,1.2.3.,宮崎県,1148,FJ.OFN,宮崎県,1264,TY,宮崎県,0,,-
4th style,SWEET LAB,0,,-,542,1.2.3.,宮崎県,891,1.2.3.,宮崎県,1287,WILLY,宮崎県,0,,-
4th style,starmine,442,1.2.3.,宮崎県,875,1.2.3.,宮崎県,1317,1.2.3.,宮崎県,1564,WILLY,宮崎県,0,,-
4th style,Mr.T.(take me higher),0,,-,837,1.2.3.,宮崎県,979,1.2.3.,宮崎県,1674,TY,宮崎県,0,,-
4th style,minimalian,0,,-,530,1.2.3.,宮崎県,1017,CESSY.,宮崎県,1354,COBOL,宮崎県,0,,-
4th style,LOVE WILL・・・,0,,-,547,1.2.3.,宮崎県,735,1.2.3.,宮崎県,1440,COBOL,宮崎県,0,,-
4th style,KAMIKAZE,0,,-,958,1.2.3.,宮崎県,1361,1.2.3.,宮崎県,2187,WILLY,宮崎県,0,,-
4th style,Jam&Marmalade,0,,-,744,1.2.3.,宮崎県,847,1.2.3.,宮崎県,963,COBOL,宮崎県,0,,-
4th style,Hitch Hiker2,0,,-,813,1.2.3.,宮崎県,1160,1.2.3.,宮崎県,1279,COBOL,宮崎県,1874,COBOL,宮崎県
4th style,HIGHER,0,,-,533,1.2.3.,宮崎県,910,1.2.3.,宮崎県,1249,COBOL,宮崎県,0,,-
4th style,FLOWERS for ALBION,0,,-,240,1.2.3.,宮崎県,429,COBOL,宮崎県,0,,-,0,,-
4th style,era (step mix),0,,-,1096,1.2.3.,宮崎県,1327,CESSY.,宮崎県,1606,NANA-4,宮崎県,0,,-
4th style,empathy,0,,-,804,1.2.3.,宮崎県,1278,1.2.3.,宮崎県,1401,COBOL,宮崎県,0,,-
4th style,DXY!,0,,-,1202,1.2.3.,宮崎県,1590,SHU-KA,宮崎県,2084,TY,宮崎県,0,,-
4th style,Clione,0,,-,518,1.2.3.,宮崎県,926,1.2.3.,宮崎県,1577,COBOL,宮崎県,2067,TY,宮崎県
4th style,CHECKING YOU OUT,0,,-,625,1.2.3.,宮崎県,827,TY,宮崎県,1235,COBOL,宮崎県,0,,-
4th style,Burnin' The Floor,0,,-,562,1.2.3.,宮崎県,924,1.2.3.,宮崎県,1412,COBOL,宮崎県,0,,-
4th style,Broken My Heart,0,,-,895,1.2.3.,宮崎県,1421,CESSY.,宮崎県,1748,COBOL,宮崎県,0,,-
4th style,B4U,0,,-,1025,1.2.3.,宮崎県,1418,S.K,宮崎県,1924,F,宮崎県,0,,-
4th style,ABSOLUTE,0,,-,1292,1.2.3.,宮崎県,1665,1.2.3.,宮崎県,2277,COBOL,宮崎県,2614,F,宮崎県
4th style,250bpm,0,,-,653,1.2.3.,宮崎県,956,1.2.3.,宮崎県,1311,WILLY,宮崎県,0,,-
5th style,V,341,1.2.3.,宮崎県,1229,1.2.3.,宮崎県,2399,COBOL,宮崎県,2784,TOGETU,宮崎県,0,,-
5th style,THE SHINING POLARIS,0,,-,929,1.2.3.,宮崎県,1263,1.2.3.,宮崎県,1546,COBOL,宮崎県,0,,-
5th style,THE CUBE,0,,-,718,1.2.3.,宮崎県,1156,1.2.3.,宮崎県,1327,COBOL,宮崎県,0,,-
5th style,sync,0,,-,1048,1.2.3.,宮崎県,1755,1.2.3.,宮崎県,2344,WILLY,宮崎県,0,,-
5th style,still my words,0,,-,897,1.2.3.,宮崎県,1211,COBOL,宮崎県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,1000,1.2.3.,宮崎県,1254,1.2.3.,宮崎県,1838,WILLY,宮崎県,0,,-
5th style,Spin the disc,0,,-,768,1.2.3.,宮崎県,1199,1.2.3.,宮崎県,1304,COBOL,宮崎県,0,,-
5th style,sometime,0,,-,744,1.2.3.,宮崎県,988,1.2.3.,宮崎県,1276,COBOL,宮崎県,0,,-
5th style,RISLIM,0,,-,903,1.2.3.,宮崎県,1163,COBOL,宮崎県,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,880,1.2.3.,宮崎県,1039,1.2.3.,宮崎県,1675,WILLY,宮崎県,1756,TY,宮崎県
5th style,Regulus,0,,-,1000,1.2.3.,宮崎県,1357,1.2.3.,宮崎県,1620,COBOL,宮崎県,0,,-
5th style,Real,0,,-,1066,1.2.3.,宮崎県,1474,1.2.3.,宮崎県,1706,COBOL,宮崎県,0,,-
5th style,Radical Faith,0,,-,1142,1.2.3.,宮崎県,1397,1.2.3.,宮崎県,1283,COBOL,宮崎県,0,,-
5th style,QQQ,0,,-,1196,1.2.3.,宮崎県,1766,BENT,宮崎県,2102,TY,宮崎県,0,,-
5th style,outer wall,0,,-,896,1.2.3.,宮崎県,1249,1.2.3.,宮崎県,1659,COBOL,宮崎県,0,,-
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,-,747,1.2.3.,宮崎県,957,1.2.3.,宮崎県,1107,COBOL,宮崎県,0,,-
5th style,in my eyes,0,,-,898,1.2.3.,宮崎県,1351,1.2.3.,宮崎県,1527,COBOL,宮崎県,0,,-
5th style,Abyss,0,,-,1230,1.2.3.,宮崎県,1521,LEAFA,宮崎県,1822,WILLY,宮崎県,0,,-
6th style,電人イェーガーのテーマ(Theme of DENJIN J),0,,-,1075,1.2.3.,宮崎県,1540,COBOL,宮崎県,0,,-,0,,-
