バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,624,JOY-S,韓国,1019,KRABER,韓国,1159,DON*,韓国,0,,-
1st&substream,RUGGED ASH,0,,-,347,MAJIM,韓国,381,HYEON*,韓国,1098,FAFNIR,韓国,2067,LICHT,韓国
1st&substream,R3,0,,-,536,BMQTS,韓国,735,LICHT,韓国,903,SIGSIG,韓国,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,477,JOY-S,韓国,692,FIN,韓国,1119,CHLOE,韓国,0,,-
1st&substream,Macho Gang,0,,-,374,GG,韓国,995,NAZUNA,韓国,1656,KKM*,韓国,0,,-
1st&substream,KEEP ON MOVIN',0,,-,194,FAFNIR,韓国,244,FAFNIR,韓国,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,544,MINE,韓国,887,DORONG,韓国,1208,CHARM,韓国,0,,-
1st&substream,gentle stress,0,,-,242,962015,韓国,633,HAZE*,韓国,1447,BANARI,韓国,0,,-
1st&substream,GENOM SCREAMS,0,,-,347,4NOIR*,韓国,787,STRFAN,韓国,1072,FAFNIR,韓国,0,,-
1st&substream,GAMBOL,0,,-,273,DNBD,韓国,274,RAPID3,韓国,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,282,NYARU?,韓国,495,BRHD,韓国,578,MINY,韓国,0,,-
1st&substream,deep in you,0,,-,462,NAZUNA,韓国,501,MINY,韓国,662,CSH*,韓国,0,,-
1st&substream,5.1.1.,0,,-,193,BEUVEY,韓国,949,NAZUNA,韓国,1572,CHARM,韓国,0,,-
1st&substream,22DUNK,0,,-,483,NAZUNA,韓国,629,NAZUNA,韓国,655,SIGSIG,韓国,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,320,START,韓国,558,NINO,韓国,646,NEON,韓国,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,481,JOY-S,韓国,865,SIGSIG,韓国,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,662,JOY-S,韓国,989,WEIMAR,韓国,1232,KKM*,韓国,0,,-
2nd style,I Was The One,0,,-,508,NAZUNA,韓国,605,NAZUNA,韓国,694,SIGSIG,韓国,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,441,SANSO!,韓国,910,KRABER,韓国,1069,SIGSIG,韓国,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,613,MTPINN,韓国,668,GZR,韓国,1122,SIGSIG,韓国,0,,-
2nd style,.59,0,,-,647,OSHAMA,韓国,900,MIN,韓国,1153,CHARM,韓国,0,,-
3rd style,THE SAFARI,303,GQQ*,韓国,1121,FEYLIN,韓国,1782,DON*,韓国,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,256,KRABER,韓国,394,SIGSIG,韓国,0,,-,0,,-
3rd style,Skyscraper,0,,-,673,L.DASH,韓国,1082,MIN,韓国,1244,SIGSIG,韓国,0,,-
3rd style,Schlagwerk,0,,-,392,MOKA.0,韓国,1246,DUDE,韓国,1688,FAFNIR,韓国,0,,-
3rd style,REINCARNATION,0,,-,781,L.DASH,韓国,857,HYEON*,韓国,1278,KKM*,韓国,0,,-
3rd style,R5,0,,-,751,NAZUNA,韓国,1176,CHARM,韓国,1770,CHARM,韓国,0,,-
3rd style,Presto,0,,-,460,L.DASH,韓国,976,UNIMIX,韓国,1012,DON*,韓国,0,,-
3rd style,LEADING CYBER,0,,-,611,JOY-S,韓国,1198,S2YM,韓国,1276,SIGSIG,韓国,0,,-
3rd style,Holic,0,,-,550,SASARA,韓国,1182,HAZE*,韓国,1752,DON*,韓国,0,,-
3rd style,era (nostalmix),0,,-,791,RERUN-,韓国,1091,ATTIXX,韓国,1552,FAFNIR,韓国,0,,-
3rd style,Don't Stop!,0,,-,531,HNNW-K,韓国,767,3DC.,韓国,904,NU,韓国,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,513,JOY-S,韓国,1264,KKM*,韓国,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,669,JOY-S,韓国,1245,ATTIXX,韓国,1335,ATTIXX,韓国,0,,-
4th style,SWEET LAB,0,,-,543,AMAMYA,韓国,605,NULS,韓国,1382,CHARM,韓国,0,,-
4th style,starmine,424,MIN,韓国,793,AMUGAE,韓国,1390,ZERO.S,韓国,1597,CHARM,韓国,0,,-
4th style,Mr.T.(take me higher),0,,-,730,JOY-S,韓国,875,HYEON*,韓国,1765,LICHT,韓国,0,,-
