バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,589,CAM,繧ｿ繧､,784,TE4MA$,繧ｿ繧､,1068,T-BACK,繧ｿ繧､,0,,-
1st&substream,RUGGED ASH,0,,-,246,CAM,繧ｿ繧､,399,T-BACK,繧ｿ繧､,1067,AYA.K,繧ｿ繧､,1913,GOLUSI,繧ｿ繧､
1st&substream,R3,0,,-,535,DUO,繧ｿ繧､,636,IMA???,繧ｿ繧､,833,T-BACK,繧ｿ繧､,0,,-
1st&substream,PARANOIA MAX�曠IRTY MIX��,0,,-,487,CAM,繧ｿ繧､,616,PMILF,繧ｿ繧､,1039,T-BACK,繧ｿ繧､,0,,-
1st&substream,Macho Gang,0,,-,373,GOLUSI,繧ｿ繧､,763,TE4MA$,繧ｿ繧､,1583,GOLUSI,繧ｿ繧､,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,EZ2AC?,繧ｿ繧､,244,GOLUSI,繧ｿ繧､,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,571,CAM,繧ｿ繧､,918,THANIK,繧ｿ繧､,1154,T-BACK,繧ｿ繧､,0,,-
1st&substream,gentle stress,0,,-,319,THANIK,繧ｿ繧､,596,IMA???,繧ｿ繧､,1369,T-BACK,繧ｿ繧､,0,,-
1st&substream,GENOM SCREAMS,0,,-,393,THANIK,繧ｿ繧､,748,!EKIPS,繧ｿ繧､,1043,GOLUSI,繧ｿ繧､,0,,-
1st&substream,GAMBOL,0,,-,258,MOIKEY,繧ｿ繧､,266,T-BACK,繧ｿ繧､,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,384,THANIK,繧ｿ繧､,496,MOEGI*,繧ｿ繧､,569,GOLUSI,繧ｿ繧､,0,,-
1st&substream,deep in you,0,,-,397,CAM,繧ｿ繧､,504,GOLUSI,繧ｿ繧､,660,GOLUSI,繧ｿ繧､,0,,-
1st&substream,5.1.1.,0,,-,162,T-BACK,繧ｿ繧､,797,IMA???,繧ｿ繧､,1557,GOLUSI,繧ｿ繧､,0,,-
1st&substream,22DUNK,0,,-,389,CAM,繧ｿ繧､,0,,-,617,T-BACK,繧ｿ繧､,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,393,CAM,繧ｿ繧､,551,LOLICZ,繧ｿ繧､,641,GOLUSI,繧ｿ繧､,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,450,CAM,繧ｿ繧､,844,AYA.K,繧ｿ繧､,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,795,THANIK,繧ｿ繧､,1056,IMA???,繧ｿ繧､,1200,AYA.K,繧ｿ繧､,0,,-
2nd style,I Was The One,0,,-,435,DUO,繧ｿ繧､,532,DUO,繧ｿ繧､,668,GOLUSI,繧ｿ繧､,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,516,CAM,繧ｿ繧､,704,TE4MA$,繧ｿ繧､,1020,T-BACK,繧ｿ繧､,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,528,CAM,繧ｿ繧､,869,TE4MA$,繧ｿ繧､,1050,T-BACK,繧ｿ繧､,0,,-
2nd style,.59,0,,-,557,CAM,繧ｿ繧､,657,TE4MA$,繧ｿ繧､,1092,T-T,繧ｿ繧､,0,,-
3rd style,THE SAFARI,344,THANIK,繧ｿ繧､,1015,THANIK,繧ｿ繧､,1711,GOLUSI,繧ｿ繧､,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,257,THANIK,繧ｿ繧､,394,T-BACK,繧ｿ繧､,0,,-,0,,-
3rd style,Skyscraper,0,,-,554,CAM,繧ｿ繧､,587,CG505,繧ｿ繧､,1208,T-BACK,繧ｿ繧､,0,,-
3rd style,Schlagwerk,0,,-,611,CAM,繧ｿ繧､,1127,IMA???,繧ｿ繧､,1602,T-BACK,繧ｿ繧､,0,,-
3rd style,REINCARNATION,0,,-,607,CAM,繧ｿ繧､,908,THANIK,繧ｿ繧､,1256,AYA.K,繧ｿ繧､,0,,-
3rd style,R5,0,,-,668,IMA???,繧ｿ繧､,1052,OPTN,繧ｿ繧､,1748,AYA.K,繧ｿ繧､,0,,-
3rd style,Presto,0,,-,522,EZ2AC?,繧ｿ繧､,835,CELERY,繧ｿ繧､,984,AYA.K,繧ｿ繧､,0,,-
3rd style,LEADING CYBER,0,,-,507,CAM,繧ｿ繧､,1060,THANIK,繧ｿ繧､,1170,T-BACK,繧ｿ繧､,0,,-
3rd style,Holic,0,,-,595,DUO,繧ｿ繧､,1066,THANIK,繧ｿ繧､,1627,GOLUSI,繧ｿ繧､,0,,-
3rd style,era (nostalmix),0,,-,830,T-BACK,繧ｿ繧､,1009,MIKAGE,繧ｿ繧､,1491,GOLUSI,繧ｿ繧､,0,,-
3rd style,Don't Stop!,0,,-,625,CAM,繧ｿ繧､,745,THANIK,繧ｿ繧､,884,T-BACK,繧ｿ繧､,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,476,CAM,繧ｿ繧､,1225,GOLUSI,繧ｿ繧､,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,0,,-,0,,-,1268,GOLUSI,繧ｿ繧､,0,,-
4th style,SWEET LAB,0,,-,396,CAM,繧ｿ繧､,654,TE4MA$,繧ｿ繧､,1295,GOLUSI,繧ｿ繧､,0,,-
4th style,starmine,426,THANIK,繧ｿ繧､,636,CAM,繧ｿ繧､,1081,PMILF,繧ｿ繧､,1571,GOLUSI,繧ｿ繧､,0,,-
4th style,Mr.T.(take me higher),0,,-,623,DUO,繧ｿ繧､,927,THANIK,繧ｿ繧､,1643,T-BACK,繧ｿ繧､,0,,-
4th style,minimalian,0,,-,398,CAM,繧ｿ繧､,978,YOUKAI,繧ｿ繧､,1285,T-BACK,繧ｿ繧､,0,,-
