バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,518,MKMK*,シンガポール,946,HOSHEY,シンガポール,1085,L1B1D0,シンガポール,0,,-
1st&substream,RUGGED ASH,0,,-,0,,-,243,MOUDE3,シンガポール,1018,L1B1D0,シンガポール,1973,U.M.,シンガポール
1st&substream,R3,0,,-,651,U22525,シンガポール,701,SETNA,シンガポール,850,IGUCHI,シンガポール,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,415,2DS!!,シンガポール,729,DNB.LU,シンガポール,1077,DNB.LU,シンガポール,0,,-
1st&substream,Macho Gang,0,,-,333,WLL*,シンガポール,571,ZINI,シンガポール,1553,U.M.,シンガポール,0,,-
1st&substream,KEEP ON MOVIN',0,,-,184,-200,シンガポール,238,D,シンガポール,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,179,ROBOTY,シンガポール,0,,-,1138,L1B1D0,シンガポール,0,,-
1st&substream,gentle stress,0,,-,335,DNB.LU,シンガポール,534,KEVY,シンガポール,1411,U22525,シンガポール,0,,-
1st&substream,GENOM SCREAMS,0,,-,387,0NZK,シンガポール,0,,-,1022,D,シンガポール,0,,-
1st&substream,GAMBOL,0,,-,272,D,シンガポール,269,D,シンガポール,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,228,JUMP,シンガポール,504,SETNA,シンガポール,563,SETNA,シンガポール,0,,-
1st&substream,deep in you,0,,-,308,CODYSB,シンガポール,0,,-,630,L1B1D0,シンガポール,0,,-
1st&substream,5.1.1.,0,,-,177,QRI,シンガポール,956,IGUCHI,シンガポール,1548,DOOG,シンガポール,0,,-
1st&substream,22DUNK,0,,-,185,DAN?,シンガポール,284,TAYA,シンガポール,606,L1B1D0,シンガポール,0,,-
3rd style,THE SAFARI,148,ECO-G,シンガポール,917,KERO,シンガポール,1703,WEN,シンガポール,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,147,MAKOTO,シンガポール,382,L1B1D0,シンガポール,0,,-,0,,-
3rd style,Skyscraper,0,,-,0,,-,974,YDS,シンガポール,1213,L1B1D0,シンガポール,0,,-
3rd style,Schlagwerk,0,,-,333,MOUDE3,シンガポール,1153,SETNA,シンガポール,1609,L1B1D0,シンガポール,0,,-
3rd style,REINCARNATION,0,,-,753,GUMI,シンガポール,828,YDS,シンガポール,1206,L1B1D0,シンガポール,0,,-
3rd style,R5,0,,-,0,,-,1121,YEF!,シンガポール,1737,U.M.,シンガポール,0,,-
3rd style,Presto,0,,-,174,PEACHH,シンガポール,910,KANADE,シンガポール,985,HAPPY,シンガポール,0,,-
3rd style,LEADING CYBER,0,,-,0,,-,859,YDS,シンガポール,1168,L1B1D0,シンガポール,0,,-
3rd style,Holic,0,,-,421,MOUDE3,シンガポール,1007,MENDES,シンガポール,1672,U.M.,シンガポール,0,,-
3rd style,era (nostalmix),0,,-,849,U22525,シンガポール,1042,KANADE,シンガポール,1484,DNB.LU,シンガポール,0,,-
